"","AEW541","Panobinostat","Nilotinib","Sorafenib","ZD-6474","Lapatinib","PD-0332991","Nutlin-3","Erlotinib","17-AAG","PLX4720","LBW242","Topotecan","Paclitaxel","RAF265","AZD6244","PF2341066","TKI258","PHA-665752","Irinotecan","PD-0325901","TAE684","AZD0530"
"AEW541",1,0.149425287356322,0.17,0.159090909090909,0.247058823529412,0.25531914893617,0.224719101123595,0.168421052631579,0.185185185185185,0.179245283018868,0.174418604651163,0.238095238095238,0.258426966292135,0.247619047619048,0.195402298850575,0.197802197802198,0.247058823529412,0.226190476190476,0.268817204301075,0.278350515463918,0.219512195121951,0.258426966292135,0.216494845360825
"Panobinostat",0.149425287356322,1,0.206521739130435,0.142857142857143,0.123595505617978,0.230769230769231,0.211764705882353,0.179775280898876,0.153846153846154,0.166666666666667,0.233766233766234,0.209876543209877,0.191011235955056,0.179245283018868,0.152941176470588,0.144444444444444,0.176470588235294,0.197530864197531,0.272727272727273,0.18,0.132530120481928,0.152173913043478,0.191489361702128
"Nilotinib",0.17,0.206521739130435,1,0.241758241758242,0.181818181818182,0.228571428571429,0.263157894736842,0.244897959183673,0.175824175824176,0.162393162393162,0.230769230769231,0.210526315789474,0.205882352941176,0.245614035087719,0.337209302325581,0.237113402061856,0.24468085106383,0.212765957446809,0.205607476635514,0.216216216216216,0.261363636363636,0.268041237113402,0.172727272727273
"Sorafenib",0.159090909090909,0.142857142857143,0.241758241758242,1,0.146067415730337,0.239130434782609,0.22093023255814,0.215909090909091,0.243243243243243,0.174757281553398,0.25974025974026,0.19047619047619,0.161290322580645,0.233009708737864,0.333333333333333,0.280487804878049,0.214285714285714,0.178571428571429,0.212765957446809,0.2,0.2,0.2,0.239130434782609
"ZD-6474",0.247058823529412,0.123595505617978,0.181818181818182,0.146067415730337,1,0.340909090909091,0.238636363636364,0.247191011235955,0.352112676056338,0.213592233009709,0.2625,0.209302325581395,0.244444444444444,0.201834862385321,0.181818181818182,0.313253012048193,0.27710843373494,0.240963855421687,0.191919191919192,0.252525252525253,0.25,0.365853658536585,0.35632183908046
"Lapatinib",0.25531914893617,0.230769230769231,0.228571428571429,0.239130434782609,0.340909090909091,1,0.198019801980198,0.160377358490566,0.35,0.201754385964912,0.313953488372093,0.221052631578947,0.215686274509804,0.191666666666667,0.195876288659794,0.273684210526316,0.25531914893617,0.25,0.25,0.20353982300885,0.204301075268817,0.305263157894737,0.3
"PD-0332991",0.224719101123595,0.211764705882353,0.263157894736842,0.22093023255814,0.238636363636364,0.198019801980198,1,0.295454545454545,0.164705882352941,0.196261682242991,0.209302325581395,0.202247191011236,0.197916666666667,0.300970873786408,0.229885057471264,0.217391304347826,0.238636363636364,0.204545454545455,0.301075268817204,0.282828282828283,0.170454545454545,0.306818181818182,0.247422680412371
"Nutlin-3",0.168421052631579,0.179775280898876,0.244897959183673,0.215909090909091,0.247191011235955,0.160377358490566,0.295454545454545,1,0.160919540229885,0.214953271028037,0.218390804597701,0.184782608695652,0.21875,0.247706422018349,0.197802197802198,0.295454545454545,0.321428571428571,0.227272727272727,0.255102040816327,0.29,0.206896551724138,0.271739130434783,0.28125
"Erlotinib",0.185185185185185,0.153846153846154,0.175824175824176,0.243243243243243,0.352112676056338,0.35,0.164705882352941,0.160919540229885,1,0.197916666666667,0.22972972972973,0.189873417721519,0.146067415730337,0.186274509803922,0.160493827160494,0.302631578947368,0.156626506024096,0.1625,0.173913043478261,0.175257731958763,0.216216216216216,0.2,0.285714285714286
"17-AAG",0.179245283018868,0.166666666666667,0.162393162393162,0.174757281553398,0.213592233009709,0.201754385964912,0.196261682242991,0.214953271028037,0.197916666666667,1,0.188118811881188,0.171428571428571,0.201834862385321,0.2,0.149532710280374,0.196261682242991,0.168224299065421,0.150943396226415,0.223214285714286,0.243478260869565,0.144230769230769,0.190909090909091,0.223214285714286
"PLX4720",0.174418604651163,0.233766233766234,0.230769230769231,0.25974025974026,0.2625,0.313953488372093,0.209302325581395,0.218390804597701,0.22972972972973,0.188118811881188,1,0.207317073170732,0.175824175824176,0.166666666666667,0.151162790697674,0.3,0.278481012658228,0.225,0.255555555555556,0.202020202020202,0.283783783783784,0.202247191011236,0.269662921348315
"LBW242",0.238095238095238,0.209876543209877,0.210526315789474,0.19047619047619,0.209302325581395,0.221052631578947,0.202247191011236,0.184782608695652,0.189873417721519,0.171428571428571,0.207317073170732,1,0.182795698924731,0.228571428571429,0.172413793103448,0.229885057471264,0.195402298850575,0.188235294117647,0.247311827956989,0.232323232323232,0.195121951219512,0.208791208791209,0.221052631578947
"Topotecan",0.258426966292135,0.191011235955056,0.205882352941176,0.161290322580645,0.244444444444444,0.215686274509804,0.197916666666667,0.21875,0.146067415730337,0.201834862385321,0.175824175824176,0.182795698924731,1,0.292452830188679,0.157894736842105,0.161616161616162,0.230769230769231,0.238636363636364,0.227722772277228,0.585365853658537,0.164835164835165,0.18,0.24
"Paclitaxel",0.247619047619048,0.179245283018868,0.245614035087719,0.233009708737864,0.201834862385321,0.191666666666667,0.300970873786408,0.247706422018349,0.186274509803922,0.2,0.166666666666667,0.228571428571429,0.292452830188679,1,0.205607476635514,0.196428571428571,0.190909090909091,0.196261682242991,0.243478260869565,0.354545454545455,0.25,0.212389380530973,0.211864406779661
"RAF265",0.195402298850575,0.152941176470588,0.337209302325581,0.333333333333333,0.181818181818182,0.195876288659794,0.229885057471264,0.197802197802198,0.160493827160494,0.149532710280374,0.151162790697674,0.172413793103448,0.157894736842105,0.205607476635514,1,0.202247191011236,0.168539325842697,0.231707317073171,0.208333333333333,0.196078431372549,0.13953488372093,0.222222222222222,0.234042553191489
"AZD6244",0.197802197802198,0.144444444444444,0.237113402061856,0.280487804878049,0.313253012048193,0.273684210526316,0.217391304347826,0.295454545454545,0.302631578947368,0.196261682242991,0.3,0.229885057471264,0.161616161616162,0.196428571428571,0.202247191011236,1,0.197802197802198,0.164835164835165,0.222222222222222,0.221153846153846,0.373333333333333,0.236559139784946,0.273684210526316
"PF2341066",0.247058823529412,0.176470588235294,0.24468085106383,0.214285714285714,0.27710843373494,0.25531914893617,0.238636363636364,0.321428571428571,0.156626506024096,0.168224299065421,0.278481012658228,0.195402298850575,0.230769230769231,0.190909090909091,0.168539325842697,0.197802197802198,1,0.183908045977011,0.18,0.26530612244898,0.219512195121951,0.302325581395349,0.229166666666667
