,Drug name,Sanger ID,result,IC50,fold_y
0,MIRA-1,SIDM00517,6.14736,6.073941,1
1,Cisplatin,SIDM01114,1.8332247,2.006427,1
2,WIKI4,SIDM00244,3.7186043,3.914198,1
3,BMS-536924,SIDM00537,2.0833013,1.733863,1
4,Bortezomib,SIDM01093,-4.85664,-4.115848,1
5,MK-1775,SIDM00094,0.4241862,1.91712,1
6,LY2109761,SIDM00539,5.7630806,5.400771,1
7,LGK974,SIDM01233,3.5378788,3.895076,1
8,GDC0810,SIDM00496,4.977169,4.965005,1
9,Sorafenib,SIDM00551,2.042102,2.384396,1
10,BMS-536924,SIDM01093,1.7987536,3.1085975,1
11,Bortezomib,SIDM01161,-5.239192,-4.938108,1
12,LGK974,SIDM00520,4.434916,3.924767,1
13,Fulvestrant,SIDM00136,3.7179108,3.780350333333333,1
14,Entospletinib,SIDM00244,4.583891,1.924032,1
15,MIM1,SIDM01175,3.6095438,4.770428,1
16,Oxaliplatin,SIDM00561,1.9241974,1.8525435,1
17,Epirubicin,SIDM00565,0.26966912,-0.311385,1
18,VE821,SIDM01090,3.8606958,3.11085,1
19,Dinaciclib,SIDM00291,-3.4216418,-2.624957,1
20,Cediranib,SIDM00837,1.7867011,1.05822,1
21,Vorinostat,SIDM01187,1.595765,1.608329,1
22,Buparlisib,SIDM00077,1.0500039,0.013728,1
23,Cisplatin,SIDM00064,2.4654014,1.7632536666666667,1
24,PCI-34051,SIDM00332,5.254629,5.746768,1
25,Vinblastine,SIDM00174,-3.2487874,-4.493240500000001,1
26,IWP-2,SIDM00793,2.464437,2.146301,1
27,VX-11e,SIDM00758,3.2837367,1.657313,1
28,LY2109761,SIDM00837,4.6136003,4.501555,1
29,Nilotinib,SIDM01247,1.7872154,1.1534605,1
30,Linsitinib,SIDM00699,2.6776192,2.579066,1
31,AT13148,SIDM00537,3.710278,2.842459,1
32,Cisplatin,SIDM00120,2.529842,2.2501773333333333,1
33,BMS-345541,SIDM00719,3.2323618,5.569043,1
34,WIKI4,SIDM01229,3.2119474,4.344849,1
35,Oxaliplatin,SIDM00539,4.6663365,4.1511535,1
36,BMS-345541,SIDM00332,4.306364,4.2296025,1
37,Niraparib,SIDM01161,4.591812,4.115739,1
38,Cyclophosphamide,SIDM00561,4.7040405,4.404114,1
39,Luminespib,SIDM00699,-2.6625087,-0.6123465000000001,1
40,Obatoclax Mesylate,SIDM00094,0.46718657,1.1680755,1
41,AT13148,SIDM00758,5.260537,3.034989,1
42,PCI-34051,SIDM00244,4.186166,2.471069,1
43,Entospletinib,SIDM01161,3.0588617,3.186478,1
44,Crizotinib,SIDM01247,1.6798683,1.223581,1
45,Dasatinib,SIDM01161,-0.937659,-3.3886935,1
46,Fulvestrant,SIDM00565,4.018219,4.188992333333334,1
47,AZD7762,SIDM01175,0.07253765,2.4667096666666666,1
48,Irinotecan,SIDM00539,4.9121594,3.010363,1
49,CZC24832,SIDM01114,5.198041,3.823074,1
50,MK-8776,SIDM00699,2.1531096,4.530687,1
51,AZD8186,SIDM00837,1.7790755,1.471513,1
52,BIBR-1532,SIDM01114,4.7045116,4.037107,1
53,Vinblastine,SIDM00699,-3.1697729,-2.9077390000000003,1
54,OF-1,SIDM00537,4.061636,4.217272,1
55,PCI-34051,SIDM01233,5.3326125,4.978184,1
56,OF-1,SIDM00565,4.750824,4.979893,1
57,MIRA-1,SIDM00793,4.1583915,4.095742,1
58,CZC24832,SIDM00174,5.7599874,3.977655,1
59,WZ4003,SIDM00551,2.874801,2.017036,1
60,Sorafenib,SIDM01175,2.8807485,5.0521495000000005,1
61,VE-822,SIDM01090,3.1324775,3.316805,1
62,Dabrafenib,SIDM00291,-0.39864308,1.8860145,1
63,I-BET-762,SIDM00064,3.8428254,3.430299,1
64,Camptothecin,SIDM00537,-2.6604404,-3.133379,1
65,Alpelisib,SIDM00699,3.592485,4.345543,1
66,Axitinib,SIDM00332,4.0448074,-0.0051045,1
67,GSK2606414,SIDM01093,3.6185672,3.633744,1
68,MK-1775,SIDM00719,0.59241664,2.743954,1
69,VE821,SIDM01233,5.5646505,5.84664,1
70,Obatoclax Mesylate,SIDM00539,1.223783,1.778222,1
71,Lapatinib,SIDM00539,0.6301165,0.913972,1
72,VX-11e,SIDM01229,1.5675639,2.402507,1
73,Pevonedistat,SIDM01175,0.27653816,4.3406435,1
74,AZD7762,SIDM01247,-1.1810935,-1.898701,1
75,Temozolomide,SIDM00094,6.8184986,5.9999665,1
76,GSK343,SIDM01233,4.5681186,5.1984295,1
77,I-BRD9,SIDM01187,5.7577953,5.630752,1
78,Daporinad,SIDM00517,-3.5035224,-6.723251,1
79,EPZ5676,SIDM00517,6.6393476,6.292871,1
80,Uprosertib,SIDM00120,4.482068,5.593971,1
81,MIM1,SIDM00077,3.4356098,3.948924,1
82,Irinotecan,SIDM00551,4.017349,1.099242,1
83,EPZ004777,SIDM00064,5.198834,5.539148,1
84,PFI3,SIDM00517,6.248725,5.774298,1
85,OF-1,SIDM00136,3.823098,4.818226,1
86,Vinorelbine,SIDM00496,-4.008128,-3.901771,1
87,5-Fluorouracil,SIDM00719,5.771187,6.5891225,1
88,Foretinib,SIDM01233,2.042141,1.6896140000000002,1
89,Linsitinib,SIDM00517,3.6079388,2.102586,1
90,Cyclophosphamide,SIDM00332,5.7624197,6.559315,1
91,Pevonedistat,SIDM01161,1.4139978,-0.3630345,1
92,AZD6738,SIDM01114,0.8629671,0.728305,1
93,5-Fluorouracil,SIDM00332,5.4902954,5.864709,1
94,Buparlisib,SIDM00136,0.0466645,1.140482,1
95,VE821,SIDM00551,3.417928,3.260586,1
96,VE-822,SIDM00565,3.5913067,5.373851,1
97,ABT737,SIDM01093,2.614183,3.100827,1
98,Cyclophosphamide,SIDM01090,5.4829025,4.693715,1
99,LCL161,SIDM00332,5.605524,5.9473565,1
100,Irinotecan,SIDM01114,1.0152535,1.554381,1
101,GSK2606414,SIDM00064,4.246442,3.139338,1
102,LGK974,SIDM00496,3.6211748,3.1396395000000004,1
103,NVP-ADW742,SIDM00699,0.89550996,2.261397,1
104,RO-3306,SIDM00332,4.6824102,4.699782000000001,1
105,Sorafenib,SIDM00094,3.6034942,4.49228,1
106,ML323,SIDM00332,5.0619025,5.15555,1
107,NVP-ADW742,SIDM00539,3.5089705,4.1592,1
108,Dabrafenib,SIDM01247,3.6023421,4.1038535,1
109,SB505124,SIDM01233,5.4138117,1.6382350000000003,1
110,PD173074,SIDM01093,3.9634242,4.255533,1
111,Obatoclax Mesylate,SIDM00291,-2.3326406,-1.0416785000000002,1
112,AZD7762,SIDM00539,1.6238507,-0.5161746666666667,1
113,Rapamycin,SIDM00174,-0.6739572,-3.052181,1
114,Epirubicin,SIDM01175,-0.9647628,1.486215,1
115,P22077,SIDM00539,4.9449177,4.655571,1
116,Temozolomide,SIDM00517,6.1331196,5.836973,1
117,ABT737,SIDM00120,3.2192197,4.30424,1
118,Gemcitabine,SIDM00565,-1.6418036,-3.4544153333333334,1
119,Cediranib,SIDM00537,2.340133,1.898705,1
