,Drug name,Sanger ID,result,IC50,fold_y
0,MIRA-1,SIDM00517,6.198174,6.073941,1
1,Cisplatin,SIDM01114,2.6444936,2.006427,1
2,WIKI4,SIDM00244,3.1041145,3.914198,1
3,BMS-536924,SIDM00537,2.8841286,1.733863,1
4,Bortezomib,SIDM01093,-5.2264433,-4.115848,1
5,MK-1775,SIDM00094,1.5371159,1.91712,1
6,LY2109761,SIDM00539,3.3800666,5.400771,1
7,LGK974,SIDM01233,2.6973648,3.895076,1
8,GDC0810,SIDM00496,5.559333,4.965005,1
9,Sorafenib,SIDM00551,2.9582205,2.384396,1
10,BMS-536924,SIDM01093,2.6921191,3.1085975,1
11,Bortezomib,SIDM01161,-5.33902,-4.938108,1
12,LGK974,SIDM00520,3.9952946,3.924767,1
13,Fulvestrant,SIDM00136,3.8322783,3.780350333333333,1
14,Entospletinib,SIDM00244,3.4796245,1.924032,1
15,MIM1,SIDM01175,3.150981,4.770428,1
16,Oxaliplatin,SIDM00561,2.0265336,1.8525435,1
17,Epirubicin,SIDM00565,-1.2187891,-0.311385,1
18,VE821,SIDM01090,4.2433367,3.11085,1
19,Dinaciclib,SIDM00291,-2.2167888,-2.624957,1
20,Cediranib,SIDM00837,1.8689909,1.05822,1
21,Vorinostat,SIDM01187,1.8307986,1.608329,1
22,Buparlisib,SIDM00077,1.9707398,0.013728,1
23,Cisplatin,SIDM00064,1.6947157,1.7632536666666667,1
24,PCI-34051,SIDM00332,5.4903145,5.746768,1
25,Vinblastine,SIDM00174,-4.706342,-4.493240500000001,1
26,IWP-2,SIDM00793,2.3404274,2.146301,1
27,VX-11e,SIDM00758,1.6401813,1.657313,1
28,LY2109761,SIDM00837,5.4407988,4.501555,1
29,Nilotinib,SIDM01247,2.2193527,1.1534605,1
30,Linsitinib,SIDM00699,2.8609827,2.579066,1
31,AT13148,SIDM00537,3.256324,2.842459,1
32,Cisplatin,SIDM00120,3.1438901,2.2501773333333333,1
33,BMS-345541,SIDM00719,4.3133516,5.569043,1
34,WIKI4,SIDM01229,3.721301,4.344849,1
35,Oxaliplatin,SIDM00539,3.2534637,4.1511535,1
36,BMS-345541,SIDM00332,4.193149,4.2296025,1
37,Niraparib,SIDM01161,5.7167077,4.115739,1
38,Cyclophosphamide,SIDM00561,4.3490148,4.404114,1
39,Luminespib,SIDM00699,-1.1251018,-0.6123465000000001,1
40,Obatoclax Mesylate,SIDM00094,-0.3892433,1.1680755,1
41,AT13148,SIDM00758,5.640722,3.034989,1
42,PCI-34051,SIDM00244,4.0478215,2.471069,1
43,Entospletinib,SIDM01161,4.4010463,3.186478,1
44,Crizotinib,SIDM01247,2.703013,1.223581,1
45,Dasatinib,SIDM01161,-1.5470707,-3.3886935,1
46,Fulvestrant,SIDM00565,3.9442277,4.188992333333334,1
47,AZD7762,SIDM01175,-0.8254256,2.4667096666666666,1
48,Irinotecan,SIDM00539,1.765492,3.010363,1
49,CZC24832,SIDM01114,5.31793,3.823074,1
50,MK-8776,SIDM00699,2.0467522,4.530687,1
51,AZD8186,SIDM00837,3.200893,1.471513,1
52,BIBR-1532,SIDM01114,4.689207,4.037107,1
53,Vinblastine,SIDM00699,-3.1157618,-2.9077390000000003,1
54,OF-1,SIDM00537,4.419544,4.217272,1
55,PCI-34051,SIDM01233,4.9367046,4.978184,1
56,OF-1,SIDM00565,4.904163,4.979893,1
57,MIRA-1,SIDM00793,4.422476,4.095742,1
