,Drug name,Sanger ID,result,IC50,fold_y
0,MIRA-1,SIDM00517,6.1933355,6.073941,1
1,Cisplatin,SIDM01114,2.777233,2.006427,1
2,WIKI4,SIDM00244,3.3226306,3.914198,1
3,BMS-536924,SIDM00537,1.372454,1.733863,1
4,Bortezomib,SIDM01093,-4.144775,-4.115848,1
5,MK-1775,SIDM00094,2.6820369,1.91712,1
6,LY2109761,SIDM00539,5.723746,5.400771,1
7,LGK974,SIDM01233,3.433448,3.895076,1
8,GDC0810,SIDM00496,4.9637856,4.965005,1
9,Sorafenib,SIDM00551,2.9102807,2.384396,1
10,BMS-536924,SIDM01093,2.7000945,3.1085975,1
11,Bortezomib,SIDM01161,-5.471021,-4.938108,1
12,LGK974,SIDM00520,4.082157,3.924767,1
13,Fulvestrant,SIDM00136,4.1547365,3.780350333333333,1
14,Entospletinib,SIDM00244,2.340138,1.924032,1
15,MIM1,SIDM01175,4.6284366,4.770428,1
16,Oxaliplatin,SIDM00561,2.1006525,1.8525435,1
17,Epirubicin,SIDM00565,-0.49445766,-0.311385,1
18,VE821,SIDM01090,2.636679,3.11085,1
19,Dinaciclib,SIDM00291,-2.5823905,-2.624957,1
20,Cediranib,SIDM00837,2.0881202,1.05822,1
21,Vorinostat,SIDM01187,2.1049855,1.608329,1
22,Buparlisib,SIDM00077,0.37789893,0.013728,1
23,Cisplatin,SIDM00064,2.199448,1.7632536666666667,1
24,PCI-34051,SIDM00332,6.2218776,5.746768,1
25,Vinblastine,SIDM00174,-4.943153,-4.493240500000001,1
26,IWP-2,SIDM00793,1.8768591,2.146301,1
27,VX-11e,SIDM00758,2.5516927,1.657313,1
28,LY2109761,SIDM00837,6.112267,4.501555,1
29,Nilotinib,SIDM01247,2.209252,1.1534605,1
30,Linsitinib,SIDM00699,3.9298086,2.579066,1
31,AT13148,SIDM00537,2.945863,2.842459,1
32,Cisplatin,SIDM00120,3.127662,2.2501773333333333,1
33,BMS-345541,SIDM00719,4.266935,5.569043,1
34,WIKI4,SIDM01229,5.155432,4.344849,1
35,GSK1904529A,SIDM00287,2.9079416,2.695081,1
36,XAV939,SIDM00964,3.0620265,2.5174255,1
37,AZD8186,SIDM00098,2.0406501,3.6110575,1
38,Alpelisib,SIDM00309,4.670213,4.972602,1
39,Navitoclax,SIDM00381,4.0005655,3.9914675,1
40,Nutlin-3a (-),SIDM00885,6.363609,4.117058500000001,1
41,MK-1775,SIDM00381,2.2536867,0.971567,1
42,Oxaliplatin,SIDM00539,6.187172,4.1511535,1
43,SCH772984,SIDM00826,-1.9251325,-2.371284,1
44,WIKI4,SIDM00056,4.035581,3.873413,1
45,AMG-319,SIDM00351,5.1612544,4.381102,1
46,MIM1,SIDM00042,3.0897214,3.76392,1
47,Luminespib,SIDM00655,-3.0636284,-3.2395240000000003,1
48,MIRA-1,SIDM00817,4.731393,5.042824,1
49,BIBR-1532,SIDM01159,4.7495728,4.30429,1
50,Alpelisib,SIDM00263,2.7257123,1.009765,1
51,Vinorelbine,SIDM01006,-5.0260186,-5.701762,1
52,Venetoclax,SIDM00388,1.0553046,3.261062,1
53,Pictilisib,SIDM00542,0.87227,2.4920940000000003,1
54,Irinotecan,SIDM00111,3.1577427,2.03566,1
55,LGK974,SIDM01126,3.299115,3.0547295,1
56,Dabrafenib,SIDM00201,4.333981,4.4734655,1
57,AZD7762,SIDM00346,-2.135238,-0.4462809999999999,1
58,Leflunomide,SIDM00859,3.0689201,4.32032,1
59,Wnt-C59,SIDM00534,3.4931707,2.810193,1
60,WEHI-539,SIDM00203,1.6562663,3.061166,1
61,OTX015,SIDM00974,2.0230336,3.725203,1
62,Dinaciclib,SIDM00976,-1.8814214,-3.108552,1
63,Ibrutinib,SIDM00411,6.702827,5.899052,1
64,Sepantronium bromide,SIDM00042,-4.7620244,-5.8211975,1
65,Dactinomycin,SIDM00632,-4.3556457,-5.825258,1
66,CZC24832,SIDM00540,4.061428,5.488764,1
67,VX-11e,SIDM00096,1.8833181,2.2575585,1
68,Wnt-C59,SIDM00612,4.747152,4.5870045,1
69,BMS-754807,SIDM00216,0.24255957,-1.291566,1
70,Sabutoclax,SIDM00308,-1.6535717,-1.98858,1
71,Wee1 Inhibitor,SIDM00489,0.8219903,0.980307,1
