,Drug name,Sanger ID,result,IC50,fold_y
0,MIRA-1,SIDM00517,1.8279297,6.073941,1
1,Cisplatin,SIDM01114,1.6245352,2.006427,1
2,WIKI4,SIDM00244,2.2223146,3.914198,1
3,BMS-536924,SIDM00537,2.4859495,1.733863,1
4,Bortezomib,SIDM01093,1.706753,-4.115848,1
5,MK-1775,SIDM00094,3.2232008,1.91712,1
6,LY2109761,SIDM00539,1.9265095,5.400771,1
7,LGK974,SIDM01233,3.7241092,3.895076,1
8,GDC0810,SIDM00496,2.0832705,4.965005,1
9,Sorafenib,SIDM00551,-1.3583231,2.384396,1
10,BMS-536924,SIDM01093,3.1735935,3.1085975,1
11,Bortezomib,SIDM01161,1.4849753,-4.938108,1
12,LGK974,SIDM00520,3.7117953,3.924767,1
13,Fulvestrant,SIDM00136,2.1026943,3.780350333333333,1
14,Entospletinib,SIDM00244,0.69982874,1.924032,1
15,MIM1,SIDM01175,3.8099127,4.770428,1
16,Oxaliplatin,SIDM00561,0.29260784,1.8525435,1
17,Cisplatin,SIDM00064,1.2317296,1.7632536666666667,1
18,LY2109761,SIDM00837,2.0856779,4.501555,1
19,Cisplatin,SIDM00120,1.3930317,2.2501773333333333,1
20,WIKI4,SIDM01229,2.7593026,4.344849,1
21,MK-1775,SIDM00381,2.9092813,0.971567,1
22,Oxaliplatin,SIDM00539,1.5351747,4.1511535,1
23,WIKI4,SIDM00056,1.1332685,3.873413,1
24,MIM1,SIDM00042,1.9920467,3.76392,1
25,MIRA-1,SIDM00817,2.664951,5.042824,1
26,LGK974,SIDM01126,2.6831107,3.0547295,1
27,Entospletinib,SIDM00375,2.4314218,4.530611,1
28,Cisplatin,SIDM01197,1.9931386,5.9172183333333335,1
29,Cisplatin,SIDM00842,1.3329101,2.6765326666666667,1
30,BMS-536924,SIDM01095,1.9681561,-0.1175565,1
31,BMS-536924,SIDM00202,2.3908918,0.3315213333333333,1
32,GDC0810,SIDM00540,2.00635,5.695754,1
33,WIKI4,SIDM00377,2.3727007,4.253178,1
34,MIRA-1,SIDM00896,0.3952015,3.206583,1
35,LGK974,SIDM00230,2.4283533,3.247925,1
36,Entospletinib,SIDM00407,0.4226486,0.132074,1
37,GDC0810,SIDM00091,3.0880733,6.973783,1
38,Fulvestrant,SIDM00196,2.6800413,3.374845333333333,1
39,Sorafenib,SIDM00377,-0.43792754,3.169837,1
40,Entospletinib,SIDM01161,2.146776,3.186478,1
41,MK-1775,SIDM00792,2.907178,0.563692,1
42,Oxaliplatin,SIDM00550,0.77914363,5.7256415,1
43,Oxaliplatin,SIDM00287,0.02167721,1.0486,1
44,MK-1775,SIDM01140,1.4295294,-0.266866,1
45,LY2109761,SIDM00317,3.0690508,7.386086,1
46,Fulvestrant,SIDM00565,2.9086518,4.188992333333334,1
47,BMS-536924,SIDM01146,2.8088632,2.648853,1
48,Cisplatin,SIDM00003,1.6451336,3.28203,1
49,WIKI4,SIDM00842,2.2009127,3.679508,1
50,Fulvestrant,SIDM01197,4.7763157,4.608084666666667,1
51,LY2109761,SIDM00835,3.9138293,6.28493,1
52,LY2109761,SIDM00688,1.3684227,3.231947,1
53,Fulvestrant,SIDM00154,0.88302034,3.346953333333333,1
54,Oxaliplatin,SIDM00953,0.7813207,3.4108355,1
55,MIRA-1,SIDM00793,1.1185755,4.095742,1
56,Sorafenib,SIDM00974,0.38146842,1.369742,1
57,LGK974,SIDM00346,2.4149466,2.4880465000000003,1
58,Cisplatin,SIDM00216,-0.18149105,2.102376,1
59,Sorafenib,SIDM01175,2.572581,5.0521495000000005,1
60,Sorafenib,SIDM00324,0.13347515,1.6373965,1
61,MIRA-1,SIDM01205,1.1904788,4.267002,1
62,GDC0810,SIDM00834,3.1548476,4.574205,1
63,Bortezomib,SIDM00411,3.1976604,-3.866131,1
64,Entospletinib,SIDM00182,1.935039,3.681224,1
65,Bortezomib,SIDM00328,1.042474,-3.679071,1
66,LY2109761,SIDM01064,1.4453307,5.144615,1
67,Oxaliplatin,SIDM00252,1.8854582,5.741103,1
68,MK-1775,SIDM00719,3.958427,2.743954,1
69,LY2109761,SIDM00195,2.2905433,6.166521,1
70,Cisplatin,SIDM01140,-0.03965152,0.8183185,1
71,LGK974,SIDM00655,2.8450875,2.6276195,1
72,Oxaliplatin,SIDM00251,1.4085734,3.969453,1
73,Oxaliplatin,SIDM00309,1.611273,4.0868735,1
74,BMS-536924,SIDM00606,3.5554886,4.2037495,1
75,LGK974,SIDM00156,3.3128996,2.9715695,1
76,MIM1,SIDM00077,0.8992937,3.948924,1
77,WIKI4,SIDM00121,0.8883588,3.710353,1
78,Sorafenib,SIDM00631,0.88055277,3.021151,1
79,Cisplatin,SIDM00577,1.0650635,1.556485,1
80,Cisplatin,SIDM00530,-0.20044824,3.6627673333333335,1
81,GDC0810,SIDM00444,2.1829066,5.8931,1
82,Cisplatin,SIDM00316,0.943982,2.198929,1
83,GDC0810,SIDM00375,1.9714959,5.476823,1
84,LGK974,SIDM00438,3.2573042,3.2050435,1
85,Bortezomib,SIDM00266,0.11284169,-4.999663,1
86,WIKI4,SIDM00472,2.8983421,3.497884,1
87,Oxaliplatin,SIDM00003,0.79928917,4.0931755,1
88,Entospletinib,SIDM00577,2.6045742,4.895605,1
89,Fulvestrant,SIDM00813,1.8390589,3.984098,1
90,Sorafenib,SIDM00976,0.31232953,4.695765,1
91,MK-1775,SIDM00543,2.5421536,0.342718,1
92,LY2109761,SIDM00975,1.1253967,3.761119,1
93,LGK974,SIDM00496,2.7557302,3.1396395000000004,1
94,Oxaliplatin,SIDM00488,1.2955406,6.628916,1
95,Oxaliplatin,SIDM00832,2.236453,4.5897575,1
96,Entospletinib,SIDM00056,2.5003543,2.671582,1
97,WIKI4,SIDM00418,2.921172,3.522113,1
98,MK-1775,SIDM01163,4.4813056,1.949721,1
99,Sorafenib,SIDM00094,1.1827613,4.49228,1
100,WIKI4,SIDM00813,0.96166885,4.115607,1
101,BMS-536924,SIDM00156,2.0778515,3.0951350000000004,1
102,LY2109761,SIDM00393,1.5380466,5.61415,1
103,WIKI4,SIDM00205,1.888211,3.654025,1
104,Entospletinib,SIDM00833,2.6095245,5.575384,1
105,LGK974,SIDM00343,3.571652,4.0447195,1
106,GDC0810,SIDM00302,1.8015925,5.208002,1
107,LGK974,SIDM00612,3.4766908,4.5903875,1
108,BMS-536924,SIDM00203,2.7809868,1.302424,1
109,Sorafenib,SIDM00277,-1.389749,-1.4240849999999998,1
110,Cisplatin,SIDM00326,0.6430775,2.638646,1
111,Cisplatin,SIDM00905,0.21639997,2.185283333333333,1
112,WIKI4,SIDM01247,1.2291892,3.411874,1
113,MIM1,SIDM00113,3.9998345,5.236097,1
114,Entospletinib,SIDM00929,1.4817398,3.289124,1
115,LGK974,SIDM00137,3.815772,4.3079575000000006,1
116,MK-1775,SIDM01146,3.3482366,0.603677,1
117,MIRA-1,SIDM00964,1.1229239,6.366225,1
118,LGK974,SIDM00534,3.1017056,2.602404,1
119,Entospletinib,SIDM00154,1.1795076,2.0514,1
120,Oxaliplatin,SIDM00064,1.0989197,5.8683425,1
121,Cisplatin,SIDM01007,0.6877378,3.553252333333333,1
122,GDC0810,SIDM00181,2.2297318,5.745348,1
123,Bortezomib,SIDM00465,2.1087523,-3.646512,1
124,Fulvestrant,SIDM00864,2.1116061,4.1038293333333336,1
125,Sorafenib,SIDM00393,0.107841976,2.603132,1
126,Oxaliplatin,SIDM00111,1.3853133,5.434399,1
127,BMS-536924,SIDM00291,3.1386466,1.9841015,1
128,Entospletinib,SIDM00551,1.5105345,2.279325,1
129,Cisplatin,SIDM00976,1.4632053,1.8721083333333333,1
130,GDC0810,SIDM00195,2.3964922,4.988147,1
131,MIRA-1,SIDM01155,2.1536698,6.700481,1
132,Bortezomib,SIDM00808,1.2691199,-5.6939755000000005,1
133,Bortezomib,SIDM00813,1.2723811,-5.087346,1
134,LY2109761,SIDM00190,2.6315045,5.476123,1
135,WIKI4,SIDM00659,1.8942229,3.038173,1
136,Bortezomib,SIDM01174,2.8389268,-3.799552,1
137,MIRA-1,SIDM00905,1.6756455,4.905862,1
138,Cisplatin,SIDM00077,1.8084735,3.380304666666667,1
139,GDC0810,SIDM00214,2.4041502,4.293846,1
140,Entospletinib,SIDM00973,1.761408,4.424175,1
141,LGK974,SIDM00576,3.2332115,2.508788,1
142,LY2109761,SIDM00968,1.5694088,4.330641,1
143,MIRA-1,SIDM00044,3.3641868,5.696241,1
144,MK-1775,SIDM00591,1.498546,-0.424053,1
145,LGK974,SIDM00859,2.585126,2.171331,1
146,WIKI4,SIDM00540,1.9925814,0.749129,1
147,WIKI4,SIDM01206,1.9222035,2.258782,1
148,MIRA-1,SIDM00195,2.502389,4.286122,1
149,MIRA-1,SIDM00483,4.391477,7.397263,1
150,Bortezomib,SIDM00537,1.8059344,-4.834036,1
151,Entospletinib,SIDM00417,2.279618,4.277612,1
152,LGK974,SIDM00176,3.0987709,4.662872,1
153,MIRA-1,SIDM00064,2.5793471,5.214936,1
154,Sorafenib,SIDM00875,-0.7475814,2.771465,1
155,Oxaliplatin,SIDM00190,2.5429826,5.759866,1
156,MIRA-1,SIDM01114,2.2670546,5.219343,1
157,GDC0810,SIDM00094,2.933694,5.804134,1
158,WIKI4,SIDM00623,2.3381653,4.018454,1
159,Bortezomib,SIDM01092,2.1510713,-4.902234,1
160,Sorafenib,SIDM00323,0.5125297,1.950347,1
161,MIRA-1,SIDM00251,2.1051095,5.964001,1
162,WIKI4,SIDM00837,2.3666127,2.846574,1
163,Cisplatin,SIDM00967,-1.1793144,4.0666226666666665,1
164,Entospletinib,SIDM00111,2.2889166,5.177424,1
165,MIRA-1,SIDM01183,1.4235884,6.054691,1
166,MIM1,SIDM00180,2.764453,4.132666,1
167,Sorafenib,SIDM00841,-0.17720068,2.724399,1
168,LY2109761,SIDM00407,-1.0617294,3.715375,1
169,Oxaliplatin,SIDM00121,0.07466502,2.3998195,1
170,LGK974,SIDM01114,3.191778,3.508401,1
171,BMS-536924,SIDM00974,2.7015004,0.7108304999999999,1
172,MK-1775,SIDM00096,1.1064115,-1.671943,1
173,LGK974,SIDM00623,3.6891143,2.8612335,1
174,MIRA-1,SIDM00241,1.5791548,3.97239,1
175,Entospletinib,SIDM00677,1.99772,4.500123,1
176,MIRA-1,SIDM00411,3.4809692,7.413594,1
177,WIKI4,SIDM00211,0.53255916,2.230729,1
178,GDC0810,SIDM00377,2.1115873,6.284406,1
179,BMS-536924,SIDM00294,2.1090038,2.805907,1
180,GDC0810,SIDM00758,2.2574992,5.455362,1
181,MIM1,SIDM00576,0.9548854,2.5892565000000003,1
182,MIM1,SIDM00258,0.64489573,2.9081725,1
183,WIKI4,SIDM00826,1.8451788,3.667908,1
184,Bortezomib,SIDM00627,1.4174922,-4.092524,1
185,Bortezomib,SIDM00659,1.8745136,-5.482082,1
186,LY2109761,SIDM01259,0.8521375,5.708691,1
187,Oxaliplatin,SIDM01168,1.8249242,4.864938,1
188,Fulvestrant,SIDM00203,2.713975,4.209584666666667,1
189,GDC0810,SIDM00958,0.81589097,4.048886,1
190,GDC0810,SIDM00256,1.4854715,3.788929,1
191,MIM1,SIDM00230,1.263852,2.681586,1
192,BMS-536924,SIDM00003,2.5014985,1.293377,1
193,Cisplatin,SIDM00308,0.68628126,2.5013756666666667,1
194,BMS-536924,SIDM01168,2.7124808,2.2822940000000003,1
195,Fulvestrant,SIDM01042,1.909874,2.528035,1
196,Fulvestrant,SIDM01095,3.4069338,3.891611,1
197,Fulvestrant,SIDM01145,0.9971776,2.6778145,1
198,Cisplatin,SIDM00114,0.4253819,2.277400333333333,1
199,Oxaliplatin,SIDM00332,2.2523284,7.465116500000001,1
200,LY2109761,SIDM00472,1.873054,6.55587,1
201,MK-1775,SIDM00783,2.3389294,0.757976,1
202,MK-1775,SIDM01228,2.7026982,0.113128,1
203,Entospletinib,SIDM00808,0.95689344,1.689908,1
204,Cisplatin,SIDM00104,2.2395816,2.6749336666666665,1
205,Cisplatin,SIDM00101,1.8022145,4.437650666666666,1
206,BMS-536924,SIDM00420,2.750846,2.764048,1
207,LGK974,SIDM00584,4.1841054,4.009641,1
208,MK-1775,SIDM00427,2.0576348,-1.917003,1
209,MIRA-1,SIDM00584,2.4563468,5.29915,1
210,Cisplatin,SIDM00379,1.5634909,2.529134,1
211,Oxaliplatin,SIDM00534,0.8939008,4.912083,1
212,Bortezomib,SIDM00835,3.2832782,-3.574759,1
213,Bortezomib,SIDM00394,1.7388563,-5.112275,1
214,Cisplatin,SIDM00501,0.09965091,2.2175393333333333,1
215,LY2109761,SIDM00316,0.8425365,5.699664,1
216,LGK974,SIDM00532,3.442505,4.921738,1
217,MIM1,SIDM00264,2.584161,2.6642525,1
218,BMS-536924,SIDM00262,2.6587067,1.00127,1
219,WIKI4,SIDM01233,3.174815,2.965499,1
220,MIRA-1,SIDM00299,3.1780877,5.658231,1
221,LGK974,SIDM00262,3.455131,4.7499395,1
222,WIKI4,SIDM00896,0.6343209,4.151501,1
223,BMS-536924,SIDM00655,2.2770996,1.5637575,1
224,GDC0810,SIDM00393,2.2354844,4.588456,1
225,MIM1,SIDM00091,2.6890326,4.364178,1
226,Cisplatin,SIDM00375,0.91432506,0.9198833333333334,1
227,Sorafenib,SIDM00156,-0.91375005,1.7130655,1
228,Fulvestrant,SIDM01146,2.820025,3.6450526666666665,1
229,GDC0810,SIDM00202,2.0727983,4.803162,1
230,Oxaliplatin,SIDM00623,1.8748026,4.2083035,1
231,Oxaliplatin,SIDM00842,0.9863591,4.168295,1
232,Oxaliplatin,SIDM00677,0.81982994,1.7760415,1
233,LY2109761,SIDM00490,1.3625283,5.87794,1
234,MK-1775,SIDM00584,3.0332508,0.902446,1
235,Cisplatin,SIDM00388,0.809285,3.035971,1
236,WIKI4,SIDM00948,1.4605304,2.775125,1
237,MK-1775,SIDM00837,2.7568107,0.306495,1
238,Cisplatin,SIDM00180,0.35271707,0.389721,1
239,LY2109761,SIDM00367,1.5551119,3.935977,1
240,Fulvestrant,SIDM00789,2.2307584,3.274134,1
241,WIKI4,SIDM00113,3.2970576,6.579119,1
242,LY2109761,SIDM00808,0.8157357,4.954051,1
243,MIRA-1,SIDM00688,1.1137618,1.941842,1
244,Cisplatin,SIDM00923,-0.1192481,2.580521,1
245,Fulvestrant,SIDM00267,2.3182266,4.583618,1
246,LY2109761,SIDM00243,0.19645444,4.132379,1
247,LGK974,SIDM00487,3.0424933,2.7770725,1
248,LY2109761,SIDM00287,1.0410422,4.325631,1
249,GDC0810,SIDM00410,1.7315795,4.523499,1
250,WIKI4,SIDM00289,1.1189848,2.416236,1
251,Bortezomib,SIDM01140,0.56038886,-5.017031,1
252,BMS-536924,SIDM00121,1.8428167,2.7098596666666666,1
253,Oxaliplatin,SIDM00917,0.50269616,2.188653,1
254,Fulvestrant,SIDM01073,2.4770837,3.739105666666666,1
255,MIM1,SIDM00120,3.014559,3.378693,1
256,MK-1775,SIDM00632,2.203344,-0.96393,1
257,LGK974,SIDM00317,5.691751,4.72747,1
258,Cisplatin,SIDM00668,1.5113562,0.237485,1
259,Sorafenib,SIDM00964,-0.46081156,3.012335,1
260,Sorafenib,SIDM01114,-1.084229,2.613168,1
261,GDC0810,SIDM01102,1.4851933,5.000745,1
262,GDC0810,SIDM00323,2.2122722,4.604251,1
263,LY2109761,SIDM00488,1.7542695,5.672061,1
264,WIKI4,SIDM00374,1.1067412,3.552694,1
265,MIM1,SIDM00375,1.566827,2.802578,1
266,GDC0810,SIDM00064,2.533629,5.288375,1
267,MIRA-1,SIDM00623,1.9750581,4.466915,1
