,Drug name,Sanger ID,result,IC50,fold_y
0,MIRA-1,SIDM00517,3.1021893,6.073941,1
1,Cisplatin,SIDM01114,2.504644,2.006427,1
2,WIKI4,SIDM00244,-0.16188926,3.914198,1
3,BMS-536924,SIDM00537,0.9258699,1.733863,1
4,Bortezomib,SIDM01093,2.6303344,-4.115848,1
5,MK-1775,SIDM00094,2.5346627,1.91712,1
6,LY2109761,SIDM00539,2.1571236,5.400771,1
7,LGK974,SIDM01233,3.1125402,3.895076,1
8,GDC0810,SIDM00496,3.0204012,4.965005,1
9,Sorafenib,SIDM00551,1.1831435,2.384396,1
10,BMS-536924,SIDM01093,1.715164,3.1085975,1
11,Bortezomib,SIDM01161,3.0261183,-4.938108,1
12,LGK974,SIDM00520,2.6278963,3.924767,1
13,Fulvestrant,SIDM00136,1.7388273,3.780350333333333,1
14,Entospletinib,SIDM00244,1.1279796,1.924032,1
15,MIM1,SIDM01175,4.330919,4.770428,1
16,Oxaliplatin,SIDM00561,1.2379221,1.8525435,1
17,Cisplatin,SIDM00064,3.0427094,1.7632536666666667,1
18,LY2109761,SIDM00837,1.5444599,4.501555,1
19,Cisplatin,SIDM00120,4.1830177,2.2501773333333333,1
20,WIKI4,SIDM01229,1.8838603,4.344849,1
21,MK-1775,SIDM00381,2.3454719,0.971567,1
22,Oxaliplatin,SIDM00539,3.318735,4.1511535,1
23,WIKI4,SIDM00056,0.39184538,3.873413,1
24,MIM1,SIDM00042,2.5649009,3.76392,1
25,MIRA-1,SIDM00817,3.608927,5.042824,1
26,LGK974,SIDM01126,2.826583,3.0547295,1
27,Entospletinib,SIDM00375,2.135809,4.530611,1
28,Cisplatin,SIDM01197,4.457785,5.9172183333333335,1
29,Cisplatin,SIDM00842,2.4025083,2.6765326666666667,1
30,BMS-536924,SIDM01095,0.7981263,-0.1175565,1
31,BMS-536924,SIDM00202,0.7420462,0.3315213333333333,1
32,GDC0810,SIDM00540,2.566364,5.695754,1
