,Drug name,Sanger ID,result,IC50,fold_y
0,MIRA-1,SIDM00517,6.1572595,6.073941,1
1,Cisplatin,SIDM01114,2.3362134,2.006427,1
2,WIKI4,SIDM00244,2.9350302,3.914198,1
3,BMS-536924,SIDM00537,2.2910352,1.733863,1
4,Bortezomib,SIDM01093,-4.5449595,-4.115848,1
5,MK-1775,SIDM00094,1.8522832,1.91712,1
6,LY2109761,SIDM00539,5.5733104,5.400771,1
7,LGK974,SIDM01233,3.241728,3.895076,1
8,GDC0810,SIDM00496,4.769368,4.965005,1
9,Sorafenib,SIDM00551,1.8897362,2.384396,1
10,BMS-536924,SIDM01093,3.1211588,3.1085975,1
11,Bortezomib,SIDM01161,-5.8387823,-4.938108,1
12,LGK974,SIDM00520,4.1975164,3.924767,1
13,Fulvestrant,SIDM00136,4.2398334,3.780350333333333,1
14,Entospletinib,SIDM00244,1.6194313,1.924032,1
15,MIM1,SIDM01175,5.671868,4.770428,1
16,Oxaliplatin,SIDM00561,2.5564816,1.8525435,1
17,Epirubicin,SIDM00565,-0.8297187,-0.311385,1
18,VE821,SIDM01090,3.428935,3.11085,1
19,Dinaciclib,SIDM00291,-2.3808653,-2.624957,1
20,Cediranib,SIDM00837,0.64775515,1.05822,1
21,Vorinostat,SIDM01187,3.241545,1.608329,1
22,Buparlisib,SIDM00077,0.8220105,0.013728,1
23,Cisplatin,SIDM00064,2.3972743,1.7632536666666667,1
24,PCI-34051,SIDM00332,5.1896687,5.746768,1
25,Vinblastine,SIDM00174,-5.1755958,-4.493240500000001,1
26,IWP-2,SIDM00793,2.1973693,2.146301,1
27,VX-11e,SIDM00758,1.5296613,1.657313,1
28,LY2109761,SIDM00837,5.647451,4.501555,1
29,Nilotinib,SIDM01247,2.5442946,1.1534605,1
30,Linsitinib,SIDM00699,4.4056973,2.579066,1
31,AT13148,SIDM00537,2.905043,2.842459,1
32,Cisplatin,SIDM00120,3.407018,2.2501773333333333,1
33,BMS-345541,SIDM00719,4.423528,5.569043,1
34,WIKI4,SIDM01229,4.203032,4.344849,1
35,GSK1904529A,SIDM00287,2.627148,2.695081,1
36,XAV939,SIDM00964,2.787532,2.5174255,1
37,AZD8186,SIDM00098,3.0415537,3.6110575,1
38,Alpelisib,SIDM00309,5.031919,4.972602,1
39,Navitoclax,SIDM00381,3.679088,3.9914675,1
40,Nutlin-3a (-),SIDM00885,4.875131,4.117058500000001,1
41,MK-1775,SIDM00381,1.0771455,0.971567,1
42,Oxaliplatin,SIDM00539,4.607466,4.1511535,1
43,SCH772984,SIDM00826,-0.31783596,-2.371284,1
44,WIKI4,SIDM00056,3.2196906,3.873413,1
45,AMG-319,SIDM00351,4.7456,4.381102,1
46,MIM1,SIDM00042,3.9020834,3.76392,1
47,Luminespib,SIDM00655,-2.596046,-3.2395240000000003,1
48,MIRA-1,SIDM00817,5.61984,5.042824,1
49,BIBR-1532,SIDM01159,4.8775764,4.30429,1
50,Alpelisib,SIDM00263,2.7144265,1.009765,1
51,Vinorelbine,SIDM01006,-4.461988,-5.701762,1
52,Venetoclax,SIDM00388,1.355735,3.261062,1
53,Pictilisib,SIDM00542,1.358505,2.4920940000000003,1
54,Irinotecan,SIDM00111,3.5982149,2.03566,1
55,LGK974,SIDM01126,3.2888372,3.0547295,1
56,Dabrafenib,SIDM00201,3.4463835,4.4734655,1
57,AZD7762,SIDM00346,-2.1470351,-0.4462809999999999,1
58,Leflunomide,SIDM00859,3.8670251,4.32032,1
59,Wnt-C59,SIDM00534,3.1178339,2.810193,1
60,WEHI-539,SIDM00203,2.8831816,3.061166,1
61,OTX015,SIDM00974,2.6298501,3.725203,1
62,Dinaciclib,SIDM00976,-2.60368,-3.108552,1
63,Ibrutinib,SIDM00411,6.764608,5.899052,1
64,Sepantronium bromide,SIDM00042,-2.9623904,-5.8211975,1
65,Dactinomycin,SIDM00632,-5.90173,-5.825258,1
66,CZC24832,SIDM00540,5.200772,5.488764,1
67,VX-11e,SIDM00096,1.5954487,2.2575585,1
68,Wnt-C59,SIDM00612,4.4957776,4.5870045,1
69,BMS-754807,SIDM00216,0.5137503,-1.291566,1
70,Sabutoclax,SIDM00308,-1.0418109,-1.98858,1
71,Wee1 Inhibitor,SIDM00489,1.3048395,0.980307,1
72,Ruxolitinib,SIDM00599,4.4526386,4.3168945,1
73,Rapamycin,SIDM00542,-2.0858698,-1.799362,1
74,GSK2578215A,SIDM00218,7.7715726,7.581259,1
75,ML323,SIDM00951,3.813532,2.854192,1
76,PLX-4720,SIDM00958,3.5805528,2.607257333333333,1
77,AGI-6780,SIDM00579,2.1259441,2.1536795,1
78,VX-11e,SIDM00197,3.7927253,3.5317465,1
79,Uprosertib,SIDM00417,4.1397347,4.6382995000000005,1
80,Ipatasertib,SIDM00596,4.438423,5.244861,1
81,Foretinib,SIDM00410,0.19777258,0.6407845,1
82,Wee1 Inhibitor,SIDM00003,0.95271873,1.012738,1
83,BMS-345541,SIDM00332,4.1488624,4.2296025,1
84,IWP-2,SIDM00422,2.4573762,2.032252,1
85,Leflunomide,SIDM00427,4.299276,4.257889,1
86,Gefitinib,SIDM01228,1.2232115,0.2812125000000001,1
87,Entospletinib,SIDM00375,4.2878575,4.530611,1
88,Dactolisib,SIDM00504,-2.6171541,-3.4105480000000004,1
89,Nilotinib,SIDM01160,3.0814826,3.765993,1
90,Alpelisib,SIDM00962,3.0299408,4.46513,1
91,Dabrafenib,SIDM00826,3.9564662,-0.075091,1
92,Cisplatin,SIDM01197,5.5223365,5.9172183333333335,1
93,Cisplatin,SIDM00842,3.0330746,2.6765326666666667,1
94,PD173074,SIDM00259,2.469219,3.424969,1
95,Niraparib,SIDM01161,3.333557,4.115739,1
96,WZ4003,SIDM00632,2.8741195,2.238154,1
97,Daporinad,SIDM01245,-6.741965,-6.725857,1
98,Afuresertib,SIDM00127,2.1067247,1.532706,1
99,Trametinib,SIDM00234,0.34843516,-0.6844520000000001,1
100,Navitoclax,SIDM00197,0.6850879,-2.674453,1
101,Trametinib,SIDM00600,-2.6398609,-3.9769335,1
102,BMS-536924,SIDM01095,1.1728847,-0.1175565,1
103,PD0325901,SIDM00638,1.1786919,0.9421035,1
104,AZD7762,SIDM01183,0.4365028,0.2055136666666666,1
105,Dasatinib,SIDM00488,-0.5884069,-0.674317,1
106,Cyclophosphamide,SIDM00561,3.962799,4.404114,1
107,Navitoclax,SIDM00362,1.6339536,1.7957800000000002,1
108,PD173074,SIDM00935,2.5495124,2.8530415,1
109,Osimertinib,SIDM00549,1.8887668,0.792496,1
110,Luminespib,SIDM00699,-0.52068186,-0.6123465000000001,1
111,Cediranib,SIDM00491,2.1931276,3.399394,1
112,Dinaciclib,SIDM00343,0.27325532,-2.027895,1
113,BMS-536924,SIDM00202,1.7626008,0.3315213333333333,1
114,Gefitinib,SIDM00266,1.7508695,2.5749515,1
115,Buparlisib,SIDM00638,0.9240645,0.366617,1
116,Afuresertib,SIDM00968,3.4951618,2.512336,1
117,PRT062607,SIDM00393,3.4062254,2.385608,1
118,Cediranib,SIDM00350,1.6585163,2.2844,1
119,PFI3,SIDM00362,4.405134,3.486362,1
120,CZC24832,SIDM01007,3.6421492,3.507873,1
121,ABT737,SIDM00202,-0.7176269,-2.39304,1
122,Ibrutinib,SIDM01120,5.35764,5.42526,1
