,Drug name,Sanger ID,result,IC50,fold_y
0,MIRA-1,SIDM00517,-0.4734373,6.073941,1
1,Cisplatin,SIDM01114,2.2077115,2.006427,1
2,WIKI4,SIDM00244,-1.0153228,3.914198,1
3,BMS-536924,SIDM00537,1.210049,1.733863,1
4,Bortezomib,SIDM01093,5.3913074,-4.115848,1
5,MK-1775,SIDM00094,3.9994173,1.91712,1
6,LY2109761,SIDM00539,2.0135121,5.400771,1
7,LGK974,SIDM01233,2.3365896,3.895076,1
8,GDC0810,SIDM00496,2.1447911,4.965005,1
9,Sorafenib,SIDM00551,1.8762056,2.384396,1
10,BMS-536924,SIDM01093,1.9142045,3.1085975,1
11,Bortezomib,SIDM01161,2.8752573,-4.938108,1
12,LGK974,SIDM00520,2.8285055,3.924767,1
13,Fulvestrant,SIDM00136,1.9124535,3.780350333333333,1
14,Entospletinib,SIDM00244,-1.2594665,1.924032,1
15,MIM1,SIDM01175,5.204165,4.770428,1
16,Oxaliplatin,SIDM00561,1.0390934,1.8525435,1
17,Cisplatin,SIDM00064,2.4903877,1.7632536666666667,1
18,LY2109761,SIDM00837,0.56903,4.501555,1
19,Cisplatin,SIDM00120,3.7373645,2.2501773333333333,1
20,WIKI4,SIDM01229,1.3830013,4.344849,1
21,MK-1775,SIDM00381,3.0558941,0.971567,1
22,Oxaliplatin,SIDM00539,3.3854003,4.1511535,1
23,WIKI4,SIDM00056,0.97704434,3.873413,1
24,MIM1,SIDM00042,4.2696314,3.76392,1
25,MIRA-1,SIDM00817,0.7655121,5.042824,1
26,LGK974,SIDM01126,2.1908095,3.0547295,1
27,Entospletinib,SIDM00375,0.5456969,4.530611,1
28,Cisplatin,SIDM01197,2.2445517,5.9172183333333335,1
29,Cisplatin,SIDM00842,1.3481294,2.6765326666666667,1
30,BMS-536924,SIDM01095,1.3445061,-0.1175565,1
31,BMS-536924,SIDM00202,1.9379026,0.3315213333333333,1
32,GDC0810,SIDM00540,2.7998853,5.695754,1
33,WIKI4,SIDM00377,0.8538518,4.253178,1
34,MIRA-1,SIDM00896,-2.048702,3.206583,1
35,LGK974,SIDM00230,1.4101171,3.247925,1
36,Entospletinib,SIDM00407,-1.5421195,0.132074,1
37,GDC0810,SIDM00091,3.167528,6.973783,1
38,Fulvestrant,SIDM00196,2.2748191,3.374845333333333,1
39,Sorafenib,SIDM00377,2.9792287,3.169837,1
40,Entospletinib,SIDM01161,0.016125176,3.186478,1
41,MK-1775,SIDM00792,2.7871785,0.563692,1
42,Oxaliplatin,SIDM00550,3.0182698,5.7256415,1
43,Oxaliplatin,SIDM00287,1.089667,1.0486,1
44,MK-1775,SIDM01140,0.95219404,-0.266866,1
45,LY2109761,SIDM00317,4.6820436,7.386086,1
46,Fulvestrant,SIDM00565,2.9927216,4.188992333333334,1
47,BMS-536924,SIDM01146,1.7142733,2.648853,1
48,Cisplatin,SIDM00003,1.2153733,3.28203,1
49,WIKI4,SIDM00842,1.1661981,3.679508,1
50,Fulvestrant,SIDM01197,1.9483249,4.608084666666667,1
51,LY2109761,SIDM00835,4.1151814,6.28493,1
52,LY2109761,SIDM00688,0.82449377,3.231947,1
53,Fulvestrant,SIDM00154,1.9999983,3.346953333333333,1
54,Oxaliplatin,SIDM00953,2.2266023,3.4108355,1
55,MIRA-1,SIDM00793,0.8781011,4.095742,1
56,Sorafenib,SIDM00974,3.0449526,1.369742,1
57,LGK974,SIDM00346,0.78185093,2.4880465000000003,1
58,Cisplatin,SIDM00216,1.21145,2.102376,1
59,Sorafenib,SIDM01175,4.428839,5.0521495000000005,1
60,Sorafenib,SIDM00324,2.5869591,1.6373965,1
61,MIRA-1,SIDM01205,-0.15303168,4.267002,1
62,GDC0810,SIDM00834,3.5699446,4.574205,1
63,Bortezomib,SIDM00411,5.737556,-3.866131,1
64,Entospletinib,SIDM00182,0.39271265,3.681224,1
65,Bortezomib,SIDM00328,1.7703146,-3.679071,1
66,LY2109761,SIDM01064,1.996791,5.144615,1
67,Oxaliplatin,SIDM00252,3.901567,5.741103,1
68,MK-1775,SIDM00719,4.117926,2.743954,1
69,LY2109761,SIDM00195,2.6181557,6.166521,1
70,Cisplatin,SIDM01140,1.495866,0.8183185,1
71,LGK974,SIDM00655,1.391644,2.6276195,1
72,Oxaliplatin,SIDM00251,2.5822008,3.969453,1
73,Oxaliplatin,SIDM00309,2.222897,4.0868735,1
74,BMS-536924,SIDM00606,1.7343149,4.2037495,1
75,LGK974,SIDM00156,2.1976583,2.9715695,1
76,MIM1,SIDM00077,3.1922762,3.948924,1
77,WIKI4,SIDM00121,0.047330324,3.710353,1
78,Sorafenib,SIDM00631,1.9971124,3.021151,1
79,Cisplatin,SIDM00577,1.4300307,1.556485,1
80,Cisplatin,SIDM00530,2.2084706,3.6627673333333335,1
81,GDC0810,SIDM00444,2.7025442,5.8931,1
82,Cisplatin,SIDM00316,2.5905354,2.198929,1
83,GDC0810,SIDM00375,2.0437527,5.476823,1
84,LGK974,SIDM00438,1.9520907,3.2050435,1
85,Bortezomib,SIDM00266,1.8249639,-4.999663,1
86,WIKI4,SIDM00472,1.8154324,3.497884,1
87,Oxaliplatin,SIDM00003,2.1247327,4.0931755,1
88,Entospletinib,SIDM00577,0.8271608,4.895605,1
89,Fulvestrant,SIDM00813,0.81366724,3.984098,1
90,Sorafenib,SIDM00976,3.2928245,4.695765,1
91,MK-1775,SIDM00543,1.58711,0.342718,1
92,LY2109761,SIDM00975,2.7303002,3.761119,1
93,LGK974,SIDM00496,2.0243387,3.1396395000000004,1
94,Oxaliplatin,SIDM00488,3.3235881,6.628916,1
95,Oxaliplatin,SIDM00832,3.6852686,4.5897575,1
96,Entospletinib,SIDM00056,0.6995512,2.671582,1
97,WIKI4,SIDM00418,2.5536692,3.522113,1
98,MK-1775,SIDM01163,4.543384,1.949721,1
99,Sorafenib,SIDM00094,4.100596,4.49228,1
100,WIKI4,SIDM00813,0.07508701,4.115607,1
101,BMS-536924,SIDM00156,1.6456095,3.0951350000000004,1
102,LY2109761,SIDM00393,1.067603,5.61415,1
103,WIKI4,SIDM00205,-0.13822702,3.654025,1
104,Entospletinib,SIDM00833,1.572671,5.575384,1
105,LGK974,SIDM00343,3.898917,4.0447195,1
106,GDC0810,SIDM00302,2.0031753,5.208002,1
107,LGK974,SIDM00612,2.831939,4.5903875,1
108,BMS-536924,SIDM00203,1.5307313,1.302424,1
109,Sorafenib,SIDM00277,1.7223397,-1.4240849999999998,1
110,Cisplatin,SIDM00326,2.1735299,2.638646,1
111,Cisplatin,SIDM00905,2.6437604,2.185283333333333,1
112,WIKI4,SIDM01247,-0.26704562,3.411874,1
113,MIM1,SIDM00113,5.534955,5.236097,1
114,Entospletinib,SIDM00929,1.8368243,3.289124,1
