,Drug name,Sanger ID,result,IC50,fold_y
0,MIRA-1,SIDM00517,6.269889,6.073941,1
1,Cisplatin,SIDM01114,2.7581606,2.006427,1
2,WIKI4,SIDM00244,3.4273822,3.914198,1
3,BMS-536924,SIDM00537,1.5218318,1.733863,1
4,Bortezomib,SIDM01093,-4.428359,-4.115848,1
5,MK-1775,SIDM00094,0.6370522,1.91712,1
6,LY2109761,SIDM00539,5.763812,5.400771,1
7,LGK974,SIDM01233,3.481261,3.895076,1
8,GDC0810,SIDM00496,4.44728,4.965005,1
9,Sorafenib,SIDM00551,2.4728808,2.384396,1
10,BMS-536924,SIDM01093,2.655172,3.1085975,1
11,Bortezomib,SIDM01161,-5.4570093,-4.938108,1
12,LGK974,SIDM00520,4.306365,3.924767,1
13,Fulvestrant,SIDM00136,4.416167,3.780350333333333,1
14,Entospletinib,SIDM00244,2.8713477,1.924032,1
15,MIM1,SIDM01175,5.069494,4.770428,1
16,Oxaliplatin,SIDM00561,2.0652614,1.8525435,1
17,Epirubicin,SIDM00565,-0.6426392,-0.311385,1
18,VE821,SIDM01090,2.8786032,3.11085,1
19,Dinaciclib,SIDM00291,-2.707372,-2.624957,1
20,Cediranib,SIDM00837,1.2386131,1.05822,1
21,Vorinostat,SIDM01187,2.4218576,1.608329,1
22,Buparlisib,SIDM00077,0.6676456,0.013728,1
23,Cisplatin,SIDM00064,3.1642716,1.7632536666666667,1
24,PCI-34051,SIDM00332,6.1635685,5.746768,1
25,Vinblastine,SIDM00174,-5.5215316,-4.493240500000001,1
26,IWP-2,SIDM00793,2.5805407,2.146301,1
27,VX-11e,SIDM00758,1.7854288,1.657313,1
28,LY2109761,SIDM00837,4.962673,4.501555,1
29,Nilotinib,SIDM01247,1.9093907,1.1534605,1
30,Linsitinib,SIDM00699,3.9875867,2.579066,1
31,AT13148,SIDM00537,2.3253372,2.842459,1
32,Cisplatin,SIDM00120,3.3353157,2.2501773333333333,1
33,BMS-345541,SIDM00719,4.391269,5.569043,1
34,WIKI4,SIDM01229,4.0745864,4.344849,1
35,GSK1904529A,SIDM00287,2.192169,2.695081,1
36,XAV939,SIDM00964,2.856432,2.5174255,1
37,AZD8186,SIDM00098,2.5239615,3.6110575,1
38,Alpelisib,SIDM00309,4.5181527,4.972602,1
39,Navitoclax,SIDM00381,2.545063,3.9914675,1
