,Drug name,Sanger ID,result,IC50,fold_y
0,MIRA-1,SIDM00517,6.159602,6.073941,1
1,Cisplatin,SIDM01114,2.7841523,2.006427,1
2,WIKI4,SIDM00244,3.6963124,3.914198,1
3,BMS-536924,SIDM00537,1.8585998,1.733863,1
4,Bortezomib,SIDM01093,-4.7981234,-4.115848,1
5,MK-1775,SIDM00094,1.7985789,1.91712,1
6,LY2109761,SIDM00539,5.8113327,5.400771,1
7,LGK974,SIDM01233,3.1544774,3.895076,1
8,GDC0810,SIDM00496,5.5052195,4.965005,1
9,Sorafenib,SIDM00551,2.8274553,2.384396,1
10,BMS-536924,SIDM01093,2.3118083,3.1085975,1
11,Bortezomib,SIDM01161,-5.835963,-4.938108,1
12,LGK974,SIDM00520,4.1051474,3.924767,1
13,Fulvestrant,SIDM00136,4.7086654,3.780350333333333,1
14,Entospletinib,SIDM00244,4.503187,1.924032,1
15,MIM1,SIDM01175,4.0219336,4.770428,1
16,Oxaliplatin,SIDM00561,-1.0235401,1.8525435,1
17,Epirubicin,SIDM00565,-1.030699,-0.311385,1
18,VE821,SIDM01090,3.7273397,3.11085,1
19,Dinaciclib,SIDM00291,-3.5839894,-2.624957,1
20,Cediranib,SIDM00837,1.4037637,1.05822,1
21,Vorinostat,SIDM01187,2.2211766,1.608329,1
22,Buparlisib,SIDM00077,1.42674,0.013728,1
23,Cisplatin,SIDM00064,1.694895,1.7632536666666667,1
24,PCI-34051,SIDM00332,4.6835947,5.746768,1
25,Vinblastine,SIDM00174,-4.0007753,-4.493240500000001,1
26,IWP-2,SIDM00793,2.7394788,2.146301,1
27,VX-11e,SIDM00758,2.6883674,1.657313,1
28,LY2109761,SIDM00837,4.987483,4.501555,1
29,Nilotinib,SIDM01247,2.5130262,1.1534605,1
30,Linsitinib,SIDM00699,2.4985542,2.579066,1
31,AT13148,SIDM00537,3.3375466,2.842459,1
32,Cisplatin,SIDM00120,3.6015682,2.2501773333333333,1
