,Drug name,Sanger ID,result,IC50,fold_y
0,MIRA-1,SIDM00517,5.899216,6.073941,1
1,Cisplatin,SIDM01114,2.7110603,2.006427,1
2,WIKI4,SIDM00244,3.6819353,3.914198,1
3,BMS-536924,SIDM00537,3.2208817,1.733863,1
4,Bortezomib,SIDM01093,-3.725465,-4.115848,1
5,MK-1775,SIDM00094,0.5771852,1.91712,1
6,LY2109761,SIDM00539,4.90301,5.400771,1
7,LGK974,SIDM01233,3.9623837,3.895076,1
8,GDC0810,SIDM00496,5.3732276,4.965005,1
9,Sorafenib,SIDM00551,1.3000575,2.384396,1
10,BMS-536924,SIDM01093,3.1411495,3.1085975,1
11,Bortezomib,SIDM01161,-5.1991096,-4.938108,1
12,LGK974,SIDM00520,4.4391613,3.924767,1
13,Fulvestrant,SIDM00136,3.5069742,3.780350333333333,1
14,Entospletinib,SIDM00244,2.9656925,1.924032,1
15,MIM1,SIDM01175,4.169637,4.770428,1
16,Oxaliplatin,SIDM00561,1.0329413,1.8525435,1
17,Epirubicin,SIDM00565,0.088098094,-0.311385,1
18,VE821,SIDM01090,3.3116436,3.11085,1
19,Dinaciclib,SIDM00291,-3.1490796,-2.624957,1
20,Cediranib,SIDM00837,3.6373909,1.05822,1
21,Vorinostat,SIDM01187,2.8328197,1.608329,1
22,Buparlisib,SIDM00077,1.2790905,0.013728,1
23,Cisplatin,SIDM00064,2.8991587,1.7632536666666667,1
24,PCI-34051,SIDM00332,5.2542105,5.746768,1
25,Vinblastine,SIDM00174,-2.1264937,-4.493240500000001,1
26,IWP-2,SIDM00793,1.5349839,2.146301,1
27,VX-11e,SIDM00758,3.730782,1.657313,1
28,LY2109761,SIDM00837,6.2812233,4.501555,1
29,Nilotinib,SIDM01247,0.68998986,1.1534605,1
30,Linsitinib,SIDM00699,4.586396,2.579066,1
31,AT13148,SIDM00537,3.9600778,2.842459,1
32,Cisplatin,SIDM00120,2.5706608,2.2501773333333333,1
33,BMS-345541,SIDM00719,3.312461,5.569043,1
34,WIKI4,SIDM01229,3.9145162,4.344849,1
35,Oxaliplatin,SIDM00539,5.327264,4.1511535,1
36,BMS-345541,SIDM00332,3.966236,4.2296025,1
37,Niraparib,SIDM01161,4.660804,4.115739,1
38,Cyclophosphamide,SIDM00561,2.7977717,4.404114,1
39,Luminespib,SIDM00699,-0.14276253,-0.6123465000000001,1
40,Obatoclax Mesylate,SIDM00094,0.011969615,1.1680755,1
41,AT13148,SIDM00758,6.461384,3.034989,1
42,PCI-34051,SIDM00244,4.1764054,2.471069,1
43,Entospletinib,SIDM01161,3.9523685,3.186478,1
44,Crizotinib,SIDM01247,1.4111023,1.223581,1
45,Dasatinib,SIDM01161,0.0952398,-3.3886935,1
46,Fulvestrant,SIDM00565,4.1096907,4.188992333333334,1
47,AZD7762,SIDM01175,0.5016108,2.4667096666666666,1
48,Irinotecan,SIDM00539,4.1441813,3.010363,1
49,CZC24832,SIDM01114,5.2774153,3.823074,1
50,MK-8776,SIDM00699,3.6239517,4.530687,1
51,AZD8186,SIDM00837,3.466243,1.471513,1
52,BIBR-1532,SIDM01114,5.492706,4.037107,1
53,Vinblastine,SIDM00699,-1.7156053,-2.9077390000000003,1
54,OF-1,SIDM00537,3.6820934,4.217272,1
55,PCI-34051,SIDM01233,5.584659,4.978184,1
56,OF-1,SIDM00565,4.419626,4.979893,1
57,MIRA-1,SIDM00793,4.0058746,4.095742,1
58,CZC24832,SIDM00174,4.5459843,3.977655,1
59,WZ4003,SIDM00551,2.7417488,2.017036,1
60,Sorafenib,SIDM01175,3.81346,5.0521495000000005,1
61,VE-822,SIDM01090,3.6461957,3.316805,1
62,Dabrafenib,SIDM00291,1.6179005,1.8860145,1
63,I-BET-762,SIDM00064,5.137109,3.430299,1
64,Camptothecin,SIDM00537,-1.0181463,-3.133379,1
65,Alpelisib,SIDM00699,4.0317197,4.345543,1
66,Axitinib,SIDM00332,3.386565,-0.0051045,1
