,Drug name,Sanger ID,result,IC50,fold_y
0,MIRA-1,SIDM00517,3.081502,6.073941,1
1,Cisplatin,SIDM01114,3.936556,2.006427,1
2,WIKI4,SIDM00244,0.69953984,3.914198,1
3,BMS-536924,SIDM00537,2.3668745,1.733863,1
4,Bortezomib,SIDM01093,1.263023,-4.115848,1
5,MK-1775,SIDM00094,2.3650255,1.91712,1
6,LY2109761,SIDM00539,1.8328749,5.400771,1
7,LGK974,SIDM01233,3.9996178,3.895076,1
8,GDC0810,SIDM00496,3.0157082,4.965005,1
9,Sorafenib,SIDM00551,0.25851867,2.384396,1
10,BMS-536924,SIDM01093,3.6092756,3.1085975,1
11,Bortezomib,SIDM01161,-1.0815797,-4.938108,1
12,LGK974,SIDM00520,3.8840482,3.924767,1
13,Fulvestrant,SIDM00136,3.4824672,3.780350333333333,1
14,Entospletinib,SIDM00244,-0.19689135,1.924032,1
15,MIM1,SIDM01175,4.009164,4.770428,1
16,Oxaliplatin,SIDM00561,2.3329487,1.8525435,1
17,Cisplatin,SIDM00064,4.0853763,1.7632536666666667,1
18,LY2109761,SIDM00837,0.19413485,4.501555,1
19,Cisplatin,SIDM00120,4.710158,2.2501773333333333,1
20,WIKI4,SIDM01229,2.7909071,4.344849,1
21,MK-1775,SIDM00381,2.3209238,0.971567,1
22,Oxaliplatin,SIDM00539,2.989403,4.1511535,1
23,WIKI4,SIDM00056,3.1660848,3.873413,1
24,MIM1,SIDM00042,2.581042,3.76392,1
25,MIRA-1,SIDM00817,4.0779357,5.042824,1
26,LGK974,SIDM01126,3.6550846,3.0547295,1
27,Entospletinib,SIDM00375,2.0885682,4.530611,1
28,Cisplatin,SIDM01197,5.1494837,5.9172183333333335,1
29,Cisplatin,SIDM00842,3.189117,2.6765326666666667,1
30,BMS-536924,SIDM01095,2.688073,-0.1175565,1
31,BMS-536924,SIDM00202,3.7442548,0.3315213333333333,1
32,GDC0810,SIDM00540,1.982359,5.695754,1
33,WIKI4,SIDM00377,3.3815231,4.253178,1
34,MIRA-1,SIDM00896,1.4344116,3.206583,1
35,LGK974,SIDM00230,3.6026795,3.247925,1
36,Entospletinib,SIDM00407,1.5199226,0.132074,1
37,GDC0810,SIDM00091,4.068122,6.973783,1
38,Fulvestrant,SIDM00196,2.7547534,3.374845333333333,1
39,Sorafenib,SIDM00377,2.6205761,3.169837,1
40,Entospletinib,SIDM01161,1.8625562,3.186478,1
41,MK-1775,SIDM00792,2.5643768,0.563692,1
42,Oxaliplatin,SIDM00550,3.681517,5.7256415,1
43,Oxaliplatin,SIDM00287,2.0326095,1.0486,1
44,MK-1775,SIDM01140,-0.04605377,-0.266866,1
45,LY2109761,SIDM00317,4.2450585,7.386086,1
46,Fulvestrant,SIDM00565,3.8519475,4.188992333333334,1
47,BMS-536924,SIDM01146,2.813349,2.648853,1
48,Cisplatin,SIDM00003,3.8799217,3.28203,1
49,WIKI4,SIDM00842,1.1149755,3.679508,1
50,Fulvestrant,SIDM01197,4.0302496,4.608084666666667,1
51,LY2109761,SIDM00835,3.1763694,6.28493,1
52,LY2109761,SIDM00688,1.0298439,3.231947,1
53,Fulvestrant,SIDM00154,2.4808419,3.346953333333333,1
54,Oxaliplatin,SIDM00953,3.3404286,3.4108355,1
55,MIRA-1,SIDM00793,2.8664577,4.095742,1
56,Sorafenib,SIDM00974,1.2183944,1.369742,1
57,LGK974,SIDM00346,1.7299321,2.4880465000000003,1
58,Cisplatin,SIDM00216,3.8538053,2.102376,1
59,Sorafenib,SIDM01175,3.9195037,5.0521495000000005,1
60,Sorafenib,SIDM00324,1.2994097,1.6373965,1
61,MIRA-1,SIDM01205,0.9926588,4.267002,1
62,GDC0810,SIDM00834,4.229922,4.574205,1
63,Bortezomib,SIDM00411,1.4135495,-3.866131,1
64,Entospletinib,SIDM00182,2.3382156,3.681224,1
65,Bortezomib,SIDM00328,0.5137054,-3.679071,1
66,LY2109761,SIDM01064,2.0674002,5.144615,1
67,Oxaliplatin,SIDM00252,4.3795986,5.741103,1
68,MK-1775,SIDM00719,3.824283,2.743954,1
69,LY2109761,SIDM00195,1.4460262,6.166521,1
70,Cisplatin,SIDM01140,3.9145267,0.8183185,1
71,LGK974,SIDM00655,2.7894986,2.6276195,1
72,Oxaliplatin,SIDM00251,3.7898595,3.969453,1
73,Oxaliplatin,SIDM00309,4.0656633,4.0868735,1
74,BMS-536924,SIDM00606,2.4487998,4.2037495,1
75,LGK974,SIDM00156,3.729781,2.9715695,1
76,MIM1,SIDM00077,2.272497,3.948924,1
77,WIKI4,SIDM00121,1.6729938,3.710353,1
78,Sorafenib,SIDM00631,1.6610482,3.021151,1
79,Cisplatin,SIDM00577,3.886767,1.556485,1
80,Cisplatin,SIDM00530,3.7295399,3.6627673333333335,1
81,GDC0810,SIDM00444,3.2965908,5.8931,1
82,Cisplatin,SIDM00316,4.471771,2.198929,1
83,GDC0810,SIDM00375,3.7074819,5.476823,1
84,LGK974,SIDM00438,3.3685157,3.2050435,1
85,Bortezomib,SIDM00266,-2.71514,-4.999663,1
86,WIKI4,SIDM00472,3.4612913,3.497884,1
87,Oxaliplatin,SIDM00003,3.7797701,4.0931755,1
88,Entospletinib,SIDM00577,3.160217,4.895605,1
89,Fulvestrant,SIDM00813,2.8613164,3.984098,1
90,Sorafenib,SIDM00976,1.9593704,4.695765,1
91,MK-1775,SIDM00543,1.8151118,0.342718,1
92,LY2109761,SIDM00975,2.5702763,3.761119,1
93,LGK974,SIDM00496,3.3419015,3.1396395000000004,1
94,Oxaliplatin,SIDM00488,4.500787,6.628916,1
95,Oxaliplatin,SIDM00832,4.3612957,4.5897575,1
96,Entospletinib,SIDM00056,1.7037349,2.671582,1
97,WIKI4,SIDM00418,4.688132,3.522113,1
98,MK-1775,SIDM01163,4.272143,1.949721,1
99,Sorafenib,SIDM00094,2.648306,4.49228,1
100,WIKI4,SIDM00813,1.8913466,4.115607,1
101,BMS-536924,SIDM00156,2.789282,3.0951350000000004,1
102,LY2109761,SIDM00393,0.10193883,5.61415,1
103,WIKI4,SIDM00205,1.8556601,3.654025,1
104,Entospletinib,SIDM00833,2.2173274,5.575384,1
105,LGK974,SIDM00343,4.418533,4.0447195,1
106,GDC0810,SIDM00302,2.2224884,5.208002,1
107,LGK974,SIDM00612,4.2209654,4.5903875,1
108,BMS-536924,SIDM00203,3.7425025,1.302424,1
109,Sorafenib,SIDM00277,1.0686228,-1.4240849999999998,1
110,Cisplatin,SIDM00326,4.128328,2.638646,1
111,Cisplatin,SIDM00905,4.046088,2.185283333333333,1
112,WIKI4,SIDM01247,2.0763605,3.411874,1
113,MIM1,SIDM00113,4.9675093,5.236097,1
114,Entospletinib,SIDM00929,2.7749774,3.289124,1
115,LGK974,SIDM00137,3.9288273,4.3079575000000006,1
116,MK-1775,SIDM01146,2.1165612,0.603677,1
117,MIRA-1,SIDM00964,3.705292,6.366225,1
118,LGK974,SIDM00534,3.997309,2.602404,1
119,Entospletinib,SIDM00154,1.2148376,2.0514,1
120,Oxaliplatin,SIDM00064,3.6548467,5.8683425,1
121,Cisplatin,SIDM01007,3.3695903,3.553252333333333,1
122,GDC0810,SIDM00181,2.8595753,5.745348,1
123,Bortezomib,SIDM00465,1.163936,-3.646512,1
124,Fulvestrant,SIDM00864,2.7148368,4.1038293333333336,1
125,Sorafenib,SIDM00393,1.3053807,2.603132,1
126,Oxaliplatin,SIDM00111,4.263381,5.434399,1
127,BMS-536924,SIDM00291,1.4667805,1.9841015,1
128,Entospletinib,SIDM00551,1.5688032,2.279325,1
129,Cisplatin,SIDM00976,4.9142685,1.8721083333333333,1
130,GDC0810,SIDM00195,3.5628889,4.988147,1
131,MIRA-1,SIDM01155,4.444014,6.700481,1
132,Bortezomib,SIDM00808,-2.2303982,-5.6939755000000005,1
133,Bortezomib,SIDM00813,-1.392145,-5.087346,1
134,LY2109761,SIDM00190,2.097788,5.476123,1
135,WIKI4,SIDM00659,3.7285373,3.038173,1
136,Bortezomib,SIDM01174,1.0833832,-3.799552,1
137,MIRA-1,SIDM00905,3.665575,4.905862,1
138,Cisplatin,SIDM00077,4.4324083,3.380304666666667,1
139,GDC0810,SIDM00214,2.1446085,4.293846,1
140,Entospletinib,SIDM00973,2.5388615,4.424175,1
141,LGK974,SIDM00576,2.766925,2.508788,1
142,LY2109761,SIDM00968,1.9054996,4.330641,1
143,MIRA-1,SIDM00044,4.369499,5.696241,1
144,MK-1775,SIDM00591,1.0161926,-0.424053,1
145,LGK974,SIDM00859,2.6655495,2.171331,1
146,WIKI4,SIDM00540,1.6077281,0.749129,1
147,WIKI4,SIDM01206,2.1124268,2.258782,1
148,MIRA-1,SIDM00195,3.8878653,4.286122,1
149,MIRA-1,SIDM00483,4.2182994,7.397263,1
150,Bortezomib,SIDM00537,-0.2032183,-4.834036,1
151,Entospletinib,SIDM00417,2.8001997,4.277612,1
152,LGK974,SIDM00176,3.5335464,4.662872,1
153,MIRA-1,SIDM00064,3.4656208,5.214936,1
154,Sorafenib,SIDM00875,2.0237985,2.771465,1
155,Oxaliplatin,SIDM00190,4.7676673,5.759866,1
156,MIRA-1,SIDM01114,3.001477,5.219343,1
157,GDC0810,SIDM00094,4.6856284,5.804134,1
158,WIKI4,SIDM00623,3.7411509,4.018454,1
159,Bortezomib,SIDM01092,-1.102784,-4.902234,1
160,Sorafenib,SIDM00323,2.4552884,1.950347,1
161,MIRA-1,SIDM00251,2.9224997,5.964001,1
162,WIKI4,SIDM00837,0.99069095,2.846574,1
163,Cisplatin,SIDM00967,4.6955714,4.0666226666666665,1
164,Entospletinib,SIDM00111,2.6141403,5.177424,1
165,MIRA-1,SIDM01183,3.6310594,6.054691,1
166,MIM1,SIDM00180,2.4692008,4.132666,1
167,Sorafenib,SIDM00841,3.3675618,2.724399,1
168,LY2109761,SIDM00407,0.19113936,3.715375,1
169,Oxaliplatin,SIDM00121,2.4171221,2.3998195,1
170,LGK974,SIDM01114,3.5445983,3.508401,1
171,BMS-536924,SIDM00974,0.5087858,0.7108304999999999,1
172,MK-1775,SIDM00096,0.6483366,-1.671943,1
173,LGK974,SIDM00623,3.8008635,2.8612335,1
174,MIRA-1,SIDM00241,2.9889126,3.97239,1
