,Drug name,Sanger ID,result,IC50,fold_y
0,MIRA-1,SIDM00517,5.7019305,6.073941,1
1,Cisplatin,SIDM01114,2.0335584,2.006427,1
2,WIKI4,SIDM00244,2.735765,3.914198,1
3,BMS-536924,SIDM00537,2.3324275,1.733863,1
4,Bortezomib,SIDM01093,-3.8416262,-4.115848,1
5,MK-1775,SIDM00094,2.4997556,1.91712,1
6,LY2109761,SIDM00539,6.661493,5.400771,1
7,LGK974,SIDM01233,4.0283656,3.895076,1
8,GDC0810,SIDM00496,3.8908575,4.965005,1
9,Sorafenib,SIDM00551,2.499018,2.384396,1
10,BMS-536924,SIDM01093,2.286006,3.1085975,1
11,Bortezomib,SIDM01161,-5.1249275,-4.938108,1
12,LGK974,SIDM00520,3.9804199,3.924767,1
13,Fulvestrant,SIDM00136,4.6252494,3.780350333333333,1
14,Entospletinib,SIDM00244,1.7840974,1.924032,1
15,MIM1,SIDM01175,4.825367,4.770428,1
16,Oxaliplatin,SIDM00561,2.0129423,1.8525435,1
17,Epirubicin,SIDM00565,-0.79259586,-0.311385,1
18,VE821,SIDM01090,2.233518,3.11085,1
19,Dinaciclib,SIDM00291,-2.045715,-2.624957,1
20,Cediranib,SIDM00837,1.6202159,1.05822,1
21,Vorinostat,SIDM01187,2.2964356,1.608329,1
22,Buparlisib,SIDM00077,0.6480621,0.013728,1
23,Cisplatin,SIDM00064,2.102775,1.7632536666666667,1
24,PCI-34051,SIDM00332,5.6306243,5.746768,1
25,Vinblastine,SIDM00174,-6.025475,-4.493240500000001,1
26,IWP-2,SIDM00793,2.8261833,2.146301,1
27,VX-11e,SIDM00758,0.96182686,1.657313,1
28,LY2109761,SIDM00837,5.5981927,4.501555,1
29,Nilotinib,SIDM01247,2.2259755,1.1534605,1
30,Linsitinib,SIDM00699,3.6412125,2.579066,1
31,AT13148,SIDM00537,2.9568923,2.842459,1
32,Cisplatin,SIDM00120,3.1004426,2.2501773333333333,1
33,BMS-345541,SIDM00719,3.8994067,5.569043,1
34,WIKI4,SIDM01229,4.3947315,4.344849,1
35,GSK1904529A,SIDM00287,2.5806348,2.695081,1
36,XAV939,SIDM00964,2.7791886,2.5174255,1
37,AZD8186,SIDM00098,2.3383167,3.6110575,1
38,Alpelisib,SIDM00309,3.131138,4.972602,1
39,Navitoclax,SIDM00381,2.121043,3.9914675,1
40,Nutlin-3a (-),SIDM00885,4.353296,4.117058500000001,1
41,MK-1775,SIDM00381,1.44802,0.971567,1
42,Oxaliplatin,SIDM00539,4.462193,4.1511535,1
43,SCH772984,SIDM00826,-0.5136403,-2.371284,1
44,WIKI4,SIDM00056,3.3941762,3.873413,1
45,AMG-319,SIDM00351,5.0409436,4.381102,1
46,MIM1,SIDM00042,4.552433,3.76392,1
47,Luminespib,SIDM00655,-2.090692,-3.2395240000000003,1
48,MIRA-1,SIDM00817,5.915687,5.042824,1
49,BIBR-1532,SIDM01159,4.946664,4.30429,1
50,Alpelisib,SIDM00263,1.8722703,1.009765,1
51,Vinorelbine,SIDM01006,-4.5750628,-5.701762,1
52,Venetoclax,SIDM00388,1.7035526,3.261062,1
53,Pictilisib,SIDM00542,0.46111536,2.4920940000000003,1
54,Irinotecan,SIDM00111,4.006468,2.03566,1
55,LGK974,SIDM01126,3.4927769,3.0547295,1
56,Dabrafenib,SIDM00201,3.607391,4.4734655,1
57,AZD7762,SIDM00346,-1.9028478,-0.4462809999999999,1
58,Leflunomide,SIDM00859,3.8280804,4.32032,1
59,Wnt-C59,SIDM00534,3.0223825,2.810193,1
60,WEHI-539,SIDM00203,1.6279986,3.061166,1
61,OTX015,SIDM00974,3.4664814,3.725203,1
62,Dinaciclib,SIDM00976,-2.13038,-3.108552,1
63,Ibrutinib,SIDM00411,6.56063,5.899052,1
64,Sepantronium bromide,SIDM00042,-4.2388816,-5.8211975,1
65,Dactinomycin,SIDM00632,-4.9023347,-5.825258,1
66,CZC24832,SIDM00540,4.3513227,5.488764,1
67,VX-11e,SIDM00096,0.70632017,2.2575585,1
68,Wnt-C59,SIDM00612,4.883615,4.5870045,1
69,BMS-754807,SIDM00216,-0.15632115,-1.291566,1
70,Sabutoclax,SIDM00308,-1.452697,-1.98858,1
71,Wee1 Inhibitor,SIDM00489,1.172044,0.980307,1
72,Ruxolitinib,SIDM00599,4.551233,4.3168945,1
73,Rapamycin,SIDM00542,-0.5778556,-1.799362,1
74,GSK2578215A,SIDM00218,7.9511375,7.581259,1
75,ML323,SIDM00951,3.688269,2.854192,1
76,PLX-4720,SIDM00958,3.7719383,2.607257333333333,1
77,AGI-6780,SIDM00579,2.416443,2.1536795,1
78,VX-11e,SIDM00197,3.2546039,3.5317465,1
79,Uprosertib,SIDM00417,4.0068145,4.6382995000000005,1
80,Ipatasertib,SIDM00596,4.8630447,5.244861,1
81,Foretinib,SIDM00410,0.8595143,0.6407845,1
82,Wee1 Inhibitor,SIDM00003,1.3491311,1.012738,1
83,BMS-345541,SIDM00332,4.0485845,4.2296025,1
84,IWP-2,SIDM00422,2.4103699,2.032252,1
85,Leflunomide,SIDM00427,4.058053,4.257889,1
86,Gefitinib,SIDM01228,1.4220232,0.2812125000000001,1
87,Entospletinib,SIDM00375,4.1534944,4.530611,1
88,Dactolisib,SIDM00504,-3.9531918,-3.4105480000000004,1
89,Nilotinib,SIDM01160,3.1820602,3.765993,1
90,Alpelisib,SIDM00962,2.7425158,4.46513,1
91,Dabrafenib,SIDM00826,2.139074,-0.075091,1
92,Cisplatin,SIDM01197,4.760653,5.9172183333333335,1
93,Cisplatin,SIDM00842,2.0600605,2.6765326666666667,1
94,PD173074,SIDM00259,3.1452608,3.424969,1
95,Niraparib,SIDM01161,3.6482332,4.115739,1
96,WZ4003,SIDM00632,2.8877008,2.238154,1
97,Daporinad,SIDM01245,-7.0206904,-6.725857,1
98,Afuresertib,SIDM00127,2.7356677,1.532706,1
99,Trametinib,SIDM00234,-0.7890948,-0.6844520000000001,1
100,Navitoclax,SIDM00197,-0.15144469,-2.674453,1
101,Trametinib,SIDM00600,-2.812875,-3.9769335,1
102,BMS-536924,SIDM01095,1.0884675,-0.1175565,1
103,PD0325901,SIDM00638,1.5998601,0.9421035,1
104,AZD7762,SIDM01183,0.61367196,0.2055136666666666,1
105,Dasatinib,SIDM00488,-0.269997,-0.674317,1
106,Cyclophosphamide,SIDM00561,4.3219166,4.404114,1
107,Navitoclax,SIDM00362,1.645814,1.7957800000000002,1
108,PD173074,SIDM00935,2.2353966,2.8530415,1
109,Osimertinib,SIDM00549,2.1509492,0.792496,1
110,Luminespib,SIDM00699,-0.58912385,-0.6123465000000001,1
111,Cediranib,SIDM00491,2.0064507,3.399394,1
112,Dinaciclib,SIDM00343,-1.250833,-2.027895,1
