,Drug name,Sanger ID,result,IC50,fold_y
0,MIRA-1,SIDM00517,6.646927,6.073941,1
1,Cisplatin,SIDM01114,2.9060643,2.006427,1
2,WIKI4,SIDM00244,3.893718,3.914198,1
3,BMS-536924,SIDM00537,4.1893625,1.733863,1
4,Bortezomib,SIDM01093,-4.6947756,-4.115848,1
5,MK-1775,SIDM00094,1.9824893,1.91712,1
6,LY2109761,SIDM00539,5.2758512,5.400771,1
7,LGK974,SIDM01233,3.998138,3.895076,1
8,GDC0810,SIDM00496,5.6896863,4.965005,1
9,Sorafenib,SIDM00551,3.1773877,2.384396,1
10,BMS-536924,SIDM01093,1.443247,3.1085975,1
11,Bortezomib,SIDM01161,-5.7192783,-4.938108,1
12,LGK974,SIDM00520,4.3410797,3.924767,1
13,Fulvestrant,SIDM00136,3.9091208,3.780350333333333,1
14,Entospletinib,SIDM00244,3.6375177,1.924032,1
15,MIM1,SIDM01175,2.9841545,4.770428,1
16,Oxaliplatin,SIDM00561,0.2075968,1.8525435,1
17,Epirubicin,SIDM00565,0.008459425,-0.311385,1
18,VE821,SIDM01090,3.7791579,3.11085,1
19,Dinaciclib,SIDM00291,-3.107584,-2.624957,1
20,Cediranib,SIDM00837,3.5840254,1.05822,1
21,Vorinostat,SIDM01187,2.6445968,1.608329,1
22,Buparlisib,SIDM00077,0.670004,0.013728,1
23,Cisplatin,SIDM00064,3.0362794,1.7632536666666667,1
24,PCI-34051,SIDM00332,5.4547434,5.746768,1
25,Vinblastine,SIDM00174,-3.7128992,-4.493240500000001,1
26,IWP-2,SIDM00793,2.6167307,2.146301,1
27,VX-11e,SIDM00758,2.993227,1.657313,1
28,LY2109761,SIDM00837,6.4133587,4.501555,1
29,Nilotinib,SIDM01247,2.742845,1.1534605,1
30,Linsitinib,SIDM00699,2.3612118,2.579066,1
31,AT13148,SIDM00537,5.742718,2.842459,1
32,Cisplatin,SIDM00120,4.2961473,2.2501773333333333,1
33,BMS-345541,SIDM00719,3.4051397,5.569043,1
34,WIKI4,SIDM01229,3.2592993,4.344849,1
35,Oxaliplatin,SIDM00539,5.583458,4.1511535,1
36,BMS-345541,SIDM00332,4.505007,4.2296025,1
37,Niraparib,SIDM01161,3.8190315,4.115739,1
38,Cyclophosphamide,SIDM00561,2.8477993,4.404114,1
39,Luminespib,SIDM00699,-0.4712975,-0.6123465000000001,1
40,Obatoclax Mesylate,SIDM00094,-0.011362368,1.1680755,1
41,AT13148,SIDM00758,4.196944,3.034989,1
42,PCI-34051,SIDM00244,4.2156343,2.471069,1
43,Entospletinib,SIDM01161,2.9441767,3.186478,1
44,Crizotinib,SIDM01247,2.358464,1.223581,1
45,Dasatinib,SIDM01161,-1.600425,-3.3886935,1
46,Fulvestrant,SIDM00565,4.4786797,4.188992333333334,1
47,AZD7762,SIDM01175,-0.91548103,2.4667096666666666,1
48,Irinotecan,SIDM00539,5.3365984,3.010363,1
49,CZC24832,SIDM01114,5.294248,3.823074,1
50,MK-8776,SIDM00699,2.394043,4.530687,1
51,AZD8186,SIDM00837,3.7466369,1.471513,1
52,BIBR-1532,SIDM01114,5.3367357,4.037107,1
53,Vinblastine,SIDM00699,-2.8910308,-2.9077390000000003,1
54,OF-1,SIDM00537,4.6047225,4.217272,1
55,PCI-34051,SIDM01233,6.4212475,4.978184,1
56,OF-1,SIDM00565,5.8960505,4.979893,1
57,MIRA-1,SIDM00793,3.5115752,4.095742,1
58,CZC24832,SIDM00174,4.163761,3.977655,1
59,WZ4003,SIDM00551,4.739,2.017036,1
60,Sorafenib,SIDM01175,2.6900353,5.0521495000000005,1
61,VE-822,SIDM01090,2.8119261,3.316805,1
62,Dabrafenib,SIDM00291,0.93718934,1.8860145,1
63,I-BET-762,SIDM00064,4.1622267,3.430299,1
64,Camptothecin,SIDM00537,0.20558207,-3.133379,1
65,Alpelisib,SIDM00699,3.6948838,4.345543,1
66,Axitinib,SIDM00332,2.9751184,-0.0051045,1
67,GSK2606414,SIDM01093,3.2370272,3.633744,1
68,MK-1775,SIDM00719,0.62798953,2.743954,1
69,VE821,SIDM01233,5.81686,5.84664,1
70,Obatoclax Mesylate,SIDM00539,0.5128212,1.778222,1
71,Lapatinib,SIDM00539,3.9596078,0.913972,1
72,VX-11e,SIDM01229,1.9555418,2.402507,1
73,Pevonedistat,SIDM01175,0.4065742,4.3406435,1
74,AZD7762,SIDM01247,-1.2141151,-1.898701,1
75,Temozolomide,SIDM00094,6.8656654,5.9999665,1
76,GSK343,SIDM01233,5.3515563,5.1984295,1
77,I-BRD9,SIDM01187,6.0412564,5.630752,1
78,Daporinad,SIDM00517,-1.9460413,-6.723251,1
79,EPZ5676,SIDM00517,7.3909326,6.292871,1
80,Uprosertib,SIDM00120,4.8613844,5.593971,1
81,MIM1,SIDM00077,3.8384871,3.948924,1
82,Irinotecan,SIDM00551,4.897395,1.099242,1
83,EPZ004777,SIDM00064,5.8985286,5.539148,1
84,PFI3,SIDM00517,5.9790993,5.774298,1
85,OF-1,SIDM00136,3.37673,4.818226,1
86,Vinorelbine,SIDM00496,-2.6540027,-3.901771,1
87,5-Fluorouracil,SIDM00719,5.6690297,6.5891225,1
88,Foretinib,SIDM01233,1.9975367,1.6896140000000002,1
89,Linsitinib,SIDM00517,3.3996222,2.102586,1
90,Cyclophosphamide,SIDM00332,5.5303617,6.559315,1
91,Pevonedistat,SIDM01161,0.19367553,-0.3630345,1
92,AZD6738,SIDM01114,1.2754593,0.728305,1
93,5-Fluorouracil,SIDM00332,5.1534276,5.864709,1
94,Buparlisib,SIDM00136,-0.20004766,1.140482,1
95,VE821,SIDM00551,5.90172,3.260586,1
96,VE-822,SIDM00565,4.6707196,5.373851,1
97,ABT737,SIDM01093,2.3317254,3.100827,1
98,Cyclophosphamide,SIDM01090,4.952136,4.693715,1
99,LCL161,SIDM00332,4.8658857,5.9473565,1
100,Irinotecan,SIDM01114,1.7984217,1.554381,1
101,GSK2606414,SIDM00064,4.6698484,3.139338,1
102,LGK974,SIDM00496,3.9551497,3.1396395000000004,1
103,NVP-ADW742,SIDM00699,1.9525168,2.261397,1
104,RO-3306,SIDM00332,3.7846172,4.699782000000001,1
105,Sorafenib,SIDM00094,3.291406,4.49228,1
106,ML323,SIDM00332,5.4691725,5.15555,1
107,NVP-ADW742,SIDM00539,3.489137,4.1592,1
108,Dabrafenib,SIDM01247,3.1854298,4.1038535,1
109,SB505124,SIDM01233,6.353662,1.6382350000000003,1
110,PD173074,SIDM01093,2.4954252,4.255533,1
111,Obatoclax Mesylate,SIDM00291,-1.1443715,-1.0416785000000002,1
112,AZD7762,SIDM00539,1.5223289,-0.5161746666666667,1
113,Rapamycin,SIDM00174,-3.1867054,-3.052181,1
114,Epirubicin,SIDM01175,-1.0856408,1.486215,1
115,P22077,SIDM00539,3.9203646,4.655571,1
116,Temozolomide,SIDM00517,6.3907204,5.836973,1
117,ABT737,SIDM00120,4.4296045,4.30424,1
118,Gemcitabine,SIDM00565,-2.0055406,-3.4544153333333334,1
119,Cediranib,SIDM00537,4.5936346,1.898705,1
120,GSK2606414,SIDM00758,4.4060855,4.856177,1
121,Linsitinib,SIDM00094,3.547066,3.7899405,1
122,AZD5363,SIDM00520,3.708575,3.259521,1
123,Sepantronium bromide,SIDM00539,-2.044499,-4.712460999999999,1
124,EPZ004777,SIDM01247,5.3879623,4.348324,1
125,Trametinib,SIDM00551,-0.23543103,-2.325783,1
126,I-BRD9,SIDM01247,3.9136176,2.615107,1
127,WIKI4,SIDM01247,4.5832424,3.411874,1
128,Oxaliplatin,SIDM00064,4.487187,5.8683425,1
129,Sepantronium bromide,SIDM01233,-0.3350048,-2.7867185,1
130,Pevonedistat,SIDM01233,2.9861665,2.716201,1
131,Buparlisib,SIDM01175,0.962989,2.449899,1
132,GSK2578215A,SIDM00064,5.754282,4.784005,1
133,Alisertib,SIDM00537,4.0486937,1.975315,1
134,Leflunomide,SIDM00758,5.3151083,5.229327,1
135,Sapitinib,SIDM00837,6.0793886,1.067511,1
136,BMS-536924,SIDM00291,1.1629505,1.9841015,1
137,AZD3759,SIDM00291,3.181218,3.712181,1
138,Entospletinib,SIDM00551,4.712386,2.279325,1
139,AZD7762,SIDM00094,-0.27013195,0.15812,1
140,Palbociclib,SIDM00174,2.091456,1.225769,1
141,Dasatinib,SIDM00758,0.13719858,3.635058,1
142,Crizotinib,SIDM00699,2.0504034,3.05879,1
143,AZD3759,SIDM00565,3.28759,3.376014,1
144,MK-2206,SIDM00565,3.071225,3.4983075,1
145,Wnt-C59,SIDM00837,3.936179,4.1378645,1
146,Erlotinib,SIDM00120,3.0794523,3.993615,1
147,Alpelisib,SIDM00244,3.8499305,0.631542,1
148,Crizotinib,SIDM01093,2.7425623,4.117038,1
149,GSK2578215A,SIDM00120,6.0922475,5.874693,1
150,Nutlin-3a (-),SIDM00539,5.095181,5.31268,1
151,Vinorelbine,SIDM00561,-5.9060087,-4.553777500000001,1
152,Niraparib,SIDM01247,2.9582837,4.174438,1
153,AT13148,SIDM01161,2.2684846,2.380332,1
154,Temozolomide,SIDM00758,6.4596386,7.209448,1
155,Cisplatin,SIDM00077,2.6556597,3.380304666666667,1
156,I-BET-762,SIDM01093,3.031995,4.418742,1
157,AZD6482,SIDM00332,3.6380134,3.0365296666666666,1
158,I-BRD9,SIDM00496,4.7826614,4.859927,1
159,Dasatinib,SIDM00561,-1.4943168,-0.770378,1
160,Entinostat,SIDM00520,3.5727642,1.829342,1
161,Nutlin-3a (-),SIDM00120,5.286698,5.402116,1
162,Wee1 Inhibitor,SIDM01093,1.6280593,4.0597645,1
163,NVP-ADW742,SIDM00561,-0.25501248,2.666318,1
164,MN-64,SIDM01233,5.6284842,6.73699,1
165,Vorinostat,SIDM01161,2.0609934,1.5491935,1
166,Bortezomib,SIDM00537,-3.9102273,-4.834036,1
167,MIRA-1,SIDM00064,5.927103,5.214936,1
168,Olaparib,SIDM00699,3.4194984,4.191117666666667,1
169,MIRA-1,SIDM01114,5.8157177,5.219343,1
170,GDC0810,SIDM00094,5.635788,5.804134,1
171,Wnt-C59,SIDM01114,3.485507,3.197821,1
172,I-BET-762,SIDM00793,1.7448393,2.609272,1
173,WIKI4,SIDM00837,4.7496505,2.846574,1
174,LCL161,SIDM01161,3.8111997,4.397634500000001,1
175,AMG-319,SIDM00565,5.4408145,5.371688,1
176,Venetoclax,SIDM00077,2.593524,3.904573,1
177,LCL161,SIDM00719,4.962859,3.874188,1
178,PD173074,SIDM00094,3.8358672,3.2926815,1
179,Irinotecan,SIDM01090,2.061273,2.114247,1
180,Venetoclax,SIDM00758,2.3993158,3.324595,1
181,Taselisib,SIDM01093,1.1881571,3.136874,1
182,LGK974,SIDM01114,3.322991,3.508401,1
183,ML323,SIDM00244,4.840784,4.300929,1
184,Niraparib,SIDM00291,3.3733747,4.608738,1
185,Luminespib,SIDM01229,-2.9891787,-2.141788,1
186,Vorinostat,SIDM01247,0.58157444,0.325493,1
187,OTX015,SIDM00699,4.6749334,5.559069,1
188,Cyclophosphamide,SIDM00520,5.366425,5.858395,1
189,Entinostat,SIDM00793,0.9521439,1.369228,1
190,GDC0810,SIDM00758,4.71397,5.455362,1
191,Tamoxifen,SIDM00064,4.479803,3.46596,1
192,BIBR-1532,SIDM01175,4.9537454,6.090111,1
193,I-BRD9,SIDM00064,4.2326264,4.481404,1
194,PF-4708671,SIDM00332,4.1300297,5.5158515,1
195,Dabrafenib,SIDM00561,0.93785304,2.9149185,1
196,GSK591,SIDM01161,4.7129893,3.867942,1
197,EPZ5676,SIDM00244,6.4928193,5.224741,1
198,PD173074,SIDM00077,2.555585,1.904974,1
199,Pevonedistat,SIDM00332,2.5661454,1.5171675,1
200,AGI-6780,SIDM01175,2.6718771,4.273481,1
201,Linsitinib,SIDM00244,2.7796545,0.0718865,1
202,Navitoclax,SIDM01247,0.5311394,-0.1776315,1
203,AZD5582,SIDM00077,3.036514,4.5508895,1
204,Entinostat,SIDM01114,1.1220843,2.492756,1
205,GSK2578215A,SIDM00758,4.975793,5.642325,1
206,AZD7762,SIDM00332,1.4276978,0.3307266666666666,1
207,UMI-77,SIDM00332,3.3469768,3.87314,1
208,MK-2206,SIDM01161,2.3187542,3.4738185,1
209,Epirubicin,SIDM00244,-1.5523708,-2.936977,1
210,GSK2578215A,SIDM00699,5.4719415,6.14568,1
211,Dabrafenib,SIDM00793,3.544518,3.3887125,1
212,Oxaliplatin,SIDM00332,6.0265884,7.465116500000001,1
213,BIBR-1532,SIDM00551,5.5105705,5.650025,1
214,Vinblastine,SIDM00136,-3.5508294,-4.055173,1
215,EPZ5676,SIDM00719,6.6542554,6.506979,1
216,Pictilisib,SIDM00561,-1.8111368,0.193208,1
217,EPZ004777,SIDM00174,4.228956,5.738337,1
218,Taselisib,SIDM00244,1.4477267,-0.848081,1
219,AGI-5198,SIDM00520,4.699513,4.971823,1
220,Dabrafenib,SIDM00077,4.6501675,4.894101,1
221,Dinaciclib,SIDM00539,-0.7852843,-3.356875,1
222,I-BRD9,SIDM00291,3.521647,3.621944,1
223,AGI-5198,SIDM01090,3.6795092,4.799704,1
224,Ulixertinib,SIDM00520,3.9045641,2.3962885,1
225,Nilotinib,SIDM01093,2.866835,4.421954,1
226,WIKI4,SIDM01233,5.0496554,2.965499,1
227,ABT737,SIDM00837,4.15252,0.126189,1
228,NVP-ADW742,SIDM00793,2.2474554,2.760293,1
229,OF-1,SIDM01229,4.0240707,4.361306,1
230,Olaparib,SIDM01233,5.3033085,5.172965666666666,1
231,Vinblastine,SIDM00077,-3.924336,-4.8963305,1
232,Wee1 Inhibitor,SIDM01229,1.1533887,1.301804,1
233,Temozolomide,SIDM01247,6.01735,5.040118,1
234,Dactinomycin,SIDM01175,-3.8056684,-1.064913,1
235,Trametinib,SIDM00094,1.4296783,-0.5363785000000001,1
236,Paclitaxel,SIDM00496,-0.8715998,-3.366445,1
237,Erlotinib,SIDM01093,2.7987854,3.790343,1
238,Irinotecan,SIDM00291,1.3182487,3.476048,1
239,Afatinib,SIDM00758,2.412938,2.7343456666666666,1
240,UMI-77,SIDM00064,3.1968203,2.164365,1
241,Palbociclib,SIDM00539,4.6927485,4.109158,1
242,OF-1,SIDM00094,5.0758305,5.418012,1
243,Docetaxel,SIDM00064,-3.1158972,-4.916112333333333,1
244,Sepantronium bromide,SIDM00120,-4.0816402,-5.288781,1
245,AZ960,SIDM00244,1.3429899,-0.064457,1
246,GSK2606414,SIDM00561,2.339747,3.382193,1
247,Cyclophosphamide,SIDM00793,4.867017,4.424327,1
248,GSK2578215A,SIDM00537,6.9377704,5.117377,1
249,Crizotinib,SIDM00719,2.6917603,3.8888715,1
250,MK-1775,SIDM00837,0.7924625,0.306495,1
251,Afuresertib,SIDM01247,1.0951425,1.458759,1
252,Nutlin-3a (-),SIDM00758,3.7747068,5.610664999999999,1
253,Taselisib,SIDM00565,2.5544536,2.054154,1
254,Wee1 Inhibitor,SIDM00291,0.6656667,1.7738550000000002,1
255,Leflunomide,SIDM00517,5.311127,6.710536,1
256,AZD3759,SIDM00517,2.6973894,0.186082,1
257,Gefitinib,SIDM00539,2.3699245,1.323068,1
258,Osimertinib,SIDM01090,2.301255,2.991317,1
259,PD173074,SIDM01233,4.6844444,3.350781,1
260,VE821,SIDM00561,1.2158554,2.877619,1
261,GSK2606414,SIDM01090,3.7225385,2.849564,1
262,Olaparib,SIDM00758,3.889946,5.03895,1
263,Sepantronium bromide,SIDM00537,0.21866046,-1.5303005,1
264,AZD5582,SIDM00517,4.583801,2.2722085,1
265,AZD5582,SIDM00551,4.921376,0.8413235,1
266,VE-822,SIDM01229,3.2326396,3.240738,1
267,Daporinad,SIDM01175,-4.1478333,0.7321439999999999,1
268,Erlotinib,SIDM00565,4.1276536,2.709861,1
269,MIM1,SIDM00120,4.316676,3.378693,1
270,GSK591,SIDM01229,3.6158133,2.819757,1
271,AZD4547,SIDM01247,2.4580154,1.3550876666666667,1
272,AGI-6780,SIDM00539,3.5162094,2.4578655,1
273,PFI3,SIDM00094,5.8231707,5.203579,1
274,Lapatinib,SIDM00291,3.613317,2.556583,1
275,AGI-5198,SIDM00064,5.123135,4.789741,1
276,WZ4003,SIDM00699,4.6841197,4.481067,1
277,Ulixertinib,SIDM00699,3.568519,3.799181,1
278,AZD4547,SIDM00537,4.397085,3.520065666666667,1
279,SB216763,SIDM00537,6.315637,4.288856,1
280,Paclitaxel,SIDM00291,-3.4348035,-3.909668,1
281,I-BRD9,SIDM00094,4.9401803,4.405506,1
282,Savolitinib,SIDM00077,2.9523995,2.582096,1
283,Sorafenib,SIDM01114,2.588658,2.613168,1
284,XAV939,SIDM01090,4.024523,4.129429999999999,1
