,Drug name,Sanger ID,result,IC50,fold_y
0,MIRA-1,SIDM00517,5.9170675,6.073941,1
1,Cisplatin,SIDM01114,2.6392102,2.006427,1
2,WIKI4,SIDM00244,3.3526337,3.914198,1
3,BMS-536924,SIDM00537,1.9547886,1.733863,1
4,Bortezomib,SIDM01093,-3.351238,-4.115848,1
5,MK-1775,SIDM00094,2.3740094,1.91712,1
6,LY2109761,SIDM00539,5.3181567,5.400771,1
7,LGK974,SIDM01233,4.441123,3.895076,1
8,GDC0810,SIDM00496,5.713271,4.965005,1
9,Sorafenib,SIDM00551,2.5871668,2.384396,1
10,BMS-536924,SIDM01093,3.710006,3.1085975,1
11,Bortezomib,SIDM01161,-6.849069,-4.938108,1
12,LGK974,SIDM00520,4.336301,3.924767,1
13,Fulvestrant,SIDM00136,3.3270144,3.780350333333333,1
14,Entospletinib,SIDM00244,2.066894,1.924032,1
15,MIM1,SIDM01175,5.163398,4.770428,1
16,Oxaliplatin,SIDM00561,2.2749832,1.8525435,1
17,Epirubicin,SIDM00565,-1.2654381,-0.311385,1
18,VE821,SIDM01090,3.4533517,3.11085,1
19,Dinaciclib,SIDM00291,-2.684121,-2.624957,1
20,Cediranib,SIDM00837,1.26281,1.05822,1
21,Vorinostat,SIDM01187,1.6977451,1.608329,1
22,Buparlisib,SIDM00077,0.34511146,0.013728,1
23,Cisplatin,SIDM00064,2.1874266,1.7632536666666667,1
24,PCI-34051,SIDM00332,6.4436502,5.746768,1
25,Vinblastine,SIDM00174,-4.6411896,-4.493240500000001,1
26,IWP-2,SIDM00793,2.0835238,2.146301,1
27,VX-11e,SIDM00758,1.6624969,1.657313,1
28,LY2109761,SIDM00837,5.750473,4.501555,1
29,Nilotinib,SIDM01247,2.371628,1.1534605,1
30,Linsitinib,SIDM00699,3.6107821,2.579066,1
31,AT13148,SIDM00537,2.9969876,2.842459,1
32,Cisplatin,SIDM00120,3.1255999,2.2501773333333333,1
33,BMS-345541,SIDM00719,4.796874,5.569043,1
34,WIKI4,SIDM01229,4.4630117,4.344849,1
35,GSK1904529A,SIDM00287,2.416459,2.695081,1
36,XAV939,SIDM00964,2.0502353,2.5174255,1
37,AZD8186,SIDM00098,2.7210813,3.6110575,1
38,Alpelisib,SIDM00309,4.2019463,4.972602,1
39,Navitoclax,SIDM00381,3.052453,3.9914675,1
40,Nutlin-3a (-),SIDM00885,5.4644623,4.117058500000001,1
41,MK-1775,SIDM00381,1.8556858,0.971567,1
42,Oxaliplatin,SIDM00539,5.4168,4.1511535,1
43,SCH772984,SIDM00826,-0.7501348,-2.371284,1
44,WIKI4,SIDM00056,3.4929235,3.873413,1
45,AMG-319,SIDM00351,5.1606717,4.381102,1
46,MIM1,SIDM00042,4.1793694,3.76392,1
47,Luminespib,SIDM00655,-2.994853,-3.2395240000000003,1
48,MIRA-1,SIDM00817,5.841604,5.042824,1
49,BIBR-1532,SIDM01159,4.8558087,4.30429,1
50,Alpelisib,SIDM00263,3.2533243,1.009765,1
51,Vinorelbine,SIDM01006,-4.864728,-5.701762,1
52,Venetoclax,SIDM00388,1.4586078,3.261062,1
53,Pictilisib,SIDM00542,0.42625642,2.4920940000000003,1
54,Irinotecan,SIDM00111,3.6449482,2.03566,1
55,LGK974,SIDM01126,3.393213,3.0547295,1
56,Dabrafenib,SIDM00201,3.709916,4.4734655,1
57,AZD7762,SIDM00346,-1.3265091,-0.4462809999999999,1
58,Leflunomide,SIDM00859,3.321037,4.32032,1
59,Wnt-C59,SIDM00534,3.8386216,2.810193,1
60,WEHI-539,SIDM00203,2.4746726,3.061166,1
61,OTX015,SIDM00974,3.1474679,3.725203,1
62,Dinaciclib,SIDM00976,-1.178107,-3.108552,1
63,Ibrutinib,SIDM00411,6.9698353,5.899052,1
64,Sepantronium bromide,SIDM00042,-5.178805,-5.8211975,1
65,Dactinomycin,SIDM00632,-6.170659,-5.825258,1
66,CZC24832,SIDM00540,5.2369747,5.488764,1
67,VX-11e,SIDM00096,1.465185,2.2575585,1
68,Wnt-C59,SIDM00612,4.7822547,4.5870045,1
69,BMS-754807,SIDM00216,-1.3922719,-1.291566,1
70,Sabutoclax,SIDM00308,-1.3604218,-1.98858,1
71,Wee1 Inhibitor,SIDM00489,1.4456003,0.980307,1
72,Ruxolitinib,SIDM00599,4.829319,4.3168945,1
73,Rapamycin,SIDM00542,-2.4388373,-1.799362,1
74,GSK2578215A,SIDM00218,7.4236593,7.581259,1
75,ML323,SIDM00951,2.6839945,2.854192,1
76,PLX-4720,SIDM00958,2.9442647,2.607257333333333,1
77,AGI-6780,SIDM00579,1.7068113,2.1536795,1
78,VX-11e,SIDM00197,3.4483008,3.5317465,1
79,Uprosertib,SIDM00417,4.6769223,4.6382995000000005,1
80,Ipatasertib,SIDM00596,3.9276814,5.244861,1
81,Foretinib,SIDM00410,0.57136416,0.6407845,1
