,Drug name,Sanger ID,result,IC50,fold_y
0,MIRA-1,SIDM00517,3.5086465,6.073941,1
1,Cisplatin,SIDM01114,0.87990177,2.006427,1
2,WIKI4,SIDM00244,-0.5263096,3.914198,1
3,BMS-536924,SIDM00537,0.5100797,1.733863,1
4,Bortezomib,SIDM01093,2.8288229,-4.115848,1
5,MK-1775,SIDM00094,2.3806345,1.91712,1
6,LY2109761,SIDM00539,2.826029,5.400771,1
7,LGK974,SIDM01233,1.3593442,3.895076,1
8,GDC0810,SIDM00496,3.0442889,4.965005,1
9,Sorafenib,SIDM00551,2.0164845,2.384396,1
10,BMS-536924,SIDM01093,2.3044517,3.1085975,1
11,Bortezomib,SIDM01161,2.4157045,-4.938108,1
12,LGK974,SIDM00520,0.6340661,3.924767,1
13,Fulvestrant,SIDM00136,3.782831,3.780350333333333,1
14,Entospletinib,SIDM00244,0.33150467,1.924032,1
15,MIM1,SIDM01175,4.192713,4.770428,1
16,Oxaliplatin,SIDM00561,1.3734249,1.8525435,1
17,Cisplatin,SIDM00064,0.8747357,1.7632536666666667,1
18,LY2109761,SIDM00837,2.0060673,4.501555,1
19,Cisplatin,SIDM00120,2.1385117,2.2501773333333333,1
20,WIKI4,SIDM01229,0.9953767,4.344849,1
21,MK-1775,SIDM00381,1.8872217,0.971567,1
22,Oxaliplatin,SIDM00539,1.8322375,4.1511535,1
23,WIKI4,SIDM00056,1.0731153,3.873413,1
24,MIM1,SIDM00042,1.6725311,3.76392,1
25,MIRA-1,SIDM00817,3.7981308,5.042824,1
26,LGK974,SIDM01126,-0.6211927,3.0547295,1
27,Entospletinib,SIDM00375,1.666364,4.530611,1
28,Cisplatin,SIDM01197,0.33198333,5.9172183333333335,1
29,Cisplatin,SIDM00842,-0.6761795,2.6765326666666667,1
30,BMS-536924,SIDM01095,0.12716585,-0.1175565,1
31,BMS-536924,SIDM00202,0.67453754,0.3315213333333333,1
32,GDC0810,SIDM00540,2.0982895,5.695754,1
33,WIKI4,SIDM00377,1.6396077,4.253178,1
34,MIRA-1,SIDM00896,1.7883773,3.206583,1
35,LGK974,SIDM00230,-0.6341102,3.247925,1
36,Entospletinib,SIDM00407,-0.18528363,0.132074,1
37,GDC0810,SIDM00091,3.7286613,6.973783,1
38,Fulvestrant,SIDM00196,2.308293,3.374845333333333,1
39,Sorafenib,SIDM00377,2.9795978,3.169837,1
40,Entospletinib,SIDM01161,0.96153533,3.186478,1
41,MK-1775,SIDM00792,0.8308042,0.563692,1
42,Oxaliplatin,SIDM00550,2.6854503,5.7256415,1
43,Oxaliplatin,SIDM00287,1.8714385,1.0486,1
44,MK-1775,SIDM01140,-0.3704285,-0.266866,1
45,LY2109761,SIDM00317,5.136571,7.386086,1
46,Fulvestrant,SIDM00565,3.1960957,4.188992333333334,1
47,BMS-536924,SIDM01146,1.3594822,2.648853,1
48,Cisplatin,SIDM00003,0.23921776,3.28203,1
49,WIKI4,SIDM00842,0.63096106,3.679508,1
50,Fulvestrant,SIDM01197,2.858734,4.608084666666667,1
51,LY2109761,SIDM00835,4.034522,6.28493,1
52,LY2109761,SIDM00688,1.813523,3.231947,1
53,Fulvestrant,SIDM00154,1.895187,3.346953333333333,1
54,Oxaliplatin,SIDM00953,1.1028091,3.4108355,1
55,MIRA-1,SIDM00793,3.374358,4.095742,1
56,Sorafenib,SIDM00974,1.8999596,1.369742,1
57,LGK974,SIDM00346,-0.7559246,2.4880465000000003,1
58,Cisplatin,SIDM00216,-0.334118,2.102376,1
59,Sorafenib,SIDM01175,5.22939,5.0521495000000005,1
60,Sorafenib,SIDM00324,1.8562917,1.6373965,1
61,MIRA-1,SIDM01205,1.9000607,4.267002,1
62,GDC0810,SIDM00834,3.2649636,4.574205,1
63,Bortezomib,SIDM00411,4.8482456,-3.866131,1
64,Entospletinib,SIDM00182,2.4898531,3.681224,1
65,Bortezomib,SIDM00328,2.998709,-3.679071,1
66,LY2109761,SIDM01064,2.066654,5.144615,1
67,Oxaliplatin,SIDM00252,2.1606374,5.741103,1
68,MK-1775,SIDM00719,1.7444093,2.743954,1
69,LY2109761,SIDM00195,2.0550146,6.166521,1
70,Cisplatin,SIDM01140,-0.029458344,0.8183185,1
71,LGK974,SIDM00655,-1.3399029,2.6276195,1
72,Oxaliplatin,SIDM00251,2.3823197,3.969453,1
73,Oxaliplatin,SIDM00309,2.1084447,4.0868735,1
74,BMS-536924,SIDM00606,1.7516255,4.2037495,1
75,LGK974,SIDM00156,-0.033875436,2.9715695,1
76,MIM1,SIDM00077,2.3379428,3.948924,1
77,WIKI4,SIDM00121,-0.66440237,3.710353,1
78,Sorafenib,SIDM00631,5.0057135,3.021151,1
79,Cisplatin,SIDM00577,1.3537127,1.556485,1
80,Cisplatin,SIDM00530,0.90257347,3.6627673333333335,1
81,GDC0810,SIDM00444,2.5448308,5.8931,1
82,Cisplatin,SIDM00316,1.1058885,2.198929,1
83,GDC0810,SIDM00375,3.7171366,5.476823,1
84,LGK974,SIDM00438,0.5519743,3.2050435,1
85,Bortezomib,SIDM00266,0.992822,-4.999663,1
86,WIKI4,SIDM00472,2.5727828,3.497884,1
87,Oxaliplatin,SIDM00003,2.7083938,4.0931755,1
88,Entospletinib,SIDM00577,1.1941313,4.895605,1
89,Fulvestrant,SIDM00813,1.9532237,3.984098,1
90,Sorafenib,SIDM00976,3.3095567,4.695765,1
91,MK-1775,SIDM00543,0.06906086,0.342718,1
