,Drug name,Sanger ID,result,IC50,fold_y
0,MIRA-1,SIDM00517,7.485578,6.073941,1
1,Cisplatin,SIDM01114,3.3465188,2.006427,1
2,WIKI4,SIDM00244,4.176359,3.914198,1
3,BMS-536924,SIDM00537,3.995257,1.733863,1
4,Bortezomib,SIDM01093,-4.223245,-4.115848,1
5,MK-1775,SIDM00094,0.6557236,1.91712,1
6,LY2109761,SIDM00539,5.259243,5.400771,1
7,LGK974,SIDM01233,3.2524436,3.895076,1
8,GDC0810,SIDM00496,6.68057,4.965005,1
9,Sorafenib,SIDM00551,2.768105,2.384396,1
10,BMS-536924,SIDM01093,2.545353,3.1085975,1
11,Bortezomib,SIDM01161,-5.681843,-4.938108,1
12,LGK974,SIDM00520,4.6221104,3.924767,1
13,Fulvestrant,SIDM00136,4.3240857,3.780350333333333,1
14,Entospletinib,SIDM00244,5.039331,1.924032,1
15,MIM1,SIDM01175,3.8112042,4.770428,1
16,Oxaliplatin,SIDM00561,1.5257572,1.8525435,1
17,Epirubicin,SIDM00565,-0.37264028,-0.311385,1
18,VE821,SIDM01090,3.5094757,3.11085,1
19,Dinaciclib,SIDM00291,-4.166804,-2.624957,1
20,Cediranib,SIDM00837,1.4265603,1.05822,1
21,Vorinostat,SIDM01187,2.6730344,1.608329,1
22,Buparlisib,SIDM00077,1.3096803,0.013728,1
23,Cisplatin,SIDM00064,2.103327,1.7632536666666667,1
24,PCI-34051,SIDM00332,3.9160182,5.746768,1
25,Vinblastine,SIDM00174,-4.970826,-4.493240500000001,1
26,IWP-2,SIDM00793,2.496104,2.146301,1
27,VX-11e,SIDM00758,4.262777,1.657313,1
28,LY2109761,SIDM00837,5.5578356,4.501555,1
29,Nilotinib,SIDM01247,1.7570149,1.1534605,1
30,Linsitinib,SIDM00699,2.7466629,2.579066,1
31,AT13148,SIDM00537,3.0206394,2.842459,1
32,Cisplatin,SIDM00120,3.572136,2.2501773333333333,1
33,BMS-345541,SIDM00719,3.494037,5.569043,1
34,WIKI4,SIDM01229,2.7430472,4.344849,1
35,Oxaliplatin,SIDM00539,4.790418,4.1511535,1
36,BMS-345541,SIDM00332,2.4699376,4.2296025,1
37,Niraparib,SIDM01161,4.9955416,4.115739,1
38,Cyclophosphamide,SIDM00561,3.8357782,4.404114,1
39,Luminespib,SIDM00699,-1.3454435,-0.6123465000000001,1
40,Obatoclax Mesylate,SIDM00094,-0.59692603,1.1680755,1
41,AT13148,SIDM00758,5.1905456,3.034989,1
42,PCI-34051,SIDM00244,4.7558947,2.471069,1
43,Entospletinib,SIDM01161,2.9945743,3.186478,1
44,Crizotinib,SIDM01247,1.4125345,1.223581,1
45,Dasatinib,SIDM01161,-0.57360464,-3.3886935,1
46,Fulvestrant,SIDM00565,4.1465073,4.188992333333334,1
47,AZD7762,SIDM01175,0.37320435,2.4667096666666666,1
48,Irinotecan,SIDM00539,2.9034073,3.010363,1
49,CZC24832,SIDM01114,5.2496524,3.823074,1
50,MK-8776,SIDM00699,3.1454866,4.530687,1
51,AZD8186,SIDM00837,1.9677669,1.471513,1
52,BIBR-1532,SIDM01114,5.3932033,4.037107,1
53,Vinblastine,SIDM00699,-1.4205017,-2.9077390000000003,1
54,OF-1,SIDM00537,5.4814076,4.217272,1
55,PCI-34051,SIDM01233,4.9238286,4.978184,1
56,OF-1,SIDM00565,4.3999553,4.979893,1
57,MIRA-1,SIDM00793,3.545601,4.095742,1
58,CZC24832,SIDM00174,4.880506,3.977655,1
59,WZ4003,SIDM00551,4.295751,2.017036,1
60,Sorafenib,SIDM01175,3.418235,5.0521495000000005,1
61,VE-822,SIDM01090,4.221051,3.316805,1
62,Dabrafenib,SIDM00291,-0.9497462,1.8860145,1
63,I-BET-762,SIDM00064,3.9257495,3.430299,1
64,Camptothecin,SIDM00537,-1.3217889,-3.133379,1
65,Alpelisib,SIDM00699,3.9350364,4.345543,1
66,Axitinib,SIDM00332,1.2910069,-0.0051045,1
67,GSK2606414,SIDM01093,3.8376932,3.633744,1
68,MK-1775,SIDM00719,0.6384864,2.743954,1
69,VE821,SIDM01233,4.908441,5.84664,1
70,Obatoclax Mesylate,SIDM00539,0.5844984,1.778222,1
71,Lapatinib,SIDM00539,1.115865,0.913972,1
72,VX-11e,SIDM01229,0.8464156,2.402507,1
73,Pevonedistat,SIDM01175,1.4077089,4.3406435,1
74,AZD7762,SIDM01247,-1.2697262,-1.898701,1
75,Temozolomide,SIDM00094,6.204799,5.9999665,1
76,GSK343,SIDM01233,3.8045905,5.1984295,1
77,I-BRD9,SIDM01187,5.518143,5.630752,1
78,Daporinad,SIDM00517,-0.6158463,-6.723251,1
79,EPZ5676,SIDM00517,7.2349205,6.292871,1
80,Uprosertib,SIDM00120,5.0212045,5.593971,1
81,MIM1,SIDM00077,3.9091446,3.948924,1
82,Irinotecan,SIDM00551,4.5273166,1.099242,1
83,EPZ004777,SIDM00064,5.556161,5.539148,1
84,PFI3,SIDM00517,7.04829,5.774298,1
85,OF-1,SIDM00136,4.7381516,4.818226,1
86,Vinorelbine,SIDM00496,-2.426765,-3.901771,1
87,5-Fluorouracil,SIDM00719,5.330336,6.5891225,1
88,Foretinib,SIDM01233,1.3355346,1.6896140000000002,1
89,Linsitinib,SIDM00517,3.756904,2.102586,1
90,Cyclophosphamide,SIDM00332,3.8234818,6.559315,1
91,Pevonedistat,SIDM01161,0.21966623,-0.3630345,1
92,AZD6738,SIDM01114,2.0392191,0.728305,1
93,5-Fluorouracil,SIDM00332,4.117027,5.864709,1
94,Buparlisib,SIDM00136,0.5275733,1.140482,1
95,VE821,SIDM00551,5.2755666,3.260586,1
96,VE-822,SIDM00565,2.9278266,5.373851,1
97,ABT737,SIDM01093,2.3285677,3.100827,1
98,Cyclophosphamide,SIDM01090,5.509043,4.693715,1
99,LCL161,SIDM00332,3.3393345,5.9473565,1
100,Irinotecan,SIDM01114,2.6894996,1.554381,1
101,GSK2606414,SIDM00064,3.4028065,3.139338,1
102,LGK974,SIDM00496,5.0457187,3.1396395000000004,1
103,NVP-ADW742,SIDM00699,1.5811155,2.261397,1
104,RO-3306,SIDM00332,1.731828,4.699782000000001,1
105,Sorafenib,SIDM00094,3.4211853,4.49228,1
106,ML323,SIDM00332,3.3062832,5.15555,1
107,NVP-ADW742,SIDM00539,2.6457179,4.1592,1
108,Dabrafenib,SIDM01247,2.5194294,4.1038535,1
109,SB505124,SIDM01233,3.16558,1.6382350000000003,1
110,PD173074,SIDM01093,3.0907922,4.255533,1
111,Obatoclax Mesylate,SIDM00291,-2.229099,-1.0416785000000002,1
112,AZD7762,SIDM00539,-0.2719025,-0.5161746666666667,1
113,Rapamycin,SIDM00174,-3.817043,-3.052181,1
114,Epirubicin,SIDM01175,-0.23533131,1.486215,1
115,P22077,SIDM00539,4.785628,4.655571,1
116,Temozolomide,SIDM00517,7.3559566,5.836973,1
117,ABT737,SIDM00120,2.9138393,4.30424,1
118,Gemcitabine,SIDM00565,-2.49077,-3.4544153333333334,1
119,Cediranib,SIDM00537,3.4194512,1.898705,1
120,GSK2606414,SIDM00758,5.011265,4.856177,1
121,Linsitinib,SIDM00094,3.8351471,3.7899405,1
122,AZD5363,SIDM00520,3.0869298,3.259521,1
123,Sepantronium bromide,SIDM00539,-2.1855323,-4.712460999999999,1
124,EPZ004777,SIDM01247,4.7190185,4.348324,1
125,Trametinib,SIDM00551,-0.377024,-2.325783,1
126,I-BRD9,SIDM01247,2.4343488,2.615107,1
127,WIKI4,SIDM01247,3.2363098,3.411874,1
128,Oxaliplatin,SIDM00064,4.973574,5.8683425,1
129,Sepantronium bromide,SIDM01233,-2.8061395,-2.7867185,1
130,Pevonedistat,SIDM01233,1.5176709,2.716201,1
131,Buparlisib,SIDM01175,1.2914119,2.449899,1
132,GSK2578215A,SIDM00064,5.089801,4.784005,1
133,Alisertib,SIDM00537,3.22982,1.975315,1
134,Leflunomide,SIDM00758,5.2917595,5.229327,1
135,Sapitinib,SIDM00837,4.415825,1.067511,1
136,BMS-536924,SIDM00291,1.3873806,1.9841015,1
137,AZD3759,SIDM00291,1.8100703,3.712181,1
138,Entospletinib,SIDM00551,4.9064994,2.279325,1
139,AZD7762,SIDM00094,-0.71142465,0.15812,1
140,Palbociclib,SIDM00174,1.715715,1.225769,1
141,Dasatinib,SIDM00758,2.4445245,3.635058,1
142,Crizotinib,SIDM00699,2.3122153,3.05879,1
143,AZD3759,SIDM00565,2.3942108,3.376014,1
144,MK-2206,SIDM00565,2.895766,3.4983075,1
145,Wnt-C59,SIDM00837,3.056474,4.1378645,1
146,Erlotinib,SIDM00120,2.8567545,3.993615,1
147,Alpelisib,SIDM00244,4.4674687,0.631542,1
148,Crizotinib,SIDM01093,4.527538,4.117038,1
149,GSK2578215A,SIDM00120,6.024279,5.874693,1
150,Nutlin-3a (-),SIDM00539,4.6331334,5.31268,1
151,Vinorelbine,SIDM00561,-5.750858,-4.553777500000001,1
152,Niraparib,SIDM01247,2.7646096,4.174438,1
153,AT13148,SIDM01161,3.117381,2.380332,1
154,Temozolomide,SIDM00758,6.827919,7.209448,1
155,Cisplatin,SIDM00077,3.2484453,3.380304666666667,1
156,I-BET-762,SIDM01093,3.856882,4.418742,1
157,AZD6482,SIDM00332,1.6772722,3.0365296666666666,1
158,I-BRD9,SIDM00496,5.5671287,4.859927,1
159,Dasatinib,SIDM00561,-0.3890747,-0.770378,1
160,Entinostat,SIDM00520,2.721801,1.829342,1
161,Nutlin-3a (-),SIDM00120,4.1796317,5.402116,1
162,Wee1 Inhibitor,SIDM01093,2.0129464,4.0597645,1
163,NVP-ADW742,SIDM00561,1.8422878,2.666318,1
164,MN-64,SIDM01233,5.292347,6.73699,1
165,Vorinostat,SIDM01161,1.8589115,1.5491935,1
166,Bortezomib,SIDM00537,-3.6350863,-4.834036,1
167,MIRA-1,SIDM00064,5.58656,5.214936,1
168,Olaparib,SIDM00699,4.297607,4.191117666666667,1
169,MIRA-1,SIDM01114,6.0826054,5.219343,1
170,GDC0810,SIDM00094,5.6528897,5.804134,1
171,Wnt-C59,SIDM01114,3.689491,3.197821,1
172,I-BET-762,SIDM00793,2.8761716,2.609272,1
173,WIKI4,SIDM00837,3.1050127,2.846574,1
174,LCL161,SIDM01161,2.7579334,4.397634500000001,1
175,AMG-319,SIDM00565,5.338361,5.371688,1
176,Venetoclax,SIDM00077,3.2893465,3.904573,1
177,LCL161,SIDM00719,4.97918,3.874188,1
178,PD173074,SIDM00094,3.254101,3.2926815,1
179,Irinotecan,SIDM01090,2.3121269,2.114247,1
180,Venetoclax,SIDM00758,2.4957314,3.324595,1
181,Taselisib,SIDM01093,3.193209,3.136874,1
182,LGK974,SIDM01114,3.4530764,3.508401,1
183,ML323,SIDM00244,5.196914,4.300929,1
184,Niraparib,SIDM00291,2.2801857,4.608738,1
185,Luminespib,SIDM01229,-2.990133,-2.141788,1
186,Vorinostat,SIDM01247,0.8186307,0.325493,1
187,OTX015,SIDM00699,3.1499152,5.559069,1
188,Cyclophosphamide,SIDM00520,5.249294,5.858395,1
189,Entinostat,SIDM00793,1.0641137,1.369228,1
190,GDC0810,SIDM00758,6.200293,5.455362,1
191,Tamoxifen,SIDM00064,3.9079626,3.46596,1
192,BIBR-1532,SIDM01175,5.9657784,6.090111,1
193,I-BRD9,SIDM00064,4.0313306,4.481404,1
194,PF-4708671,SIDM00332,2.666928,5.5158515,1
195,Dabrafenib,SIDM00561,1.5704819,2.9149185,1
196,GSK591,SIDM01161,5.72436,3.867942,1
197,EPZ5676,SIDM00244,6.4505687,5.224741,1
198,PD173074,SIDM00077,3.3958967,1.904974,1
199,Pevonedistat,SIDM00332,0.23291837,1.5171675,1
200,AGI-6780,SIDM01175,3.7136176,4.273481,1
201,Linsitinib,SIDM00244,4.3341303,0.0718865,1
202,Navitoclax,SIDM01247,0.8400071,-0.1776315,1
203,AZD5582,SIDM00077,2.5428581,4.5508895,1
204,Entinostat,SIDM01114,2.5003908,2.492756,1
205,GSK2578215A,SIDM00758,6.1523476,5.642325,1
206,AZD7762,SIDM00332,-0.66600317,0.3307266666666666,1
207,UMI-77,SIDM00332,2.4045155,3.87314,1
208,MK-2206,SIDM01161,2.717176,3.4738185,1
209,Epirubicin,SIDM00244,-0.014502747,-2.936977,1
210,GSK2578215A,SIDM00699,4.5574136,6.14568,1
211,Dabrafenib,SIDM00793,2.8405383,3.3887125,1
212,Oxaliplatin,SIDM00332,4.610255,7.465116500000001,1
213,BIBR-1532,SIDM00551,4.7724648,5.650025,1
214,Vinblastine,SIDM00136,-4.61061,-4.055173,1
215,EPZ5676,SIDM00719,6.6067834,6.506979,1
216,Pictilisib,SIDM00561,-1.2479792,0.193208,1
217,EPZ004777,SIDM00174,4.940327,5.738337,1
218,Taselisib,SIDM00244,2.261295,-0.848081,1
219,AGI-5198,SIDM00520,4.760658,4.971823,1
220,Dabrafenib,SIDM00077,4.9256086,4.894101,1
221,Dinaciclib,SIDM00539,-2.0840294,-3.356875,1
222,I-BRD9,SIDM00291,3.4786568,3.621944,1
223,AGI-5198,SIDM01090,5.209208,4.799704,1
224,Ulixertinib,SIDM00520,3.4079385,2.3962885,1
225,Nilotinib,SIDM01093,3.2567444,4.421954,1
226,WIKI4,SIDM01233,3.7692056,2.965499,1
227,ABT737,SIDM00837,2.7879894,0.126189,1
228,NVP-ADW742,SIDM00793,2.874204,2.760293,1
229,OF-1,SIDM01229,3.7578778,4.361306,1
230,Olaparib,SIDM01233,3.7118678,5.172965666666666,1
231,Vinblastine,SIDM00077,-3.4546964,-4.8963305,1
232,Wee1 Inhibitor,SIDM01229,0.47833097,1.301804,1
233,Temozolomide,SIDM01247,5.2293954,5.040118,1
234,Dactinomycin,SIDM01175,-2.5552657,-1.064913,1
235,Trametinib,SIDM00094,-0.92454475,-0.5363785000000001,1
236,Paclitaxel,SIDM00496,-1.4966743,-3.366445,1
237,Erlotinib,SIDM01093,2.857454,3.790343,1
238,Irinotecan,SIDM00291,1.6254547,3.476048,1
239,Afatinib,SIDM00758,0.9079038,2.7343456666666666,1
240,UMI-77,SIDM00064,3.2685149,2.164365,1
241,Palbociclib,SIDM00539,3.2669501,4.109158,1
242,OF-1,SIDM00094,5.1130824,5.418012,1
243,Docetaxel,SIDM00064,-4.8128295,-4.916112333333333,1
244,Sepantronium bromide,SIDM00120,-3.153587,-5.288781,1
245,AZ960,SIDM00244,1.5410975,-0.064457,1
246,GSK2606414,SIDM00561,2.1698744,3.382193,1
247,Cyclophosphamide,SIDM00793,5.0629425,4.424327,1
248,GSK2578215A,SIDM00537,4.233791,5.117377,1
249,Crizotinib,SIDM00719,1.8372328,3.8888715,1
250,MK-1775,SIDM00837,-0.91319996,0.306495,1
