,Drug name,Sanger ID,result,IC50,fold_y
0,MIRA-1,SIDM00517,-0.47147718,6.073941,1
1,Cisplatin,SIDM01114,2.2747517,2.006427,1
2,WIKI4,SIDM00244,1.8477223,3.914198,1
3,BMS-536924,SIDM00537,2.7864037,1.733863,1
4,Bortezomib,SIDM01093,3.119784,-4.115848,1
5,MK-1775,SIDM00094,2.9147537,1.91712,1
6,LY2109761,SIDM00539,0.9831739,5.400771,1
7,LGK974,SIDM01233,2.3761897,3.895076,1
8,GDC0810,SIDM00496,2.7437766,4.965005,1
9,Sorafenib,SIDM00551,-3.077419,2.384396,1
10,BMS-536924,SIDM01093,2.7094786,3.1085975,1
11,Bortezomib,SIDM01161,1.8244492,-4.938108,1
12,LGK974,SIDM00520,1.299401,3.924767,1
13,Fulvestrant,SIDM00136,3.199722,3.780350333333333,1
14,Entospletinib,SIDM00244,1.8565899,1.924032,1
15,MIM1,SIDM01175,1.3859779,4.770428,1
16,Oxaliplatin,SIDM00561,-1.0333507,1.8525435,1
17,Cisplatin,SIDM00064,1.9620242,1.7632536666666667,1
18,LY2109761,SIDM00837,0.67757666,4.501555,1
19,Cisplatin,SIDM00120,1.5174493,2.2501773333333333,1
20,WIKI4,SIDM01229,3.9730766,4.344849,1
21,MK-1775,SIDM00381,1.8632584,0.971567,1
22,Oxaliplatin,SIDM00539,0.37417397,4.1511535,1
23,WIKI4,SIDM00056,3.1106434,3.873413,1
24,MIM1,SIDM00042,-0.26496583,3.76392,1
25,MIRA-1,SIDM00817,1.1191853,5.042824,1
26,LGK974,SIDM01126,2.2532187,3.0547295,1
27,Entospletinib,SIDM00375,2.4082558,4.530611,1
28,Cisplatin,SIDM01197,3.133847,5.9172183333333335,1
29,Cisplatin,SIDM00842,2.1578753,2.6765326666666667,1
30,BMS-536924,SIDM01095,1.9941809,-0.1175565,1
31,BMS-536924,SIDM00202,2.358763,0.3315213333333333,1
32,GDC0810,SIDM00540,2.4770694,5.695754,1
33,WIKI4,SIDM00377,2.716894,4.253178,1
34,MIRA-1,SIDM00896,-0.99926275,3.206583,1
35,LGK974,SIDM00230,1.690922,3.247925,1
36,Entospletinib,SIDM00407,0.39376327,0.132074,1
37,GDC0810,SIDM00091,3.8028443,6.973783,1
