,CYP2E1,CYP3A5,CYP2J2,CYP3A4,PLA2G3,AKR1B10,CYP1A2,ALOX15,PLA2G4E,PLA2G6,PLA2G2E,PLA2G10,PLA2G2A,PLA2G4A,CYP3A43,PLA2G5,PLA2G12B,PLA2G2F,PLA2G2C,PLA2G2D,CYP2C9,PLA2G12A,CYP2C19,CYP2C8,CYP3A7,PLA2G1B
SIDM00519,-0.13761166106064918,-0.7241817474445538,-0.9153073256292162,-0.8964939900580688,-0.6850179934614118,0.1916538219674236,-0.8595976412251743,-0.7276636999661655,-0.915282395936786,-0.7554360435351557,-0.8433965079575642,-1.0091032468882672,-0.908346409006008,-1.0116036917247377,-0.8983061797306987,-1.0585534009949649,-0.6626791441003931,-0.9895476338726719,-0.8463618549593636,-0.8869410620692143,-0.9006245067195148,0.9829538935460095,-0.8216669352747868,-0.9642306991770149,-0.8884159421327231,-0.8607035765925894
SIDM00917,-0.8464875760748738,-0.8598181344526225,-0.2445128103425286,-0.8848248680807167,-0.7055607273055641,-0.7270313707717493,-0.9408739339991185,-0.7521561735110363,-0.6117874873680419,-0.6983322727342728,-0.8268625016050603,-0.9810378849179168,-0.8391205397817006,-0.8022800340243171,-1.0292294831130941,-1.0038074211075247,-0.8662341496460776,-0.9505741889748194,-0.5902381844032991,-0.7835150385827508,-0.8335405051421858,0.9387272697614286,-0.8825989147505446,-0.9696361074706138,-0.8658670022914701,-0.8616015082723868
SIDM00309,-0.6510213106379527,-0.5774843599937453,-0.34656259339634704,-0.8506540475801644,-0.6997536519140191,-0.5197058619876985,-0.8757767662587655,-0.8383714231924251,-0.8396045563178794,-0.698775437850522,-0.8110858275877346,-0.9720171270898533,-0.9554116438070824,0.37204762457276763,-0.995695942975797,-1.045958199149002,-0.8266731319775593,-0.9321267724225204,-0.8320019248002899,-0.7977798730879978,-0.853730703507499,1.70553371557291,-0.8882208189352758,-1.0566298863596728,0.1344599281340213,-0.9305593624071036
SIDM00099,-0.5478414853490231,-0.572180233211101,-0.9861021701454202,-0.8660326053873985,-0.6520919920808488,0.0958393674307997,-0.8374298576385106,-0.804583007407554,-0.8210140128213779,-0.7387936053109125,-0.6719447568385949,-1.0210522435705907,-0.858795850759276,-1.0218854526357262,-0.8107043570410777,-0.9976272469691949,-0.8568144494221323,-0.972993659074612,-0.86124548210325,-0.7504937461532906,-0.8882618079268578,0.43443701066540386,-0.8424703966672882,-0.969858263118518,-0.629298766503107,-0.8556420818499619
SIDM00276,-0.6578742495629705,-0.8522776311852674,-0.20022154914600784,-0.9357303584382178,-0.6799268319117648,3.088964833183504,-0.8950896749445737,-0.8385377203440136,-0.6196206763585796,-0.6837233923198708,-0.9156763157550357,0.3876511881634544,-0.8057537278720598,-0.6802706896435589,-0.9546795304512699,-1.0456382015192203,-0.8849210300509877,-0.9713400771111201,-0.825849163375806,-0.80878416615467,-0.916286885202106,1.0599953897512413,-0.8466304145569195,-1.0045235933440069,-0.8892562751570464,-0.9329671401851335
SIDM00311,-0.7259946624184879,-0.8825408539434803,-0.5795791118835931,-0.9093417888834024,-0.7036655802229366,1.3562901811830086,-0.7717094951457953,-0.7967479079773152,-0.8672145225539768,-0.8051409034030218,-0.8394633264695162,-1.054186096606148,-0.8547788795453823,0.13027171813925953,-0.8625962623802835,-0.9550506598284961,-0.8069346609114783,-0.9974412198044029,-0.8579385075539958,-0.8653644261684323,-0.904375128199863,0.9595621741522522,-0.7931718119654442,-0.9373360932609647,-0.8464639288781505,-0.8780408538143946
SIDM00970,-0.8053141733897253,-0.0027906003241154067,1.2153282515700283,-0.8849027209459569,-0.6784045593186835,0.8279288908555509,-0.8255272496945147,-0.7671365008908387,-0.7967784638565522,-0.7574719229506964,-0.6888230047759513,1.3217577016747517,-0.3908837056288941,0.6571301454544184,-0.9014613815069711,-0.994838682054863,-0.8011085379766891,0.4334215230072857,-0.8498109810761587,-0.848123374276097,-0.8200548639990504,1.2699804597788635,-0.8895243036692521,-0.9103785293545108,-0.4501143201143669,-0.8362080727679566
SIDM00103,-0.5118668080339999,-0.7889700588477045,-0.7892909015497652,-0.9352949257800942,-0.645315576779291,-0.8750090835170954,-0.8907128789912832,-0.7968684650109203,-0.9498515779066433,-0.6726244867374868,-0.79915342753613,-1.0820791556080098,-0.7998276058930084,-0.9942213356313719,-0.9314321465556115,-0.9444389806237633,-0.8693087562790918,-0.9606979439575039,-0.7861875438867996,-0.7947851954592112,-0.82292726037636,0.500807688870367,-0.7639999876281398,-0.9561044607108066,-0.8117098036824965,-0.8928968330839427
SIDM00266,-0.7607707666829119,1.0561774427678103,0.49073919285176626,-0.9227875281873379,1.7826819544649817,-0.901746603370157,-0.874071466483248,-0.8590189763310638,-0.7870936499375204,-0.7591196404868659,-0.9374146182193293,-0.7518317989959907,-0.8801709330413998,-0.3083381519564571,-0.952449596515776,-1.018096110526356,-0.9458011921767625,-0.9138732875823558,-0.8172758917945459,-0.835237241354834,-0.8813818046973435,1.6893030339626087,-0.9472315002818571,-0.9495357348670088,-0.747665781194796,-0.836883294058943
SIDM01064,-0.7186108875263566,-0.8580775394260363,-0.8686610398730619,-0.8988631646710569,-0.5925676505631666,-0.7373910479493582,-0.9639984984278166,-0.7681502087369314,-0.7291847804771081,-0.7122782191068401,-0.76018020586711,-0.8006073310145412,-0.8125914513044605,1.0999819084382731,-0.8907891042391812,-0.9390141126265353,-0.7970281733185461,-0.8022317497224494,-0.736715753611964,-0.776347159391237,-0.8614905376375549,0.774666341696827,-0.7677720813291204,-0.9390413858893444,-0.8976696608309968,-0.9008787124480435
