,PPCS,ENPP3,PANK3,PPCDC,ENPP1,VNN2,VNN1,PANK1,PANK4,UPB1,COASY,DPYD,PANK2,BCAT1,BCAT2
SIDM00519,1.4840034137797908,-0.9353491232465649,0.16548532770196922,-0.44380052046068397,-0.41591830264314517,-0.8814497818368318,0.5097615300417887,-0.04030305921483367,0.3392639381709356,-0.7669496259668004,0.7245087031912457,-0.20272243541398352,0.030056057655317277,1.8710508004679067,0.8696417593555121
SIDM00917,1.8401745348058174,-0.8715078992276435,-0.015908947489441744,0.12304921746142686,-0.845782793621135,0.09599997275400517,-0.9380648371615111,-0.10472451611464759,1.0635638341998837,2.1030302395705887,0.37005177565434955,-0.0466241400943333,0.022942287459571952,0.7951845180523024,1.4931369319232974
SIDM00309,1.9248793099537664,-0.8376500938957716,0.004089959164851729,-0.6063180187184659,-0.6710177541211539,-0.5004378033012955,0.720145792964573,-0.2875195680096214,1.0552853862914098,1.0921164828975323,0.494219061200113,-0.03676677499295203,-0.3088092691957249,1.0009794820338984,1.8470024687308664
SIDM00099,1.8389534430789067,-0.8033785334989738,-0.3573891526030938,-0.5887593293571861,-0.7078439302514312,-0.9212627961037579,-1.003515677174917,-0.19631785230882393,0.38128093257299417,-0.7914102963709965,0.5664094816515218,-0.2159444116748704,0.06364212728755685,0.4005030687304365,1.5835219008192007
SIDM00276,1.9003381929860501,-0.8807662481244803,0.14402307215570354,-0.1618203510486118,-0.23638666720104418,-0.8633968123005975,-0.622866087478794,0.36169287471418377,0.9535045938644261,-0.6904394737466383,1.0126976648171515,-0.6660949011668378,0.19907199049685181,0.6580397570469082,1.4550872818313905
SIDM00311,1.5961577641844344,-0.9004687985953198,0.2329422128916207,-0.5093743147229488,-0.7488970454796309,-0.9435476530695652,-0.7662683890063249,-0.5164499643382658,0.7950245045606653,-0.7515875488341446,0.5062988512999599,0.26361371541625905,0.21341038348763797,0.705177920703043,1.3032467618201182
SIDM00970,1.761206732029593,-0.8447625088890212,0.11050005094986708,-0.19292893292401353,-0.8914612002646172,-0.9332415190517791,-0.9684329737274103,0.00873120433493692,1.0558884231175787,-0.8157864876357291,0.7523996644983973,-0.761816435696296,0.003764195060144458,-0.6147272455650135,2.807058237503863
SIDM00103,1.757787772826042,-0.8922442942193746,-0.30151050941292257,-0.5256494478204826,-0.8949405498541874,-0.8458273809957695,-0.4161455378544251,-0.539769757255688,0.16379494178788914,-0.8314554961319434,0.5854220045864628,-0.24849769124605026,-0.07896457770586757,0.4739667655404943,1.627777952878654
SIDM00266,1.4690085584454007,-0.44609071474676537,0.7049081202064909,-0.4304489355652635,1.5514313196333078,-0.9061235922483403,-1.017370074560385,0.22903395468909782,1.141097711733853,-0.7189426757606951,0.6017100137002025,-0.644675296341873,-0.04468486911003835,1.0993854090365291,1.8572477513994825
SIDM01064,1.7402719225429277,-0.7032345132313812,0.13155513829575063,0.6006128261549528,-0.7204471430325006,0.013700952487565714,-0.9611319207588993,-0.554659882127121,1.0911487154194466,-0.8035764446943288,0.32476181068112775,-0.31166913404605656,-0.2786134008784152,1.34475083309209,1.4890365819176905
SIDM00098,1.6215772590335702,-0.8458036093793924,0.029852727409748047,-0.5764792898340055,-0.825556406385135,-0.8716975407730684,-0.9251581180884251,-0.6851190906863308,0.9224751734424409,-0.7939806216588853,0.7951963968266633,-0.5188760646735386,-0.036810644591456526,0.8992874751468716,1.7437921785855868
SIDM00225,1.4453401753916832,-0.7311621154240635,-0.1383463149466555,-0.40390057056234513,-0.6441769209993681,-0.8921723235572108,-0.9575110176033721,0.17210066935092064,0.9751793743619666,-0.8089184944774077,-0.12370716186561051,0.25327727843246195,0.4715329648631984,0.3009943836389088,1.3302488860844084
SIDM00846,1.4923061035383907,-0.8839302703511688,-0.25579241334537683,-0.20029027308551392,-0.5804889844719631,-0.836395376965736,-0.9785443050644539,-0.03471441099443646,1.1104943095397886,-0.8168319297647656,1.0236379986162902,-0.2696455129642617,-0.09541620097823988,-0.5147373586633964,1.5998025684599184
SIDM00291,1.9047490401143339,-0.7373502357393699,0.4851342792131006,-0.046099314832676874,-0.21758338164390625,-0.9129300010125851,-0.9762515990992583,-0.45850860617334915,1.279605454841728,-0.7956440820568634,1.0422670625252377,-0.5654145946440077,0.39300394896133084,-0.7319086647104434,1.5558453817013422
