,SLC25A10,GLUD2,PCK2,CA2,CA4,PCK1,GLS2,MDH1,SLC38A3,ATP1A1,GLUD1,ATP1A3,SLC4A4,ATP1A2,GLS,ATP1B2,ATP1B3,ATP1A4,ATP1B1,AQP1,ATP1B4,SLC9A3
SIDM00519,0.3377758492796348,-0.43800582839538643,-0.520767737402791,-0.1322737531606191,-0.7758520024447215,-0.9713397927461586,-0.7205424237967444,2.7984035015981887,-0.7828164177203846,1.9920580645959451,1.8961743271692626,-0.8913165222401799,-0.8735529737458266,-0.8695533228065438,1.3966387516537488,-0.7740226629961922,1.1101310136872913,-0.7828710561398116,2.5284733812493956,-0.6723782832391334,-0.8957407318041934,-0.7230098214244471
SIDM00917,-0.5826570751417554,-0.8470976652522795,1.5628348025876244,-0.4888428487220663,-0.10448759865760325,-0.8772411303974126,-0.6959647835206765,2.8879645771023728,-0.8278225764197781,2.5017967774396985,1.9383841622630822,-0.935404667999006,-0.8678281912656595,-0.8443860129915435,0.8456341602327946,-0.7904076305313658,1.3780804224496466,-0.570010199849167,1.7234166960021857,-0.7995836858607956,-0.8834268119483419,-0.7413268396636783
SIDM00309,0.827773192756448,-0.7250433898221245,-0.1836013138611848,-0.6071966559235288,-0.6870151055365485,-0.9947996642237837,-0.6598265686516978,2.9812473466327356,-0.7773827918390868,1.7685096554306465,2.101566858909275,-0.8885061404794011,-0.8740234897255259,-0.7763130221921755,1.9918944994714156,-0.877360527487539,1.5248172426540216,-0.6709484070872416,2.0300743457994166,0.6185018608000002,-0.9450328901984727,-0.786315009819505
SIDM00099,0.43597595926324534,-0.7972808918422636,0.8156044688297786,-0.7673472809636864,-0.7368111595928919,-0.9518379246629353,-0.741577316538603,2.7284314688615496,-0.8374019712387107,2.129937499043698,2.3658472768852206,-0.8846084046640038,-0.6525288220561676,-0.7578726629657592,1.5076325707256926,-0.8832136741238037,1.4746012831276527,-0.6476408410471565,1.7503842356852162,-0.8040203427239153,-0.9013854906563884,-0.7205898409555945
SIDM00276,1.496428865322925,-0.7121125296787959,0.7416376797674441,-0.46060305665975143,-0.7561247807614588,-0.9095681404847161,-0.7954865891823367,2.7245245814785255,-0.8241330047588126,2.4430982100728036,1.9279388020177153,-0.9397151074259678,-0.9921927225200553,-0.7605836518486133,0.7163794960149816,-0.8443420555186307,0.8012594941153696,-0.8726108836590177,2.066688475066833,-0.8985888200891048,-0.9201552481204341,-0.6108919778702362
SIDM00311,0.6278361980608449,-0.7863600650040056,0.5335854535840204,-0.4042329067040688,-0.8036838763748171,-0.9358074124728981,-0.8100911738238447,2.318885538180146,-0.8656076781350405,2.105911085151379,2.0651759853800185,-0.9277320378111723,-0.8190406385903362,-0.8797877270201866,0.7639403769399651,-0.8865217104526731,1.31404391542006,-0.7144547154070346,1.5574567957370102,-0.8720839252801396,-0.8281160623819531,-0.8932650149725293
SIDM00970,0.8831516078849813,-0.7319076005933005,0.37070217563053226,0.920949153926043,-0.876100602882836,-0.8865654963797573,-0.6285356254317156,2.4413793046701358,-0.9761385626553111,2.264193260006678,1.9179638334438662,-0.8982308761825926,-0.9391041514978645,-0.885077106678927,0.4092612260199761,-0.9073925078429907,1.4886196735109452,0.10598502132424148,1.6442699399418754,-0.9382754027540455,-0.9229805640312053,-0.7655341819970005
SIDM00103,0.3530479708524613,-0.6959290191350921,0.7001919680304667,-0.9063363259332251,-0.7341153401109569,-0.9724739990703349,-0.7279784096511676,2.7364768711527456,-0.8563007181426423,1.8717679599029877,2.1753058279218815,-0.9466625210987373,-0.7993328369680234,-0.8758449396413373,0.7476298930834242,-0.8713613757735454,1.7751088065019116,-0.7010579639339078,1.2325956837588319,-0.923158771853861,-0.9121568402504925,-0.7748114917297745
SIDM00266,0.3020325838029059,-0.8714839814776341,1.1423020406974322,-0.8068876874186822,-0.7193920081128161,-0.8841199365630958,-0.7929109142488646,2.557890963298557,-0.8260068296394861,3.387439307649513,2.264377989136242,-0.8718400622086467,-0.9762133298256315,-0.8070406137546923,0.4424743232511456,-0.5827898855647482,1.4521950701634476,-0.7339426612645874,1.125426263403684,-0.9231214361467884,-0.993725053575916,-0.8137262742171747
SIDM01064,-0.0014849564495930997,-0.7214233637431751,0.6631232376814669,-0.810263729736274,-0.8633118559499487,-0.941576874297403,-0.7837122339536081,2.634078852068498,-0.8637108691309143,1.817066742931408,2.1294581108023913,-0.928515546955637,-0.9791904547039474,-0.8353184137378713,0.9271711955697693,-0.8477916218986163,1.340449595529255,0.09291334836468239,-0.6972279714705765,-0.8924334480731965,-0.8577501035477278,-0.8279400547043568
SIDM00098,0.7915076318664362,-0.7977057185796861,0.005047584513524002,-0.6808504705141335,-0.7278025224397469,-0.9120350397413162,-0.7175788064892643,2.9273865890044903,-0.8855773181549721,1.8566377729824635,1.7268349730795163,-0.9589717139283079,-0.9089716280496859,-0.8512146994515637,0.9236274590663994,-0.8674389635602097,1.419320458643217,-0.6629022183176257,1.6036530390545864,-0.7816211335168917,-0.9250589158958231,-0.8250248970052441
SIDM00225,0.42137263905277883,-0.7672462180784869,0.05810166916818179,-0.686219352225308,-0.6619459952771937,-0.8548197755446715,-0.7599124769960625,2.6440834940199993,-0.8596193269249398,2.5646881007215883,2.0032827670047415,-0.968524100671541,-0.9389314098195954,-0.908058492850442,0.5993837965865433,-0.9197075027996303,1.750418794704717,-0.7179307154849152,1.287877220333172,-0.6876442390666206,-0.9059333177368797,-0.7564335791778328
SIDM00846,1.1379338567071593,-0.8266689063496038,0.1543477036725654,1.2087696417392508,-0.8435224435251903,-0.9384850075465706,-0.7451803500096235,2.6629645354383573,-0.8102080305161686,2.292518729621146,1.9001364759386774,-0.8925436701718561,-0.9473866394545901,-0.7611025333519627,0.31549683485484253,-0.8585764912524388,1.7530688160525685,-0.8431478549565993,2.495811533888909,-0.8476830553940937,-0.856350946595164,-0.7088791389390975
SIDM00291,0.5456903360512456,-0.06037894140179207,1.39897569674471,-0.7151242353685792,-0.6663084792430645,-0.9377974238755916,-0.790486378675516,2.9024251270764942,-0.7626957033438093,3.1838940988664164,1.947824230731145,-0.8704634795429518,-0.9440110260269442,-0.8378886112631059,1.0258708113140695,-0.7588798915553435,1.9083400310388896,-0.7493972134667283,1.2061008864565945,-0.8992745873851775,-0.8773232087560418,-0.8016767891368927
SIDM00520,0.3417584002328254,-0.7436284320633472,-0.3734592909280743,-0.8596281728893552,-0.7954699659201173,-0.9543570496291374,-0.7976883085684313,2.6173215593607475,-0.8412777137888902,2.1570169867441877,2.0647525884223614,-0.814365098068016,-0.43856349047754495,-0.8896369282218387,1.306590892270919,-0.8050012823756826,1.3590037518529308,-0.8677677578594838,2.0330057554626144,-0.8892662070307678,-0.9134404557381302,-0.7285823294171341
SIDM00003,0.4284353778217304,-0.08600018266965657,0.09678437316251338,-0.7887271293016487,-0.8648897235700608,-0.902282131132248,-0.8142177006692499,2.873372633832633,-0.8251617427964871,2.8218484622668067,1.9507541130209378,-0.9136558937768782,-0.8412892013355,-0.8161282642619779,0.5594127005389581,-0.911456047808703,2.087655062082319,-0.7310825141027996,0.9044923312421536,-0.8003693678107343,-0.9173514530182677,-0.7710790279872454
SIDM00136,1.0724806313659725,-0.8336551660043048,1.0353398940105414,0.7831788111285141,-0.7542002534801153,-0.8741079471619572,-0.7079501664729767,2.328572327792155,-0.8244696667571545,2.3511605754539957,2.1053521598330303,-0.8646967802998033,-0.6849237248312869,-0.8248872434601273,0.06803624093197821,-0.8843936205592522,0.8459463203133193,-0.7189882900766271,2.868954283893592,-0.6701975765807464,-0.8746533882115217,-0.7344256819409639
SIDM01155,0.2853130759723565,-0.7495694559572339,-0.09862463983121175,-0.850453120648057,-0.8182859529774075,-0.9125253958645503,-0.8317358684580857,2.703634521110839,-0.8396263337132297,2.215895187794876,2.086798012894611,-0.8669402248693123,-0.9285772961378148,-0.8660858933638809,0.49570590840898027,-0.8905382206633824,1.780869436027554,-0.8503588820955634,1.3751927042094938,-0.8692323109675691,-0.9025948596668181,-0.7415264110977557
SIDM00224,0.42415651108684094,-0.6269506590146146,0.12887588170225686,-0.37063283816323495,-0.7573556373535528,-0.9385133955739174,-0.8085856564738801,2.939660348516019,-0.830947678748343,1.931606442603855,2.2571230873055206,-0.9754895555330341,-0.8452420330436387,-0.8513098489270985,1.3145344493433517,-0.8636110829152357,1.719869871619826,-0.6668968227603912,1.6547840855554152,-0.7498787550094518,-0.9535324131384372,-0.8061528720975482
SIDM00783,0.782550614171928,-0.8551005730053017,1.0810194605640744,1.2768918687920028,-0.8663856706383593,-0.9513169427467703,-0.825807285264009,2.6309067932024517,-0.817083486177725,2.1461815767718373,2.1690815180392926,-0.8748896402796074,-0.9843668745514881,-0.8269335585051151,0.4182342897063891,-0.862189213210847,1.7056121563294915,-0.7952693022793909,1.4693055220851066,-0.8257373175804554,-0.9059941342556342,-0.7586472365865474
SIDM00490,0.16842949952812747,-0.7542924146249183,1.3512185633864233,-0.7481984376138152,-0.7045691629111216,-0.9117602353661233,-0.7852826931862773,2.3734387337266343,-0.823076032449402,2.4578000126375374,2.018959363699914,-0.8973136082209957,-0.9392763558435522,-0.8081555403997767,0.44698195706049665,-0.9420183426754797,1.6525677751042687,-0.7090840103423388,1.4920772152933366,-0.7556774535995653,-0.844376794887393,-0.781564699107049
SIDM01090,0.7284708746578358,-0.8618190593244964,0.7851298617873482,0.5355769218226709,-0.8012847238079315,-0.8939162444264994,-0.6219439807856075,2.4567354476463428,-0.8021168938817209,2.053059136658155,1.8912613880839162,-0.7708534985886342,-0.9473935516360955,-0.8275621099195432,0.3947690799271415,-0.7757774908436197,1.8507975889675579,-0.7566740784178237,0.45601843056102853,-0.9479554380393762,-0.8321952586717607,-0.7540489220398741
SIDM00394,0.7029292167407528,-0.80006991769993,1.2347888058825478,0.8541795493450043,-0.6097763906544861,-0.7543471131094401,-0.649146530962924,2.454763186119858,-0.8195642345769601,2.0348028876695596,2.446509747758312,-0.8857981824664012,-0.9213706214846766,-0.8408074808880301,0.13321899724631095,-0.6516003151805635,1.7932691816075537,-0.6616024713947195,2.2490007437489656,-0.8165721774671382,-0.8643255631299167,-0.8000659622700235
SIDM00538,0.44091489156445657,-0.7425363280984044,0.38341054480666326,1.6486359385623155,-0.6197892470237035,1.0372413080839824,-0.6539294663000081,2.7228366468003897,-0.7656603859977879,2.3134281872574403,2.6862738808406403,-0.8510892519868909,-0.7020746275346516,-0.8634608902647638,1.0109944093360765,-0.7973961376736678,1.402731032560055,-0.6961342027997307,2.177536732019534,-0.8501011701034052,-0.873853382991894,-0.7632477224142709
