,RPE,RPIA,PGM2,PGLS,PRPS2,FBP2,PFKM,PFKL,TALDO1,TKT,FBP1,TKTL2,PGD,RBKS,ALDOA,ALDOB,H6PD,PRPS1L1,PRPS1,DERA,G6PD,PGM1,TKTL1,PFKP,GPI
SIDM00519,0.9845520155610207,1.4022152640058376,0.9335897091139952,2.1550733751395876,1.2024909144358242,-0.7992528123398597,1.9410368568556409,-0.07209073379686992,2.185634614142769,1.4755147411943446,-0.648032084980427,-0.9266712582443931,1.2847620763041994,-0.5957526534484751,2.998507091230003,-0.8610961503513928,-0.04945070213606667,-0.9850780903159609,1.9379483955242693,1.0237377435587944,-0.08666178238456095,1.5147393731037777,-0.8679839843794092,2.0415926643481996,2.0722138518839395
SIDM00917,0.8265984863473642,1.906270895428674,0.6257092828936457,1.9354933037253388,1.0005238404170431,-0.3914919080481729,1.9216707304609457,-0.020634716418905245,2.6739397568040193,1.3970044728685744,-0.7021280097365227,-0.9367344239815365,1.5586763252672766,-0.767878294701701,2.720946008929624,-0.7694409660643609,0.08556700436303107,-0.9393891364621221,1.8041262335541655,1.5677611912025855,-0.463994387468377,0.7972197694338519,-0.8252453659585013,1.6592962388659467,1.6739062990161744
SIDM00309,1.0061754541783974,1.5224449662186061,1.627901556053579,1.925543157626068,1.5958815298888827,-0.7288773969762321,1.6006627642964362,0.37374022150526703,2.8229758019784543,1.9696470734703664,0.8097814494072972,-0.9241453992586774,1.4072813000266655,-0.5222394036810739,3.1330927472181167,-0.923008966596766,-0.3125359517564017,-0.8572356437820158,3.13067614540891,1.954204565410504,0.75422468167945,2.616625162759445,-0.9232488679476307,1.9727297824072623,2.097252756886021
SIDM00099,1.1584298979975782,1.5299210881690644,0.06260766498664262,2.1613577108679776,1.4380413772978244,-0.7766994471654115,1.7796936994616286,0.026759040100666667,2.6283384813536923,1.4520165340589097,-0.6724822889005005,-0.9474100030040467,1.1836810742096688,-0.5527129187204354,3.0479242390107433,-0.8200075853801017,-0.2912994358858075,-0.9440040038183136,2.0932266204023287,1.939617743513572,-0.14493613425348478,1.447934290585334,-0.7693883266110763,2.3943792500681336,1.9523074184377895
SIDM00276,1.009108637573833,1.7367826710802232,0.8195282200972472,1.8317047765905734,1.7310170308948483,-0.7527875666178487,1.343624156819663,-0.2281366852190709,3.215698568821226,2.489500854776578,-0.4323966448350795,-0.9335155736021891,2.8729659435166397,-0.0012484517622669284,3.4129476274548116,-0.8395255609576909,0.07283484498929277,-0.9412482400721207,1.7941018665082207,2.179259944653107,2.1616934205431515,1.9963310881134306,-0.8656442316581362,2.603002484721678,2.5509270642727837
SIDM00311,1.0688364527808893,1.5738077272416375,1.1924093760073244,1.6995510571805805,1.3743281396491407,-0.7558938128304016,1.5907501815090193,-0.17029690879171194,2.5708928385697303,1.8597766798051163,-0.6216480905820867,-0.8909073784774919,1.6985517113175548,-0.5401605165725235,3.2937442688828185,-0.8736161380227071,-0.1099352720877954,-0.9083119775009757,2.016337066269344,1.6291399881681072,0.6193127592266078,1.5850749380918925,-0.8616244026321578,2.4644402409602906,2.2841977532406013
SIDM00970,1.0222320319895857,1.889485761871821,1.6195398455499674,1.582361028232911,2.0979766106533146,-0.8002635103032052,1.7028386118262173,0.12521562131411187,2.8376024669912727,2.1234316091292964,1.6002493661036274,-0.9350298372862622,1.7839608344560531,-0.5692310867867805,2.8776723242853453,-0.8431029599579656,-0.029001221318206125,-1.0126068723863024,2.153313429123219,1.693921123200778,0.5106346458566734,-0.509864224696751,-0.8794529614055966,2.0140912793407395,2.2461391084797464
SIDM00103,1.2570089164183362,1.4707981658875804,1.3048529343636555,2.004822410832568,1.2791450810327352,-0.6381879969736433,1.552202796662341,0.3225148075493362,2.579366623877027,1.8590378643361156,-0.7110531907866597,-0.9491521985150582,0.7649595975607265,-0.21052393361003424,3.1706817791801,-0.787735119590109,-0.08169394221826572,-0.9104078201515705,2.6397276295028282,1.4566403236422831,0.09879633133468162,1.5904794964365891,-0.8532941603549323,2.1958235720457244,2.0897286531506625
SIDM00266,0.9842973347881515,1.6632369712458506,1.0851446184717681,1.8217050197018647,1.0343007973268192,-0.8202034905005181,2.2130571881504255,-0.2238090111213678,2.3601184952940546,1.6880133535446613,-0.5482109043166243,-0.880769620643619,2.080482907783979,-0.48689173654831025,2.947006712360702,-0.8069353187021777,-0.08869740151461866,-0.8120762309719314,1.7265076616453279,1.7058664459201112,0.08757826778236696,1.4981546744962324,-0.8038189264939487,1.9093989031285696,1.8511321279834905
SIDM01064,0.7885163039118307,2.1344614190662967,0.8930305251125091,1.658016205981518,1.8153474990957925,-0.7888612124919064,0.22589471978920792,-0.2987654638342584,2.5947779339354202,1.1241698846105437,-0.44770765553859493,-0.9491297277763553,1.69170078469293,-0.6373644710198016,2.6936028758559276,-0.7814946905044399,0.9673814246928036,-0.943991732696295,2.1350166839393756,2.100063207200332,-0.20468904128973478,1.235733839367164,-0.8271844785065227,1.8591926833089487,2.308721806569674
