,AMD1,SRM,ADI1,AHCY,DNMT1,SDS,TRDMT1,DNMT3A,DNMT3B,LDHC,IL4I1,SMS,LDHB,ENOPH1,BHMT,GOT2,CDO1,APIP,GOT1,LDHAL6B,TAT,AHCYL1,MAT2B,LDHA,MTR,CBS,MAT1A,AHCYL2,CTH,MAT2A,MPST,LDHAL6A,DNMT3L
SIDM00519,1.2758748224426115,1.265043644054707,1.9286895782052813,1.7540392420841986,1.932954719494146,-0.843740751305283,-0.6550828758758219,0.013211708917959622,-0.4714985423000316,-0.8435072148808965,-0.3266712955654804,-0.8339410542407065,3.1969906449327063,1.4024077656950693,-0.9542860600314264,1.1210229936151281,-0.9801050319784077,1.310904255665572,1.4784153732692813,-0.9630461719698113,-0.9194215558469359,1.4841508689540739,1.493527716299204,3.2514106245128693,0.48289086011212895,-0.44175168093209344,-0.8067297803498683,-0.07174502018311811,-0.4842425354226972,0.36606627163228017,0.5956726187608344,-0.8199571689843174,-0.8245934981203595
SIDM00917,1.575351596257296,1.2401493367534466,1.0514601076516614,1.3799543799802698,1.4841829268373283,-0.5291348172227404,-0.6757665945965204,0.1713892621485139,-0.6561069450364677,-0.17995731620204564,2.26833699169626,-0.7829008177999752,3.4506279829399045,1.8800421360875899,-0.9546507677953016,1.7411698039792476,-0.917703224298292,2.0622999370375554,2.35277952475545,-0.9257808205868472,-0.9057358670531653,1.7020586331386156,1.8592223926226046,2.8678666604260337,0.22799804824974,1.0856115413117184,-0.7261880925284233,0.03307444315877053,2.212072326935666,0.8376314511631321,0.538919966898666,-0.8578580274183351,-0.9654269414941331
SIDM00309,1.7576998350331159,1.4933181693206452,2.4490664509797155,1.5262633016865241,1.7121254075923704,-0.8576203146615423,-0.5624549735822796,-0.29536116175956495,-0.6564868636882522,0.0608437933490491,-0.8108908128317466,-0.7279045379574769,3.477275800113581,1.5548689091124632,-1.0143223882020858,1.7269882951436972,-0.9504359087217223,1.6414195347499323,1.4314193353066715,-0.9041400495394192,-0.9094658448623827,1.5512261650224166,1.485892309749073,3.3343110031972407,0.37392864381531105,-0.14869205376587538,-0.46320583521749925,-0.23596209331412665,1.788683239270284,0.3374386858624008,0.2854202966341796,-0.9089258859309005,-0.6839867246784607
SIDM00099,1.4418061797883606,1.4689708733197107,1.8448210441431983,1.4151968004775164,1.8070217418647554,-0.8479395523188876,-0.598080315659159,-0.44822651044394607,-0.5294623055151714,-0.9196515659196373,-0.855153527618166,-0.7285946436823303,3.463786142027431,1.1620736922233317,-0.9925329730939758,1.0698879483084118,-0.9992702403778008,1.452352287733406,1.8518056517128079,-1.0206689738543115,-0.9211937633616887,1.938800085100182,1.106090010423435,3.3186882941346876,0.3455613130293556,1.168946684168543,-0.8625102250801588,-0.3168503321377815,-0.5640396336301995,0.5552692160886871,0.8179710143841339,-0.8236971253443145,-0.8931317942332636
SIDM00276,1.2929900340282479,1.6302237468058887,2.218256224298183,1.6644695576618986,1.955103627275875,-0.8087797797768188,-0.569174864233251,-0.31538930223928757,-0.23814958379839227,-0.7902924644522992,-0.48578144874265866,-0.8133339904605756,3.2970195384274934,1.4815451536807616,-0.9487437377155264,1.8041537888618802,-0.9695969000691481,1.2780027825792055,1.6686750759342417,-0.8657375953577826,-0.9401052537806243,1.7960354478076073,1.362923523986848,3.34544033941942,-0.17382511757925043,0.9727915546081956,-0.7617986692012944,-0.1805951105848814,1.5666182587713509,0.5400482877144713,0.8628386974750062,-0.8716678248317035,-0.9705252083178432
SIDM00311,1.7296596211920425,2.019113746757003,1.8214414698748465,1.4581181758436716,2.058456325309243,-0.8083184563173571,-0.5260242183531497,-0.4933921647520826,-0.257349753589128,-0.8124379379720148,-0.7205199876370251,-0.8243050477368966,3.258151629066105,1.5085175419038759,-0.8708899917476236,1.3287603098325493,-0.87869435206855,1.6756215897873317,1.2245965676561699,-0.912002358635423,-0.9441795582307441,1.586392452821125,1.6410840172864518,3.7035303705118965,0.3330125246731275,0.25190495281681197,-0.7634595721803027,-0.2690816180564686,0.32545473932636027,0.791846694222069,0.6683301114435375,-0.834503014499932,-0.8676857333893244
SIDM00970,1.7416126196571975,1.6828886966493928,1.7497795450684912,1.6015834766424617,1.9934057262021692,-0.7901319096243316,-0.5856866290126044,-0.5062223534567808,0.232072283883833,-0.46676817287556144,-0.8058323693460225,-0.8954558190393963,3.499014681363831,1.730045728384503,1.922215690302618,2.000186856970254,-1.0169342891325681,1.4749088093118514,0.460806940540381,-0.8456451255926264,-0.9877439533505895,1.6680025201210678,1.11872729659223,3.034010313460711,0.05932366053829403,-0.6099783179378806,-0.5757117815452036,-0.47727447831820535,-0.9687109472456452,0.4832979590212329,0.9956164933973589,-0.8739730626653679,-0.9055139716658283
SIDM00103,1.3771884680025426,1.6311875056487737,1.3509106466457101,1.445430607967139,1.6002400611955938,-0.7693051399423801,-0.5234143627498303,-0.3411414843874755,-0.5938620681918734,-0.7780216303914902,-0.8582191682437014,-0.6303944617303543,3.1865614879524715,1.199419155859297,-0.9431372696554646,1.5256760200002415,-0.9144621228431226,1.439655312496728,1.5975954047381216,-0.9819859427627553,-0.930088738342922,1.6896087538904199,1.2409112547356906,3.359897013087449,0.18263712558622547,1.0857070554593258,-0.7653921831855812,-0.293656219616847,0.3417165133183719,0.9762044741548362,0.6187158044203717,-0.8265597023796025,-0.9232286384741175
SIDM00266,1.560411122281358,1.9435217453244567,1.6223388435100656,2.4658493361223637,2.067247704498554,-0.8041885202815082,-0.25434490662614345,0.33234618108020597,-0.28307943791883755,-0.9376583186836714,-0.5775937131823061,-0.7862531755837845,3.56176928105793,1.7255957723996038,-0.8516041844512557,0.9499497386654009,0.1944965892791491,1.710825362405288,2.0322948148693776,-0.8763090604513163,-0.8820536680781845,2.037448297285069,1.300625386429064,3.325970090142578,0.4625567191882681,1.3140225965462293,-0.8104143570897362,-0.009847439138434071,1.2874023621851052,0.558963764220243,1.2470428433091616,-0.8702297787241525,-1.0111290072569987
SIDM01064,1.749946475362594,1.934369961966477,1.5830330237246852,0.8634496892813022,2.2262399700040354,-0.8660275105870782,-0.21400379839972658,-0.38327590277977935,-0.6234993715741821,-0.8791317911286247,1.640412713141765,-0.8536832036649854,3.3148586521844505,1.795826189284924,-0.8613056451220865,1.5990866417189897,-0.8982521421558173,1.9743812398980791,0.9017363021670682,-0.9000034165049233,-0.8524985096502509,2.5472164024596595,2.14429792278765,3.3769195498792537,0.3448793926955041,-0.7888488834229622,-0.701987117982639,1.628457606260372,1.0402943978417183,0.9934393566477193,0.7898358816283206,-0.805417001290536,-0.8353854261149589
