,PEMT,PLA2G15,GPD1,GPD1L,LPGAT1,GPAM,MBOAT2,MBOAT7,CHAT,LPCAT1,PTDSS1,ACHE,PLA2G3,DGKZ,ETNK1,DGKE,DGKD,PCYT1A,DGKH,CHPT1,MBOAT1,PLA2G6,PLA2G2E,PLA2G10,LPCAT3,PLA2G2A,ETNK2,PLA2G4A,PLA2G5,PLA2G12B,PTDSS2,PLA2G2F,PCYT2,CDS1,AGPAT3,AGPAT4,PGS1,PLA2G1B,ADPRM,CDIPT,DGKQ,CDS2,DGKB,DGKG,DGKA,DGKI,PHOSPHO1,LCLAT1,GNPAT,LPCAT4,PLA2G4E,CHKA,LYPLA2,PLA2G2C,AGPAT1,PLA2G2D,LPCAT2,PLA2G12A,AGPAT2,PLD1,PISD,PLD2,PCYT1B,LCAT,CRLS1,GPD2
SIDM00519,0.8439595331681196,-0.5095933784283276,-0.8590136775805163,-0.8033886629955517,1.084372120551206,-0.37579578370416755,1.407674829962291,0.3957239387330406,-0.5730848904576406,1.863489808233746,1.6127901075479767,-0.7116274569965969,-0.6850179934614118,1.39985757051533,-0.5471474849769847,-0.7276831935963454,1.0663572804088028,-0.28116792767908044,-0.742727380634583,1.4788519040782115,-0.9131385509039988,-0.7554360435351557,-0.8433965079575642,-1.0091032468882672,-0.1718221854835557,-0.908346409006008,-0.5582597516510492,-1.0116036917247377,-1.0585534009949649,-0.6626791441003931,0.20180977470011333,-0.9895476338726719,0.026783121119075895,0.14460716896248244,0.5973438436755363,-0.15366886590905016,-0.13761398524477075,-0.8607035765925894,0.6380723279126785,0.7201559756661072,-0.6128410181478339,0.8656429314893923,-0.8406977514869313,-0.8289494549205406,-0.5082458575172767,-0.7899933467623328,-0.5934761620347985,-0.516669101311548,2.1467401388204794,0.0010986491398234195,-0.915282395936786,0.39863982519125923,2.43685937875423,-0.8463618549593636,-0.3470704776536955,-0.8869410620692143,0.22942614049235596,0.9829538935460095,0.5990856780029712,0.08952501488936536,-0.44860723525520246,-0.42778744262526036,-0.9078348500708472,-0.7650149927406391,1.153629886551147,0.44396567336388026
SIDM00917,0.4753114061327191,-0.5645510872310502,-0.792242712555423,-0.7229215344607425,0.9527119088188817,-0.2178632831928051,0.35286281279155746,-0.2218790191073198,-0.49383690585195317,2.445280710272734,1.5442746270194074,-0.5295665513869124,-0.7055607273055641,1.5301351785875619,0.32004867885924737,-0.6521004096793385,1.6292019871557382,0.15442194789492802,-0.6270905147997048,0.7349269635961367,-0.6696140416029552,-0.6983322727342728,-0.8268625016050603,-0.9810378849179168,-0.6048243717191113,-0.8391205397817006,-0.70281788518313,-0.8022800340243171,-1.0038074211075247,-0.8662341496460776,-0.10610849676482666,-0.9505741889748194,0.18184290577139664,-0.8511890736112387,0.7987658843758466,0.21560502089863706,-0.2120586364109158,-0.8616015082723868,1.3188072774367339,0.368390504414435,-0.7384188205802076,1.23732838291619,-0.821056968946455,-0.7114316626069049,-0.2934899176735582,0.27326673210965224,-0.5132206618316143,-0.5301481058750591,1.705268767784423,-0.1486203665597267,-0.6117874873680419,0.5700023771812195,2.433927774391505,-0.5902381844032991,-0.4879813048588579,-0.7835150385827508,-0.826386127045064,0.9387272697614286,0.030992814366925508,2.05851846338494,0.29773759422658397,-0.40217561206026603,-0.825463508348261,-0.5345561683712602,0.9535472070672086,0.26357800587373426
SIDM00309,1.36052075409838,-0.24038319301352223,-0.817369356313691,-0.06092833854907996,0.6799497563493718,-0.3584782016498487,0.7872370462809666,0.64510623054203,-0.5511297061508608,1.8297649771269087,1.0006045009352416,-0.719826953334022,-0.6997536519140191,1.3508834250972994,0.15339500005212006,-0.6877786464037304,0.7768147313553361,-0.04634652851771032,-0.7859582997784685,1.7229370345761872,-0.6293679918904903,-0.698775437850522,-0.8110858275877346,-0.9720171270898533,0.12431422812486917,-0.9554116438070824,-0.5853335097661851,0.37204762457276763,-1.045958199149002,-0.8266731319775593,0.24303048579352204,-0.9321267724225204,0.7685576533756513,0.7031439066222542,0.617706252738831,-0.39924241381279374,-0.32962700243318216,-0.9305593624071036,0.7025162222754276,0.6476021811272032,-0.4393676557729387,0.3953785800542619,-0.8278111801526397,-0.8102358318807983,-0.6336083057004888,-0.8176735983984141,-0.6399657264545028,-0.46559121828703154,1.5623248267669256,-0.294682482321887,-0.8396045563178794,0.2974504586452924,2.436170299911237,-0.8320019248002899,-0.28593550187144007,-0.7977798730879978,0.16856889106157683,1.70553371557291,0.04697092598083409,-0.236486328604705,-0.42628410291391705,-0.4246775518930443,-0.8197412182634451,-0.6579437733612286,0.8850209467844494,0.6213052616714292
SIDM00099,1.0821445243666934,-0.4143262916124472,-0.8305361234815196,-0.9846331369095953,0.9071868882889177,-0.36437635382498273,0.9890921822712347,0.6978109781739044,-0.44923672975823503,1.5124416641002862,1.2662045982116397,-0.7303800963649227,-0.6520919920808488,1.510748409200845,-0.13726965334632787,-0.7876258986028675,1.031186656425057,0.08706343806090966,-0.7894519508815774,2.093308640295033,-0.9114482584982393,-0.7387936053109125,-0.6719447568385949,-1.0210522435705907,-0.4972838089139854,-0.858795850759276,-0.5465305516008215,-1.0218854526357262,-0.9976272469691949,-0.8568144494221323,0.5772047515468676,-0.972993659074612,-0.19946346661916275,-0.7608811691796715,0.4975601693854231,-0.5271975162280068,-0.31671559441908265,-0.8556420818499619,1.2605598276728844,0.6408752462124792,-0.6157544959241911,0.8005679608844891,-0.7929796040765529,-0.8894505540524946,-0.32200238251196744,0.23165085189155243,-0.586251637093208,-0.3650753841003789,1.5425667000833605,-0.2214119021532276,-0.8210140128213779,0.24356608230491664,1.9326189434831749,-0.86124548210325,-0.3706862884198988,-0.7504937461532906,0.13111282189386037,0.43443701066540386,0.8521808579555229,-0.3920564817104374,-0.4132490870977053,-0.4507546403798565,-0.840354562146182,-0.7544989925448499,1.076847947603865,-0.04496014726526971
SIDM00276,1.6609150670474078,-0.343972156308555,-0.880663470482244,-0.90115017418295,0.5576475368369749,-0.557814440323931,1.1650580534582733,0.6349479149462741,-0.5599155563320413,2.052596872164682,1.4856442809575428,-0.7309462289526836,-0.6799268319117648,1.4776014614375985,0.21570706905428516,-0.7547218747300877,1.2593986699710409,-0.029994149390285912,-0.6625826000934386,1.4466905970720532,-0.5809811392849851,-0.6837233923198708,-0.9156763157550357,0.3876511881634544,-0.18117744357200988,-0.8057537278720598,-0.1907075692332902,-0.6802706896435589,-1.0456382015192203,-0.8849210300509877,0.12937929172463047,-0.9713400771111201,1.1471515812837405,1.6057574628758406,0.6155205120135109,-0.5500714327228767,-0.08689599638832338,-0.9329671401851335,0.33319694105361064,0.9005027929904568,-0.2657434546596225,1.2704980925699623,-0.8037136207928965,-0.5905084278601089,-0.34694632600190006,-0.7964799593983519,-0.6443173221401136,-0.4527429554623322,1.995131375733361,0.23378429678761242,-0.6196206763585796,1.8638178823064762,2.6832568692972893,-0.825849163375806,-0.3104646237385444,-0.80878416615467,-0.6708459991302628,1.0599953897512413,0.7629696834392461,-0.11198844640858856,-0.5291514697975587,-0.43574937906933203,-0.7545747958286232,-0.7728736354474993,0.8774697593469579,1.1218413473541824
SIDM00311,1.276181242195435,-0.26581375136155955,-0.8962618223809607,-0.5589622945067991,0.7001130248709998,-0.2269092295712635,1.4009091441001926,0.43674840123145175,-0.5287430296044969,1.9136206576952366,1.795811249957319,-0.7296414301393929,-0.7036655802229366,1.6148175393210582,-0.1704456806047252,-0.6844750442741042,1.4267359453474944,0.15526727695007372,-0.7384339475783072,1.446935976911905,-0.7686508395769488,-0.8051409034030218,-0.8394633264695162,-1.054186096606148,-0.4894900080456855,-0.8547788795453823,-0.36925557086199917,0.13027171813925953,-0.9550506598284961,-0.8069346609114783,0.31702234880671704,-0.9974412198044029,0.027589684660471177,-0.5753349420119125,0.19954900530410774,-0.44588907158312363,-0.24702656051531188,-0.8780408538143946,0.9070136455467149,0.5541929355885332,-0.6462178558317029,1.0491881603901445,-0.8554826357561656,-0.8824384099900899,-0.7533451703837195,-0.7618100990788879,-0.7061905630843943,-0.4068367423284659,1.3307052463634206,-0.3143787500025729,-0.8672145225539768,0.48530207413952986,2.3341159276607315,-0.8579385075539958,-0.3343610945948439,-0.8653644261684323,0.30344374429026455,0.9595621741522522,0.8558467463203098,-0.4267310830038636,-0.10770741588705228,-0.483193484597924,-0.8295893262917972,-0.7883896877710055,0.8957281118348546,0.52012050356355
SIDM00970,0.9361798929583424,-0.4499511563990723,-0.8406132327349437,0.4809776544130892,0.7020177190048198,-0.11612166159534788,0.5263890392533641,1.1824888715661317,-0.5112714385051461,1.9747521064231335,1.5960551571635764,-0.7005384183544435,-0.6784045593186835,1.8973763374440622,0.09209368217018557,-0.6427336162115941,0.9230001358007199,-0.17889046346854065,-0.3422568662008,0.797123632619099,-0.8599232704405042,-0.7574719229506964,-0.6888230047759513,1.3217577016747517,0.7310461288551089,-0.3908837056288941,-0.5146524007886135,0.6571301454544184,-0.994838682054863,-0.8011085379766891,-0.12053720662076726,0.4334215230072857,0.3055802347377926,1.2265431046042483,0.6793216717088754,-0.7069275511963918,-0.18586670859780258,-0.8362080727679566,-0.073643430298824,0.5603609270873405,-0.5304766045320712,1.037055352146423,-0.8492358651737247,-0.7375376923991198,0.07779333436289627,-0.7931544903499981,-0.6491020252594233,-0.30562899800874416,1.5485848183282316,1.01947739122325,-0.7967784638565522,0.845599721035686,2.872256878023638,-0.8498109810761587,-0.7128313127726024,-0.848123374276097,0.6439217708507111,1.2699804597788635,0.6175011869792597,-0.5966965990311485,-0.19576378083815632,-0.476725855366429,-0.835573178917615,-0.7827047371705683,1.0594626052279112,1.0548434879190924
SIDM00103,1.3470155814671727,-0.09346443242448824,-0.8617100246715839,-0.8366694931143033,0.7762367928546393,-0.12684894859171725,0.9471443041126528,0.6439650411036464,-0.43826659536722556,1.3617784579182959,1.3636291341379536,-0.6694491676806841,-0.645315576779291,1.3944312696804049,-0.5329369508425729,-0.6410083275988196,1.0764582620282102,0.013948562671241446,-0.742555347430725,2.1597616973084937,-0.8229258817241516,-0.6726244867374868,-0.79915342753613,-1.0820791556080098,-0.5876213000225682,-0.7998276058930084,-0.4198903446638864,-0.9942213356313719,-0.9444389806237633,-0.8693087562790918,0.6324721269600883,-0.9606979439575039,0.3831627931333065,-0.715841581634711,0.4634695100131335,-0.617151165799163,-0.4646796216696352,-0.8928968330839427,1.2109489861431932,0.8165496614580582,-0.49003288286434626,1.0631338750525812,-0.8190568771143216,-0.832277125147033,-0.2356643292699668,-0.589031683642928,-0.6054391445356808,-0.40546817251219286,1.5260336882599264,-0.07038465489806252,-0.9498515779066433,0.42512816353242616,2.1346531364122083,-0.7861875438867996,-0.4553383300876612,-0.7947851954592112,-0.29177141234455933,0.500807688870367,0.7852070028178271,0.1279126044820992,-0.45013250524687953,-0.5421045263703609,-0.8883604604333398,-0.7528009808746874,0.9231073184822344,0.16207449473839103
SIDM00266,1.5049234216271836,-0.7640584661476872,-0.7703467565790214,-0.37022107087949857,0.35701419425755276,-0.12967790522224032,1.1678822033856566,-0.052676741010591416,-0.4548220067165877,1.1749248598019872,1.3387446486557677,-0.7876753428036402,1.7826819544649817,1.5830429857076997,0.03149276344624578,-0.8017140254175547,2.8410795433798612,-0.3772525390074102,-0.7103596300564659,1.9095734829689,-0.8480468791097905,-0.7591196404868659,-0.9374146182193293,-0.7518317989959907,-0.528873743714569,-0.8801709330413998,-0.5012173134638472,-0.3083381519564571,-1.018096110526356,-0.9458011921767625,0.20774129055301616,-0.9138732875823558,0.019207622786347554,1.013150223065727,0.24818200129719822,-0.2022904455546673,-0.35827813534740666,-0.836883294058943,1.2407261960220675,0.38825623662789954,-0.5046125083114009,0.9257252412046066,-0.8116706297558738,-0.6765590811623525,-0.44371196433830185,-0.8073453915946143,-0.31912862289876454,-0.2426320567589421,1.7530174196471386,-0.05358177699052523,-0.7870936499375204,0.18166238576729365,2.251675457036049,-0.8172758917945459,-0.33842444042464853,-0.835237241354834,-0.8665589753480938,1.6893030339626087,0.21426406965606626,-0.4575713727885775,-0.3843346273345064,-0.6808518265738267,0.7623741301822714,-0.8332498861646038,1.096971005280117,0.550511462112815
SIDM01064,0.7997874438506983,-0.6864283429964364,-0.8567113826692144,-0.6466307299947093,0.7542571569008479,-0.5159828052156561,1.1827918951994896,0.06167538882561401,-0.4723041408467074,2.029310796493129,1.7145732891664431,-0.6313198784855039,-0.5925676505631666,1.69943356440772,0.2134583863341225,-0.37426020415403954,2.0958990974653062,-0.14306708865821985,-0.664467538766496,1.79224365293966,-0.4402256717233149,-0.7122782191068401,-0.76018020586711,-0.8006073310145412,0.3832059868195911,-0.8125914513044605,-0.6773920247772935,1.0999819084382731,-0.9390141126265353,-0.7970281733185461,0.11594544675360784,-0.8022317497224494,-0.4610071118259372,-0.2821444746154625,1.0323112896356332,-0.4230582621509273,-0.16525751114973697,-0.9008787124480435,0.6112305335055372,0.40050628416564593,-0.6706985259829111,1.0215884421296932,-0.8083682786194097,-0.07097950125230659,-0.49851225288468914,-0.8287495772722736,-0.6902824102238533,-0.38044600395274436,1.812312140341183,-0.08097643328662064,-0.7291847804771081,-0.05569936144578134,2.351902232540288,-0.736715753611964,-0.3394403883552966,-0.776347159391237,-0.17035181491719079,0.774666341696827,1.0720681777265701,-0.2176454889852269,-0.34387485813637464,-0.4227333335709346,-0.8184510294641718,-0.9173526530135864,0.7392802053802855,0.7549378356902599
