,PLA2G6,PLA2G2E,PLA2G10,PLA2G2A,PLA2G4A,PLA2G5,PLA2G12B,PLA2G2F,FADS2,ACOX3,PLA2G2C,PLA2G2D,PLA2G3,PLA2G12A,ACOX1,PLA2G4E,PLA2G1B
SIDM00519,-0.7554360435351557,-0.8433965079575642,-1.0091032468882672,-0.908346409006008,-1.0116036917247377,-1.0585534009949649,-0.6626791441003931,-0.9895476338726719,0.5679944652281944,0.2000336517211482,-0.8463618549593636,-0.8869410620692143,-0.6850179934614118,0.9829538935460095,0.7955803835811279,-0.915282395936786,-0.8607035765925894
SIDM00917,-0.6983322727342728,-0.8268625016050603,-0.9810378849179168,-0.8391205397817006,-0.8022800340243171,-1.0038074211075247,-0.8662341496460776,-0.9505741889748194,0.1716274194002879,0.9117217179509433,-0.5902381844032991,-0.7835150385827508,-0.7055607273055641,0.9387272697614286,0.5932969580769787,-0.6117874873680419,-0.8616015082723868
SIDM00309,-0.698775437850522,-0.8110858275877346,-0.9720171270898533,-0.9554116438070824,0.37204762457276763,-1.045958199149002,-0.8266731319775593,-0.9321267724225204,0.4379594824963152,0.8223741489603241,-0.8320019248002899,-0.7977798730879978,-0.6997536519140191,1.70553371557291,1.0412652561731683,-0.8396045563178794,-0.9305593624071036
SIDM00099,-0.7387936053109125,-0.6719447568385949,-1.0210522435705907,-0.858795850759276,-1.0218854526357262,-0.9976272469691949,-0.8568144494221323,-0.972993659074612,0.2510270982806781,0.13139396550341237,-0.86124548210325,-0.7504937461532906,-0.6520919920808488,0.43443701066540386,0.5760785449418231,-0.8210140128213779,-0.8556420818499619
SIDM00276,-0.6837233923198708,-0.9156763157550357,0.3876511881634544,-0.8057537278720598,-0.6802706896435589,-1.0456382015192203,-0.8849210300509877,-0.9713400771111201,0.6577331478813253,0.4873748875012283,-0.825849163375806,-0.80878416615467,-0.6799268319117648,1.0599953897512413,0.8818583283366955,-0.6196206763585796,-0.9329671401851335
SIDM00311,-0.8051409034030218,-0.8394633264695162,-1.054186096606148,-0.8547788795453823,0.13027171813925953,-0.9550506598284961,-0.8069346609114783,-0.9974412198044029,-0.68131834023302,0.6757109989001546,-0.8579385075539958,-0.8653644261684323,-0.7036655802229366,0.9595621741522522,0.5707895788630091,-0.8672145225539768,-0.8780408538143946
SIDM00970,-0.7574719229506964,-0.6888230047759513,1.3217577016747517,-0.3908837056288941,0.6571301454544184,-0.994838682054863,-0.8011085379766891,0.4334215230072857,-0.7253814115258522,1.2228649583433018,-0.8498109810761587,-0.848123374276097,-0.6784045593186835,1.2699804597788635,2.238835985342139,-0.7967784638565522,-0.8362080727679566
SIDM00103,-0.6726244867374868,-0.79915342753613,-1.0820791556080098,-0.7998276058930084,-0.9942213356313719,-0.9444389806237633,-0.8693087562790918,-0.9606979439575039,-0.05073249883699191,0.587024874161586,-0.7861875438867996,-0.7947851954592112,-0.645315576779291,0.500807688870367,0.7703868763963414,-0.9498515779066433,-0.8928968330839427
SIDM00266,-0.7591196404868659,-0.9374146182193293,-0.7518317989959907,-0.8801709330413998,-0.3083381519564571,-1.018096110526356,-0.9458011921767625,-0.9138732875823558,0.8769538789201222,0.40137750962147245,-0.8172758917945459,-0.835237241354834,1.7826819544649817,1.6893030339626087,0.4830413637200103,-0.7870936499375204,-0.836883294058943
SIDM01064,-0.7122782191068401,-0.76018020586711,-0.8006073310145412,-0.8125914513044605,1.0999819084382731,-0.9390141126265353,-0.7970281733185461,-0.8022317497224494,-0.7128438696895079,0.12396531115215077,-0.736715753611964,-0.776347159391237,-0.5925676505631666,0.774666341696827,0.19952751856608275,-0.7291847804771081,-0.9008787124480435
SIDM00098,-0.7388703701419148,-0.7839241641631,-1.0871006981609643,-0.748455838038939,-0.8461483251205488,-0.9427248075776667,-0.8538109541300412,-0.9278092763705941,0.8107902289160686,0.4958345411509036,-0.9814065845386527,-0.8436667260346651,-0.4327627086815372,0.6844580076900222,0.6858611262462746,-0.8245711665358659,-0.8012019688903468
SIDM00225,-0.6873597157993989,-0.7675949619709778,-1.0111065892788806,-0.8386697252131378,0.8065033107138745,-0.9752950368294752,-0.8226724429240099,-0.9681057710880799,-0.19619764099367545,0.17429722485183646,-0.8335108253582239,-0.8118774403015748,-0.5107383526608319,0.9254401398196097,0.38840872198915954,-0.7226092096174905,-0.8670791429835091
SIDM00846,-0.7816542294981876,-0.8744694081357975,-0.9899846097891369,-0.8232823067747475,2.064303042368972,-0.9531391601696687,-0.9406969527897403,-0.9024437719216116,0.388501488971388,0.39508763340366,-0.956815252158209,-0.7976010874560583,-0.3813968856820857,1.187875792704406,0.4821008760247954,-0.7131397259764181,-0.761113157610197
SIDM00291,-0.015695636071887897,-0.9499028499612642,-1.1417963190131593,-0.8232476869827247,0.37134718038988623,-0.9671835437345087,-0.8309182888233402,-0.9283228400248459,-0.6973034181134238,0.9170258459183124,-0.8371558865246347,-0.8234519930150102,-0.6873500714250705,1.195677450228499,1.1256640454504037,-0.5551675647266747,-0.9035607154909414
SIDM00520,-0.7274458808266349,-0.9094547102145977,-1.0375801544731205,-0.8797009249517419,-0.3956605173104304,-0.9825246428688641,-0.8422725639743952,-0.98972983744609,-0.06022229709666717,0.42090141636428374,-0.881939140019234,-0.7841017733657656,-0.7413411603559545,0.8719026239682491,0.5540574203966168,-0.821824842136607,-0.8972140828327455
SIDM00003,-0.4925544208544801,-0.7736663723673737,-0.8933843228111797,-0.8255449296474587,0.8310330837124218,-0.9491262015230418,-0.8441134917163412,-1.0208270798933492,-0.6137005487158581,0.4202760350625777,-0.8045638972250524,-0.8430938585343215,-0.6478347982189168,0.5725322033176996,0.5655941678358075,-0.7579881970177896,-0.8496842019545243
SIDM00136,-0.6767755927882515,-0.8119929365491121,-0.7349368571000683,-0.8380025966354948,0.6239122274351467,-1.042394045696804,-0.8659589346573356,-0.9413404107052342,-0.7096386790832846,0.6900198102725345,-0.7880321092251157,-0.8506406495178293,-0.6016758260323807,1.132922930427709,1.0691812233834814,-0.6180295608149703,-0.9169335595317961
SIDM01155,-0.7832805398114625,-0.8188107314074147,-0.8962205203428811,-0.8784767567699202,-0.08970931034808503,-0.8929324201591617,-0.8117262747397723,-0.981464193939513,0.34318090498957077,1.015594742289794,-0.8364247164556501,-0.8673102920738888,-0.5474152834148356,0.9265772884003287,0.7784313681033835,-0.8352021581165135,-0.9312110826548575
SIDM00224,-0.7359729701264138,-0.6923465585417449,-0.984684913209501,-0.8845155888873327,-0.6786487754194935,-0.8813941416658228,-0.8036530973938163,-0.9310154040419262,-0.047903103203606114,-0.3965263184752181,-0.8998485828283898,-0.8391166160151639,-0.6997223890683958,1.4128560235678793,0.9717944616101126,-0.7093978065023095,-0.7653928505968857
SIDM00783,-0.6993671102436984,-0.8253666084778142,-0.3816986354264352,-0.8734662308081352,0.20158746443439385,-0.8465685488017529,-0.8549937064219824,-1.0474302959027546,-0.648760529733933,0.5438524414778594,-0.7984980142187731,-0.7891284836543937,-0.6152440013775904,1.4390864259523546,1.0778562403780885,-0.8480333311452135,-0.8997502661766061
SIDM00490,-0.7444220493474811,-0.8297478136317957,-1.0624301932006441,-0.8445168111475426,0.15669029010860694,-0.9730812197041561,-0.8635751744481767,-0.9336998103708992,-0.5555847260222887,1.0085503372181908,-0.9162212579853332,-0.8465516733919415,-0.7657930554401081,0.6310508971621592,0.8165639447540882,-0.7686948131179108,-0.8735908234140303
SIDM01090,-0.6888388872814615,-0.775198210171579,-0.8433565122500754,-0.8931042667500999,-0.5071956590232316,-0.9580752401355658,-0.895588532107646,-0.9443216307176319,-0.6614343311630572,1.2368345741209947,-0.7315255711369307,-0.771102041926206,-0.5855325561437975,0.7127602485500617,0.7198258754775253,-0.83062215345297,-0.9450575397511537
SIDM00394,-0.7377732681739465,-0.7327459220306042,-0.7923733660069348,-0.8587640611022471,-0.6293996209831199,-0.9093439074409555,-0.889843452203783,-0.9050864691121351,0.009403097997531232,0.2700393711982023,-0.8291519242523792,-0.7095746459059831,-0.6281335056358054,1.3039467392047417,0.6208402780109559,-0.7937130738153659,-0.9094198885812115
SIDM00538,-0.7159459579715288,-0.7632722261082373,-0.9374107841328472,-0.8418075118514236,-0.22813950957443518,-0.8654155947086644,-0.9387384924829898,-0.8501547938004184,-0.7129972647937313,0.5232694528900692,-0.6586231928762789,-0.7436084881321289,-0.6991976306057271,1.076193563508298,1.186512734857787,-0.7484143468404287,-0.880547828721938
SIDM01140,-0.7705839325780166,-0.8445083986662368,-0.9461705386841497,-0.8848454325619082,-0.5180585386796569,-0.9099693017379815,-0.8535636125416554,-1.0883373896148127,0.06743328707559176,0.5827284930087686,-0.8530373164942661,-0.8743021239119577,0.8796419540524795,1.1367521212997378,0.3547827891518161,-0.8719970872032563,-0.8622236061645338
SIDM00101,-0.7184418050035271,-0.8267396060711432,-0.6146675226430114,-0.8925532312563326,-0.8862084974976618,-1.0327064734821911,-1.02395973208564,-1.0019297152828375,-0.39130170292036887,0.6548791591560658,-0.8652584657795496,-0.8286328748969243,-0.6716236165483223,1.5806438771496905,0.7871067768625788,-0.8501105798253216,-0.9332494792865859
SIDM00114,-0.7514217759267084,-0.7925772867749955,-0.6310044508358704,-0.94711581162325,-1.0586795910278033,-0.9240820195400253,-0.9078305337954093,-0.9388078035844264,-0.6003174006092891,0.1629218523782235,-0.8810660866799181,-0.8207323581238771,-0.7166456825542264,1.2657011316603455,1.1272476054271539,-0.837275309085835,-0.9279727006839891
SIDM00102,-0.6558610146500187,-0.7869654418842351,-0.9748178773990452,-0.8761527648106313,-0.2603661384555167,-0.9915348777486628,-0.767492425708674,-1.0177031724837307,0.34148265697600144,0.4587571147432307,-0.8334400505920826,-0.8294395093534148,-0.7072648869188958,0.734991794306613,0.7514133866151063,-0.896742958477859,-0.8172389833233794
SIDM01122,-0.7702763762449887,-0.7470731852712553,-0.9345803473173766,-0.9440342226509344,-1.0511572341063187,-1.0046069158655404,-0.9266913850729025,-0.9570339027348671,0.3670328405965275,0.22696987901831223,-0.9171001969464259,-0.8188191259694403,-0.6816061323229323,0.6795728335053146,0.8497240949754834,-0.8073888958262648,-0.9669144503105626
SIDM00261,-0.7375843679332361,-0.8753733825802791,-1.046002756832334,-0.9579141246059687,0.010187701414508114,-1.0523976640820303,-0.8363975498837591,-0.992334777447192,-0.13544942506873614,0.2443766977314391,-0.8306708151367669,-0.8675035509259637,-0.3703010264770009,0.9857969968200175,0.7198489494070208,-0.9061766326640338,-0.8944653609726341
SIDM00154,-0.6890248116989117,-0.7994265379549896,-0.938953059168572,-0.866109184021408,-0.8349953652717956,-0.9488046255147183,-0.8766380992617933,-1.080423880659513,1.0854018374603935,0.02686845245400391,-0.8464259350762454,-0.8426702353331627,-0.712337363906254,0.602595936550875,0.9820957030365277,-0.9215492632575191,-0.9157624774299776
SIDM00104,-0.7228998624439185,-0.7287677402978707,-1.0043873104812149,-0.9022468096494073,-0.6805396488057683,-1.0078943720309892,-0.8419648635264848,-1.0570322067478415,-0.04477673041378195,0.6565791142877393,-0.8536058339183153,-0.793373462543049,-0.7035914037315651,1.7358170101936568,0.6159093510636874,-0.8162460636832077,-0.8986359310232727
SIDM00267,-0.7604842959157673,-0.8434256998765446,2.200034036015624,-0.9233805981247023,0.9274146811637483,-1.0120614473797154,-0.9254902019631482,-0.8918562245293252,-0.592411644895408,0.3198379159686387,-0.8188419852534995,-0.8032958580280851,-0.5838957540382053,0.8080824979784463,0.3680991352881785,-0.8391163678418246,-0.9253086284222677
SIDM00100,-0.8028674012346841,-0.7733494679686429,-0.8672683755924687,-0.8991046103307094,-1.0029643007773343,-1.015059928379716,-0.870579890051034,-0.9715435558738543,-0.3780445234524028,0.5074040670518806,-0.9181122138975889,-0.8352246753331447,-0.7447997528295195,1.8488677991238303,0.9691900341786023,-0.8828837654727095,-0.9403902606551023
SIDM00826,-0.6780822714453973,-0.7497279490156904,0.8555556076691327,2.118023061136694,-1.0028524137989927,-0.9252277838271182,-0.8999821505516904,-0.9744418609241736,-0.6912818241986068,0.15733412625815013,-0.787439335681459,-0.8121620345671342,-0.6648306735316425,1.3000725642072797,1.307981554222264,-0.6573344865287067,-0.834273314279085
SIDM00310,-0.6949328332403587,-0.8824532830783167,-1.0877479864493556,-0.8078413131570489,-0.7994105573995475,-0.9814502347652913,-0.8802990100824681,-1.025154107955429,-0.552375657719825,0.10944540852053501,-0.777867479522141,-0.8061090092377242,-0.6632027291291971,0.39171034249680753,0.561762827061632,-0.6049452048259805,-0.8777841592604267
SIDM00482,-0.6790394805953408,-0.7322697289220756,-0.8315847391136675,-0.8274177286618578,-0.9371485437724018,-0.8954446656991113,-0.8070129918150771,-0.759922003721266,0.21654648660387776,0.37012189310444427,-0.6247835678612391,-0.7419118553144772,-0.46440856193754254,-0.31773959434249704,0.5187199060822367,-0.6238697741872063,-0.8238717766306151
