,A4GALT,GLA,FUT9,ST3GAL2,ST3GAL1,FUT2,FUT1,HEXB,NAGA,B3GALNT1
SIDM00519,-0.7672561560996097,1.1789800186971144,-0.9239779244911873,-0.6053577462317702,0.24970519852152692,-0.8158354235886399,-0.59936485248741,2.9666386345170626,-0.1137506749716405,0.6430322168246411
SIDM00917,-0.4781289332784571,0.6219322835895315,-0.9442913594491185,0.6107114103918635,-0.3001396963123799,-0.8704451107794029,-0.5067229514018796,2.0502039312738103,0.6633546499736156,-0.29299340353932335
SIDM00309,-0.6649552962058246,0.9118250625491823,-0.881058712701736,-0.4106421691700134,-0.478038974634223,-0.8322365950992284,-0.6773326501275665,2.551099684632923,0.39779328125251906,1.4984060343914405
SIDM00099,-0.7032284207378371,0.9909832295112327,-0.8982812702483345,-0.5296572244164625,0.06444188213508938,-0.8463487136355261,-0.6344959826504802,2.607453557214673,-0.5670838539911047,-0.4468554240662966
SIDM00276,-0.6231233520586168,2.040271361127568,-0.8539599898625619,-0.5352499440248611,0.20065693552165595,-0.392216080233698,-0.3857911383316693,2.3296042686510585,0.641874676674579,0.8226202572607564
SIDM00311,-0.7244327045142922,1.6204151019459299,-0.87133772703727,0.005140792885034629,-0.2648895634550316,-0.8736028991552914,-0.7269249247259142,2.683327266669489,0.2565550847531171,-0.23097466719097404
SIDM00970,-0.26674292411581174,1.070461185531863,-0.757504380181131,-0.5503244293884723,1.3070811867320087,-0.274093335623011,-0.33925983608659777,1.7104474490255577,1.028243557558335,1.3011736427453877
SIDM00103,-0.6165377461186181,0.8820539495646539,-0.9281323921642471,-0.46843938145256364,-0.23259425943431555,-0.8634921519059656,-0.7496978932522433,2.699360565859833,0.18777436516705176,0.5314519126274363
SIDM00266,-0.7530955016470144,0.9305034845603436,-0.824485856297666,-0.5149397702298895,-0.2913049598486608,-0.8649893054962405,-0.634390654584888,2.1770014275720135,0.17173395804390656,0.9864735856096092
SIDM01064,-0.7036632584489091,0.9777008807817232,-0.7872022252519123,-0.33042490559999715,0.4460915083163271,-0.8606047519446809,-0.5806477556770505,2.2254115848582146,0.5820331864168089,-0.5258528756386941
SIDM00098,-0.7188157607926978,1.5519528198241639,-0.8555535299048784,-0.28162086300405614,-0.20753462825884322,-0.8444982665094113,-0.8045630834213032,2.7826945251250796,-0.26631832087371826,0.4724603941246582
SIDM00225,-0.706493622873942,1.4903445737331245,-0.8339381318162927,0.17048148036137203,0.8309240862820799,-0.8170235938587916,-0.7203654720418424,2.3632054885870404,0.4795913523240522,-0.2377268966781554
SIDM00846,-0.4467935785753015,2.2628503346044297,-0.8956001820045003,-0.4169894093052444,0.3246236839116918,-0.8663687301214058,-0.7106520648910924,2.7032567818681654,0.9395281560314578,-0.06631615240557497
SIDM00291,-0.7586538256344796,1.0122857278736377,-0.9306986556484539,-0.23523491314350395,-0.1693771916229433,-0.7616266773603638,-0.6117691720887852,2.536105502280719,1.1959975088340276,-0.32568572704043935
SIDM00520,-0.8224882999722268,1.4451368133170608,-0.8425752477285697,-0.510732817996365,-0.029772831458240532,-0.8157910939847758,-0.6332245299320416,2.5391994029367475,0.17948847967693338,0.9225342856568026
SIDM00003,-0.7804773638065501,1.8084195049691782,-0.8229020141826573,-0.1731519907107335,-0.39517659155968077,-0.8445226468159316,-0.6434382007358408,2.6375378808328827,0.8342902220583533,0.5890758434600768
SIDM00136,-0.6289393520743359,1.0866257603410454,-0.8380033375583872,-0.20089299964852095,1.5825291906482073,0.02210103713500742,-0.37126666378003437,2.477417680876237,0.393294661273904,-0.527667896118196
SIDM01155,-0.627863001551629,1.5049766591111,-0.9200580421258726,0.019110937110105867,0.5519442107362033,-0.7493316554105596,-0.607138128699347,2.706426079217674,0.7741210229191109,1.2747256950317247
SIDM00224,-0.6572371693025673,1.0613766345128086,-0.9054724628167784,-0.5566615498939393,0.36637531971924214,-0.8885144160782393,-0.8295389057694784,2.4322102078358583,-0.2978601176648105,-0.025223119615367585
SIDM00783,-0.6283893419707042,0.930532791319624,-0.8881765408090202,-0.5117650527184914,-0.3932957646217683,-0.5632340297991852,-0.2909068655898335,2.4382826462456806,0.4548160494713406,0.5444352141113525
SIDM00490,-0.6087108714633883,1.1181794398093825,-0.8083359876585919,0.059159360602275,0.7352048015815371,-0.8085019931104259,-0.43501017119332214,2.4423401950749435,0.5219862432547956,0.7239794018767818
SIDM01090,-0.7331774407110805,0.9232636976605731,-0.9104764558312579,-0.42647390092125737,-0.05337407962817843,-0.7466742999415422,-0.16463750688052886,2.690686527832665,1.0875509693243015,1.4380008644594242
SIDM00394,-0.7713215673468503,2.041105276707355,-0.9065717231549782,-0.6699959012504136,0.0169624572825337,-0.7390639320204683,-0.2297327413496557,2.8877331183070125,0.7022106603111998,-0.4798121338510464
SIDM00538,-0.6802560350697705,1.087339320993118,-0.8898535956974745,-0.5223315349150467,-0.09522936528554417,-0.6454593080813347,-0.6238184614262153,2.0354531518398953,0.26339206359558076,-0.47668676820641603
SIDM01140,-0.6818912286561243,1.2578391783327685,-0.8991548488132393,0.07498627125773161,-0.5993743218405457,-0.7460926757405439,-0.5446443012609622,2.1274072313241135,0.7544720329947487,-0.3526681650635839
SIDM00101,-0.8435759224423041,1.5733279522747343,-0.9404754306163531,-0.4830752985354647,-0.43589326666600986,-0.8395849758968797,-0.7183988699684475,2.9335490460269646,0.17953688448157565,0.8412729222631007
SIDM00114,-0.5389962180997914,0.570893199396965,-0.9038628388105179,-0.22695788827510088,-0.5111430775007427,-0.6927109065942656,0.09912116303930403,2.1072806971180134,0.31567073620478114,0.06454617952374153
SIDM00102,-0.6982835450514749,1.077239314975276,-0.8787057922921983,-0.35561647635051713,0.31585365982102737,-0.8122109383239523,-0.5586777616502234,2.5131546330280745,0.31404339184443786,-0.31665388290915975
SIDM01122,-0.7270424753612336,1.6160236074055656,-0.9041120716791428,-0.37746602832216697,-0.6778246103176849,-0.943323257579346,-0.5221921772400951,2.532732633515445,1.0927874881345647,-0.12760344027561746
SIDM00261,-0.6596055238091837,0.9731679285260594,-0.8577587548171679,-0.24679249647548288,0.24124788911874107,-0.9303003291623702,-0.7764306648249164,1.5314571128540377,0.060643276722329234,-0.4081946561190383
SIDM00154,-0.5494223620622931,1.1331462546255298,-0.9076751664728729,-0.5936413273231631,0.21997826810187782,-0.7854375847754937,-0.6752290977167915,2.414962099451502,-0.3275867472438643,0.6219907525211992
SIDM00104,-0.6697871095766821,1.221619165557029,-0.8702908285032903,-0.42692016676435846,0.20976155403260777,-0.7893697682942309,-0.2986510609257104,2.9001949409181584,0.12451355801681221,0.2680750676565689
SIDM00267,-0.738220415762676,2.039942329659192,-0.8463529998614756,-0.5762849202393925,0.7152106487505767,-0.14514335794735725,-0.20224283543738017,2.2136840080623865,0.602442922081577,0.2113616800244823
SIDM00100,-0.7629765367713433,1.4109660421699777,-0.9230332188905869,0.030352201689305053,0.8832805748390956,-0.8370097726151206,-0.538712398842004,2.220845701391757,0.32495487066887513,-0.2945895030926851
SIDM00826,-0.8187763714506188,1.0132182723979088,-0.8975132051755571,-0.5168937332350922,-0.41930989410115765,0.05811175471414171,-0.17155230098873764,2.7732038484891195,0.2250814164547844,-0.607013076203939
SIDM00310,-0.692352848745673,1.6505118709809856,-0.9047514115284994,0.17418213177876976,0.8956649878994647,-0.8535618601581966,-0.6824519275362864,2.8748102384364436,-0.13050096155810703,-0.47774331894348254
SIDM00482,-0.6467820542348667,1.26762727094317,-0.7654046931725915,0.40314023299695495,-0.5738146299037786,-0.7648712689651864,-0.584782488383525,2.1030678071300897,0.9692231149498803,-0.49750823542908607
SIDM01247,-0.5447357995661294,1.2389214599883038,-0.8216365376364807,-0.36603394778553994,-0.3852791734880823,-0.7434017106525733,-0.46086638722332834,-0.6448264542251787,-0.25718649731164495,-0.4449358682306575
SIDM00817,-0.7260295737645357,1.546300584865675,-0.9134105424933113,-0.3843621905737956,0.0996952747604039,-0.8382809649603697,-0.5609949437255861,2.84163530060794,0.7777880062228779,0.9313646222352163
SIDM00448,-0.6907859498299075,1.875224841785558,-0.9077471914829761,-0.07857260103903921,-0.25747681395681077,-0.6752520946700029,-0.38647301254865624,1.9248833959634697,0.08703982577297814,-0.4381159029800766
SIDM00086,-0.708053295180565,1.6021848897131779,-0.9180675495884737,-0.24085096384681243,0.34390299931984647,-0.8113825254725429,-0.695071176148242,2.8072698846417463,0.43152435565122854,1.3528520420349193
SIDM00466,-0.802982096988677,1.029323654297591,-0.9002081739232054,-0.5686773384654834,-0.08570345681036652,-0.1481059311208519,-0.46962698710510026,2.37592478767619,0.2894201524514199,1.1758482146716145
SIDM01132,-0.7072867771873976,1.9901442138619332,-0.7852967643522137,0.0272786469804297,-0.15340857495636115,-0.7558488951307117,-0.32598710311858736,2.547640447894066,1.1451848221475216,-0.433818610316637
