,CASP9,TNF,CAT,PPP3CC,PPP3R1,ALS2,BAD,CCS,MAP3K5,TOMM40L,GRIN1,GRIN2A,MAPK11,GRIN2B,SOD1,GRIN2C,BID,GRIN2D,MAP2K3,MAPK13,NOS1,BAX,NEFM,GRIA2,SLC1A2,NEFH,GRIA1,MAP2K6,TNFRSF1B,CASP1,CASP3,NEFL,TNFRSF1A,DAXX,CHP2,RAC1,MAPK14,MAPK12,APAF1,GPX1,RAB5A,BCL2,BCL2L1,PRPH2,PPP3CB,TP53,PPP3CA,PRPH,DERL1,TOMM40,CHP1
SIDM00519,-0.16304697270656243,-0.5600337566519754,0.4560597849081559,0.11411858638168945,0.6006131335263584,-0.42539115600053645,1.3580295249854797,0.7960186715225553,1.0003074988063112,-0.353562395817549,-0.8336545197363687,-0.8711102277229238,-0.4275518556801686,-0.8649656119941859,3.235557521260157,-0.7251294601834596,1.6347017488187623,-0.916265358659966,0.9184842646917146,0.5838466638312486,-0.8581953720467783,1.1283881213024127,-0.7674049020464057,-0.9998320503920795,-0.829373029326723,-0.850485683332816,-0.8006738270340403,-0.32925879534820157,-0.7651715260478957,0.4435558840121289,0.7134332037451958,-0.039391271937331315,0.27503096597781734,1.4312703856224367,-0.8245934981203595,2.769353667407342,0.37111776949571185,0.22566466874088495,-0.46457905330289656,3.179517172281839,1.024786519925477,-0.8524925481584129,0.24007478526559883,-0.9621116932890809,1.0595067925802728,-0.5490992699972357,0.4624333910765997,-0.1562117872126351,1.5600980196984338,-0.11073894263637524,1.6441251892035962
SIDM00917,0.2536338368942526,1.830999589279416,1.0162665639812445,1.4073343429485472,0.5031292249178309,-0.5629229596423476,0.7032882367405254,0.9100262324392526,1.2763856552396948,-0.5273375983728745,-0.8530250237639185,-0.5859244803758489,-0.525953339268432,-0.8019169405197101,2.93680660728284,-0.6719787269115342,2.2920786722805264,-0.9093959510948149,1.1114459492290452,0.47021257552627205,-0.7901190618414349,2.0651725725111083,-0.8893253714527276,-0.9405278426256424,-0.8434515834479892,-0.6230647580122878,-0.8612144771970766,-0.06804046775688463,-0.5646947381217815,1.070457543730453,0.9001218501554026,-0.8010319126444749,-0.5761448395166946,0.6747356817461254,-0.8433782154006646,2.1032589178303955,0.2015353129556218,0.181379694899807,-0.4817598551934792,2.9910308463171176,1.0999013336177565,0.9638713702942754,0.30905402251947384,-0.8709002257371421,1.421329490820309,-0.5377656233603392,-0.9550305402844965,-0.3860968623849248,1.5218901337624757,-0.3433344518875309,1.0619232141102706
SIDM00309,0.3099802629052463,-0.8252947442022723,1.104819497748468,0.239530686891279,0.4586945316334438,-0.3985807896551523,1.4346878852123166,0.918535458787118,-0.2526768705679563,-0.6403702974685371,-0.7916030438292029,-0.873371418752893,-0.6920362432120015,-0.8434691448664909,3.2213579350357198,-0.49109612844113754,1.0694911735687007,-0.8977231785649307,0.914281731536143,-0.6167940378906848,-0.8456682406461499,1.2889181462810615,-0.7941751262712744,-0.9611548463247325,-0.811113546843583,1.1546236938407817,-0.8658813252718345,-0.32064613607320613,-0.7760079446418088,0.3710592745794349,1.5199915871511618,-0.9121775203212449,0.5661578017054454,0.9582326017190976,-0.840162665915936,2.5778827866642704,0.027781658176252295,0.16320294456720882,-0.6448947396276308,2.8427601429963176,1.4620777150113609,-0.80283909773139,0.1544148113693867,-0.9184695801387397,1.1348244033746662,-0.4883528195407754,0.7846956195278735,-0.28684089969168475,0.8821582639402238,0.22718774083085516,1.7579141813487515
SIDM00099,-0.16120780182301667,-0.8381578425807334,0.2018136114064252,1.139087154857637,0.9383392124847367,-0.30551573492637785,1.2518102860044347,0.8442562072387308,-0.21948724939719044,-0.8027266489852202,-0.8342193048062185,-0.8926345904788212,-0.6524415497699577,-0.7872887852805356,3.1771265219851124,-0.7279719896638889,0.9620921739373606,-0.9799720234276571,0.8757885213634468,-0.6743050407145389,-0.889306792091601,1.778221651865239,-0.8748886221928525,-0.9229085658838628,-0.7348287486757856,-0.9080399651384119,-0.8467950200832652,-0.4856989509765795,-0.8053683293052938,-0.8006880524879727,0.7852054929480522,-0.20926151852374436,0.4728733010382715,0.8530590272666337,-0.8432639551399868,2.5640336413202114,0.15698173939898816,0.19782956718958974,-0.5123098983380346,3.0456106820742503,1.6076266473745775,-0.60294501058701,0.7042714198127649,-0.9707085676569821,1.3225179014283042,-0.4606656978346491,1.0484953055855488,-0.3389598772551714,1.4372158770678665,-0.014160801693984995,1.5173131678875098
SIDM00276,0.5405277638057181,-0.7093612735075637,0.6248978392510485,0.14944474233641536,0.7380633156463018,-0.5673631580715706,1.2834932020677752,1.2497421299194345,0.3601259301608693,-0.7447684660672712,-0.7921997403841583,-0.886795926067741,-0.7072319325125542,-0.8997220402904402,3.269740045698792,-0.7497486249597137,1.643760180244903,-0.7822047002591036,1.2755666797266043,1.4914025585674724,-0.7513960091459745,1.1320674877821444,-0.8638872792423357,-0.9516948433214696,-0.7785433046465046,-0.9317721351648383,-0.9361448552522226,0.07916000121860613,-0.7409089640907184,-0.06692842171312931,1.1949182686427657,-0.873360366760541,0.46421297842908815,1.2567284081279146,-0.8075367709930855,2.537790164982142,0.3161658464418772,-0.0616438838510233,-0.5289073356854165,2.876057651306437,1.108798381403235,-0.8295392935450043,0.3722016247702064,-0.879967632899938,0.9749929377434926,-0.3152874840479835,1.1017332648282585,-0.35864046368235764,1.3544583675933832,0.018130330280953108,1.8004960987401966
SIDM00311,0.016676397282197126,-0.7630319113703132,0.8362893034591177,0.5372556161210008,0.33983197724746034,-0.4521959048342251,1.179641852767542,1.0292078715819497,0.45316327198992035,-0.5900170043394958,-0.8700051754780997,-0.8348294688604934,-0.53551381406055,-0.8682536570055481,3.3034092051487,-0.6984856788253516,1.1387286654756323,-0.9526670159102201,1.0915739940647466,-0.558065289953534,-0.8170338047222186,1.007198245658985,-0.8617426502968373,-0.9550523451923879,-0.794594351451232,-0.8662340156319066,-0.8900368452250145,-0.5161589198999724,-0.6306504112110182,0.43839701125341674,1.292328226521967,-0.032149394203768784,0.3283000067723606,0.9858135896059375,-0.8158154101321047,2.5336087504973483,0.22038630050524832,0.1215856797023061,-0.5693115362619589,3.051024364453274,0.9255708775155836,-0.829927386537892,-0.12702848759436397,-0.9208858820364799,1.2093930196224365,-0.4660973343828472,0.947465542602499,-0.32976747153257274,1.6725545688904677,0.053969401614949584,0.7540254640885538
SIDM00970,0.47699840145989814,-0.9528144348089674,1.4387808574744647,0.030852483894811232,0.5069331571714352,-0.6541787857764924,0.926248724312014,0.6488602342527963,1.311094440136674,-0.30490742023672096,-0.8832018114353318,-0.7896435071386281,-0.7101858439138434,-0.8665429834789505,3.1189533735743655,-0.8029038024646,2.2181068288096415,-0.682240756905089,0.7436446832470484,1.1320125379614268,-0.8307747727808694,1.341199287042788,-0.7582562040325007,-0.8136551581432439,-0.7465042826066715,-0.8456607894333905,-0.8724273725065558,0.17634610993410874,-0.5098497498010772,-0.2352136119286673,1.2696085940084265,-0.8128107842563753,0.6945822203691181,0.9191668420817738,-0.7022949505622341,2.70133784532971,0.22025738468349013,-0.283948733105749,-0.5592354542280012,2.9402181087025188,1.3208076622142535,-0.7892635762616721,0.0380372055909362,-0.9870088008566245,1.3200824079518878,-0.6567645675008575,1.1064490655090542,-0.47939579668841636,1.639018700795465,0.2537152961332588,1.7144994215516516
SIDM00103,-0.21195830567363155,-0.7985828210686804,0.9561767596736607,1.39866427863796,0.5453880413287697,-0.2875303666801101,1.506035085821319,0.8718163752654026,0.3490349380728735,-0.6141410205089003,-0.9051678607542724,-0.7637008815017764,-0.6616446450437894,-0.8579353270191581,3.233731808483555,-0.7562641846087838,0.6592252551179641,-0.9246869838732787,1.253334838882961,-0.40427665466322144,-0.8198624622143239,1.3909918724212125,-0.8371180589819378,-0.9013407583732873,-0.8375641322509617,-0.8230715012860386,-0.8751633164248374,-0.4248265892447458,-0.542990801877648,0.4887425818765774,1.4164805506199207,-0.7755757236009854,-0.010341617274465718,1.0372706706357473,-0.7919491553438586,2.5729208617833472,0.0013004073611845926,0.15811161940364743,-0.6801308861233766,3.1224348074260213,1.4366575341641354,-0.7675654380186656,0.5011303763626825,-0.9485291497383697,1.1609808763492704,-0.5608796842096238,0.931967646087815,-0.40314183550335236,1.3307351572403485,-0.024047199749279442,1.7219521346837794
SIDM00266,0.1439342599588066,-0.6886728367980001,0.9170369643550211,0.059452434153442264,0.7518863505157191,-0.31742644787200147,0.8550364573565588,0.9429314829288831,0.40890855531099385,-0.5845839309945833,-0.9393497090919154,-0.857302840889627,-0.7213032168910508,-0.8214330695060518,2.95701860817438,-0.7203445980815911,1.4105277299308452,-0.8041780033906409,0.37867268065868775,0.020916236547061776,-0.46341943486929016,0.7778950231981702,-0.8592607010858662,-0.8399411161935741,-0.8326495784826372,-0.8008083458893448,-0.8624805063482439,1.498995925038835,-0.843899839522679,-0.6035359376208651,0.6822150047002127,-0.8595985123283248,-0.0781745509287426,1.123797436239019,-0.8471823115370111,2.423210183355695,0.20226953876461828,-0.08669129486398476,-0.5488311224049399,2.724993152362851,1.1730006742537524,-0.5357728627624754,-0.43181650829586077,-0.8257527845810019,1.6327421418768657,-0.6844618064062402,1.6648138934646912,-0.0282967401110207,1.4983511632859663,-0.17581018880699914,1.301229601043689
SIDM01064,-0.1351704207431215,1.2615577021538715,1.062070411323977,1.2825025270747707,0.7706577661199161,-0.6558120725055214,1.1711456279706722,0.8633514382837241,0.48870408264727916,-0.19013555531428222,-0.9241175167379905,-0.8102600933074803,-0.4817365671169845,-0.8700058658108729,3.043805883924543,-0.6352847272499765,0.9815586639530066,-0.8133546680012044,0.8352703443306618,0.30136442387271595,-0.8467547284349406,1.0152931764565603,-0.7846902665465177,-0.8960331786703962,-0.7112436715156483,-0.35360031999384217,-0.8378108277831928,-0.24627051765342797,-0.45140566302508106,-0.25129219152295146,1.5209681332346896,-0.7935371213452549,-0.7137271373219817,1.0152035376106539,-0.8555506126949551,1.8105522688699511,0.3799612684593851,-0.003268500461773034,-0.5468074502680605,2.499719379335193,1.0593058766358037,0.02402569224610241,-0.1324727414864441,-0.8596905242249919,1.4965333639248315,-0.5881384431654524,1.2064258194788318,0.361947152960994,1.9553752283603376,-0.07925010332194175,1.1989393237284054
