,SOAT1,LSS,SQLE,EBP,DHCR7,CYP27B1,DHCR24,MSMO1,FDFT1,LIPA,CEL,TM7SF2,NSDHL,SOAT2
SIDM00519,1.4441104523530954,0.8485147337020825,1.3145655315663356,1.8097957244864207,1.224359927740118,-0.8081043124308984,-0.5495337028384388,1.2746436716550205,1.6152254223686213,2.2979197796773567,-0.39855505791847046,0.5033353636379105,1.2554686040342782,-0.7501343582213849
SIDM00917,1.3593146298275656,1.5479337524025418,1.562699150269895,1.6304382820231424,1.1763768320141899,-0.6934566500776861,-0.5999679417540628,1.9645704757247748,2.7365608528080485,1.7605385184166182,-0.48613701886167515,0.6455534553731637,1.3128135476814808,-0.9439165514018545
SIDM00309,1.095580803355827,1.0666736848141962,1.1667540223937671,1.7917869811555096,1.4301967616441145,-0.918790331728635,-0.1329668180661523,1.9940916964047541,2.102242650928993,2.187703519604456,-0.8186855784050711,0.7643526230437856,1.3692310218469974,-0.863711106832794
SIDM00099,0.9311406503283242,0.2565400817236685,0.7890210720209465,1.4358097135945966,0.6181017342957723,-0.8957821074737226,-0.7143962133418262,0.7860016098680083,2.070296953430021,1.545366313045996,-0.34869018627773757,-0.09276069182914219,0.9460642618186058,-0.8213783092190209
SIDM00276,1.243565997694315,1.0384381503624849,1.332198048564311,2.588179564380031,1.8096416895541407,-0.8435993758590449,-0.24753422595222807,2.091011277323463,2.7944801559844232,2.201955029330336,-0.7043398057498207,0.6014138007593661,1.5072584474278772,-0.9125531835828806
SIDM00311,0.578748405216666,-0.031475002952309525,1.8114682326920564,2.0094519440035983,0.7547085062767904,-0.8959968137623577,-0.5816995779790767,1.4292994555088456,1.9944474089159816,1.81663355429136,-0.6671655655721217,-0.2873272526396083,1.2823952170718165,-0.8195583781769153
SIDM00970,0.5760771862373772,0.030969173728379967,2.096564193029034,2.089703245271722,1.3392765300387022,-0.8491091041027924,-0.16678018898079633,2.330315059186826,3.2355726260513182,1.5460834633049192,-0.6199894204222527,1.5275070168960898,1.4239123401542817,-0.9421185171628071
SIDM00103,1.2955908965015366,1.0136427994717228,0.9322272266629328,1.3192093831837088,0.9112760469342367,-0.9359912515488794,-0.24757109637963357,1.2175668783067624,2.2304017753427083,2.9310525473042195,-0.6484559858729562,0.2530386886150733,1.0851243184166228,-0.7893476521575981
SIDM00266,0.4479092285313891,0.7673845710601549,2.1558444777570416,1.9012560897352986,1.3353536597324593,-0.7922182471008972,-0.5317590016680376,2.7720019413297874,2.705276770072794,1.584592031343072,-0.6407864050446455,0.9735435626076969,1.4479105642101613,-0.7385398521219546
SIDM01064,0.9685727525942602,0.054310437207163144,1.6674707600066057,2.165978257407757,0.3853432699225604,-0.8307046592823548,-0.7237399368183596,1.4876417648689164,1.6489102776000966,2.1378802921023974,-0.5505875121675162,0.3528529249345621,0.927170213905709,-0.8754748811282496
SIDM00098,1.0743549626555955,1.219605880928053,1.7785492738571276,2.149609208277583,1.5156223686802373,-0.9121513782365368,-0.18419631734220188,2.1057525437168376,3.0025641856319125,1.3788757957961422,-0.5069071858122768,0.690694917819163,1.262603232019606,-0.7248070270191194
SIDM00225,1.09943584876098,0.6265738377112678,1.8670391535330928,2.291522416622871,1.5432410633940348,-0.8865278342782057,-0.3572160407086208,2.028363132208107,2.7454665490184293,1.94809373764897,-0.8248879076605209,0.23905266885185075,1.3897289577197272,-0.6910659286506091
SIDM00846,0.5987448396268992,0.1724580452583026,1.0191240130235295,2.4529838540092608,1.3566109517167324,-0.563433257392471,-0.35409336502415173,1.3187946747698596,2.2001807071219943,1.5694097170386898,-0.734160311336059,0.07555269075625623,1.361953354905097,-0.9401493061489876
SIDM00291,0.7330370933508608,0.7332525130423567,1.5933694716148379,2.1484404759349722,1.876498916563044,-0.7892105809031914,-0.29551867900654916,2.2549769290855353,2.995804631553132,1.890918810070471,-0.7086982620177456,1.0273814056428254,1.5630199517213639,-0.9219074251974754
SIDM00520,1.2957694339928212,1.1126544087053922,0.6956803038226507,1.8221077497613072,1.2461360941760475,-0.8898940577582578,-0.3883053434061233,1.2370824763191057,1.9301205543558833,2.637711595014349,-0.6305459636386012,0.07556848324665129,1.1642533789281058,-0.7953424088943317
SIDM00003,1.4541834257752435,0.6553830715293506,1.2074325690626935,2.218203121235065,0.8870193049592165,-0.7596383280466679,-0.21666203824674507,1.0481709548725053,2.4716264183913106,1.9551712780215136,-0.6725067186378746,-0.23176521673889905,1.4337119085384284,-0.7954087928698212
SIDM00136,-0.3449215374477261,0.3643364256528129,2.098246283616059,1.9727580543451808,1.5344493564735193,-0.5835724800764933,-0.30598039729145393,1.2327425440063393,2.3321528933302353,1.3318122818205973,-0.7003503566761796,1.1756882051979995,1.4778198542567789,-0.7903552978723742
SIDM01155,1.2213297527101221,0.9496978119563279,1.7092650496385973,2.3717510671304307,1.4897444147148045,-0.8547279464422676,-0.08171062918629073,2.1383524244655034,2.8377758122199075,-0.5947672627129532,-0.7350900290381817,-0.10233164046128715,1.797654841287181,-0.9031333253948267
SIDM00224,-0.13970086813584226,1.1518032042734831,2.3252757692807093,1.7323042076021247,1.5267614018975137,-0.9909670979626094,-0.14323318118117814,2.0017814080626732,2.484353019861964,1.769033551060605,-0.566080249784271,-0.12758441358275116,1.2938283892853477,-0.8444900942530523
SIDM00783,0.5733973603204546,-0.10979617492623853,1.0270372467027769,1.3631161127656668,0.8555920946440477,-0.42427746778065417,-0.6898391859820149,1.2342438227346202,1.960271646555024,1.4731864740053087,-0.5796312890260228,1.043062149371673,0.7808199335107605,-0.9257489283211399
SIDM00490,0.6540727511128576,-0.28929647249210716,0.6750353743672343,1.2487125148153633,-0.4112338644123603,-0.8986023088076373,-0.7994460126971619,0.5260809075948891,2.0131842934005313,1.7647334704175437,-0.7037665589664328,-0.07611751109748974,1.2734110867637367,-0.8250809610233806
SIDM01090,0.7816439264927659,0.4134134483013771,1.5029229845797853,1.4962490117591545,0.3053780490007073,-0.6649859206917675,-0.5411007885345167,1.019172014353404,2.151922028953315,1.3732569034136646,-0.7452223179298486,0.909231534152502,1.1284149015318585,-0.8498627706752485
SIDM00394,0.9628211827895308,0.04121069821707085,1.5845564381574848,2.7985403554959944,1.6247071935676356,-0.07601792746246172,-0.6105965577965579,2.0548008733706595,2.7030688065741115,0.7952885616667422,-0.79166306477504,0.4724617513325482,1.6112782529584955,-0.7221773806884297
SIDM00538,0.5925136118918313,0.22564150299443728,1.7904744614078023,1.8734015857510213,1.2040593036871032,-0.47558381693026336,-0.2738205703800645,2.1665527088106904,2.884178021139992,1.6431606118832074,-0.7208754693542092,-0.016095620967385326,1.579123332456104,-0.7640050054362459
SIDM01140,-0.4221351524321314,0.6265132873539694,1.5161016650090742,2.2177694115060547,1.5307572398935787,-0.8056267569109897,-0.21014969053554652,2.3500058019447017,3.1311018421404637,1.6587311976627255,-0.13583720253388332,1.2224702513786567,1.5171278568381568,-0.8432716890889588
SIDM00101,0.9768271477684319,0.6104266595877834,1.900323117965045,2.2707545262361153,1.2609370177667274,-0.861844563036331,0.21877135787656718,1.9842917633067592,2.4832155499950646,2.0058049673467706,-0.7418240422395272,0.9088868628769725,1.576723881165448,-0.8986357611923463
SIDM00114,1.1741677275257738,-0.2546143257373753,1.481797982175751,1.9963505851224104,1.2505071395022018,-0.7651392195873311,-0.5909548918412787,1.9405825814526605,2.3339922727182425,1.3687128357125158,-0.6440077867745585,0.344720683011786,1.434284633706765,-0.8812585680133146
