,IMMP1L,SRP14,SEC61B,SEC63,SRPRB,SRP19,SRP54,SEC61G,HSPA5,IMMP2L,SEC61A2,OXA1L,SEC11A,SPCS1,SEC11C,SPCS2,SEC62,SPCS3,SEC61A1,SRP72,SRP68
SIDM00519,-0.2356608136419792,2.8079872467814506,3.1195930442019564,1.8658595706759251,1.4780027603538348,1.8406036005706061,1.1594151599721687,3.1735149581280107,2.013322528200494,0.1516591254661629,-0.5231980564947185,0.8453836048204716,2.948035081081367,2.1274592191175024,0.2198554359427701,-0.45591296203986104,0.8760951420257773,0.7784900828501289,0.754893790610187,2.262717247496532,1.8470111888447436
SIDM00917,0.1484167249828353,2.512014488001523,3.0475450040038092,1.2910679293316734,1.7509705763512269,2.0459022173740697,1.839245739162486,2.966489200973639,1.2750859958446203,0.07697762128762176,-0.46434945169903574,1.6743676294239551,2.54538409786798,2.708069376062882,0.6679124192629846,-0.6887403239676966,0.863153665601972,1.308820972494131,0.8309356699862473,2.3875106264922055,1.6507564156875298
SIDM00309,-0.22807354009815806,2.3964142873941943,2.8230719050247632,1.7188710592527554,1.4647703126230855,2.013126673337611,2.143017872836806,3.0478933342034775,1.3590627146268142,0.16791322470157105,-0.503107640818459,0.705052713271768,2.472281278863119,2.6414900486562676,-0.25863088348791063,-0.3690716470817853,1.0973192783253616,1.3795518254619206,1.3139153357595752,2.7856235989210503,1.8101757584271068
SIDM00099,-0.9203261404150721,2.593762576538368,3.074523726875975,1.726083651886957,1.7621869421677727,1.8594062809086789,1.7922967513016732,3.064663624627145,2.29696737678618,-0.03726885248210226,-0.6078795812269742,1.4716219624796436,2.802649186075321,2.3847850792655576,-0.6395607952418763,-0.5696268432667153,1.3148440527790584,0.8957165053098721,1.2763829848425674,2.440009474371289,1.9114950689576844
SIDM00276,-0.0676971419379112,2.825539152464398,2.8456637799517925,1.1819392922096656,0.887311936467917,1.491063557553646,1.7011553813497458,3.1898698380766257,1.4307298806724233,0.014705366493029809,-0.5384892214021831,1.1229687126606254,2.6075009083337894,2.259834765694393,-0.43415532661873574,-0.44528948262147316,0.650212420412516,1.760734188990943,1.1365246759092626,1.9800487137138432,2.1416867581689094
SIDM00311,-0.34321426199714716,2.3668654268956333,3.1214755603699906,1.766281888543035,1.370596353153601,2.0524034642628703,1.6769588430976279,3.2192963505040906,1.879761561306915,-0.15236620802630477,-0.6188558081761404,0.913618259511396,2.7919266513930356,2.5792949268945713,-0.27039047478389233,-0.4866914307396552,1.182033431148651,1.0092651084085849,0.9966339534164856,2.2753619378571504,1.4640249329979276
SIDM00970,-0.10987852441904719,2.7396413241514344,2.72671244367776,1.3161823664042744,1.542707847659712,1.5079686999576443,1.617434357365577,2.8974401165198826,1.4050107453303167,0.027122156362751917,-0.41421166292579703,1.1062649261726392,2.7753194037305056,2.7210456320425074,-0.14488378076082664,-0.5766367963777781,1.058681667526732,1.2195135257808032,0.9552371737872017,2.374810793538594,2.093467582442406
SIDM00103,-0.45722064986353533,2.6288178842853345,3.020404406522891,1.504402356314757,1.5513481449640782,1.7602723378545975,1.604659717333147,2.8477840120453153,1.7316200308159662,-0.007648542582835708,-0.6502861470455646,1.4964259606570711,2.8541515553496186,2.580181425730199,-0.22771596797423402,-0.4887692295767916,1.1655255984697273,0.9735735682556158,1.1503044206675803,2.4312659936259258,1.7622184972440378
SIDM00266,-0.6447795834733739,2.5238876789802416,2.914141827185329,1.9339870026690877,1.5978960113263116,2.00270262228774,1.8898892975886052,2.862899196220752,2.556629088673547,0.10387432371885037,-0.5729148895336976,1.422784699669261,2.5231457319190267,2.6371788282253887,1.045800265968723,-0.5439775445318904,0.9403716659045018,1.1098701594529488,0.8813092277517411,2.855089642624147,1.6713412100904947
SIDM01064,0.20433308707657952,2.579979536405079,2.961769189621913,1.8977425857231593,1.8232546978106523,1.8319159159445086,1.8211004149680898,3.033926858365052,1.3777806969793978,0.22177904375920302,-0.5499197121533547,1.001896755503046,2.848291956195058,2.5898409444412316,1.3883695226459214,-0.4117169358932278,1.1059701273496458,1.395811691954811,0.8830586154572659,2.0708988409067426,1.3386753563876899
SIDM00098,-0.08225749403863705,2.5563111688418125,3.096767947269536,1.8816952001070473,1.64201469738841,2.188905455767373,1.5086484445521136,3.310693716434725,1.5995668488099017,-0.0011118994618295255,-0.7186571224078983,1.0759934887648448,2.656125265415728,2.2792767871806374,-0.5131471139802065,-0.6840253216840794,1.1345901743148656,0.9929986304302141,1.1206196410519527,2.6059660865011844,1.9578607392342369
SIDM00225,-0.12892053631097822,2.6880836654413605,2.976141239511969,1.6371037066292964,1.6481175155778733,1.825238819224555,1.7804527046274836,3.345751772611411,2.215330467498786,0.30909851510074243,-0.5272694889330902,0.9808900012857343,2.813133069663932,2.5458328064481672,-0.235061768717258,-0.5458353449640359,0.9440052121438253,1.101252576748922,1.087484460128636,2.4449429423885234,1.663582066853908
SIDM00846,-0.004085776063095645,2.797895075973661,2.965043482186172,1.51670386774681,1.9872366888120392,1.9361987085057109,1.4595690508363688,2.9621347882620457,2.168417556488704,0.9219425290842219,-0.6049393274477303,1.2942406715015438,3.1752964074764662,2.906493661606012,-0.15046035591099508,-0.3016766753224549,0.7977131722576185,1.281670113299855,0.9411448262179982,2.452984521224872,1.8214762296670657
SIDM00291,-0.06583568449811417,2.0961854673662668,2.479704007372106,0.40652942972025524,1.9879110549058099,1.1874259053461125,1.4268537073856016,2.703940425175349,1.0785658518209125,0.4867619536979643,-0.5944420959412319,1.6344965136127385,2.803657010300733,2.735152500500213,0.10996676538852808,-0.6717345183132952,0.3644517057093114,0.8481434769549809,1.1826849285164092,1.4537956096089208,1.741409974076603
SIDM00520,-0.7082931704876099,2.63442482097892,3.2011811912577195,1.2815747437116742,1.7970008970809046,1.9513839209504993,1.4210061932328164,3.0842317799820327,1.8491311224245486,0.00048608810277310873,-0.5915216905256744,0.8209528903183019,2.7818054876757214,2.606652332550648,-0.07447364064189894,-0.5285585340483321,1.145048846577177,0.8701201634208393,1.3352806617604398,2.5170642350778967,1.5602725359514595
SIDM00003,-0.5153073185079401,2.5625144261716786,2.926312393954935,1.2633413257193784,2.0947175117687236,1.729561700574007,1.4097208991089398,2.8186206971590053,1.505973459946476,0.8064205812451762,-0.6666575992128799,1.0203647578364587,2.872870322490545,2.4520086570752073,0.38948302967799525,-0.4082695186741299,1.0184746704652976,0.998035044401051,1.4284262373372754,2.1622665400231442,1.5929480306566914
SIDM00136,-0.2834088461934784,2.6231162919996254,2.9600156880431254,1.6511447833896848,1.6353892833377328,1.7445894049811246,1.391990469468883,3.148119447175638,1.726382913052457,0.14802962133417993,-0.7055524250632215,1.043179117212212,3.1067374767031204,2.456971659685262,-0.045856593130162084,-0.36842129337404417,1.2369147218155154,0.7116541117030611,1.204402966114722,2.566975260243342,1.670851078035521
SIDM01155,-0.382956861312607,2.480819961641938,3.149323400879847,1.6432256615432212,1.7438256453151308,1.8655354086987235,1.6031220898833165,3.285607180933083,1.9689100132088073,-0.005983376031565424,-0.6096247274545087,0.9869534925555681,2.477820662766046,2.4273690680870286,-0.23925578357098778,-0.4754818591827122,0.9649372841763626,1.2374005985439487,1.2447733607364277,2.5343930844274354,1.8559377270465363
SIDM00224,-0.46989837829595954,2.5525018581146335,2.94047944929272,1.7796312555919207,1.8707741184441955,1.7140604757722542,1.8167177668966978,2.9841238890746493,1.7332902135177903,0.01547415164377379,-0.5762995594570074,1.2235009868841307,2.702084768807025,2.2788615080696584,-0.167439268168913,-0.44607764481194917,1.2308830551542511,1.0741110685392894,1.1722232297280923,2.064950540421131,1.8712489269618748
SIDM00783,-0.06096890302698677,2.3142427017215383,2.906973051634174,1.3780835985780058,1.9459906671875027,2.0603946236033734,1.6310600977981218,3.020604898651276,2.6025338437097614,0.4449159168554228,-0.7327234326688206,1.372550232806252,2.819960086053973,2.570949879361549,0.35520598306124024,-0.47626721790174464,0.9899959322812459,1.412864802394843,1.1937762467896675,2.6018840519851696,2.196793220479529
SIDM00490,-0.288606299165105,2.7319617437360724,3.2600914476367318,1.8501564918992952,2.209475810762928,1.9060706494424515,1.5710383482362256,3.2195722521741286,2.5023735603048376,0.23473940696582735,-0.6849153021097036,0.8245902885058745,2.6434462872418836,2.4459879373922826,-0.09306417722043711,-0.44325170531010366,1.2735736502382229,0.9579498319600317,1.5493757339395582,2.7311483511771137,2.0365205292241964
SIDM01090,-0.4611206860703604,2.615389881182359,3.1609294118292213,0.20420630116379868,1.9640092192518226,1.6902611847450375,1.4555112029559205,2.725613479251534,1.956290662301363,0.21340384990387892,-0.3985255081269069,1.5950556863895031,2.872377861017057,2.570365764147046,-0.1667774738112097,-0.47152654304928165,1.0924307233602142,1.1764635323583852,1.191569131152084,2.5413070127407527,1.830557864518929
SIDM00394,-0.2810760416670307,2.5966044301963813,3.051946611493205,1.5400373589876852,1.7019365218609634,2.590129932155219,2.0332388920499698,3.167190160848666,2.2121529431287477,1.6005048219944393,-0.6214553279002025,1.4940609596887693,3.153120095072317,2.5500138523708564,-0.23022838924484437,-0.24200440111165591,1.3987511807846873,0.7703673053064969,0.9308653889543046,2.5093265315113653,1.8083108259860639
SIDM00538,-0.4367850087429914,2.617079466946417,2.82320952093759,1.76302487015239,1.7158134613155345,1.686217823616694,2.076295890793367,3.0902521398838805,2.2929396684716097,-0.15910756552827962,-0.589251194813853,1.1114965166519426,2.863681120149367,2.2855265766769848,-0.38738745475101843,-0.4839533315117267,1.120750140176619,0.7646017504193234,1.2300713608772984,2.6038415073384265,1.976212215399277
SIDM01140,0.10984445972649187,2.680759622426658,3.0946124938267503,1.3306555474759785,1.2186033936730378,1.931657008239521,1.7495295428849242,3.1345867423328353,1.725717321579504,-0.15538395561245702,-0.5589818064209178,1.2354702601623209,2.9754684487423564,2.5396640422051884,0.05190457720669992,-0.4356428443692601,0.924721726156982,1.1643003597525514,0.6453113959080228,2.6387060042407944,1.793044560124289
SIDM00101,-0.017641212036773612,2.4600456549948606,3.0254510346193593,1.2139094905389747,1.4793414482866163,1.7382460240209578,1.0717736510439961,2.9371627941798106,1.6854336045794713,0.1525933001049601,-0.6674345161210151,0.799248030060712,3.1090432604976663,2.6320498416258142,0.2931598392190783,-0.37586160786127887,0.6030410787840345,1.0435835541121885,0.693677148933328,2.6401977492931765,1.8458354981100291
SIDM00114,0.10018297118789889,2.6103559754784884,3.1454676273674993,1.7622888518816626,1.819491507331099,2.201477789641893,1.8353029495335114,3.164932561961422,1.9070453952102306,-0.13530120626500675,-0.4789238018844177,0.7380982444944689,2.464282883703397,2.652358949477756,-0.0030970791575105775,-0.4229102743445811,1.1722046214950055,1.2748662097747177,0.8899158407197676,2.837168353016118,2.0646405050678753
SIDM00102,-0.5065872772959141,2.7719633229290874,3.1373480582701023,1.6592077181440499,1.7419653796454078,2.1484192648854243,1.1861935013511018,3.2519713411860134,1.8514496481507634,-0.004263900830189382,-0.6727331194405993,1.111214590943697,2.654445171744617,2.380804740010141,-0.026540652679138597,-0.4575023070631042,1.1084412867030218,1.0084881961842131,1.0501758034471282,2.470595616878373,1.8897820897559727
SIDM01122,0.17525372608309572,2.465665628653535,2.765728352241897,1.627394203628211,1.572351302208323,2.2515396285161597,2.7865849503725144,2.9730821530886646,1.8429833020296278,0.8405292246697637,-0.651224265740652,1.3113821472634934,2.3939539785292157,2.342677840051237,0.04051658176520443,-0.4783920683609966,0.9634439072695384,0.7616891338792887,0.9256275160865222,2.9439013581996787,1.7558646671114317
SIDM00261,-0.07322531342495685,2.7499810946947516,2.986689618186543,1.806287166953316,1.6390192176470144,1.8310693249033099,1.2848143407813861,3.144170300309608,1.926955060193057,-0.019927192849466143,-0.3653494728141938,0.5237618937365108,2.2376769591668917,2.1516721046950438,0.8397162924492415,-0.4287987016003777,1.3214066284190478,0.9364977627573629,1.4019486669040555,2.7036146530000713,2.37384993695607
SIDM00154,-0.585799476154615,2.65118524607995,2.995647376708825,1.2338560590989702,1.8642867484096393,1.936615205766966,1.6905876456319597,2.992976653684566,2.033312350320019,-0.1499257231968309,-0.6614832670476521,1.2493312862159605,2.659227460091343,2.251847976058411,-0.1245415013018461,-0.3604262937059774,1.2938818943270098,0.936984233649666,1.0222634001421207,2.49508700172019,2.0407586975626133
SIDM00104,-0.3157151443668216,2.5769766851480993,3.1090007977213467,2.015706424491698,1.6269471947178238,2.2736999602580954,1.8588012592956833,3.255812914772009,2.2478287303247764,0.4652112038684049,-0.5296263039790209,0.9793138732647332,2.6663871020060435,2.344591113397927,-0.13391216632413724,-0.3435381467741143,1.4657986067061244,1.2472047820613081,1.0798889413366488,2.736301024603561,1.7860555714640158
SIDM00267,-0.09619317263693954,2.861983677458235,2.803093620132868,1.2114516451397883,1.5996162946912897,1.6190745675312899,1.6588323948749446,2.8116051602429355,1.261038960523813,0.19728144086214114,-0.6847765131300724,1.334156641183899,3.0839355195647493,2.6252473003803254,0.37349195843763966,-0.3430703196196368,1.1771504132218922,0.9559890276880365,0.5460767453246824,2.4185393177728867,1.5113736360953818
SIDM00100,-0.32945531697348684,2.6391788261154305,3.1096379433130523,1.7269501027152347,1.7496962198554644,2.1794156312068016,1.7172590080706576,3.2593712213147765,1.8969131804309018,-0.11568767882971326,-0.7661390809212354,1.0071291595483198,2.6659002186055716,1.8606746413306219,-0.09532403943817133,-0.5230465349244,1.3625751209985544,1.1728604142707233,1.2959124205500452,2.5556800071333727,2.1204731427610435
SIDM00826,-0.20753834756063533,2.769147161901593,3.300617683429762,1.5704456779341438,2.359770556900047,2.0381050019746025,2.1234880899413993,3.154019960078463,2.3899512617638403,-0.3377037540971662,-0.6308230551842801,1.3605365282159796,2.771434180793259,2.434729996109484,0.5940917879893508,-0.2602094004244986,1.3039628545660233,1.3284318662492107,1.6421822364358871,2.4657378485875,2.152639643835296
SIDM00310,-0.41983460249407206,2.7576539211948328,3.2090840327266044,1.2219257301423965,2.1542981431931323,2.049136303391937,1.1672367486801494,3.1354580014562736,1.9190682712688574,-0.06589292443473571,-0.5608259143669555,0.9884687333491934,2.6316848927011387,2.1462923419583224,-0.26440794510808713,-0.5057952457603195,0.9590926022160491,1.0605687874557677,1.3970734232493993,2.3659330513954044,1.963647763185923
SIDM00482,0.14406354752602363,2.5926603192067352,3.1153997510897264,1.4693537469079303,2.0911588028948302,2.0908753466641175,1.9832276182342088,3.055861500343463,1.5563906214780303,-0.16348951589902128,-0.3110224085505245,1.5436174304558594,2.6274274166437994,2.557502988139539,0.47670890333358834,-0.32331486419376143,0.8452811226826406,1.5170699579746723,0.8622669939526896,2.6023783100696973,1.8240417763164756
SIDM01247,1.143156577325165,2.7230825257151667,3.105261532129137,1.5355125655980295,1.9160191565416778,2.2037851232620116,2.0489712660971713,3.1234859127823356,1.5526263964843843,0.630867703790449,-0.27606004462296624,0.8595290818125758,2.5665998287593608,2.3599291566402294,0.4839612102900891,0.09157292408482588,1.6709340141440294,1.1324498084889172,0.3190441720932244,2.4042557669102895,1.8701285612961158
SIDM00817,0.25492856020637644,2.477273605410109,2.7847611204778513,1.117524729950361,1.4826807660243855,1.8410244414523098,1.707816897729442,3.314844714339473,1.9570803390656426,0.627422361875519,-0.7562199727649492,0.6948824958543433,2.6198652270873013,2.3878980310742515,0.27177798672271386,-0.3040076501985507,1.080910244344428,1.0310521208031378,0.8651516937568318,2.5119624136375185,1.925198135088231
SIDM00448,0.0960516934106498,2.6059004126461702,3.546565680994049,1.7713555641119136,2.176336529726206,2.4595873370258894,2.271986504835301,3.26513726831223,2.580081331940805,0.023690036841699267,-0.3270535095523544,1.5515061086783446,2.6155151476035527,2.7671372582349494,1.2139656144139124,0.21180165517417873,1.1757835567461787,1.1133066332014796,1.475027140063814,2.8667074564979824,2.3063347453470855
SIDM00086,-0.08404679119532965,2.6746883304036118,2.947918864307519,1.613250386545302,2.053620650079671,1.7206195087428175,1.6801587593432876,3.2918621363085276,1.949423275941958,0.1724918259003562,-0.5307411341065057,0.6275592953420043,2.819730286304996,2.2379840915764415,0.12064939081997546,-0.47839110108794725,1.211439798321383,0.46303617646009465,1.3384492403712374,2.3714538362923494,1.4061239767367486
SIDM00466,-0.39194173534111465,2.875516426045117,3.0801027466233957,0.9933468579243389,1.2372671120165584,1.4490126711144946,2.122021769140915,2.8363682896242444,1.9002348662311415,-0.08071630979800265,-0.500829309177081,1.0272382532868853,2.7518901397171254,2.3338674019836088,-0.4614988317502351,-0.44237200225144585,1.335638796924988,0.30799007039358284,0.6233331218500087,2.326160851901554,2.3465407363638664
SIDM01132,-0.0661326337546176,2.76870163105421,3.016603551072107,1.7448639055415538,1.3660701901389725,1.8763677214615313,1.276771870813823,2.99098017639519,1.8131642039959641,0.2921207147321158,-0.6608700362493795,1.0200857373838526,3.1043202273448025,2.3138028019946417,0.12440586790186466,-0.4111418134458759,0.6704996713752636,0.7707815132415831,0.7327620430707575,2.7883153840267325,2.002827599129928
SIDM00465,-0.06969082000854382,2.4851589386492106,2.685539951084655,1.567407073830605,1.7404147264310748,1.6399392969537019,1.5340383555552448,2.809222948975879,2.0430885271673573,0.21276195109200083,-0.6515588241234106,1.1604177597829206,2.8894975914679324,2.4375056301562075,-0.43417171500883744,-0.49186729602025037,1.1721532004751707,0.7744132380021781,1.140717872937608,2.493835144635448,1.860527941937653
