,JUN,FRS2,CALM2,CALM1,PDPK1,RPS6KA6,TP73,MAP3K5,RPS6KA5,BRAF,MAP3K1,MAP3K3,IKBKB,ABL1,AKT1,SHC4,AKT2,NRAS,AKT3,SH2B1,NFKB1,NFKBIB,NFKBIA,NFKBIE,PIK3R5,MAPK14,MAPK12,RELA,KRAS,SHC3,TRAF6,NGF,CALML5,BDNF,NGFR,SH2B3,CSK,CAMK4,YWHAB,BCL2,CAMK2A,CAMK2B,CAMK2D,FOXO3,CAMK2G,IRS2,SORT1,CALML3,CRK,SH2B2,CRKL,PLCG1,PLCG2,YWHAZ,ARHGDIA,CALM3,YWHAH,ARHGDIB,YWHAG,YWHAE,CDC42,SOS2,PTPN11,RAF1,SHC1,RIPK2,RHOA,BAD,IRAK4,PRKCD,MAPK9,MAPK10,MAGED1,MAPK11,MAP2K2,MAPK13,MAP2K1,BAX,MAP2K7,MAP2K5,RPS6KA2,RAPGEF1,RPS6KA3,GRB2,MAPK3,RPS6KA4,MAPK7,KIDINS220,RAC1,SOS1,MAPK1,RPS6KA1,YWHAQ,HRAS,MAPK8,PRDM4,MAPKAPK2,GSK3B,PSEN1,IRAK2,NTF3,IRAK1,RAP1A,PIK3R3,RAP1B,IRAK3,TP53,PIK3CA,PIK3CB,PIK3CD,GAB1,FASLG,SHC2,ATF4,IRS1,ZNF274,NTRK2,PIK3CG,IRS4,NTRK1,PIK3R1,PIK3R2,CALML6,NTRK3
SIDM00519,1.450651171689224,-0.21493334401946235,3.405443011020229,2.0679101728721148,1.2480937511442078,-0.6265032999048307,-0.8003582201379492,1.0003074988063112,-0.8403506958766722,-0.5413997596560421,1.86493028849056,-0.24278599482839053,-0.13511638424224445,0.3547805573656611,-0.3955558339139622,-0.9148373248866729,-0.7032513775795374,1.221839698263148,-0.29600760340522414,-0.4466147025117674,1.6810797093900343,-0.34890968302054115,1.5124775933865677,0.7205480756816781,-0.8367236396892249,0.37111776949571185,0.22566466874088495,-0.04413591818367234,1.5419688881072011,0.2172080272673925,-0.17858717545229483,-0.5540602214446141,-0.7856983964087129,1.6420114919497721,-0.8032265910810767,-0.7448550772864904,0.23678104292782648,-0.8494263377343858,2.4318169998504287,-0.8524925481584129,0.18150273205412243,-0.6596592776837715,0.21609175543106074,0.9513773111389826,-0.10317503087378249,2.124287134227986,0.30975395417566587,-0.8929151937982222,1.2446644240034146,-0.7245191521497105,0.034940508580002146,-0.0034989349945850107,-0.23385840083667578,3.176093303727559,0.8417617814970428,0.07201739826156277,2.0301742649984242,0.5152509185622276,0.40754106178896565,-0.04340242305660397,-0.25600809403688,0.0498076182111507,-0.41687740632795267,0.41097071018801634,1.7754572859967834,1.2561419185467304,2.336611588025909,1.3580295249854797,0.06066420763083665,-0.16217541688124437,0.7229490449626709,-0.8000735354340742,2.557757220170196,-0.4275518556801686,1.2117328419628624,0.5838466638312486,1.4682702253736368,1.1283881213024127,-0.13095442971362944,-0.4478662654284821,0.3671086038404896,-0.15120287779731728,1.9030355642735475,1.7411622420718154,0.5154256853947725,-0.4713072313506348,0.10744193577052728,0.42985502471710957,2.769353667407342,0.5708231736562318,0.20225978087680163,-0.2309502108713907,2.152548470558317,0.8798485214472693,-0.3898911071975693,0.9664904200564384,0.03608882802909254,1.3510624486918985,0.5811610122945735,-0.5702546604675038,-0.5662848238697228,2.234641151153429,1.1474215518840094,-0.7187735136670106,-0.8148607476656504,-0.7741271635724525,-0.5490992699972357,0.31954704636902964,-0.18112189125699452,-0.5861729564811344,-0.7479543978325434,-0.7823200060139647,0.6351820544066088,2.9472191820415774,-0.4435836720259733,0.30798888893605125,-0.876204593049185,-0.8386561761109992,-0.8263879871868793,-0.989107384644747,-0.22309303738012728,-0.07939079386696714,-0.7289957667192392,-0.8050041810401216
SIDM00917,0.3557040154974996,-0.4710183367015993,2.9377746023401605,2.017225902945296,1.1117795845019818,-0.4618557538954975,-0.8106890903405417,1.2763856552396948,-0.2964825369424529,-0.08737606934962737,1.9594377141040287,-0.11198050769445311,0.36611728776337293,0.07227524592064806,-0.44961501627394507,-0.8928742589394802,-0.43991493639764384,1.5502036363871254,-0.53140709085529,-0.3758766415594939,2.706514981805068,0.01275492218989675,2.926357499895323,2.1220857546689444,0.4079912195723818,0.2015353129556218,0.181379694899807,-0.01219307294287043,0.6747655177517772,-0.9705805088038854,-0.01820099558756851,-0.7798392524187695,-0.8438875245171338,0.3354117578840403,-0.608092983535436,0.09773315664753059,1.5859381542918871,0.32470176317841315,2.283275940571417,0.9638713702942754,-0.8248880897902924,-0.8365109445339176,0.1472783472451084,-0.10697711300593805,-0.2496021959814038,1.091507257011763,-0.5677722224767269,-0.7875357893135947,0.5399892258928097,-0.10478362631069657,0.40700550208776304,-0.02056146040246094,2.521525918877269,3.158516149497121,0.8777248747421044,0.37466265137866067,1.9106286498169107,2.5448378508863754,0.25945710089733554,-0.12277725828149667,0.44944808904324823,0.777404455271312,-0.5545172319292266,0.6703226732559828,0.12774549222024534,1.8402066747717545,2.6126260305947806,0.7032882367405254,0.432561677880402,1.5657473081576383,0.3279819575978883,-0.4789249487721815,1.6032443140088315,-0.525953339268432,1.4353305093647586,0.47021257552627205,2.1682208807797045,2.0651725725111083,-0.2359058389791639,-0.04815886053215164,-0.8424505142219189,0.42182521484708857,0.8139088599922194,2.0967618944171535,0.12581611851856564,-0.7014672032065401,-0.41370633366135295,0.3518047995858905,2.1032589178303955,0.5455241666444859,0.7518296918279702,0.9343583059768635,1.4486515153287463,0.5785314872233444,0.7084240651382601,1.0192913745012804,0.22146467986631294,2.04988231234367,0.6275505383920545,0.017659231833247968,-0.6148536991584578,1.9082271304078615,2.1679220368316354,-0.33826179106292537,-0.93516831118711,0.06136221460296473,-0.5377656233603392,1.6959402178273975,0.29428175640692444,0.6552993831852555,-0.5686052152385381,-0.8068097076991405,-0.7111083577729086,3.718085991935867,-0.634857320265725,0.4906367407060345,-0.5450086673021256,-0.7207299110933022,-0.5581370125635631,-0.9843538536901542,0.09639864077465503,-0.45814276637380663,-0.7107302263572529,-0.7995281644846787
SIDM00309,1.1989135914686246,-0.1674248128124749,3.288812513982851,2.1810960642285777,1.0417012936541494,-0.8893726144012618,-0.8182288001455026,-0.2526768705679563,-0.7915738283451355,-0.5982155072109197,1.4924517353502713,-0.1666482023584535,-0.03539533274547862,-0.14684212911695277,-0.2912125403265399,-0.9150806248763022,-0.5673413731578653,1.256524659301111,-0.323607853268389,-0.34859784727119847,1.4951173730900065,-0.32725474022634793,2.224831625741866,0.7503478128869373,-0.8541154838838494,0.027781658176252295,0.16320294456720882,-0.07075364474348073,0.44635764588407606,0.44619944357772084,-0.09823501433670695,-0.6617236048914068,-0.925941766277124,1.1650272608997065,-0.7113892771958706,-0.6509672777495771,0.05179843525337412,-0.8289193163403664,2.37584513456765,-0.80283909773139,-0.560412471674076,-0.7659499181723805,0.013686211910347072,1.0949079089566751,0.036832030268477915,1.4753599176538554,0.554574459717557,-0.7432149974902954,1.308878414367355,-0.8581669565732074,-0.11725484951057555,0.03367052596493218,0.08187136456782916,2.863377413802065,0.8330354263330071,0.4199465953508991,2.075525249736469,-0.07562920656221896,0.5331514192237948,-0.049477452590865674,-0.1229129380584758,-0.055147137698300645,-0.43675263706473116,0.7255659061086115,1.4934606146991267,0.4049455799389349,2.857779503124727,1.4346878852123166,0.31789256164362995,-0.16192114428717402,0.7807549866059781,-0.8191751222390329,3.0343082583270093,-0.6920362432120015,1.29693709399388,-0.6167940378906848,1.533801591408699,1.2889181462810615,-0.24323890091214959,-0.31476220907892205,-0.3961075809183811,-0.5336829171384402,1.6740140653320976,1.551214464507327,0.5986800821643932,-0.51126365892561,-0.0005075699286102822,0.4055654258320659,2.5778827866642704,0.6321035255310687,0.19821987316206793,0.1525414500869207,2.115829819466874,1.0882773068400704,-0.39617924839638224,1.2468300147273783,-0.21652299683889295,1.5938635558462186,0.3517240622624061,-0.8629981217150191,-0.7094943056300732,2.184304477231024,1.5043932259792796,-0.5719067588538529,-0.86502732619906,-0.29800823630621137,-0.4883528195407754,0.9023372519923574,0.4332412209128918,-0.5018997117469767,-0.6379169899970415,-0.8104885493395886,0.6434067479086082,2.732357095998629,-0.5626684858600401,0.2456937549825396,-0.9031158835973404,-0.7952065883643438,-0.6847588939732595,-1.0326645235989056,-0.33145082133245723,-0.1603682274832688,-0.8365190917981722,-0.8436794812461557
SIDM00099,1.2804267594778411,0.30019251025149246,3.346714649910355,2.4110779704303242,0.9734616798497266,-0.8596776765958183,-0.8805038463284826,-0.21948724939719044,-0.6965416017092626,-0.4747716843383623,0.7171153766020953,-0.031370974115436545,-0.178519674526836,0.6239641672368567,-0.2291313922542609,-0.855564847017962,-0.5616008280392394,1.2061207614674792,0.4590628778438762,-0.5215218891041176,1.4286800173594663,-0.3128482765511934,1.3423688261952067,0.05387269328336505,-0.8097681129008282,0.15698173939898816,0.19782956718958974,0.13366079755805624,0.6730085000785737,-0.709476890474113,-0.19688733199262035,1.4088019172502688,-0.9201892349624028,0.5531353624393288,-0.716730103455971,-0.40831336455137407,0.2923976909650345,-1.001898365020712,2.1858953572350215,-0.60294501058701,-0.8295315740877559,-0.6867341929402653,0.46308077226321653,1.0298182545484318,0.07545791300626167,1.0977814616918724,0.2647730369763957,-0.8482326855644008,1.3090162296449548,-0.8100596970782827,0.11344628506884087,0.3041178582883408,-0.4496306432321909,3.1694801631406015,0.7740146965664763,0.3371163731411872,2.378826663905559,-0.3573493763583883,0.2805540977709959,-0.10289375430896712,-0.3063931104141543,0.23750660699476628,-0.48805428678273177,1.1767266262913327,1.8449289938861713,0.5642266702946911,2.662829847610818,1.2518102860044347,-0.5604937108484815,0.08749614809878069,0.3390362523399091,-0.7705711201622135,2.9924709402443086,-0.6524415497699577,1.6865245406992782,-0.6743050407145389,1.4524860221399285,1.778221651865239,-0.08853232014296893,-0.0912683106412606,0.5461649969927554,-0.09575529299604095,1.123279266281021,1.5303667233180474,0.6202538847874911,-0.5921062768369485,-0.024162582769344926,0.43565037111664956,2.5640336413202114,0.833796751022729,0.4272251428179874,-0.5494898051998036,2.1540495060168414,1.0093641595797609,0.13335399968062153,1.199635841698622,0.05566081202222961,1.7953402335997541,0.7701599562668678,-0.9037198005655289,-0.5743924725424282,2.0635899199885017,1.5187677074087365,-0.745840851085465,-0.8701917169994118,-0.8576524409855092,-0.4606656978346491,0.9772417205774084,0.2470462313405816,-0.60403659056009,-0.6606004384839487,-0.9146445239494626,0.8991220131854462,3.4496867517063508,-0.036740656709425924,0.8276946956344777,-0.8540282386686893,-0.7412131459935081,-0.7219101589174964,-0.8785748059294002,-0.30151261608262947,-0.29295489699624994,-0.7477793077570957,-0.7270613178001506
SIDM00276,1.1495267237151896,-0.48938492624316204,3.240136851313997,2.640025073890035,0.833516480644265,-0.37843851411481927,-0.8728527598234925,0.3601259301608693,-0.6169493722551438,0.4225250613223542,1.412067477578907,-0.0345848158269075,-0.22945576373960963,0.10760197413090264,0.11933883765264834,-0.9086837356651726,-0.5956790432627415,1.9524905147513523,-0.5519477570600904,-0.3384563852039028,1.5166522702960785,-0.17021109562150152,1.8837504521796675,1.1406307202167623,-0.8267639290855728,0.3161658464418772,-0.0616438838510233,0.2185667859797125,0.6515748950888393,-0.17374398306805527,-0.483533278006994,-0.4939236967399598,-0.946973893608282,-0.2713547827565374,-0.7420998114869747,-0.6434064402363612,0.4748573177025822,-0.8184217593163949,2.5590512803240144,-0.8295392935450043,-0.8408028764830664,-0.8103528387628942,-0.6148705563465235,2.071218323955411,0.2019613956200795,1.012175613081893,1.194940808495275,-0.7270777119510755,1.2893929818752554,-0.5633976571397175,0.10948548738996396,-0.03665739673160678,-0.028502178643651007,3.37245876158701,1.0021762547686877,0.3278868998570511,2.382976285470653,2.6753170160297346,0.09769139191176947,0.17424261205031144,-0.18699906706649816,-0.0659297637105213,-0.44887793886853683,0.6944907569106895,1.2360285556403219,1.6553007108350386,2.5206409028438705,1.2834932020677752,-0.3448226092226276,0.6637941091877231,0.22516520348511637,-0.693685319706086,2.5550010015353943,-0.7072319325125542,1.5730502356630185,1.4914025585674724,2.019959361654287,1.1320674877821444,-0.19761384906400065,-0.20152669463789608,0.5645127919877357,-0.15633270574607927,1.4255143565548307,1.9575623215250881,1.1105277507367421,-0.542920955814222,0.20853401880959102,-0.04597444875183657,2.537790164982142,0.4636340472715856,0.3901472004011665,0.5398964791057,2.160147203182572,1.1816656923996194,-0.0691404580401485,0.8734818530305938,0.15764291399673244,1.6862762082929676,0.593729657706993,-0.6314205479081683,-0.3851284372814809,2.424268466971343,1.6900158608756393,-0.6488194164256283,-0.891819904966587,-0.8447235847729029,-0.3152874840479835,0.4020237646019066,0.030209795559018312,-0.5315367247175582,-0.2316355681874294,-0.8148084170734019,-0.8931849684240403,3.269642499407298,0.5560974851628155,0.29049779508901347,-0.8675075761263008,-0.8724342233570149,-0.783483967092334,-1.0051333665100775,-0.49045962005312094,-0.4121884693058777,-0.6295154616598309,-0.8642725020808483
SIDM00311,1.6009746532649622,-0.23912223248278378,3.301473029237035,2.3985497785788255,0.9924763886210323,-0.5817542038391551,-0.8427397218254015,0.45316327198992035,-0.4611855257931365,-0.7453538371884136,0.985245242607775,0.13643036137334894,-0.1436366764423288,0.5012232020806003,-0.04068572253821361,-0.9014738711073031,-0.6105409974472994,1.5785594577365645,-0.27243689547260147,-0.46527761796279044,1.7807493777478833,-0.21095981177158787,1.7433000336297542,0.49755738215924966,-0.751888574666709,0.22038630050524832,0.1215856797023061,0.15884163586295352,0.5102474431294666,1.381402266667887,0.18508660345019287,-0.06119072508652881,-0.8082354228107739,1.4935912347250853,-0.7972835513105722,0.09794213668516884,0.21865444517148808,-0.4939125202242458,2.3913553672536523,-0.829927386537892,-0.8838636629378673,-0.8314846368484712,-0.33790594601758,1.5203619556731347,-0.04741662479732327,0.5912480432919356,0.8019475883470152,-0.90894741819379,1.222587437599316,-0.6907657983325834,0.20913883553329307,0.24234045098963491,0.22047856944745903,3.1350846459763755,1.1324801135839586,0.3964635671903048,2.6899521514274713,1.0013435475794372,0.3396759822680518,-0.16240357784430134,-0.029608362448675183,-0.03247697834325912,-0.48437306637563843,0.5447987316773143,1.1941706855572498,1.156221606121037,2.962453528951947,1.179641852767542,-0.2536524861597572,0.3732942372692227,0.5474182472045206,-0.8049432169992577,2.6202227438316803,-0.53551381406055,1.3593653195542226,-0.558065289953534,1.8896826961927777,1.007198245658985,-0.27496927592504694,-0.27859006227764677,0.11842218249655319,-0.21211238884906125,1.3898298874174204,1.635529327971572,0.29001810221540564,-0.43369081686006095,0.34657547849073717,0.35916451908201225,2.5336087504973483,0.6037743687259487,0.38729023043362193,-0.4214738375191723,2.1663786099693043,1.1499067182680816,-0.07582413085830866,1.0118464015595188,-0.06818374899480918,1.282951438624949,0.6577777061793281,-0.7523696596299975,-0.4695055483034638,2.173158288568141,1.494692404143523,-0.677359328236902,-0.974540546993818,-0.5435489761520801,-0.4660973343828472,1.2324268605147033,-0.16744840637044256,-0.5452007531527697,-0.5712074349075134,-0.7443431153920639,-0.22817501325306394,3.0929466970782067,-0.2848084396692028,0.13974777237103375,-0.8728280680089802,-0.7787929081177212,-0.6224968022461734,-0.8390763323326269,-0.1528127154303174,-0.2815786822959473,-0.8262110264974655,-0.5658658230136671
SIDM00970,1.1125033789495749,-0.11699023649682293,2.997127622667184,2.9816846982138316,1.2089254783997123,-0.7198589289787303,-0.7889793351671494,1.311094440136674,-0.4954641813205074,0.16764458696924706,0.9573364450226781,-0.629842558756355,-0.0316694772888078,-0.08722888146728958,-0.10547988580351268,-0.8732184163463943,-0.32945864135872244,1.2890579677789475,-0.8508602838977936,-0.516713751536655,2.047102764470724,-0.1340406003864184,2.2527880968170315,0.5536917965221776,-0.8149726060877294,0.22025738468349013,-0.283948733105749,0.02339370108682473,0.8955143169693113,0.31463617934483623,-0.025831726989787737,-0.6885467361830837,-0.8660533697298957,-0.8718573130154919,-0.8758266639919221,-0.6093255047750898,0.6142378094921251,-1.0203742736336718,2.5929605986510302,-0.7892635762616721,-0.8894647622897656,-0.8567212730857549,0.2915994873314407,1.3805714920566645,0.40655452505328643,-0.3581124812228324,0.4529839743676439,-0.7680933459775284,1.107503557714046,-0.6233670239583565,0.5703371447563536,-0.20487850156093684,0.41264517800793504,3.3884606235896517,0.7751724355122699,0.5755221068530932,2.412939541043393,2.782433025933179,0.1683534421546036,-0.18391590846331016,-0.0044976200404464785,0.06815208203162508,-0.4807603789388971,1.0032059249628758,1.093737430029109,1.0887599663528147,2.798015426118431,0.926248724312014,0.1256303338019862,1.3945888705784915,0.17957833961123676,-0.0005214666553748757,2.3477798308607882,-0.7101858439138434,1.0350064504926018,1.1320125379614268,1.5480021660770813,1.341199287042788,-0.2499960950436658,-0.29572262518871867,-0.8375776316612893,-0.40354373131039006,1.0909825668078816,1.7772022885091538,0.3293145122295789,-0.5169735049169817,-0.27494476662698586,0.1236583732664936,2.70133784532971,0.7419548768709279,0.8119872597350951,0.529962347670253,1.79534573258052,1.3507311932125972,-0.3662241185702077,1.1078238393347373,0.06410846120424746,1.5783739419319924,0.7324013124294123,-0.21500213438195726,-0.26869201346323707,1.7065777733523066,1.6142367942215397,-0.4642723288066422,-0.9544814747274226,-0.879695423642155,-0.6567645675008575,0.6516507787099076,0.07842511824996666,-0.7197542934563707,-0.5504853940793951,-0.8365462245567281,-0.8370006192797307,3.2152483165126724,0.4802128873385446,0.4060764286412303,-0.8585035399504317,-0.8051315465966639,-0.6724583895381969,-0.9264545306949441,0.024174200640533106,-0.3230373291454919,-0.8652414681128265,-0.7641761987778423
SIDM00103,1.9346272657562575,-0.1021353743793292,3.3787375877429024,2.350299357280336,0.9419679025363212,-0.8027069733153116,-0.8609442249790787,0.3490349380728735,-0.44141764371364256,-0.3199136617291577,0.44417736463072555,-0.022787641384466394,0.1526785008488658,0.764448897546259,-0.06847722136698463,-0.8961283271701918,-0.5499446939252121,1.5912580346491147,-0.24893693507670495,-0.6506032577842825,1.2461389920078365,-0.4345943136841946,1.3316515770819293,0.3332103366463939,-0.8467818040121766,0.0013004073611845926,0.15811161940364743,0.05682964877522256,0.019609299068091418,-0.16048396266523843,0.08536607866700835,1.3682835558024968,-0.8485331953771983,1.5807612053181674,-0.7048533942064295,-0.2655812894214455,0.4041161208650502,-0.9128379563888283,2.516141699248031,-0.7675654380186656,-0.8431575061735065,-0.89668513910147,1.1348553177287841,1.6791806603972717,-0.12774355548768823,1.2550382845557928,1.099165849981343,-0.7985815630346397,1.2453190119225184,-0.7296329974528935,-0.10922721032177976,-0.1470608013499035,-0.5946701851889066,3.2162579687063246,1.2478635530523974,0.36799501682737706,1.884753955887444,-0.5360007540012569,0.183465420031122,-0.0739251860307792,-0.28401500007289676,0.11201949844336118,-0.35016489112851445,0.842042295483723,1.6799060352227027,1.3863452944769987,2.784596803999962,1.506035085821319,-0.3198347996556772,0.350730680716894,0.06579980602104345,-0.8092251083840144,2.561801559231378,-0.6616446450437894,1.7208696588265395,-0.40427665466322144,1.3916393884940752,1.3909918724212125,-0.14844929526096878,0.021785436028185758,1.2684603535515762,0.20947627032507973,1.1603063175351556,1.6238428467390442,0.80055510601947,-0.40227850474514953,-0.11789028291880435,0.408821504881769,2.5729208617833472,0.6115918772422926,0.3533626797819316,-0.627439849722841,2.2879986864774224,1.4511064022891142,-0.40114405850187046,1.2373139606171113,0.32565693914018984,1.8739563973929787,0.8393377020745209,-0.6500204085229657,-0.513739220378545,2.523919148698665,1.781489468440995,-0.8018036490477344,-0.9483541958427381,-0.7448204029964156,-0.5608796842096238,0.8649885642906499,-0.012228360223561519,-0.5742533021236681,-0.445897226423674,-0.7783009211564911,-0.393073193246736,3.283860935586649,0.10073035652218339,0.6754817195446932,-0.8535268238106786,-0.8415395909860525,-0.7084238119156647,-0.932528980487198,-0.19631857119045654,-0.10318863179885122,-0.7354375173791132,-0.7355440178851864
SIDM00266,0.7547732186794955,-0.22272318826375664,2.9941010345052836,3.5543218072134084,0.6750494982901337,-1.053139858322276,-0.8544172089221276,0.40890855531099385,-0.34903552080715455,0.1151396341686013,0.6015418295759732,-0.33568139740467945,-0.2454207720614906,0.6654788082368788,-0.3555052293772311,-0.8662850694336253,-0.5117967119573102,1.6647147494627599,-0.8347357449295455,-0.4732594265028933,1.2716264406624573,0.04159796809956709,1.5394493332535957,0.2551099405062088,-0.8496389728152324,0.20226953876461828,-0.08669129486398476,-0.248028129252309,0.9111993007529532,-0.724148075907903,-0.4356357129989262,-0.7463520965616763,-0.6894949735774384,-0.8579601226652269,-0.5663419381864023,0.34090127641841855,0.38771460408591246,-1.0200728219685957,2.2469442869318663,-0.5357728627624754,-0.8637623341643526,-0.8165924218160808,0.5398541971565853,1.2677237885106247,-0.3475376764836021,2.5351804051168005,0.12893038483262792,-0.7968717278372824,1.158112894856864,-0.7831001775256673,0.37430815062844575,0.12465917458109645,1.042684104369696,2.9193066344751455,0.5187228009292741,0.14106793089805592,2.3614914445316635,1.4177568673288954,0.3163532595795562,0.08535957358339183,-0.15869170900966262,0.18691646827734318,-0.35970337316955103,0.7998530910773893,1.5400359956754033,1.1840388098594001,2.6792092150928486,0.8550364573565588,-0.2474678986957821,-0.05871988004598698,0.4323758508759002,-0.3600812305976859,2.9420879934119823,-0.7213032168910508,1.421884080467031,0.020916236547061776,1.3033679463501235,0.7778950231981702,-0.1614697313923173,0.3166421255811279,0.22311205420569463,-0.38103937789541825,1.067421149161405,1.4884797745308012,0.43598438125523226,-0.6974586379297696,0.1396258480590464,0.4891950553606647,2.423210183355695,0.5948286514554698,0.5203234391390296,-0.5996036741030542,1.7409827415294383,0.7427837498526729,-0.30005824183715535,0.7276748902963766,-0.387640491999486,1.608867664968994,0.6472160595696071,-0.9399332446189104,-0.6781087660675356,1.8160217957287108,1.4209224781677827,-0.5568906287862644,-0.9275023002734074,-0.8735504733842123,-0.6844618064062402,0.975240071825603,-0.33462897669646635,-0.6595534890448225,-0.49050390453011583,-0.7825221958441149,0.14542831781025914,3.581292603776316,0.3390993745449397,0.11530276473891204,-0.8114964515978812,-0.6325575608303017,-0.7229982020766618,1.0449184106929315,-0.043248545248515055,-0.44868059800330085,-0.5547975582084855,-0.7910029504935959
SIDM01064,1.1767698825357338,-0.3534225540527686,3.1039004230882568,2.764487050354022,1.5397970858077232,-0.9039246494106622,-0.870532007527838,0.48870408264727916,-0.6635348310590795,-0.3823909016943919,0.5873584282448535,-0.10908189988173525,-0.051216720492121844,-0.05166498747120784,0.12561007301362406,-0.7577685515402328,-0.5099221426094163,1.8509542624253292,-0.4457132286410602,-0.31412751045380766,2.224705986401305,0.3642839661736418,2.441087912138068,1.278783700345138,0.00999373611543667,0.3799612684593851,-0.003268500461773034,0.054157544537158105,1.139741061167428,-0.8469511923744635,0.5276334487591244,-0.7583987785700937,-0.8267772031766903,-0.8411591889656114,-0.6912865164886779,-0.1807996696781788,0.8680649300606127,1.0159238634577235,1.94305350909193,0.02402569224610241,-0.8796326014562149,-0.25733493587577766,0.6465186648715905,1.3996764346782715,-0.13039191760931326,0.21663335405689035,-0.5288382363401796,-0.766686096323822,0.23453807024904166,-0.815651017642677,0.5056436354050513,-0.4206900010717696,-0.661233852400993,2.9354677060840277,0.49540213367659935,0.6075850662639282,2.599626253384716,-0.5192886462194166,0.38478793441976145,-0.28399131166849506,-0.10113901006162213,0.4878491632261718,-0.48667244666953907,1.1271093323880224,0.32009308019923066,1.3149879501978698,2.6178962245186987,1.1711456279706722,0.5788892972784462,1.006196374863881,1.5451934254228694,-0.8948051722627113,1.6947659235727464,-0.4817365671169845,1.1257725690972324,0.30136442387271595,1.9344409784512715,1.0152931764565603,-0.21505805647415066,-0.236014033749753,-0.4729021756941233,0.37142081453044107,1.0964490036293941,1.7085587502100803,1.0024155733741154,-0.5665204041845101,-0.1940180983340986,0.5182911314341369,1.8105522688699511,0.8955226757344096,1.324784881453375,0.5824353889962777,2.42330620803426,0.8651038677438343,0.49006099709420986,1.0427958374131272,-0.13264755447737975,1.0044439342394096,0.7868903166701529,-0.913534940697209,-0.5418447395104948,2.110421671200975,2.662437321285291,-0.5222596854068073,-0.693595473215947,-0.8575727261575008,-0.5881384431654524,1.6317312906782862,0.201441486318639,0.5128280268281551,-0.7498104886315669,-0.8084632995821914,-0.6029364535680753,3.3431577744670253,-0.44830557261726045,0.3695946583270723,-0.7928368894184996,-0.7788569289509498,-0.6785879751150234,0.9670589696921357,0.8846240816513324,-0.3221179351293593,-0.7553292354973423,-0.7504220314116344
