,NMNAT1,NT5C2,ENPP3,ENPP1,BST1,NNT,AOX1,CD38,NT5M,NADSYN1,NUDT12,NMRK1,NT5C1A,QPRT,NAMPT,NT5C,NMNAT3,PNP,NMNAT2,NT5E,NADK,NNMT
SIDM00519,-0.44032622185008935,0.6744511568751954,-0.9353491232465649,-0.41591830264314517,-0.9206369119154161,0.9107179346049679,1.2388979099480115,-0.972474016177212,0.04225786757358867,0.9880679513046312,-0.5011243830904488,1.0774977730367914,-0.8151674215379766,2.677945435148519,-0.25555274805821077,1.6575937445344953,-0.5497653808759924,0.9964954145783326,0.595949988979417,0.6204711204162252,-0.14114078063154434,3.4862439264391534
SIDM00917,-0.11341847412032935,-0.056394780843155204,-0.8715078992276435,-0.845782793621135,-0.9635588209213523,1.0256135148194194,-0.5267516484735327,1.8744545976647744,0.18363937069937405,1.3979758477252968,-0.89240495545378,1.1870234741048276,-0.7627026767732156,1.747971799729015,-0.2670314380880875,1.612538264645911,-0.39427368357932185,1.6642117477222715,-0.6818567887378245,-0.4390152856653394,0.9061425914011026,-0.7778196496367007
SIDM00309,-0.382265273619423,0.6696849379120998,-0.8376500938957716,-0.6710177541211539,1.3881001439919978,1.1803657240032195,2.11517691250498,-0.8904594129557629,0.18754166343252596,1.2253699269425935,-0.21350864282291238,0.20660163384471594,-0.8800914190248375,-0.2514392435031735,-0.4491246072460493,1.4829392712553897,-0.652470908465917,0.8665062038321807,0.5264541825999783,-0.009898692492763036,0.3400635177695893,3.1177139212155125
SIDM00099,-0.04503902420182673,0.4344441081200603,-0.8033785334989738,-0.7078439302514312,-0.7984778560429632,0.8729017191018563,0.9425417376442524,-0.9415110564185453,0.2993580985861263,0.5440128886314967,-0.5186319942268299,0.22580967639364297,-0.8925831465457627,-0.32286238159653546,-0.45384608012444805,1.8088299724041024,-0.6043502028847878,1.51818401147171,-0.5238557074579856,1.4298499178807305,-0.2843630458658478,3.1085185924118885
SIDM00276,-0.058451127862507134,0.4754962110475912,-0.8807662481244803,-0.23638666720104418,-0.8744048627429823,0.7506082032695575,-0.10701714320934143,-0.7151748171990441,0.014642769186311905,0.9009218242521303,-0.7123648087370527,0.9400547242573767,-0.8972891670582549,-0.6893502483448201,-0.4187691461927147,1.80321826629429,-0.48316849298297704,2.1196565602076896,-0.1269467105294731,0.39121594842288876,0.18107678320082732,1.8341552479783434
SIDM00311,0.05818354285673606,0.9368841672470111,-0.9004687985953198,-0.7488970454796309,-0.32045971096176523,1.0252200567555905,0.40128585107144854,-0.7025344243198678,-0.08935283697037226,0.4964271293408999,-0.5528314892941694,0.2956080838093407,-0.8753996317110051,-0.7049004050564094,-0.12380298020015536,1.2323235100333272,-0.1813651210574794,1.4596908820060084,0.04030212130223511,1.395761095948866,0.019148809117465165,3.0735344306959824
SIDM00970,0.046795960584302,0.43220929502538696,-0.8447625088890212,-0.8914612002646172,-0.8984570166338308,1.0729716442326045,-0.6772120312570554,-0.613929736437329,-0.683066966480683,1.1943948368024306,-0.7047964676354541,0.5222243832191017,-0.9691088364228767,-0.7027781798865218,-0.6439946959660146,1.6678418656926215,-0.08741191726366354,2.0292378599694003,0.2561895164971413,-0.8270680075541585,0.30821569522039144,-0.8380071864515234
SIDM00103,-0.24279981044427482,0.37325910107987376,-0.8922442942193746,-0.8949405498541874,0.2957669329883248,0.8883935818107392,2.216053867429904,-0.6805519124507391,0.31845074605201523,1.0465251860323554,-0.7692522300648581,1.0306921933827795,-0.8239215148533774,1.99354123485387,-0.4630603131508225,1.7744159279418088,-0.7127191430616301,1.311231163939525,0.7763488889723843,1.6390462766379617,-0.329163483105285,3.0000135716349674
SIDM00266,-0.6741536955791125,-0.044627824596759125,-0.44609071474676537,1.5514313196333078,-0.8730984396627954,1.2169262709914512,-0.3490263656832899,-0.7687696479297025,0.04235921650309317,0.14200671337393272,-0.3449034952858423,-0.17362915345251198,-0.897096508410737,1.6569401153435996,-0.5633646447222103,1.6727052098883084,0.4954954779141337,1.8631078309880242,-0.2786337249640814,-0.12831385316587265,0.09620768113846509,-0.5417150182151956
SIDM01064,0.13855034773725716,0.20737346857086456,-0.7032345132313812,-0.7204471430325006,-0.8357957909750008,1.1653243299226164,-0.44756296883015007,-0.7975746791607861,0.19781338357165687,0.8182259289704399,-1.003473672365246,1.886427582068947,-0.8798411342140557,-0.7457393289154777,-0.6995469608279404,1.123204344392576,-0.5898934264978534,1.9491158106371829,-0.7011725588805363,-0.9259336302269997,0.4243197943758519,-0.691668293885941
SIDM00098,-0.012835335678816137,0.5112333844571225,-0.8458036093793924,-0.825556406385135,-0.6372063239542001,0.5562670767803881,0.4521517878008423,-0.7564786211643585,0.0382818958419829,0.61781344405365,-0.30712008791482903,-0.2997113419963064,-0.8526753907299905,-0.4544191837288414,-0.37545188159052884,1.7228629928421555,-0.6055262485937125,1.0086639869949556,-0.5447486836666878,0.5714774103150287,0.16011122961826826,2.4129849386636115
SIDM00225,0.23915923988362492,0.045628152236407725,-0.7311621154240635,-0.6441769209993681,-0.7510005856770334,1.1056672319408187,-0.26578920664606387,-0.91692907661202,0.10773492570149197,-0.19988936463843174,-0.5550107583628293,0.2747724648474456,-0.9072412913778648,1.001294700702476,-0.4519768178020069,1.5227128223189084,-0.6899023140756154,0.7988286585929518,-0.5079595019728248,1.0314590779184987,0.19102241562484962,3.0618547687833195
SIDM00846,-0.05001777233785727,0.11653380252795564,-0.8839302703511688,-0.5804889844719631,-0.9293722248655865,1.7847130531433129,1.1840534855017524,-0.870586812331592,-0.07395393795276968,0.3970149702145796,-0.3876455552498369,0.4538920842543212,-0.7890964976207339,1.0228324809824239,-0.4532552680114738,1.9349325864618867,-0.5767731406246485,2.011034534588494,-0.6159740391784826,-0.37027564459117057,0.3317584236942996,2.6127499007708552
SIDM00291,0.3025487849345798,-0.11922047086924144,-0.7373502357393699,-0.21758338164390625,-0.6920439082720689,1.815010055852475,-0.6766486783957085,-0.8784250588185256,0.8839892429206279,0.8778014455535917,-0.5227094962694895,-0.011447224533940398,-0.7510859188085288,2.842454182754044,-0.467241550078572,2.0234380969210988,-0.6850091795752323,-0.7068497650737987,-0.728477469491414,-0.9582077953141055,0.17589245679372484,-0.5775620066343963
SIDM00520,-0.44994919371999387,0.4896353240573427,-0.8806146626398162,-0.8526637874017877,-0.6661973284230082,0.6464060412927455,1.5806295104704982,-0.8384823787042844,-0.14757219820349077,1.0391665489216988,-0.4106952491893912,1.218925626396775,-0.9165535770111133,1.27385780806518,-0.44079974917489395,1.5810270051759827,0.025459316744831643,0.8905766486947817,0.9159381863041169,1.5396663096793277,0.04736864069714092,3.149892964987439
SIDM00003,0.21519619708715593,-0.17650537459265175,-0.8430662059597913,-0.8179435333867618,0.16443228925670883,1.3399815038986047,-0.4879520491994256,-0.839149613863679,0.2780484800982308,0.5497022911226868,-0.3325215809447547,0.9846892454997674,-0.8325775068749444,2.3400255005910435,-0.3231363647622105,1.0751504058892472,-0.6392912573988087,1.7516712068016822,-0.7268054409512051,-0.16890388790065602,0.4449491914276104,0.6034234547500881
SIDM00136,-0.16079590746850636,0.4109256975993486,-0.9173585457137295,-0.8336687377779558,-0.9869353366374651,0.6583718308053905,-0.5443969024336781,-0.7898047504778751,-0.20049127846740455,1.6405505134971197,-0.5632788037258284,0.6909275931162941,-0.8244436065852595,1.3898656380343442,-0.6974629700487802,1.8319678675984283,-0.6179198073373331,1.7168758175855687,-0.7193691645578785,0.8920207454161495,0.07869455640357113,1.6663671722708435
SIDM01155,0.15161016288845847,0.3303418869978765,-0.8940975915866267,0.06500485371209491,-0.7377832449418537,1.110508517640712,0.9581032643262201,-0.8063253445386122,0.012318755473033715,0.44355201314550285,-0.4325177850451548,0.8050241999270914,-0.8423279911227269,2.1738582284748778,-0.36730518766428005,1.3201169009183142,-0.3049911792278498,1.5115088751399393,0.09044357244308825,1.4663300284758418,-0.035781375346454494,2.930141311451713
SIDM00224,-0.4232870975090779,0.4791901443662954,-0.8365018193880255,-0.48944589252920734,-0.6659990871236288,1.7516744262006414,-0.26783491640823026,0.8183338457106983,0.47911200094686723,0.643364294052552,-0.491835452579742,-0.42959021454142104,-0.9013080563738771,-0.07122013112912455,-0.5535531072912561,1.7179959621733798,-0.8263076420685961,-0.43939993160775676,-0.5741467481182521,-0.6454521748705474,-0.1047587377970872,2.8482349723289615
SIDM00783,0.0746218012233084,0.4835600911057422,-0.8350752600250627,-0.41181752568132346,-0.9024687191622252,-0.9545065749768055,-0.5959943358527707,-0.7467140187157816,0.18655967730594988,0.37281440720485187,-0.15224590831736026,0.4954218142460246,-0.9098172596125109,-0.6654609662961151,-0.4711088588622293,1.8310335913290954,0.40264708990891657,1.5808962700436904,-0.8123583097226001,1.030203023718621,0.017045554464807017,-0.870825633194922
SIDM00490,-0.2744576011493891,-0.11379680499162145,-0.8214583762458129,-0.6648213626102508,-0.8740919629795678,0.9314967371171997,-0.7039802589548338,-0.8369036906919394,0.11718131429521832,0.5731044001727467,-0.32090473528983315,0.40267923467872174,-0.8142821381658892,-0.7806629598301991,-0.20826363004260098,1.6503278485397492,-0.48533517143262833,0.6206059940984966,0.008057277308140024,1.0561910572498372,-0.1428894129978874,3.357586215178547
SIDM01090,0.0262280180217017,-0.11844920177082623,-0.809561304967856,-0.7898699763021606,-0.9420618611531051,-0.889891479481167,1.3676444799192942,-0.685370205725163,-0.11684903997283431,1.072448794925502,-0.3040478066705504,0.8677218568825179,-0.6728262061409936,-0.7253686088796499,-0.41341941065994015,1.970357421037459,0.23503519003320192,2.254063776458373,-0.711201402607207,0.1835146516689856,0.42775729926329825,-0.8753187884430933
SIDM00394,-0.08550767460992856,0.6130172286351471,-0.8723906546004948,-0.7348418537358793,-0.8344633016222003,1.3747689876307572,-0.6247509882184797,-0.9881019578520399,0.7051305957704043,0.4604222505690344,-0.30744610540206674,0.4392251057116993,-0.7781736050764979,-0.6751899180589346,0.04400083065398777,1.8827558438203686,-0.3890708357461004,2.204333055601152,-0.6313550818505359,1.5840131400191866,-0.22364989045374656,2.9868857375318068
SIDM00538,-0.4305981649900284,0.4545931245569496,-0.8305273942189474,0.022754014158449284,-0.6572815340480157,0.5764297776113231,-0.5458250392815098,-0.9073652482495016,-0.10177857731337626,0.3162743957034548,-0.864881065880169,0.6338002272622417,-0.8618655585895056,-0.5815504882644136,-0.4228878173236389,1.880518219876358,-0.5668763670969622,1.973830349701097,-0.5916487963689568,0.8307010892922969,0.559671633158421,-0.4926781792951131
