,HPSE,HPSE2,GLB1,GUSB,HYAL3,GNS,HYAL4,HYAL1,HYAL2,SPAM1,HGSNAT,GALNS,IDUA,HS3ST3B1,SGSH,HEXB,NAGLU,IDS,ARSB
SIDM00519,-0.4389398509169504,-0.8209222222597807,1.6752053816951888,2.0984424754996764,-0.9208396227595285,1.8599099272990687,-0.8629298370856077,-0.750039502974718,0.6347020610147145,-0.8979739275932747,-0.12647232800130676,0.6391904050893034,-0.9360144377153958,-0.5018147284595977,-0.6518107669264135,2.9666386345170626,0.8187399591732433,0.496696454980948,-0.4546663091289253
SIDM00917,-0.4599502681682421,-0.5851790524743603,1.718281251049374,1.9841508690064054,-0.724887476250719,1.0935081245999916,1.419657339775277,-0.7770806508520132,-0.08193693057318335,-0.9210737907535451,-0.26797909231648803,-0.36553315904496464,-0.8557772040485392,-0.6498899275304314,-0.56374164328663,2.0502039312738103,0.7077360471416076,1.396522816272149,-0.6665495527186267
SIDM00309,-0.0647690831379463,-0.7552892445628597,2.015947495909379,2.0429822207105683,-0.7543591584707751,1.7204519769132325,-0.8030842841976624,-0.7712914386179978,0.9038158579709582,-0.882081936109465,-0.21492055714719394,1.0184175672807738,-0.8244183594210962,-0.7195150277483806,-0.53920561544284,2.551099684632923,1.3379156984897083,0.2892018747365449,-0.6081806122866084
SIDM00099,-0.3420540175558697,-0.7183140628455948,2.1315244285947155,1.8886265194174343,-0.848487951393133,1.3563559683579194,-0.7524318401235321,-0.7457472913491039,0.6204172049458604,-0.8344625091280906,0.0015803910780096946,-0.01862503157344572,-0.8202890268572076,0.33520286031938074,-0.5539373916579943,2.607453557214673,0.7141061172796502,0.47048684381791456,-0.818352037844832
SIDM00276,0.3098550712085419,-0.639220339438276,1.5121758071734541,2.2650178888030843,-0.7179300362963745,1.443724550979774,-0.7823935937246952,-0.6338163610267179,0.6728437301943562,-0.9014458923526131,-0.3120392473617045,0.26832345819150816,-0.9527999609514122,-0.7382658626285825,-0.6886205840498205,2.3296042686510585,0.9419134160128569,1.2458442447435296,-0.686068782547808
SIDM00311,-0.2768177286684842,-0.6177642523609104,1.9994451970580627,1.7542827524438147,-0.6251913811563969,1.9203733096346833,-0.724159098687691,-0.7748409459063021,0.8146689284564186,-0.9041332644278365,-0.09885011756571292,0.7183672078284169,-0.9221137437206559,-0.3762086042162557,-0.5859755622794766,2.683327266669489,0.80621340462897,0.22633292562352209,-0.43001945382903806
SIDM00970,-0.42571131948972263,-0.7559387811829582,1.6679272554772433,2.239763696414414,-0.6390568942256845,1.281476313855189,-0.8216197496023769,-0.7532621332160077,0.7651210525253578,-0.9248276496564403,-0.19628521894144924,0.0698061630358248,-0.8296647887939186,-0.6941377078388578,-0.6666583039316143,1.7104474490255577,0.8001029381255709,0.7996729164981162,-0.8144073853286994
SIDM00103,-0.44453412492319255,-0.6011326575007455,1.5419966569361414,1.8820308612475356,-0.856093991146135,1.4489385581757153,-0.8764849906683021,-0.7271799867145664,0.7498326151437289,-0.8707201659842654,-0.02582572127905234,0.26713747858689424,-0.8569315848553578,-0.31168853729784174,-0.5250488083298713,2.699360565859833,1.401474049736022,0.5610090934013944,-0.7341369126813443
SIDM00266,0.2273295589759653,-0.7362382713780039,1.5103851422036285,1.9758662638261915,-0.7426349611492998,0.8317189298428955,-0.8338052653575587,-0.7490830079721205,0.6145410586718687,-0.9387434383127191,-0.2881000112340886,-0.14307822914653304,-0.9368826660101423,-0.7399698114742491,-0.7814341881594583,2.1770014275720135,0.2403944662534498,-0.023343299321042354,-0.568705536714948
SIDM01064,-0.5758534945845706,-0.7465090383920838,1.900677309127898,1.9242031597156506,-0.6095573325423256,1.0740674234283656,-0.8014043911704521,-0.7290840001406769,0.3244176717799072,-0.8530651162515231,-0.5376616742368925,-0.2577925652537714,-0.7524417632441202,-0.43960098247350277,-0.7049077460514698,2.2254115848582146,0.2493093338001165,0.6565365061323596,0.14505916532992574
