,POLR2G,NT5C2,ENPP3,POLR2E,POLR2F,ENPP1,XDH,POLR2I,POLR2J,POLE3,PRPS2,ADSL,NME6,POLR1D,PNPT1,POLR2K,PDE11A,POLD3,POLR2L,AK1,AK2,AK4,POLA2,CANT1,AMPD1,AMPD3,AMPD2,NME4,GUCY2D,ATIC,DGUOK,POLR3C,NME3,POLR3G,POLR3F,ADPRM,PDE4B,PDE4C,PDE3B,PDE4A,NUDT2,GMPR2,PDE6C,PDE6D,PDE4D,PDE6A,PRIM1,PRIM2,AK5,GMPR,NME5,PDE7B,PDE5A,GUCY1A2,FHIT,ADCY3,ADCY2,ADCY1,POLA1,PDE3A,PDE2A,PDE1C,ADA,ENTPD8,POLE2,PDE8A,PDE9A,PDE1B,NUDT9,POLD1,GDA,POLD2,POLE,PDE6B,PDE7A,PRPS1,PAICS,NT5C1A,POLR2B,POLR3A,PDE6H,POLR2A,PDE6G,POLR2D,DCK,POLR2C,ADCY8,ADCY9,ADCY6,AK7,ADCY7,ADCY5,ADCY10,POLR3K,POLR1B,PNP,RRM2B,PDE1A,HPRT1,GART,PAPSS1,PAPSS2,NT5M,ADCY4,IMPDH1,IMPDH2,POLR3H,POLR1A,POLR3B,PKLR,GUCY2C,ENTPD4,PKM,GUK1,GUCY2F,ADK,ITPA,POLR1C,POLE4,RRM1,POLR3D,RRM2,PDE8B,POLR3GL,NT5E,NPR2,NPR1,PDE10A,ENTPD6,ENTPD2,ENTPD5,ENTPD3,NUDT5,PFAS,APRT,PRPS1L1,PPAT,NME7,NT5C,ALLC
SIDM00519,1.8906952210369108,0.6744511568751954,-0.9353491232465649,1.2005002895060253,-0.007347476623409865,-0.41591830264314517,-0.7701884619969925,2.55885393368624,2.2937803682632976,1.6073513967262383,1.2024909144358242,1.6761666010781113,0.4605277158589826,1.4600356879649752,1.3684974937070644,2.150177868084231,-0.765447573236259,-0.24936848684332732,1.9867909357922093,0.525597056619825,0.3663954501183338,0.38997198163682795,0.5089204496990921,0.024759947531627753,-0.8148806169333294,-0.8259215545409873,-0.35272369163989087,2.1896480924687385,-0.7520930822566932,2.160812945174367,2.3377337336287116,1.304827088788627,1.9069972590175361,-1.024849104348354,0.4485762863878174,0.6380723279126785,-0.9496561739053222,-0.8411482498527939,-0.3518232362803178,-0.7165234800927655,0.061556274463186296,0.7091080139005423,-0.9690995548541353,1.673211502386111,-0.8148110419650059,-0.6914836409469626,0.3046025336418704,0.021627167260782138,-0.9150117391151799,0.49093512648054366,-0.8936990844401171,-0.08087777073452035,-0.13453247788355915,-1.1277859687413132,-0.4053876110408998,1.0890773088790928,-0.876292904812085,-0.6225659736773329,0.7635070986088709,-0.8910139489044214,-0.8061382419679393,-0.8476645099997362,2.068093307108393,-0.6115933480795801,0.24244362235961178,0.340485339770605,-0.5579000082138004,-0.7989932139832086,1.8322234367380879,0.3165848762445895,-0.9343313503410898,1.9498326923352205,1.244519140816281,-0.3262569675816346,-0.6296045591102919,1.9379483955242693,1.6009535868964013,-0.8151674215379766,2.411422573341514,-0.4400322483174975,-0.9297792085273239,-0.04189753248909167,-0.2781366414742169,0.29498962788365574,0.6645746749601427,0.7769951825580051,-0.8197097615542076,-0.3761925150605204,-0.3708795690060417,-0.8265019903479713,-0.7190695396731633,-0.8264178627985858,-0.787642211089294,-0.026576883823091195,0.7208996957114346,0.9964954145783326,-0.475503913144917,-0.8983461665532606,1.944876250843887,1.0172556905997316,1.160089757815618,2.23401746978349,0.04225786757358867,-0.7573625113558111,0.2610790194799404,1.5782464946266148,0.3316796818063683,-0.5468917192803847,1.0024791178529426,-0.776407906036647,-0.9783052032858388,0.3430025045298693,1.040664692787864,2.5831128069277045,-0.7237888065274721,0.2554934254332784,1.851674655767616,0.6790808608069018,2.1384924272638086,1.6977229140992416,-0.1527775026127179,1.9840974657628794,-0.6344680616132261,1.1829116330673017,0.6204711204162252,-0.221692200468881,-0.8538132998680572,-0.8284857702669501,-0.3277844886836796,-0.8332864782112539,-0.9409702546739794,-0.8688807135894123,1.9434820665218877,-0.356786713704512,1.4461065776886228,-0.9850780903159609,0.9753716136749315,2.1013154270911696,1.6575937445344953,-0.8756178970684587
SIDM00917,2.175396595305352,-0.056394780843155204,-0.8715078992276435,1.2618056645100213,0.03198837437514632,-0.845782793621135,-0.7272350389157912,2.3246291353460755,2.234274767635371,0.5981325387676407,1.0005238404170431,1.7665869555124594,0.4905885158428887,1.7181143996016466,1.6684975314324437,2.5526334209406176,-0.7886847340303728,-0.15151569130918577,1.3883623075314069,-0.3054422271558437,0.7200458400565026,-0.8955129588837187,0.6569075959172628,-0.46788814445416327,-0.9169391942491886,0.26983954468195853,-0.4204961508826781,1.1091435887337835,-0.8460795698864509,2.009965696072345,2.6095498568866025,0.9153504037986998,2.0655747817305516,-0.7628816379333141,0.3870491090405312,1.3188072774367339,-0.7331241279970434,-0.7988190725478587,-0.5635680417656792,-0.7038352955675173,0.6783308729918514,1.3054702246020224,-1.011886997467796,1.8934806572706935,-0.6954597373741139,-0.7286775246972149,0.6032860519805713,-0.4020795103376627,-0.9272474349973698,-0.7113302192945755,-0.8498777030871801,-0.8991252348423683,-0.6662165325680633,-1.0714340085707588,0.9147493609667474,1.1120563915100519,-0.8639147417245175,-0.7424661071244673,0.5870802938651745,-0.9131069975243776,-0.6940836878311253,-0.7966317238150769,2.2802650407468117,-0.6655438253599876,-0.20664857677765444,0.9225643921537559,-0.8693846691682651,-0.6323657544213209,1.999272583546584,0.23644065543540851,-0.9744329005663911,1.4422157912653375,0.5171258587718964,-0.4545834982362253,-0.1259625099421211,1.8041262335541655,1.843912690156489,-0.7627026767732156,2.672546410185307,-0.49906092570314214,-0.9028126220167565,-0.24842271340050692,-0.3271364489851245,0.24171863014766373,1.03193702246918,1.1588038306693569,-0.736023673057336,-0.7262704888656341,-0.42718424679709555,-0.876010385586882,0.49095225179449475,-1.0031337627221115,-0.7564678604579581,0.2942661194467331,0.7069624454191616,1.6642117477222715,0.46595114342006466,-0.8532264971026253,2.0588705705549337,1.1001207117933616,1.3375098691708749,-0.7099447458853253,0.18363937069937405,-0.6176678574062296,0.15817266954964984,1.9860440191717135,-0.026674927535656742,-0.7684494150961905,0.415014862606578,-0.7749853803013764,-0.9217640054744864,0.11755172322142453,0.8551162367446061,2.125540882036035,-0.6605966667992444,0.018847309514383476,1.534582574556106,0.5128446932374165,1.5930643807548268,0.8964184684056266,0.6310405671867827,0.2704317429673737,-0.7352934957346133,1.3689392581974424,-0.4390152856653394,0.0880344837185116,-0.6804879210873689,0.33347623285845823,-0.28508052647915894,-0.9023009197133062,-0.8884717553556689,-0.7012978598329247,1.863639261201687,-0.3858882250417529,2.205238987147152,-0.9393891364621221,1.349828916276306,1.0835328532591941,1.612538264645911,-0.9184059368246064
SIDM00309,2.23549108566751,0.6696849379120998,-0.8376500938957716,1.3803260037307141,-0.2368268508623635,-0.6710177541211539,-0.8258549813791262,2.4852540895632416,1.817956948669832,1.116975470976379,1.5958815298888827,1.6583293223743478,0.663004601309495,1.4376407643432865,1.6976858996174056,1.7958044498272852,-0.9255169836064829,-0.13277874643576304,2.6896036292133165,-0.176727151129332,0.6893057915102137,1.6693526947606296,0.6599843685018182,-0.25158169423024995,-0.8982809680377505,-0.5123736826040993,-0.48365895011642,1.4804095059163527,-0.6995769940651838,2.1316075642582963,2.3862122145681393,0.7609490685242937,1.7774373031020994,-0.7055154213078744,-0.056895837255644933,0.7025162222754276,-0.9676512751829105,-0.7908793008005288,-0.5882521688206384,-0.8080646435506323,0.27803549099827735,0.7681295009669245,-0.9339520873555932,1.4052900422775285,-0.8864530285293222,-0.71186613697448,0.8736839930386013,0.0437712156711973,-0.8542937232568271,0.38551976478219485,-0.9185102870637448,-0.822033358221641,0.11733752972575905,-0.9959237312543462,0.6292231263010312,1.2981620284639448,-0.8882832658521452,-0.6919039205970113,0.6453680523523674,-0.9045114001887604,-0.9614280693870325,-0.8577251972705039,1.250366129360651,-0.5688863208240356,0.5574197552918685,0.47550251735630955,-0.8169425395734748,-0.8186468734407039,1.5067661945122512,0.4855099255343653,-0.8954895625688114,2.108978496090682,1.2703486173462115,0.2793321655560547,-0.7156068038935032,3.13067614540891,2.328624109866415,-0.8800914190248375,2.7668818267020145,-0.6328001589306506,-0.8153513808416679,-0.35506360212434407,-0.39942667852191804,0.2267773834343735,1.071621618444194,1.3711711379622435,-0.8095859802542961,-0.03929455467457163,-0.4091885176566541,-0.9455372198012623,-0.7092400268259906,-0.866293312010003,-0.8277857596363656,0.22344328322021934,0.7547658587734876,0.8665062038321807,-0.5877302436272467,-0.35357728662449595,2.213374197397839,1.2208946739899282,1.3948043786711712,2.3294851820255342,0.18754166343252596,-0.7225668182173891,0.5066356091770565,2.53724088810803,0.4767801333709869,-0.16072711210125418,1.0583744462025357,-0.7836999865545959,-1.0199969824208546,0.10967667584717834,0.7259929512196759,2.791012089798231,-0.6730188719613973,0.7500539526040875,1.4127685426915952,0.7147202244247107,1.9293256216064725,1.8837571908216564,-0.1288674725007711,1.979801619724561,-0.861104526815909,1.2221592997658202,-0.009898692492763036,-0.577198324553074,-0.7876071999924104,-0.5650815970061072,-0.5896717399039848,-0.8419150145735712,-0.9861276156129962,-0.832785809075026,1.8215917378468596,-0.19825928684723315,2.262253114221229,-0.8572356437820158,1.5801737929006283,1.4849525584490326,1.4829392712553897,-0.9122698217679739
SIDM00099,1.9677299002809183,0.4344441081200603,-0.8033785334989738,0.9953477881053988,-0.11519563144214212,-0.7078439302514312,-0.3260070130889409,2.5820156589872187,2.3038507605757914,1.413661242184991,1.4380413772978244,1.4792145532835748,0.3013540431948375,1.1960584451308518,1.1726795667042573,1.7287562873247198,-0.876920028664706,-0.07231240517742589,2.2725130652855117,-0.3341323461529726,0.6271703281336783,1.7015573967736028,0.22439087112385872,-0.14804300186280736,-1.0141150576560236,-0.7429162367689559,-0.10389660087355096,1.9331751049394892,-0.7087684448649875,1.9982705067234408,2.47977257631061,1.1414553819191116,2.0051221202589162,-0.9070530223948894,0.47690086893552636,1.2605598276728844,-0.8910454322913224,-0.8158745312313327,-0.42614784323368937,-0.7203339901315603,0.06080061739331983,1.6058360121999233,-0.9347388322886617,1.4439268342978202,-0.8120020568507771,-0.7436683113023974,0.11961214082244641,0.10357465331095007,0.5911783051047148,-0.6512251567717151,-0.8434160665004404,-0.9507628703542713,1.1309571618717609,-0.991029239578319,-0.4999436811786546,1.1497249312574733,-0.5990377147306057,0.4569788463465034,0.5577426820450933,-0.9133972897819408,-0.9233076308757971,0.16582998883485148,0.45343373488904076,-0.5594025709930164,0.07513913432336514,0.49577781546300137,-0.5645054809063444,-0.8249177113109616,1.3783051637206618,0.10783445113612303,-0.9550514682955733,1.8477326628684752,1.111600889298744,-0.07579476853645989,-0.4102425600978824,2.0932266204023287,1.6092820065658457,-0.8925831465457627,2.4648264301218297,-0.49519619235364765,-0.9474942020103955,-0.31317590552079083,-0.5429348203266238,0.29729339482515665,0.5500425756027669,1.0069561149638733,-0.6498613700267414,-0.18517704180743702,-0.2576992610259169,-1.034273756651191,-0.4458734750819432,-0.7281494818796146,-0.9003206427400607,-0.09663909850470054,0.33726504922650885,1.51818401147171,-0.045866488760392475,-0.8043882964841854,1.860691928541457,1.3449483483621152,1.1712521703745784,1.7051896894445535,0.2993580985861263,-0.9230177894996229,0.8615805014518501,2.3646795360072126,-0.006214013425747383,-0.6598974480462808,0.6669678050568212,-0.7419947159271147,-0.967772837214411,0.22793898627179734,0.9287519574133235,2.2767718699765287,-0.5465819405023994,0.5747924926749512,1.7829549928887114,0.706515846123952,1.250313914670259,1.8304228695341818,0.38548272933270294,1.6164513348200236,-0.871885373695856,1.4258098853042407,1.4298499178807305,0.12504414142086617,-0.8966128758946742,-0.3013898147377246,-0.24545636514150015,-0.8273064924185871,-0.8234112405812921,-0.7801667528428258,1.6612860331059953,-0.49508419658805497,1.618946534430512,-0.9440040038183136,0.9527516283031703,1.5254097042836758,1.8088299724041024,-0.8493316526856679
SIDM00276,2.4640039082809264,0.4754962110475912,-0.8807662481244803,1.5863269662558173,0.04899308022604218,-0.23638666720104418,-0.4105892421439841,2.5293317851459474,2.447150021450007,1.4886599059213106,1.7310170308948483,1.681968725457825,0.47766913769625075,1.3474571664404649,0.8710507164144213,2.151337130782409,-0.9049077368132306,0.1381613907523391,2.063073623956763,-0.09410910226802578,0.5106935540361079,0.4225227724047488,1.3805344522185563,0.3743809305428508,-0.9333568887894341,-0.11824995574084751,-0.32538607435122535,0.8368563032703118,-0.762507432057503,2.1024967403211603,2.3930519431258994,1.2226532785996764,1.5052208217114635,-1.032143225347502,0.30185957027793847,0.33319694105361064,-0.9489912662515092,-0.7976500025033065,-0.41785120083383437,-0.8295382970169954,0.5294430039644362,1.2655310735131426,-0.8894647098664923,1.66636470659618,-0.7895208259441875,-0.30826079119461575,1.4268567505514762,0.34017657826310144,-0.8834184836591102,0.8083106254953691,-1.0423200129039758,-0.9586155677561505,0.1684120157679372,-1.0332731746646098,-0.6781698185208029,1.2370817294319385,-0.8543191801528256,-0.7197081432223705,1.0358704663597806,-0.9338039092556761,-0.8586553896483429,-0.2025721781928262,0.9499968666607429,-0.4728521582772701,1.0541791905589033,0.45791768537135535,-0.781788175144104,-0.7964323598344398,1.740687264364395,0.5988639408418579,-0.7249187725047035,2.1725104258122925,1.5220077657656024,-0.7517424139476234,-0.4750369750939026,1.7941018665082207,1.6266527212102753,-0.8972891670582549,2.2557065678958397,-0.5688611460069404,-0.7586592452301547,-0.24875296274530506,-0.4266478123423593,-0.021503095379554724,0.6632173721570487,1.157655752962655,-0.787935756460015,-0.5225389598422249,-0.3121261130971343,-0.8191940902844429,-0.4374733797239699,-0.9070478476260756,-0.883055827852123,-0.014957035702055558,0.16686947095903695,2.1196565602076896,-0.722810396714422,-0.9450031496081194,2.24359792057205,0.9350715455554958,1.3193360127169127,1.1853753680539734,0.014642769186311905,-0.6108730396463931,1.1648113327822416,2.3916851814276514,0.2793951734822182,-0.664333007461722,0.739078659091515,-0.7843056258198139,-0.909581282214145,0.38944736991567414,0.8633541890310813,2.97929596949789,-0.5851754987141586,0.6805456004648579,1.7489246933929925,0.5510751431278518,2.0742521001204244,1.5175482600539365,0.04614207831346724,2.2817028739314416,-0.8839114153689854,1.3146405884013086,0.39121594842288876,-0.5055467923321676,-0.8272829406171278,-0.8333984731671938,-0.16566715392774117,-0.8606060315933027,-0.7531996774398032,-0.715660334937582,1.6198822234338979,-0.20523773009941007,1.9877001227422273,-0.9412482400721207,0.7029775276600981,1.9708552285280092,1.80321826629429,-0.8947484586171043
SIDM00311,2.294336795015045,0.9368841672470111,-0.9004687985953198,1.1661095623670927,-0.08104808766799027,-0.7488970454796309,-0.6687417535584371,2.241922930818972,2.1498403125448435,1.7430329551714643,1.3743281396491407,1.8287752500879835,0.7493557259209724,0.9238431574040666,1.7368406891271195,2.123254800924496,-0.8259306546880305,0.11750128245092141,2.0477270225782793,0.06185796172399334,0.7167757290458675,1.975151957222743,0.8682203000636163,0.04237864861366523,-0.9210473564774001,-0.866189189031243,-0.3053630946284136,1.3581980858812175,-0.7324348579154832,1.9378304051807342,2.167530404058752,0.9721590753672985,1.3177618218834786,-0.7222722023715871,0.5290038510734459,0.9070136455467149,-0.8883169933516494,-0.8244731671093721,-0.6242917032465448,-0.8014353399250242,0.7763578025074358,0.2640700901243554,-0.9126754648702282,1.335056048029672,-0.8048368161324211,-0.7342619598775637,1.3180050729274975,0.4151850960801304,-0.7873763773159407,1.1652203882114138,-0.8732763723020759,-0.07896852471250339,0.6010541562241802,-1.0216377274479327,-0.4508626323175474,1.4867196035450856,-0.9197123081666504,-0.4839696158533931,1.2813178207824538,-0.8629896740468991,-0.8265272053831277,-0.47006153950628143,0.7750633442986495,-0.714550414868029,1.2344117968850297,0.758562524964896,-0.8268528112390002,-0.7869684066777092,1.7109750421599152,0.3475943435645107,-0.8428286468755175,1.9148410002474876,1.4644693339928594,-0.7778693707105504,-0.5436535960392579,2.016337066269344,2.007412754170759,-0.8753996317110051,2.494427459110564,-0.5978826680096158,-0.9829715968967553,-0.40502177152590746,-0.4504909095888993,0.3109580889584591,0.6556776499795712,1.3325739040435496,-0.8338650298806419,-0.2018835395922187,-0.17004751774736446,-0.7481106974106737,-0.5707866226762848,-0.6634210375995113,-0.807294085114797,-0.07548140319221111,0.4967643932395495,1.4596908820060084,-0.571716498982754,-0.7314493322153746,2.5430113814241064,1.2929588002478989,1.1787584684616508,2.227641342107614,-0.08935283697037226,-0.8024440377522937,0.48148735833157297,2.8278142988861528,0.5377912911953556,-0.39915316580804905,1.0072662458081967,-0.8123729671874719,-0.9563485019582132,-0.13391263280250737,1.5363665717290682,2.266129345498573,-0.6108991886244314,0.4859562162873104,1.528333825146871,0.9195926959726466,1.8287379202320553,1.5958134965329744,0.1108151310476778,2.414541203749689,-0.8785062951420418,1.0787147695944226,1.395761095948866,0.33138675353711905,-0.6523481080845148,-0.3291911976673528,-0.3994566306081725,-0.9199759157715671,-0.7981649619469057,-0.7883896877710055,1.7629732557522542,-0.23129377138173599,2.0225773358182417,-0.9083119775009757,1.1987043573822431,1.406126163963581,1.2323235100333272,-0.8611571802479591
SIDM00970,2.0201908170168243,0.43220929502538696,-0.8447625088890212,1.2264870959611163,0.22501101921868769,-0.8914612002646172,0.07045840696456475,2.896930936879699,2.2824954489108458,1.5372692915549475,2.0979766106533146,1.898659313160634,0.7164891230854419,1.6333487849724546,1.2380590149827144,2.056697470445091,-0.8727179818779068,0.27893309120855664,2.2196282221799866,-0.16475402272987175,0.5831672105757972,-0.6237224592415817,0.6591272211258179,0.019726739526194165,-0.8189072053607731,-0.7603841018758504,-0.384525131016219,1.705646186033215,-0.8121734734818622,1.8448437823325912,2.278582214377647,0.8755751843305982,1.552706005285302,-1.0270747199926438,0.17674701110770608,-0.073643430298824,-0.9471083269653086,-0.7997267251080157,-0.16673529040544813,-0.8481834568700146,0.6769309656954959,1.20482554755262,-0.8657734172524388,1.00335885213769,-0.8117758906353619,-0.7734421563633258,1.1929602398305126,0.0894344204496294,-0.8802142311672257,-0.30646223110506976,-0.93613530282105,-0.5361017540530403,-0.6468770805127784,-1.0355886159555343,-0.1659027084924979,1.1609521373897784,-0.8810710387313534,0.8377013906306389,1.2704759341415246,-0.9085316201305689,-0.8982047693981794,-0.8948090357015813,0.7249972030165704,-0.6745781900401501,1.5357497107100266,1.047488601370003,0.3176373444131444,-0.808663496903889,1.5914805910347694,0.9271603799365454,-0.08082195076952425,1.9766710874095759,1.678644682477727,-0.3191638616863448,-0.14141478146025377,2.153313429123219,2.0011028666736186,-0.9691088364228767,2.7465754770662683,-0.4831944205692451,-0.823765400045077,-0.26752980498040796,-0.403157052927546,0.289139353640706,0.8750945823880955,1.2013808404165454,-0.6906937174444193,-0.7448599744154192,0.0016497048016924222,-0.8917714979855588,-0.7010909604646125,-0.8502856930618422,-0.8386482273280318,0.3024934929070752,0.740655901645065,2.0292378599694003,-0.7188644869575228,-0.8183429852974828,2.4660061840620995,1.2840530388291096,1.4981715427501927,-0.6238723382377793,-0.683066966480683,-0.7460463355224911,-0.045827866180797594,2.5295718407805947,0.5300131494089669,-0.26652349693811267,0.9662713488018033,-0.8650316453786014,-0.9212160849190895,0.035983694640743184,1.1451164792831907,2.195759616483179,-0.665402059872766,0.7093498518739783,1.7274625670830612,0.9577774062332229,1.9062671507921236,1.9795466556437111,-0.2755980171768047,1.9555846788506814,-0.8502962100367796,0.9801965917639371,-0.8270680075541585,-0.31043386928632016,-0.9134356855951311,-0.6138958768372659,-0.342907586190873,-0.874085230966218,-0.7626032650246876,1.3641418703905324,1.6165299418356358,-0.49982116344336497,2.1124187429600787,-1.0126068723863024,1.490200399418106,1.4158959651815277,1.6678418656926215,-0.8546173027903005
SIDM00103,2.1602555912087205,0.37325910107987376,-0.8922442942193746,1.169887008790956,-0.04520818918322785,-0.8949405498541874,0.2659517164950301,2.763267396374521,2.338575662339396,1.3880113860074303,1.2791450810327352,1.6851427023576415,0.43153396971386254,1.1494193962525092,1.2619007639709,2.1452366905321414,-0.8150245580536174,-0.09967040348670823,2.2271387698428,0.10503850191101637,0.365449323408154,2.027175970057061,-0.022411572585490272,-0.05568004156819471,-1.009947080890672,-0.5876695807592467,-0.11835969643353476,1.7770985898927727,-0.6895029706659731,2.1693033094252043,2.2365112629003483,1.3492038190763207,1.2545765553181143,0.5943433989712683,0.3849422144196112,1.2109489861431932,-0.8592815721307147,-0.7750133550053492,-0.5341538251226953,-0.6853698036965686,0.4139994097277131,1.4635288771299841,-0.9098065607451111,1.7440111580669662,-0.8870151699340137,-0.8146035495727518,0.469507411717121,0.07829661877294265,0.9758744255931343,0.35527593751173864,-0.6450947902396279,0.6351065697329298,0.048413098346473324,-1.015674024147578,0.2338331717362535,1.1816378700321182,-0.8645975638065646,-0.6664243563686305,0.8279546048843304,-0.9164346913592578,-0.6845828213051747,-0.7182676307606842,1.2280348998786894,-0.6517989948796699,0.6152040352835054,0.713667019936505,-0.8109119383233385,-0.75615054863597,1.1339799712971366,0.19028650149354615,-0.9357479813433739,2.256905844742905,1.006384585053371,-0.7501884294442669,-0.5233110564149769,2.6397276295028282,1.487324877227964,-0.8239215148533774,2.097210139294294,-0.5172870695542297,-0.9076631388227108,-0.6157905516492004,-0.49422232844539193,0.1731678427766573,0.44762755983730923,1.0884360477916666,-0.7545610996114599,-0.24442607537513414,-0.4929876868343497,-0.8770963737382372,-0.42275532301870344,-0.8117901204860103,-0.7402036788938835,-0.189842804146099,0.4508767329317923,1.311231163939525,-0.585708349734689,-0.4392113582721652,1.9965874480520454,1.2715920738726327,1.1057744417067001,2.2567644006069023,0.31845074605201523,-0.8249554116357566,0.6935333029033567,2.7488557167784164,-0.000620700933828243,-0.4237880802871702,0.5540972201273823,-0.8341732326940375,-0.861508683394622,0.28353801406816603,1.264724710650215,2.538526809233221,-0.5143170573010648,0.809972335291887,1.9576298886496921,0.7794806074072205,2.092154416092051,1.5925822213845466,0.16251026630287377,0.7069563729782211,-0.8952021673911332,1.2927127581217,1.6390462766379617,0.782078839218375,-0.38506433750379204,-0.7612091511553709,-0.2203102215597646,-0.8899488760202054,-0.7595163038186372,-0.7694794578578853,1.3873619939924602,-0.35260231019847427,1.968127607353473,-0.9104078201515705,0.5665408011220123,1.7710883811776843,1.7744159279418088,-0.931628982936745
SIDM00266,2.3969199688085965,-0.044627824596759125,-0.44609071474676537,1.322527249468263,0.05983188239445097,1.5514313196333078,-0.8053501065637211,2.6901869847927786,1.9152992844782195,1.6007414743859696,1.0343007973268192,2.3606744950829053,0.34185631577514697,1.8031204228172242,1.575711373713599,2.096274019302105,-0.8077050637213885,-0.15931160319621784,1.3293023359564065,-0.2049038519216916,0.34649493209591764,1.3078661692561988,0.28551340343121995,-0.5168241754689564,0.18163792121310787,-0.8963885988544738,-0.4394421939050323,2.4175695070613514,-0.7930716414306068,2.4596847760858207,2.361762806347452,2.0396904938726723,1.500164547779562,-0.6015670568182244,0.272049853866421,1.2407261960220675,-0.8365708795955685,-0.810655818452034,0.1911065977772374,-0.7294081737416367,0.08991623735821229,1.8320505811994143,-1.0055562539610206,1.1348416554880019,-0.8266609073489651,-0.7705272047284083,1.4187475436556494,0.048551398621399455,-0.9276601481362864,-0.4180599548439362,-1.036532009911968,-0.9841397382002123,-0.6684002735962941,-1.0034320191810666,-0.5567793975398857,0.9219132995513944,-0.8875121490756173,-0.6623390878355583,1.5497387880143842,-0.9627519755153499,-0.8570823527259017,-0.8293554902138506,1.2011168996779553,-0.6591583152542453,0.9555700068270022,1.175237088245422,0.3342311231977028,-0.7427986666905334,1.8246253363368938,0.7896802950401414,-0.9667437005053958,2.1764890347533314,1.548025334036751,0.01540801019537492,-0.23613956032362457,1.7265076616453279,2.3781741426259506,-0.897096508410737,2.8285885623792493,-0.6413427260976517,-0.8818946081804939,-0.45508128507375634,-0.5954397191912765,0.4665308693928713,1.3945640559900032,0.8165081118333872,-0.8383722459025567,-0.26475644225969447,-0.269054779103005,1.6419459930264972,-0.7230544883647042,-0.7695400954168218,-0.8139244608327533,-0.013608505745071215,1.307189283433923,1.8631078309880242,-0.7713019814099381,0.46780834189135856,2.0480197926842836,1.5628667395481477,1.8132641249740409,-0.511286667953337,0.04235921650309317,-0.7790981750231987,0.5069133268063928,2.8684711080064202,-0.048583290891021036,-0.5566696959103078,0.6573707794797384,-0.7518317989959907,-0.9377502803531809,-0.2698113478462399,0.763663823700026,1.5804003922347012,-0.6394393137198994,0.3689262397560193,1.7120328869393409,0.7292793844666248,1.4891651941304884,1.6491221082302352,0.46755625616096846,2.0306816624152626,-0.5857438900083921,1.5582485043746648,-0.12831385316587265,-0.4788851503869336,-0.8216074010655937,-0.8759015272357807,-0.26073991778386596,-0.8405057018054564,-0.7324811584533146,-0.498248347532171,1.931539225977681,-0.2874573897284103,1.9180314468452517,-0.8120762309719314,1.987142263141992,1.9378122411092098,1.6727052098883084,-0.8428140779482916
SIDM01064,2.711397606922848,0.20737346857086456,-0.7032345132313812,1.128746051742415,0.11245061823096607,-0.7204471430325006,0.27154027224742106,2.872710856068504,1.9734170817758807,1.3514531171464745,1.8153474990957925,1.9097396397271744,0.5448439623785545,1.7165297239729345,1.5573252105989415,2.3695025117319353,-0.7772564201417191,0.29049725161110174,1.9384480501251475,0.3072468659622954,0.8703602799366513,1.9562569468549273,0.6945501959619408,-0.3107641668090618,-0.9808331041859419,-0.3384128778430935,-0.43335480480616806,1.6148830336021334,-0.7449430611487001,1.9888654236006311,2.3148424522192905,0.8610008072936102,1.8059796610368564,-0.2606750601971688,0.14930971519683034,0.6112305335055372,-0.521660890810056,-0.8068926424397006,-0.5211529388711827,-0.7787685614562925,0.988730818287893,1.00248513094319,-0.8242276161076987,1.7395236273556625,-0.7905883018093905,-0.6791896136587909,1.7371488038514138,0.541729742374298,-0.9161462986804396,-0.7588318205135752,-0.932415613974853,-0.8725245135679798,-0.6176149489993681,-0.9926337453083746,-0.586809679121046,1.6605406835355598,-0.8710000108144892,1.2536498824211928,1.3908287190345356,-0.9138641007417054,-0.8952687120070794,-0.8459392549782382,-0.19211823875920464,-0.6696713428522055,1.8964749650295192,0.6380157646490612,-0.8906872204485976,-0.628063702056203,1.666279484690223,1.2491542433695075,-0.8807241632044076,1.675223970914805,1.4039378804725278,-0.8574547297283235,0.23264972119497915,2.1350166839393756,1.74055860536244,-0.8798411342140557,2.3852012016208506,-0.4657003153364916,-0.7013456711565182,-0.047619301025337214,-0.18129115440629387,0.49256808779538297,1.397016914180891,0.7201388721486595,-0.7328274176960781,-0.251120669100297,-0.66266757633644,-0.4814425101975919,0.2807882806754634,-0.7035891690409853,-0.7919053897303192,0.4143339052652582,0.7914719384631486,1.9491158106371829,-0.6276665819869368,-0.7796696184507781,2.5297175712509476,1.294639136555302,1.76930198242391,-0.6547415605872128,0.19781338357165687,-0.27055712673893534,0.2308680042773381,2.4373806862597402,0.3357440439897538,-0.5077078340760788,1.0022829654177876,-0.7626777218484814,-0.8717696098262915,-0.19297294957601255,1.4657151882263066,2.1470195094155966,-0.5583310302046385,0.6023777222188741,1.1006443922560312,0.7743363715106888,1.7410093733321257,2.107084511240817,-0.27603006357259,2.8478510220384914,-0.8685501135378221,1.646313539255137,-0.9259336302269997,-0.33896474103530666,-0.8741896922039708,-0.7842293106107983,-0.4432026019426041,-0.8212815083357965,-0.724081474651082,-0.7594816432964416,1.6576950404508937,-0.17979755173034057,1.852270210383105,-0.943991732696295,1.3786491651831871,1.6221771753414806,1.123204344392576,-0.8522634310956565
