,CD80,CD86,CD28,C9,CTSG,FCGR2A,C8A,C7,FCGR3A,C8G,FCGR2B,C8B,HLA-DRB5,C6,C5,ELANE,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,C1S,C3,C1QB,C1QA,C1R,C1QC,ACTN2,HLA-DRB1,ACTN3,HLA-DRA,HLA-DOA,HLA-DOB,TNF,HLA-DMB,ACTN4,ACTN1,GRIN2A,GRIN2B,TRIM21,IL10,SSB,SNRPD3,IFNG,CD40LG,CD40,SNRPB,SNRPD1
SIDM00519,-0.8773960331696109,-0.8494147967707412,-0.9311927655030178,-0.9420982199317257,-0.7507706343011006,-0.4753317770036593,-0.7084936115464693,-0.8718176826350038,-0.9036977301794038,-0.7693873461790143,-0.8879551343148693,-0.8077004069201315,-1.0386262726376774,-0.9030508576103123,-0.495479005241168,-0.9209613257413364,-0.14036690293772516,-0.6835902490495037,-0.8552762103619947,-0.8500095596348652,-0.9122944676291965,2.80907381720728,3.3261014246252474,-0.8284827955650852,-0.5239746563272963,2.2307949396069993,-0.858059608392747,-0.8583548850590816,-0.28720554554339617,-0.7538159552167742,-0.906367164563807,-0.759487187615111,-0.8995066411033797,-0.5600337566519754,-0.6528306856265902,0.5043267825034148,1.5457025545850684,-0.8711102277229238,-0.8649656119941859,-0.33303902040256395,-0.8536327205195777,1.8375762102034325,2.0386297908468958,-0.9300840824322217,-0.8809258530671084,0.7556309314959715,2.400271358012293,0.8438369705848439
SIDM00917,1.826736739893343,2.2939909671583387,-0.6433808897176444,-0.9795542171198738,-0.5432628380327319,-0.08628337697199527,-0.7468486026639539,-0.8326654940059455,-0.8970076253610872,-0.7638224113677594,1.5039176729535413,-0.7171066404633881,2.564093744552317,-0.9284152704615724,-0.5588061776669128,-0.9426780314795945,3.5048573757347694,0.42175124772919653,2.8754514899834267,-0.6888859523753298,0.4211067066924665,-0.8886104217000225,1.6863495870806728,-0.8733555120349572,-0.2890540517309097,-0.663806867855846,-0.8834939384973209,-0.879885830875656,1.9781012486340996,-0.4276857111405615,3.494590086395887,0.34617692899567964,0.12764982889070794,1.830999589279416,0.9145743162847568,-0.06505458149196605,0.8916537836914151,-0.5859244803758489,-0.8019169405197101,0.5760451577206306,-0.8572141517941781,1.6977637788208468,2.280062452170086,0.0483493715889996,-0.7726088462316814,3.0185796191821663,2.2166332778206908,0.8798899976948723
SIDM00309,-0.8756893981451909,-0.8970896840721696,-0.9736594079017136,-0.902088512886485,-0.7448491740253573,-0.45485274043856855,-0.6761532344948097,-0.8617346961803035,-0.8991434000705931,-0.733736966954814,-0.9208668503400408,-0.8520908558400183,-0.960016427006162,-0.938866701075303,-0.724567283683529,-0.8690418595953739,-0.31685623071890795,-0.820810202798485,-0.8822903017517721,-0.8334600041818734,-0.7269201019206271,2.417319991226566,2.175906925484715,-0.7921027259112977,-0.5532709603915592,2.1852828646166897,-0.6620247313073511,-0.7114612558829494,-0.2404282112448008,-0.7633943988458649,-0.7582596087680119,-0.7349895016732227,-0.8650262547556056,-0.8252947442022723,-0.702628022902575,1.4911563171197402,1.3643054481827885,-0.873371418752893,-0.8434691448664909,-0.01531931333240323,-0.8284773833065676,1.929344542493327,2.096525690377846,-1.080285910491681,-0.7930068416082126,-0.09459870333919498,1.9010099687136766,1.3134312783813213
SIDM00099,-0.9153341784676792,-0.8352389370433234,-0.9910990043675716,-0.9354989038777225,-0.6639852019501258,-0.6641142301869474,-0.7065317737953316,-0.8636109325089616,-0.9449121938033698,-0.7318542887471801,-0.8671042686911759,-0.8845182590830923,-0.8855662207886726,-0.928202600296122,-0.28464357303462634,-0.9444557743903638,-0.6696810121536299,-0.8052691501803051,-0.8360266712271515,-0.7175044414193924,-0.9120635014572644,2.288601793763429,-0.00773086269971073,-0.8409825555127204,-0.4239775850873359,2.015346679770464,-0.7637374996760362,-0.8795625438605619,-0.347542825813449,-0.7099643818058741,-0.8855155724255507,-0.7591319998223833,-0.8509585785792771,-0.8381578425807334,-0.6384798976138358,1.3235505903447977,1.9009295082638604,-0.8926345904788212,-0.7872887852805356,-0.27397430407464957,-0.8578138576088669,1.7799225963358685,1.663835844732635,-0.931121734606555,-0.826034249357654,-0.7347886175356101,2.391603585407969,0.8659679424642717
SIDM00276,-0.8830804637983855,-0.888641716585704,-0.9223655621736347,-0.9625384251279809,-0.7753074992990104,-0.630119319180307,-0.7236290753865409,-0.8737180477554447,-0.8708141212934409,-0.6793904342677533,-0.9281416962230737,-0.8317134649261944,-0.9916581306334903,-0.8757914083386275,-0.5331197727707544,-0.9044241708937518,0.2515226328457574,-0.6126236524364589,-0.896588229704589,-0.7795969948078352,-0.7637220139450531,1.1459312824961774,2.0842687726120204,-0.8091479311026475,-0.47873217896666653,0.9832675332573784,-0.7217168327265787,-0.8571759910458661,-0.42318176084016773,-0.645171486793442,-0.8612612736173961,-0.759468284672014,-0.2016403598949984,-0.7093612735075637,-0.45326220425159125,0.8174963170308274,2.0049494369240244,-0.886795926067741,-0.8997220402904402,-0.07880056690379994,-0.7896059243898568,1.81240779235021,2.337664107975003,-0.9907004059819221,-0.7708399116371276,0.5995141011266852,2.7091984286238096,1.104694845002663
SIDM00311,-0.9333903376864,-0.8897458545697337,-0.9411540743837576,-0.9323226237344044,-0.7434244247134216,-0.598455227520416,-0.7929076536740447,-0.8398627549681815,-0.9892067609814644,-0.6525582777998635,-0.8389539466654905,-0.6195566310357327,-0.9068704989248833,-0.9754692533717059,-0.35490564026736376,-0.8823898917219104,-0.26491364605303597,-0.6971919202266059,-0.8367602643151758,-0.8443897017756382,-0.7821481246194653,1.748647457911767,-0.4134731676665238,-0.8364310664658732,-0.4155282746566342,1.7997431789730143,-0.8039249398881325,-0.4706585160082816,-0.5868674423644858,-0.7799971057022285,-0.8604028326316883,-0.8078909537741438,-0.9008898153248025,-0.7630319113703132,-0.7143681679650374,1.0284461700333447,1.977954440160454,-0.8348294688604934,-0.8682536570055481,0.044331067974022996,-0.7882661454750398,1.7303323552972196,2.232639419297916,-0.9983434829906185,-0.8211018253688963,1.1005456651389136,2.4447250964005263,1.1732348511622734
SIDM00970,-0.8623098708920847,-0.7858965953472125,-0.9345641858074027,-0.9534229253718595,-0.7577154997713162,-0.7859114700415917,-0.7507416014652641,-0.8742944111945391,-0.927459937131705,-0.8125247616816073,-0.9030876606617987,-0.7320347676758566,-0.8755449884900229,-0.8812430192368592,-0.5582556510215592,-0.9322718537447704,-0.2908684676498212,-0.8010047431387585,-0.8481901017126019,-0.852247864580324,-0.7245226127527773,-0.7880698866321799,-0.24792162351828978,-0.8316524039667564,-0.5007755154842267,1.2350311003072667,-0.7920993171746353,-0.9165382562941305,-0.44943125610196627,-0.8062101382014091,-0.7502764860897346,-0.7738828000186729,-0.8644795362332542,-0.9528144348089674,-0.46547376106870697,1.1303482913375853,1.6519120763513477,-0.7896435071386281,-0.8665429834789505,-0.14114068791544426,-0.8775637011727477,1.8102585351063096,2.6221235088801733,-1.0016024397027243,-0.8554872832435594,0.3478553319942334,2.463407572740413,1.4766158414192152
SIDM00103,-0.8787626600903105,-0.849583314479646,-0.9285399505055926,-0.9391422047733452,-0.6941121251515219,-0.6816550632078324,-0.6534200192139789,-0.817976904698665,-0.9421399183175823,-0.7230989615361152,-0.8573262410867384,-0.7384067318290946,-0.913591553549024,-0.8888081930764689,-0.21228699440577745,-0.8850673261831039,-0.014606005088172187,-0.43747900117128874,-0.8705528104410781,-0.714399399536755,-0.8214621981494243,1.3394793403150145,0.9538244610445681,-0.7584840984370682,-0.28836340033777164,1.3411256649833794,-0.776435322865215,-0.8182699399217394,-0.3324986756890726,-0.687627576375307,-0.9028877008665502,-0.7458778443958731,-0.8746732181425017,-0.7985828210686804,-0.6158311292088278,1.3393488227087893,2.1562233022877053,-0.7637008815017764,-0.8579353270191581,0.4267331714172886,-0.8873494022381585,1.9745945212067337,1.7608775743429415,-0.9662912596215301,-0.7901236509869108,0.42989452965257147,2.529568313344564,1.2380914926687385
SIDM00266,-0.8951051895649392,-0.7784463507029376,-0.9507617311332528,-1.0047789004085184,-0.7624806088879464,-0.338494978013402,-0.6489559948241166,-0.6149018609680016,-0.865680549315209,-0.7638582418331851,-0.7777301313521171,-0.7785037459106979,-0.8695237638441671,0.2598029896018036,0.1277774493297638,-0.9705425550888526,0.3645437775747787,-0.37230222210173347,-0.9272710252616172,-0.7070607866133303,-0.8111739066562624,-0.12222125984431895,0.5703729296049435,-0.8291174031283335,-0.30796627858714065,-0.175494876079187,-0.8306965827812931,1.1977791937716853,-0.35737153835192254,-0.6311878975779397,-0.8858743292050493,-0.6614686722720333,-0.8273876326163914,-0.6886728367980001,-0.5495218626620307,-0.1307138727507034,1.3778231393555398,-0.857302840889627,-0.8214330695060518,-0.6761531231592066,-0.8662196745749828,1.9353876974325421,2.454090942547444,-1.0339788944272246,-0.8448909171229004,0.906066289592875,2.4875438436081536,1.3902514908393997
SIDM01064,0.35024018260585893,1.9345792136160118,-0.8958202328794158,-0.9709589246881787,-0.6833349031904216,-0.5252426819073415,-0.6469693299893736,-0.781398269637379,-1.0024598970145264,-0.5373816898659927,-0.7185323637993222,-0.7894787340519839,2.5597213838742223,-0.9483450019113712,-0.5351562907308852,-1.0123817031807145,3.591794618345647,1.419922603441871,3.169894136401991,-0.7081885708248863,0.9082229504652144,-0.6843895713244107,-0.28396241432956787,-0.8037991248132901,-0.5091808108476895,0.767366734264228,-0.8028668014852047,-0.8212164603800876,2.5233771458313368,0.8552306137604624,3.410092265365584,0.26198006825270514,-0.680158197205942,1.2615577021538715,1.1949111794702933,0.6696829957689749,-0.5431813803408978,-0.8102600933074803,-0.8700058658108729,0.5667935485302567,-0.7432726821938074,1.8597477681596544,2.4150355253152243,-0.8997361848249146,-0.7689878989113619,1.5576623811316819,2.2065231174571043,1.4196955378252156
SIDM00098,-0.8947731165172591,-0.8399995183972528,-0.8799639392746245,-0.9501844370675949,-0.6050165141260418,-0.5941716038912054,-0.4513652636301616,-0.8090422482566747,-1.003177835929941,-0.789771064760301,-0.8541342663426599,-0.7364874959167472,-0.9467289163968523,-0.9263151896956326,0.21895306633767728,-0.9721167601800668,-0.6630284236791765,-0.7731565727264909,-0.6996106600512483,-0.7867141125858624,-0.7659517783804939,1.384304387639901,0.06187135648827302,-0.7921266729166477,-0.2908830218470289,1.401038299243023,-0.7500813278440486,-0.8733002109344996,-0.3787225790915622,-0.6336351673807518,-0.7401867983396774,-0.827024979593289,-0.8905966486861764,-0.7417031340419986,-0.5865601925332562,0.9265336204314082,2.0094624620330865,-0.7470304585439392,-0.8208984310076196,-0.1702626639830176,-0.7903674943226788,1.9030431346281234,2.3179217779277104,-0.8597500575831376,-0.7799837041284752,-0.6963768319261092,2.3330356606610843,1.1646515544923557
SIDM00225,-0.8772945300085386,-0.851323558771163,-0.9184179609058011,-0.9510127762663604,-0.7355999610728561,0.9458839029925165,-0.651825943219779,-0.829154798482412,-1.0030502760022653,-0.8636102133520984,-0.8204315973001353,-0.6979765553749611,-0.8878933160869023,-0.9730432228737995,0.7545187527240418,-0.8915435125925314,-0.5605064293166352,-0.6437245519187396,-0.785122849708839,-0.7963305575890531,-0.7700768941691026,-0.2644856447058785,-0.8609513555800429,-0.723095792897447,-0.47513945533139046,0.6601894517364242,-0.8632603027450036,-0.8502181803629661,-0.4372289474218245,-0.6906097908030505,-0.7670464928725623,-0.8573120958481689,-0.896975281051048,-0.7278087225899333,-0.5133053817272143,1.388521705624837,1.9373866737563425,-0.8305295700537194,-0.7843207321870466,-0.5200989484062669,-0.7872423614524849,1.813751096969141,2.4835353945830647,-0.9963200476749559,-0.8181112068453431,-0.7297009407472806,2.589740207843369,1.3326742037122317
SIDM00846,-0.8385061473213489,-0.85367080474083,-0.9280478532644819,-0.8972189652491778,-0.7269627061810293,-0.253832162855843,-0.5895441985654608,-0.8357863776405298,-0.9341135574006431,-0.7584721946194566,-0.8364066344068947,-0.8428262941874329,-1.0032218252754408,-0.9812880678377357,-0.5447335266284777,-1.0025610149972557,-0.49986848660483363,-0.7217268455895463,-0.8366690332538627,-0.7970568493275144,-0.7919555073165746,1.4514514481016543,2.169511368916281,-0.8108052623871276,-0.3871911417617308,1.0306480412111163,-0.900246304896445,-0.9033643859151723,-0.30348135906085394,-0.7528181129104365,-0.5108336012509387,-0.7723679237222216,-0.9177039104515265,-0.7958212129566247,-0.5767724904081722,0.5469257152931934,1.1519956357242145,-0.8749851643296825,-0.8257582797818319,-0.4089816660010313,-0.9205060673615564,1.5927090971072488,2.406733959700091,-0.8076239847909236,-0.7891083458842173,-0.666486758257714,2.2441357890848135,1.4284197314410703
SIDM00291,-0.9192337925825597,-0.8599009510309369,-0.9268808233926717,-1.0045883137719935,-0.7677843116370869,0.7248288865765554,-0.7875342947459953,-0.7925343152804446,-0.9160353898394651,-0.8282509064179132,-0.5905916210894875,-0.7619293031949189,-0.11726977893918603,-0.9112013406436347,-0.652482122385604,-0.9662575220652204,0.9601841380469424,-0.5464811445517659,-0.803661787735858,-0.8306296617521467,-0.702789826160302,-0.499935898146637,-0.6404558269258479,-0.7384694226055251,-0.4852949232417782,-0.41764341626002827,-0.7744789790588791,-0.7312216334491322,0.005634127767187163,-0.7261486265963862,-0.1161485191118744,-0.7555327635249518,-0.9651243155595305,-0.6350193019167573,-0.1594614923930281,1.2666348943404389,1.6812246203548475,-0.8902366526756632,-0.8940643401538414,0.025473638764025336,-0.8717007893949416,0.31807112884557837,2.1924379261053937,-0.9776528005533216,-0.7921230788018265,-0.65389286044965,2.4893850649843525,0.7434720604374548
SIDM00520,-0.8590527581866416,-0.8848664131146479,-0.9382982370901265,-0.952307169768851,-0.7222280138903817,-0.7121065468103442,-0.6547000228543406,-0.8339253683433234,-0.9252833065822995,-0.7155674669154064,-0.8471320442967333,-0.75286835166104,-0.8933978145011346,-0.9014924507030918,0.28374067369663675,-0.9939398463753818,-0.6377297059213544,-0.8135510573477684,-0.8416518672682294,-0.7459405138978616,-0.8736142341397525,3.048874789353911,2.989217585342099,-0.8755236481964191,-0.505369277626973,2.831664245918021,-0.9759401306945115,-0.7690100215132346,-0.09622622792271796,-0.7886089141710372,-0.8985903628365964,-0.798349768649226,-0.9721119229792833,-0.795223583456106,-0.6358949567841463,0.8551865941942636,1.8227859798750403,-0.7416339005797844,-0.8513321957254336,0.6078068809840288,-0.90549514453863,1.8637435845912225,2.065242952964057,-0.9950402867339376,-0.8336134795719125,0.7670956383709292,2.2794700673266015,0.7869135068983996
SIDM00003,-0.856173068687665,-0.8597006766501402,-0.9160432588293327,-0.9509853302773278,-0.7861591631832512,0.5399777587129269,-0.7214760872187074,-0.787761490229236,-0.8376640354909668,-0.6842146937296558,-0.8184763783010871,-0.7484277124276094,-0.9432442458561048,-0.8848792312086308,-0.0031942757980556007,-0.9102159730795184,0.654894453964464,-0.6790991248888133,-0.8174521485667815,-0.7314647760685744,-0.7212728650662709,-0.9043482167031096,-0.9285964230536524,-0.8440521305161538,-0.3890811740804025,-0.27843832161920634,-0.8275167323055851,-0.7542868890742725,-0.3425296798455898,-0.7057371891547607,0.6950036521100194,-0.8295533481060443,-0.9394863332426355,-0.7054782993116544,-0.3517618065361384,0.7343518177673665,1.4985984536107873,-0.7356585669657586,-0.8352796117350845,-0.046060406413995586,-0.7720307348000687,1.9431735722400738,2.724292521605911,-0.9402499429580103,-0.7942145247056666,0.8555453549862794,2.4761805044753595,1.5525846624719057
SIDM00136,-0.9031602735307753,-0.8225841336267938,-0.9365081561112746,-1.025159464953952,-0.5571417202217007,-0.6547052721117153,-0.6979424733310303,-0.8548786183205791,-0.9889171525892658,-0.6798041251330788,-0.831259178925467,-0.8545456232165233,-0.8369627107394451,-0.9639659213828381,-0.5141592122703993,-0.8823706744842769,-0.6455122701432152,-0.7977165253571077,-0.8590979317718883,-0.7411906746771916,-0.7988756576317981,-0.9727297743490303,-0.7249590752855282,-0.8787700999751977,-0.4535164803718215,-0.6128929457222436,-0.8066546406827417,-0.8910544608032175,-0.023434356593552787,-0.8180172333378642,-0.9556662774353608,-0.7452827747268369,-0.8744780990635425,-0.6756869152850754,-0.38937665334439236,0.8574538408679233,1.180239021988854,-0.7763923754851505,-0.8680987833409655,0.12579726982253764,-0.8903939125098406,1.8441908252923531,2.0963659092360496,-0.9929079741954784,-0.8262377790325739,-0.5570833172500466,2.2988536179094283,0.8308977002176218
SIDM01155,-0.8543459373078899,-0.8334327281829922,-0.9541882539983616,-0.9278976847397389,-0.7357638171767766,-0.22809649475571997,-0.624053685598383,-0.8598175641170819,-1.0122835958376162,-0.6971787422294531,-0.9125236934147408,-0.760413519540244,-1.0272438679839013,-0.8588336012401385,-0.06984502525312862,-0.9329001431010323,1.0391660052574836,-0.4133020880682301,-0.8747703876296736,-0.8813487493596951,-0.8049126115943926,2.3605830597260886,0.9745958170534986,-0.838923873952068,-0.4090254704436633,2.518813948502908,-0.8649602642402252,-0.8999895157147608,-0.22962218518521352,-0.6402730184438374,-0.046761039909577036,-0.8252098283458035,-0.8072151251466538,-0.7406829943835739,-0.5390238418245424,0.9444983124017181,2.1842336392290496,-0.8287933587103191,-0.8419559854111376,0.034989637608611714,-0.8718598653148264,1.68323602411234,2.48576311651178,-1.0532732750769842,-0.8504188038318066,0.7542326309796366,2.5519511578272454,1.3209889714610588
SIDM00224,-0.883679964772945,-0.911969680505029,-0.9212214114760172,-0.9724202526632726,-0.7341097165242603,-0.5910458843141172,-0.6402523819065575,-0.7880075052130164,-0.9496827390001606,-0.6770968135118113,-0.8604730671716988,-0.802321064715821,-1.0230511734681489,-0.8804409545473101,-0.5207862644482976,-0.9711074740230738,-0.6582117462786343,-0.8191994350094725,-0.8981679399784823,-0.7268322595866971,-0.8298726597837133,2.436570290523306,1.3257822410944882,-0.7821830609093399,-0.4478307742174924,2.5304223665364964,-0.7609735725186423,-0.8393743483440749,-0.5357880556281073,-0.7793049388298307,-0.8622581586003355,-0.737652806830571,-0.8874325362808944,-0.8669716464946154,-0.7021260873881315,0.8705593985304712,1.8750100132326357,-0.7109631444332837,-0.8269955839245806,-0.1167145692654991,-0.8095167554940064,1.9230104520802003,2.1002348109733657,-0.9744203952969527,-0.8548961587792742,-0.6494430977012039,2.4103771453663243,1.144471654818356
