,XDH,CYP3A5,UGT2B28,UPB1,CYP3A4,UPP2,HPRT1,CDA,GUSB,IMPDH1,IMPDH2,CES2,UCKL1,UGT2B11,TPMT,NAT1,CES5A,CYP2A13,UGT2A3,CYP3A7,ITPA,TYMP,DPYD,UMPS,UCK2,TK1,UPP1,UGT2A1,CYP3A43,NAT2,UGT2B10,UGT2B7,UGT2B4,UCK1,UGT2B17,UGT2B15
SIDM00519,-0.7701884619969925,-0.7241817474445538,-0.82031647201751,-0.7669496259668004,-0.8964939900580688,-1.0571620510568494,1.944876250843887,-0.887559793440821,2.0984424754996764,0.2610790194799404,1.5782464946266148,0.19789600147900305,0.47919007600908503,-0.9668374874718498,0.7770179653043519,0.8793251823133985,-0.9292588693751004,-0.6992051415855728,-0.9755920119544125,-0.8884159421327231,1.851674655767616,-0.7072317254825373,-0.20272243541398352,0.4912610544033931,-0.058732525834262354,1.2781507803150678,0.6971860849854454,-0.9042632837709682,-0.8983061797306987,-0.801208287578833,-0.8136425030719703,-0.7881922421034362,-0.9822907899181706,0.49850952073913357,-1.0507368802864394,-0.8346090656911848
SIDM00917,-0.7272350389157912,-0.8598181344526225,-0.8003932286815031,2.1030302395705887,-0.8848248680807167,-0.9513551375958397,2.0588705705549337,-0.7871436378392345,1.9841508690064054,0.15817266954964984,1.9860440191717135,0.5895515184295148,0.583845039192519,-1.0244361502091766,0.8427676824306831,1.0856243505179124,0.5737506211729645,-0.6116419740811443,-0.9296821275975992,-0.8658670022914701,1.534582574556106,-0.5292414189238274,-0.0466241400943333,0.8182389002249814,-0.34059437982508517,-0.2888269004300049,1.72360676135161,-0.8555782531987597,-1.0292294831130941,-0.835113975519446,-0.830892609094296,-0.7401498117258457,-0.9102517800415708,0.005189199453604539,0.1910455290305892,-0.7194089580653549
SIDM00309,-0.8258549813791262,-0.5774843599937453,-0.8070125815292547,1.0921164828975323,-0.8506540475801644,-0.9093426495764632,2.213374197397839,-0.8515104835833315,2.0429822207105683,0.5066356091770565,2.53724088810803,1.1885727613141286,0.3960653521272076,-0.9345691724377109,0.6925650512515605,0.8776651269861235,-0.8683354899524005,-0.664168338686729,-0.9423795121048735,0.1344599281340213,1.4127685426915952,-0.786444006215869,-0.03676677499295203,0.8956174835247247,-0.29439826458093704,1.3811981383241296,0.7631815139501866,-0.881424689446013,-0.995695942975797,-0.8160329261084179,-0.9799512328916787,-0.8086807680226303,-0.9434718914778469,0.006531766701199297,-1.0158685466878936,-0.9107215858057593
SIDM00099,-0.3260070130889409,-0.572180233211101,-0.7239348108304712,-0.7914102963709965,-0.8660326053873985,-0.9755703759781531,1.860691928541457,-0.6507121610758875,1.8886265194174343,0.8615805014518501,2.3646795360072126,0.6775782437986496,0.7312703861441507,-0.9503559895003176,0.8609683265382279,0.37931543059898204,-0.8836205497538739,-0.6362357163284106,-0.9172709158309721,-0.629298766503107,1.7829549928887114,-0.7221052628671162,-0.2159444116748704,0.870863236225823,-0.29448738497072663,0.9887940568445387,0.8226821489863041,-0.7894889988141145,-0.8107043570410777,-0.8392909848626333,-0.9314442936494274,-0.6452563150686119,-0.9512975048674717,0.35967947500074154,-1.0250560029306743,-0.8647849849280048
SIDM00276,-0.4105892421439841,-0.8522776311852674,-0.683542219825438,-0.6904394737466383,-0.9357303584382178,-0.9793721452452444,2.24359792057205,1.9953764659313897,2.2650178888030843,1.1648113327822416,2.3916851814276514,0.6479929236585292,0.6126826564133311,-0.9824906556451823,0.9322258510805338,1.5973016100880708,-0.9609250642782029,-0.7078383412649436,-0.9703098908795459,-0.8892562751570464,1.7489246933929925,-0.6661065716939907,-0.6660949011668378,0.7110789179149232,-0.0965992554250098,2.5453716994379976,2.1144433242377727,-0.8626312100008882,-0.9546795304512699,-0.15233559274777522,-0.843052717652555,-0.7897514042333919,-0.9935646626331794,0.36492714795987985,-1.0612419988128055,-0.827480726584247
SIDM00311,-0.6687417535584371,-0.8825408539434803,-0.7655543728869196,-0.7515875488341446,-0.9093417888834024,-0.9820201982253189,2.5430113814241064,-0.7499309637294662,1.7542827524438147,0.48148735833157297,2.8278142988861528,0.497964251841189,0.7299275009680876,-0.9382193360420664,1.0911203969105079,0.6558679165781255,-0.8975186540710892,-0.8433827983028653,-0.9212547752531339,-0.8464639288781505,1.528333825146871,-0.7375234883857368,0.26361371541625905,0.7209905121380988,-0.2219742607660456,1.9196058948226025,1.363693713246818,-0.8083436238400878,-0.8625962623802835,-0.7946200331301784,-0.8803820812056731,-0.9030402014050612,-1.0316916503671039,0.39522027589541103,-1.0604807042078208,-0.896525161195093
SIDM00970,0.07045840696456475,-0.0027906003241154067,-0.8381245557622392,-0.8157864876357291,-0.8849027209459569,-1.0060108474547635,2.4660061840620995,-0.9922140370494332,2.239763696414414,-0.045827866180797594,2.5295718407805947,0.5863878491521853,0.786205317272348,-1.0083395456659905,1.221261037833095,1.0878794017561386,-0.8558672541189071,-0.7436119017536923,-0.9002148254246108,-0.4501143201143669,1.7274625670830612,-0.8188668153094398,-0.761816435696296,1.238404886586657,-0.25679001740475804,1.9184038490124384,1.172109752794164,-0.8144136820398553,-0.9014613815069711,-0.8378594267497447,-0.8420200451141695,-0.7555930864907768,-0.98687876025118,0.09231847481488062,-1.0126214878689273,-0.8567025082469868
SIDM00103,0.2659517164950301,-0.7889700588477045,-0.8014826063347923,-0.8314554961319434,-0.9352949257800942,-0.9492906649595635,1.9965874480520454,-0.8781121129242164,1.8820308612475356,0.6935333029033567,2.7488557167784164,0.9159074430741424,0.8590022080004748,-0.8721697320264769,0.877277648385871,0.8146101614117438,-0.9034566558947739,-0.7089465834201469,-0.956050263172138,-0.8117098036824965,1.9576298886496921,-0.8301615576182686,-0.24849769124605026,0.7117066421677619,-0.29204203724767447,0.8566250371591968,1.856533629692772,-0.8394946533168942,-0.9314321465556115,-0.7235348435372259,-0.8962325681924299,-0.8326916053243125,-0.9934736543805543,0.579991441184033,-1.0328781822069153,-0.8569153754104231
SIDM00266,-0.8053501065637211,1.0561774427678103,-0.7930657289755331,-0.7189426757606951,-0.9227875281873379,-0.976309235563613,2.0480197926842836,-0.8632926749744381,1.9758662638261915,0.5069133268063928,2.8684711080064202,0.11551375321118018,0.5808986583684528,-0.9567034788102454,0.7991352342210091,-0.49390857630460155,-0.924895654605353,-0.8290953511764503,-0.9637016174958742,-0.747665781194796,1.7120328869393409,-0.7949599580361593,-0.644675296341873,0.7636030524169548,0.054384801840043254,0.5860680438347899,0.5224692532920985,-0.8501808671803883,-0.952449596515776,-0.7810436450191046,-0.8543325455427438,-0.7795239061140025,-0.9804455810288456,0.11285179931463932,-1.0362888754175024,-1.0503499681557618
SIDM01064,0.27154027224742106,-0.8580775394260363,-0.7914102568807918,-0.8035764446943288,-0.8988631646710569,-0.9109780927309382,2.5297175712509476,-0.9442734590577401,1.9242031597156506,0.2308680042773381,2.4373806862597402,0.15465304188796,0.1727319199461476,-0.7362692051402573,0.8761335096340459,1.163964794403963,-0.9196241768908385,-0.6800501649302402,-0.8814729325127854,-0.8976696608309968,1.1006443922560312,-0.6723008291546219,-0.31166913404605656,0.5615089386528818,-0.18739649280784085,1.1530970467612356,0.29268567587709415,-0.7727916312462797,-0.8907891042391812,-0.7154485105032692,-0.8199123305446021,-0.7411651663062993,-0.9213748659044738,0.2293067893418423,-0.9748527805476254,-0.7599006955685264
SIDM00098,-0.18973102255463617,-0.7707991972761917,-0.7462067028726946,-0.7939806216588853,-0.8866962964849942,-0.9494188108718775,1.8475603799248432,-0.4233132894077514,2.1653612037530734,0.18139707630166,2.2472481136738964,0.22173111368870851,1.118095745083463,-0.9517058947572912,1.1383167187530334,0.7215700064714182,-0.8745922473015585,-0.8018451187628582,-0.9413226056959203,-0.8830572191843253,1.5695152019987892,-0.7402346617074115,-0.5188760646735386,1.1573732002790347,-0.36660097049410295,1.9800907013037723,1.6300302146440449,-0.8054738668397816,-0.9724714143253215,-0.7811644129646639,-0.9251896255100607,-0.8151828600220804,-0.952093668044057,0.6916988230554763,-1.0222583418128588,-0.8677929741973631
SIDM00225,-0.40657289360229737,-0.7978814785004725,-0.7935943453579798,-0.8089184944774077,-0.9518279815709536,-0.9610647916950302,2.140324252178782,-0.8627825438921577,2.3886076711604267,0.9211799375621776,2.479932176827612,0.29131265185330835,0.8422551961779524,-0.945337935446959,1.274848839347644,-0.3164019594602752,-0.8736287299342184,-0.8592652200242902,-0.9912903365422944,-0.8158901601449869,1.9732658894524422,-0.8139608686276619,0.25327727843246195,0.7160206793935665,-0.5169494751681588,1.7927537781532374,1.763559649259864,-0.7953921310965556,-0.9704706037867933,-0.762459498360876,-0.982039469252121,-0.754449150059479,-0.8992858571919354,0.07958644985137249,-1.0644024116214899,-0.9380475839249166
SIDM00846,-0.8189278137920925,-0.8209286823394575,-0.6994579543065258,-0.8168319297647656,-0.8732537425981017,-0.9302843499959477,2.489992463410068,0.4100571655732942,2.258560623568958,0.5906970817287306,2.8375801633494713,0.21173517530242192,0.7919425657378639,-0.9222445487325805,0.7371840769976127,0.45259073935709315,-0.9146206640505835,-0.8618254826937346,-0.9547479165268341,-0.8484341603334291,1.6140734613343943,-0.8708293450932588,-0.2696455129642617,0.9924186881634496,-0.08081199856891726,1.8906077198250886,0.26793354981905865,-0.7923227529603447,-0.8277984541827552,-0.859118498484631,-0.8913127877581521,-0.7870954370870136,-1.0510938497626263,0.6564286916678016,-1.002096718771684,-0.9574370899735438
SIDM00291,-0.7844307638945426,-0.8394483997252308,-0.8424237828065982,-0.7956440820568634,-0.926459190732912,-0.9201490440743779,2.112851521921675,-0.9299663525857299,2.2190662787965545,0.6529443994205946,2.860161957798765,0.6304636039742648,1.1510332728666617,-1.0043674735253176,1.0715819218218903,0.5747329240048221,-0.9861115247813743,-0.8262982287492324,-0.9311365797528557,-0.9145870259157411,2.131454491937053,-0.8142344223529304,-0.5654145946440077,1.027385182676552,-0.27493173200945975,0.9244306002170031,1.9195816800137608,-0.8765000181759927,-0.975807746435214,-0.7842273213449679,-0.7293496388721521,-0.832943332842469,-0.9679703636768383,0.45548936176713783,-1.0507438304324197,-0.9711558988318769
