,F2,F2R,VWF,KNG1,FGB,PLAT,SERPIND1,MBL2,F3,F5,SERPINA1,PLAUR,F7,PLAU,F10,F9,TFPI,F8,KLKB1,CR2,MASP1,C9,A2M,CR1,F12,F13A1,F11,C8A,F13B,C7,C8G,C8B,CD59,SERPINA5,FGG,CD55,C6,C5AR1,C5,BDKRB1,C4BPB,C4BPA,CFH,CPB2,CD46,PROS1,SERPINF2,PROC,FGA,SERPINE1,PLG,SERPINC1,C1S,C3AR1,C3,C1QB,CFD,C1QA,C1R,C1QC,CFI,SERPING1,MASP2,THBD
SIDM00519,-0.7103077874784294,0.3544335381916366,-0.8307894690050999,-0.8152955546773937,-0.8377509561628528,-7.964594684420378e-05,-0.7230722374855941,-0.9064329989161932,0.7494054450849665,0.10813260297940812,-0.8804149034392389,0.9198129576282678,-0.7954713684450396,-0.16629611115096388,-0.7880894079954173,-0.8516673256492445,1.3090078279816457,-0.4776017678446439,-0.7173876166697347,-0.8933270080088781,-0.7774545202198156,-0.9420982199317257,-0.8295018060326992,-0.9434407519756688,0.007046106925945528,-0.854475166693883,-0.9100667110651172,-0.7084936115464693,-0.900533207007412,-0.8718176826350038,-0.7693873461790143,-0.8077004069201315,1.6480539614735896,-0.7724386614847633,-0.9224660059158862,1.8552495351386091,-0.9030508576103123,-0.8459849375536433,-0.495479005241168,1.7805298460396561,-0.6064175637125957,0.3844418276083382,1.116348569892978,-0.9573418819328593,2.13749225101681,0.17479161441276794,-0.6833655906984953,1.0293984924567474,-0.972236353669665,1.7718963425581822,-0.859119368297586,-0.8744904101075449,2.80907381720728,-0.7105142326758539,3.3261014246252474,-0.8284827955650852,0.5387424444583591,-0.5239746563272963,2.2307949396069993,-0.858059608392747,1.571625842357179,0.6311475500584403,-0.8293886985237787,-0.38207096114180905
SIDM00917,-0.6171010981468787,-0.9906548041486963,-0.6229913780218945,-0.889840014085332,-0.8699839134653823,-0.6500471824666354,-0.6690596251083943,-0.9028299972481888,-0.6083153657274322,-0.37762685462564516,1.2467252868339764,-0.6567232442102706,-0.7908169057641459,0.09838595489772949,-0.934427846743864,-0.8517755078154776,0.5259972505130776,0.22517760985425675,-0.5812522690176498,1.5939984657500637,-0.7511412445028419,-0.9795542171198738,-0.7081590064866969,-0.7270313707717493,1.2637839975813128,1.6374594904430593,-0.9949890760436088,-0.7468486026639539,-0.9551438886259705,-0.8326654940059455,-0.7638224113677594,-0.7171066404633881,1.9951272365130108,-0.870353252198264,-0.9259969073161453,2.1682863242675916,-0.9284152704615724,-0.4855813883758298,-0.5588061776669128,-0.9623341349295934,-0.8677528722919877,-0.8802177358474176,-0.7509471085320428,-0.8293000660913534,1.724725136819728,-0.5619404633219406,-0.7482315729676885,-1.047075687939571,-0.9089364045112075,-0.7279271209504248,-0.8814427638638161,-0.8952957568861812,-0.8886104217000225,-0.8176252134146492,1.6863495870806728,-0.8733555120349572,-0.8796826784637365,-0.2890540517309097,-0.663806867855846,-0.8834939384973209,-0.6108676445287228,-0.929466476432301,-0.7223135547901847,-0.6678080433557309
SIDM00309,-0.6204130668579295,-0.7790035270973404,-0.7666707754597294,-0.8841667941020969,-0.866293312010003,0.8219674304787249,-0.746303306831937,-0.9506689567534831,1.8403017695526227,-0.7894982860440491,-0.9668220920431155,0.669740049859227,-0.768966723242834,-0.20789566796558517,-0.7459622511130847,-0.8667743053006857,0.5523474126405796,0.08650348031226285,-0.4698289666014034,-0.8469820168834435,-0.7942015996218411,-0.902088512886485,-0.6655884493962365,-0.854710618146833,-0.17114250814544302,-0.859799643690137,-1.01074279475995,-0.6761532344948097,-0.9494828040902137,-0.8617346961803035,-0.733736966954814,-0.8520908558400183,2.3671632483403937,-0.8334756576590422,-0.9554287606407241,1.5246391255946865,-0.938866701075303,-0.8525966819195901,-0.724567283683529,2.0793572198003947,1.0511845677404823,3.1742834010438785,0.4472493894016705,-0.7959585811154486,1.7246986911104047,1.44498254564275,-0.7580508361716174,-0.8388392055379675,-0.8845331573291427,-0.005333302021813273,-0.8016271240708426,-0.850235546178467,2.417319991226566,-0.7055109971892745,2.175906925484715,-0.7921027259112977,0.2999805541864051,-0.5532709603915592,2.1852828646166897,-0.6620247313073511,1.876313406115879,-0.5132613523972771,-0.759059978710478,-0.5087010376824702
SIDM00099,-0.7111541891569678,0.7433398526310417,-0.7554702234619806,-0.8868042423099403,-0.8330028590801256,-0.29633509954156473,-0.8249608737446235,-0.8831591512654638,1.4860193144961658,-0.9120711311217929,-0.9529462210269133,1.5097742231820082,-0.7115256736447162,0.8069786904231978,-0.6431650296186868,-0.8277268379355697,-0.24749569890999054,0.037558847979751626,-0.5474351722482551,-0.8289394487933341,-0.7507144423605914,-0.9354989038777225,-0.6856186822599756,-0.9128292664589884,-0.04938537015708276,-0.843714862499569,-0.8550094857011636,-0.7065317737953316,-0.9422131272955464,-0.8636109325089616,-0.7318542887471801,-0.8845182590830923,2.5319762703989523,-0.8384025044638025,-0.9464816461128778,1.9266407783407473,-0.928202600296122,-0.7276055929336326,-0.28464357303462634,0.6596847084561943,-0.7801886911472244,-0.9163740034412078,-0.7208302620161608,-0.7691237206356428,1.5154349668572829,0.3723512110794089,-0.8041602499540097,-0.9096346020614979,-0.8773133922359604,2.3236537636235615,-0.7818244867280519,-0.7448215566283884,2.288601793763429,-0.8832136741238037,-0.00773086269971073,-0.8409825555127204,1.1802524439867603,-0.4239775850873359,2.015346679770464,-0.7637374996760362,-0.6793915877715992,-0.8367781889289247,-0.8018652468556672,-0.5650290560583769
SIDM00276,-0.733670086872273,-0.9702861247758255,-0.7434825332692211,-0.9540189197736825,-0.8554963434396593,-0.31856867648888987,-0.7462638660220086,-0.9682207820371355,2.7510528643844916,-0.8635085953053818,-0.9231424047815396,0.8583785087409507,-0.8375253747720122,1.7464556892176621,-0.8222597993298331,-0.8273588679816559,2.3559972360536796,-0.08243435421120394,-0.6117941684955411,-0.6861854777460759,-0.8027179372660169,-0.9625384251279809,-0.6812346422750847,-0.990883719624466,0.20838934488275926,-0.7853909098728387,-1.006656105175842,-0.7236290753865409,-0.9766908084101774,-0.8737180477554447,-0.6793904342677533,-0.8317134649261944,2.310370831073295,-0.8543045812937531,-0.938921963093429,1.9406763916175989,-0.8757914083386275,-0.8723640675546294,-0.5331197727707544,-0.9283339520865553,-0.2905704189385826,-0.9116365282876877,-0.382943793358848,-0.836955048757735,1.5765666324858876,0.18606993630298851,-0.43821490176720845,0.47963670171469047,-0.9703955532461777,1.5795351292850313,-0.9375253291768064,-0.8559356172291666,1.1459312824961774,-0.8536864639582392,2.0842687726120204,-0.8091479311026475,-0.610848535050668,-0.47873217896666653,0.9832675332573784,-0.7217168327265787,-0.5538021975178766,-0.7735804265518569,-0.7585056311562648,-0.45266830928741436
SIDM00311,-0.7250115539091774,-0.06026690149067866,-0.756496942973185,-0.9103710376434558,-0.807095695419757,-0.5214488686448467,-0.6822405436105474,-0.8999772933510607,1.2602561957359875,-0.8320402000113015,-0.5097988291261896,1.1422769741942738,-0.7807941272302451,-0.6739758605574541,-0.8858765215222562,-0.7875966233480536,2.330876007601634,-0.39837017931508767,-0.6746063713510894,-0.8261893372037533,-0.7449776551476975,-0.9323226237344044,-0.7463575275954182,-0.9052319645761749,0.4138668066773962,-0.8871502155570209,-0.8884661905116882,-0.7929076536740447,-0.8552672760528616,-0.8398627549681815,-0.6525582777998635,-0.6195566310357327,2.9626806729688338,-0.8345286645585646,-0.8476395209919932,2.6402614777634046,-0.9754692533717059,-0.8875974613324541,-0.35490564026736376,-0.7332184877069166,-0.04203852014626074,-0.09892284114159107,1.0691629385001733,-0.7785684657747566,1.5204243463966227,0.6266213183194933,-0.7713448624473261,-0.7147808903246206,-0.9202870352625393,2.1832565020305874,-0.8999372321777365,-0.9165862851514959,1.748647457911767,-0.06355893639304205,-0.4134731676665238,-0.8364310664658732,-0.25549926459749983,-0.4155282746566342,1.7997431789730143,-0.8039249398881325,1.7023200984432632,-0.7743488206186533,-0.8209056015218613,-0.697306606762283
SIDM00970,-0.7209694470914145,-1.0011035400718586,-0.6015323352221291,-0.8828439953028868,-0.7536984125376138,-0.18605018676503052,-0.31775501799793016,-0.892245643832657,-0.31569361264934714,-0.6844142902732568,-0.9288699579312305,0.21126995019749675,-0.8147960559440023,0.2099749989791298,-0.8495600031298237,-0.7944554350956983,-0.6682270692492545,-0.55896019493706,-0.5979250699650532,-0.8114232055469351,-0.7010720333980786,-0.9534229253718595,-0.6822756263301556,-1.0404189199624523,0.5639211156782622,-0.8473311522093397,-0.9684606475689732,-0.7507416014652641,-0.9072415786301237,-0.8742944111945391,-0.8125247616816073,-0.7320347676758566,2.4532428518739975,-0.8747136667151707,-0.8967374151093327,1.2203767467787148,-0.8812430192368592,-0.8093462106504566,-0.5582556510215592,-0.9902833154539911,-0.8711021898459897,-0.9584441444642648,0.16595925204915538,-0.893155425995573,2.1548430714520572,-0.6322350888224887,-0.75525833398591,-0.5153192051983468,-0.9493851603727061,-0.2703947414285265,-0.8786508302307197,-0.8293403451741491,-0.7880698866321799,-0.8168100879265215,-0.24792162351828978,-0.8316524039667564,-0.07026334579003553,-0.5007755154842267,1.2350311003072667,-0.7920993171746353,-0.6640443529345661,-0.9161841160618533,-0.799071798336547,-0.07304481716087112
SIDM00103,-0.6948027306402846,-0.4215959081797297,-0.7532175489504005,-0.9019881143106802,-0.865507875636026,2.090077199089328,-0.7846413802510448,-0.8840040597881141,1.6321573576400494,-0.8590786102315707,-0.9365619487794595,1.0424820222384856,-0.72313182875021,1.6799328731189094,-0.1128762844772191,-0.8738438074572429,2.5066637431513095,0.30550815733698355,-0.649300905418733,-0.8685855910680249,-0.7057062791190024,-0.9391422047733452,-0.6667827566524894,-0.9271181881439232,-0.24432497531741457,-0.8478956793925201,-0.9397559563877576,-0.6534200192139789,-0.9513635378409807,-0.817976904698665,-0.7230989615361152,-0.7384067318290946,2.765801546521532,-0.8280079689033218,-0.9563602167611436,2.748758132412135,-0.8888081930764689,-0.9369986766227014,-0.21228699440577745,-0.5752074833413117,-0.6274894813278095,-0.9624264928977313,0.004943172777041985,-0.8183843930690501,1.5793825883191874,1.8962321198079237,-0.7563643896511696,-0.8794139390119128,-0.8554938999157509,1.4754069043290179,-0.8308248285484031,-0.9559018608788966,1.3394793403150145,-0.8492699483838981,0.9538244610445681,-0.7584840984370682,0.2753270200616547,-0.28836340033777164,1.3411256649833794,-0.776435322865215,-0.7567013297494076,-0.04280884390990315,-0.685407090601011,-0.1808118376175049
SIDM00266,-0.637787626172095,-0.3461857976840086,-0.8229022026634525,-0.9204074426126047,-0.9198887030744366,-0.6984834654820857,-0.8118875007161553,-0.9194646060904328,0.05244048357370662,-0.8493902947287084,-0.9445360146519316,-0.39225243468201315,-0.8465084151312317,-0.7385235587183075,-0.8633130487357381,-0.8769996595542217,1.3976847888800052,-0.5174384333961001,-0.6330812749532357,0.7554355086995375,-0.7715734413921874,-1.0047789004085184,-0.6548476344700845,-0.8764223383237351,-0.18707479765935792,-0.7993311486515761,-0.9559867011005733,-0.6489559948241166,-0.939703359861268,-0.6149018609680016,-0.7638582418331851,-0.7785037459106979,0.7118963918820013,-0.8478908850729152,-0.9672750141525864,1.3619859692502183,0.2598029896018036,-0.8976629493887697,0.1277774493297638,-0.9425132968056336,-0.789300433879394,-0.8749139890643337,-0.785194004959667,1.1628162321371036,1.7042196573193775,0.9837004645477039,-0.7690722038529425,-0.907026496846509,-0.9102901963327692,-0.2234703829186555,-0.8007460893013155,-0.8681979604096755,-0.12222125984431895,0.7548402477585617,0.5703729296049435,-0.8291174031283335,0.40683060526545367,-0.30796627858714065,-0.175494876079187,-0.8306965827812931,-0.5405828887892633,-0.41129391588053743,-0.7328182518055829,-0.7357608663116255
SIDM01064,-0.6435307415764108,-0.9536481141584244,-0.7956665182360181,-0.8518338014468626,-0.8297046194596241,0.7974006453537508,-0.7571521049272895,-0.8513830767321915,-0.6961136554922959,-0.8248512370787551,0.3021273969977992,-0.7190379656128385,-0.7474891832629219,-0.294108581948497,-0.6879762961823017,-0.8015600343220707,-0.16674725920078584,0.1265882569882047,-0.6898481458251611,-0.9027180777837596,-0.7150581701827201,-0.9709589246881787,-0.4621739671531379,-0.8481418308719962,2.1735684273924725,-0.8170396661560404,-0.8660816847994472,-0.6469693299893736,-0.9010882998607885,-0.781398269637379,-0.5373816898659927,-0.7894787340519839,2.6551890670652245,-0.8217196562220717,-0.9134651930255195,0.9631288496933671,-0.9483450019113712,-0.84855006395676,-0.5351562907308852,-0.7875700639795992,-0.6616801037169806,-0.9237070904241457,-0.43771859878130387,-0.6526027537892938,1.6186217112063468,-0.41443610245611556,-0.7666713891651847,-0.8710820191961156,-0.8648340888744865,-0.7623156598290113,-0.7578051613925523,-0.9307725151809231,-0.6843895713244107,-0.9016189152869128,-0.28396241432956787,-0.8037991248132901,0.3444850280956626,-0.5091808108476895,0.767366734264228,-0.8028668014852047,2.1389340455482446,-0.8938536301353889,-0.7018664633895333,-0.764992009786318
