,HLA-DOA,HLA-DOB,KLRD1,KLRC1,RFXAP,RFX5,IFNA5,IFNA4,IFNA2,LGMN,PSME3,CTSS,HLA-C,HLA-B,HLA-DMB,HLA-A,HSPA1L,HSPA1B,HSPA2,HLA-G,KIR3DL1,HSPA1A,RFXANK,CREB1,HSPA5,CD74,HSPA4,IFNA21,IFNA6,IFI30,IFNA7,IFNA8,IFNA10,CIITA,IFNA14,IFNA16,HSPA6,CD4,HLA-DRB5,LTA,TAPBP,CD8A,CD8B,TAP1,HSPA8,CANX,NFYC,HSP90AA1,NFYA,NFYB,HLA-F,CTSB,HLA-E,CALR,HLA-DPA1,HLA-DPB1,HLA-DQA1,PDIA3,HLA-DQA2,HLA-DQB1,PSME1,HSP90AB1,B2M,HLA-DRB1,HLA-DRA
SIDM00519,-0.759487187615111,-0.8995066411033797,-0.8903185955736966,-0.8553370396692328,0.43103392933327733,0.7487985312381301,-0.9545172274613523,-1.0129931015747884,-1.0039804812469049,1.2802356581708154,0.5722470109735242,-0.8206359994712539,0.10087621872552131,3.187525623381969,-0.6528306856265902,0.2917932877761825,-0.384561751695601,1.8626511717845733,2.4039174369519025,-0.7405098487993936,-0.9183849277015692,2.6501021367749034,1.4033749240213702,0.32996328476870707,2.013322528200494,-0.4427030415155339,1.4989435949282368,-0.8521458703408168,-0.934189271756039,0.161758777229756,-0.8809774858524404,-0.7783965622126561,-1.014608444281772,-0.9878964408171202,-0.7443906954699843,-1.005563280054395,-0.6974431117183556,-0.8893415969116252,-1.0386262726376774,-0.7245309409615628,0.05937307961602949,-0.937336258221774,-0.8903575225384422,1.8774137436730343,-0.06354671034610483,2.7299642448566734,-0.032179450152595164,1.5170394994180354,0.0856262003046043,1.284001498796649,-0.11745663116171481,2.581017819136155,1.8938241351479466,-0.014655666528702087,-0.14036690293772516,-0.6835902490495037,-0.8552762103619947,0.9044795829403716,-0.8500095596348652,-0.9122944676291965,2.206684632989792,2.9433448034546497,3.5472615534808343,-0.28720554554339617,-0.906367164563807
SIDM00917,0.34617692899567964,0.12764982889070794,-0.8366807089883233,-0.8336811057238148,0.595849003389792,1.9342506486708975,-0.9846807475030495,-0.9034954879655271,-0.1912172530333991,1.980260067446401,0.5879128135686608,2.1188334923440593,1.4991358427298656,3.6663476765561325,0.9145743162847568,0.41087511245564706,-0.02693619289939165,1.770327202728009,-0.0404147832815545,-0.4421501975428262,-0.9856566379158141,2.408338445961112,1.2737988125409123,0.9905951288813049,1.2750859958446203,2.627735068686227,1.3304762920663482,-0.9271066337250823,-0.7472278565975979,3.546906672138265,-0.9501366300578844,-0.6430285373891311,-0.8520899851215884,-0.5301202907496994,-0.579628723323272,-0.9860393778203127,-0.6920625061100205,-0.8853507588397779,2.564093744552317,1.7015213825202724,0.6489772784159529,-0.8880033993129236,-0.8663005975321821,2.5830140794243523,-0.40915802100514026,2.219640874616063,0.30499600377191366,1.689954614467088,0.12938345565115378,0.3368678845707383,0.9128778657408331,1.4442313940408327,2.4692638527606587,-0.32829085632261523,3.5048573757347694,0.42175124772919653,2.8754514899834267,0.5956211405846636,-0.6888859523753298,0.4211067066924665,2.8383405566979154,2.8190497763926996,3.743200670530661,1.9781012486340996,3.494590086395887
SIDM00309,-0.7349895016732227,-0.8650262547556056,-0.8535892509519136,-0.8908018379971905,0.3794077720524693,0.8076800367876883,-0.9764532022570535,-0.786920370637195,-0.9890018209755258,0.8319598012163094,0.5259737865588666,-0.6618787265628796,0.6130801415639899,3.214183508295408,-0.702628022902575,0.45833903870003895,-0.3669271466704381,1.8499545055504576,2.1920283567745424,-0.7355329370315681,-0.9917936128471927,2.5312393387769627,1.026802385347256,0.45075864080864786,1.3590627146268142,-0.622972406723998,1.3553476024763038,-0.9160398720931994,-0.7874953443645246,1.5029044189456242,-0.9250245024213454,-0.6846273300573748,-0.9332687143000141,-0.9292009993746602,-0.6637140629338979,-0.9126444980590723,-0.7222960980185917,-0.8854825580157517,-0.960016427006162,-0.7477788773180819,0.018266783375730837,-0.8167229835629615,-0.9184153538120557,1.6256012349893956,-0.0031950168866511923,2.30127536664885,0.18101980854338384,1.5048333566815733,-0.12976321890319814,1.7239797765320726,-0.19134190533736564,1.9336630802423225,1.742302695727907,0.34938463449538454,-0.31685623071890795,-0.820810202798485,-0.8822903017517721,0.7198765939574788,-0.8334600041818734,-0.7269201019206271,2.3071512733429405,2.96921043661516,3.296999313071122,-0.2404282112448008,-0.7582596087680119
SIDM00099,-0.7591319998223833,-0.8509585785792771,-0.8629617589818191,-0.9746208448487451,-0.43026208914091385,-0.3560562405659117,-0.9314825197041255,-0.765466022188897,-0.839476962741347,1.0584048143097187,0.3275088246098002,-0.8481329195871096,-0.3079279357089392,1.3362267561079113,-0.6384798976138358,-0.25139688400941435,-0.477339572455779,1.9824108452736444,0.5363574830438862,-0.8202349040241574,-0.9086778308565286,2.5524761385760755,1.2645219576276008,0.6299711438164668,2.29696737678618,-0.7544028341841448,1.4646851024918184,-0.8483775017250621,-0.8748401624059226,0.14359092150155436,-0.8642024137798934,-0.7194479493262311,-0.9689928714425293,-0.9093583065181252,-0.6168004833558962,-1.0013842105084956,-0.809381139041618,-0.8743210390549863,-0.8855662207886726,-0.7189886005150105,-0.1468073182126453,-0.905846553043016,-0.8793587053604415,1.1543223341610744,-0.09059148380689654,2.3932588128689583,0.11549581808847414,1.4122137773275276,0.27893979945922703,0.9225611588777688,-0.6987640886749437,2.501211242540715,1.6973635217737335,-0.18468905221137286,-0.6696810121536299,-0.8052691501803051,-0.8360266712271515,0.5559296270356394,-0.7175044414193924,-0.9120635014572644,2.2903659288406515,2.9180245770156317,3.198338221845585,-0.347542825813449,-0.8855155724255507
SIDM00276,-0.759468284672014,-0.2016403598949984,-0.8635817239930488,-0.8711502607664583,-0.3340635291628566,1.0238973953596728,-0.9825985233488319,-0.9167971715193116,-0.9873527477870035,1.7638789616510495,0.71296083019849,0.8939644271388695,0.5194126399542155,3.0843788911716468,-0.45326220425159125,0.29573848814796166,-0.47853765119834546,2.588650866982546,0.7291734459548201,-0.7481770720729634,-0.9225120145682221,3.0087878149589096,0.8788379172625835,0.6547302772448635,1.4307298806724233,-0.48320255894760217,0.9175617405686562,-0.809077285411035,-0.9158989527804375,1.6897348804475116,-0.9047895635859892,-0.6948294171203327,-1.0397376885474026,-0.9250957182772591,-0.6801464845557731,-1.0220052669089603,-0.7257823736836623,-0.8562972938599723,-0.9916581306334903,-0.6923627551274268,0.13824367826836698,-0.8329159405482388,-0.7833931572513155,1.431995758667243,-0.3922299156693341,2.11400904413785,0.23156763474484895,1.632317610273234,-0.038660669548687035,0.32189730205814204,-0.3431963101276266,2.2921907504688996,1.8079058088730555,-0.21574593261102026,0.2515226328457574,-0.6126236524364589,-0.896588229704589,0.49422247879931475,-0.7795969948078352,-0.7637220139450531,2.4933826816322657,3.200467576990951,3.379005979671555,-0.42318176084016773,-0.8612612736173961
SIDM00311,-0.8078909537741438,-0.9008898153248025,-0.8167859478466174,-0.933389440859446,-0.16292429469207115,0.3413494705101776,-0.9430374891017629,-0.7182755826109317,-0.8524077813194925,1.5078379289479762,0.8622025423429783,-0.11828207610344664,0.7097756397736831,3.3890163809674654,-0.7143681679650374,0.6301123685812894,-0.6434702279428876,2.1402028484791558,0.8947661858278043,-0.686297610704079,-0.9596208429588944,2.7369482822588087,1.0079495844516442,0.6322739910185315,1.879761561306915,-0.8152584071061854,1.4584323163113355,-0.8512110830222311,-0.8368740494826495,1.8884832646945533,-0.8840334802052052,-0.7421597812625467,-0.9829654201076409,-0.9433559736241822,-0.7050104279154906,-0.9090494889245361,-0.6827786421949903,-0.9525792054758552,-0.9068704989248833,-0.7357685474838574,-0.36895663436877707,-0.8443881593686545,-0.8947506033125615,1.527369846736349,0.02948791882374791,2.740603198304481,0.14590668635246454,1.94668119336897,-0.046928289120585394,0.7266966048313053,-0.07759214012071514,2.8526119365501184,2.0609499708310124,0.22666334734985646,-0.26491364605303597,-0.6971919202266059,-0.8367602643151758,0.9843997034336152,-0.8443897017756382,-0.7821481246194653,2.3775852809794435,2.719650241322372,3.488788531976417,-0.5868674423644858,-0.8604028326316883
SIDM00970,-0.7738828000186729,-0.8644795362332542,-0.8757672077441234,-0.8659497736394589,-0.13827319011144323,0.5958257233897734,-0.950460404113569,-0.8086353560648755,-0.9628458212461521,2.4882866227805605,0.7507230080832459,1.1404501225997536,-0.07375931608414199,2.2606561659210125,-0.46547376106870697,-0.07781346723921073,-0.3861976559626113,2.6396159294416734,-0.4595631766866778,-0.8439017854416965,-0.9659384671625625,2.807885324774813,0.9525569732319872,0.9012617058387902,1.4050107453303167,-0.20853085867977825,1.0931516812217819,-0.9285609017144162,-0.8686470096722771,0.9845007024079063,-0.8993150702671108,-0.5363557712034847,-0.9252176392017352,-0.9344293928027185,-0.8112331965919161,-0.9003975499844092,-0.6644797947474831,-0.9203545374223284,-0.8755449884900229,-0.6871663242577409,-0.3331620685067741,-0.7627368034359896,-0.8442227037639555,0.633849371360299,-0.07249629390140849,1.933438777430954,0.054537953935412484,2.0859728402108395,0.1594018452431711,0.44817612992031836,-0.5735949976064759,2.1277935856122547,1.387628358318968,-0.0005476104950027928,-0.2908684676498212,-0.8010047431387585,-0.8481901017126019,0.9257615890493397,-0.852247864580324,-0.7245226127527773,2.5967724193541115,3.006917984436023,3.2206147101175135,-0.44943125610196627,-0.7502764860897346
SIDM00103,-0.7458778443958731,-0.8746732181425017,-0.8519458998460432,-0.8200386966665303,-0.5358854001874107,0.18674349537307938,-0.957865194267097,-0.877539704681847,-0.9658273185517992,0.9601404987549816,0.5277545212199363,-0.6448253918647884,0.6718124363882514,3.2166080832566806,-0.6158311292088278,0.8174712922398781,-0.5252269030388881,2.024727045566882,0.6715294284185218,-0.6912647615748149,-0.9939873510676527,2.683658246192157,1.1479626769827542,0.5596997983149516,1.7316200308159662,-0.7634185228162631,1.2344462399876415,-0.8664884361914473,-0.739806507655852,1.0698974406753488,-0.892657891155546,-0.6929126982956768,-0.9216055554093888,-0.864925282282057,-0.763702385209971,-0.8888302497889217,-0.7809136795647932,-0.8608661988468177,-0.913591553549024,-0.7385837380658343,-0.12036513373847738,-0.9653325461723489,-0.7988368382376725,1.553491247129207,-0.031022351363805115,1.8284682081519257,-0.1451835987420068,2.0146627826901082,-0.09108185413948816,1.1366018970497747,-0.5402776651666361,2.9574164686049573,2.239664566829769,-0.272031931339056,-0.014606005088172187,-0.43747900117128874,-0.8705528104410781,0.4202300715182813,-0.714399399536755,-0.8214621981494243,2.613774874255836,2.977584642823896,3.5383058943361103,-0.3324986756890726,-0.9028877008665502
SIDM00266,-0.6614686722720333,-0.8273876326163914,-0.8403376348862139,-0.8992623524395581,0.6423030716952055,1.0460275854688217,-0.9923470920742694,-0.8129946085672685,-0.8798001759838683,1.4537047781765327,0.684413722257015,-0.6457978549357601,-0.14377543901388148,2.269403907977295,-0.5495218626620307,0.12995319763612048,-0.5099104438733575,1.0110211825560615,0.32327514458916745,-0.794555972592737,-0.9905699660173382,1.9437240953708337,1.3621643077437486,0.9413423946144405,2.556629088673547,-0.7977624608579383,1.3881254189158008,-0.8746654531784199,-0.87606911962658,0.1573617765821151,-0.9137514337276893,-0.5265917579278834,-0.7866057380276715,-0.90905035248177,-0.7153788230482185,-1.0558918364766967,-0.6575041960712141,-0.8977705963630613,-0.8695237638441671,-0.7267920460682388,-0.444089300668357,-0.8083815871009254,-0.8812181905744572,0.4710524905673902,-0.39294318292817837,2.418773230590714,0.3756225402029772,1.5966987588794854,0.1405921560688128,0.569145222043446,-0.730954635279651,1.263904020944561,1.13524007771094,-0.2501168953009196,0.3645437775747787,-0.37230222210173347,-0.9272710252616172,0.4488734768342787,-0.7070607866133303,-0.8111739066562624,2.2658034561583866,2.782561545550829,3.5179190473069593,-0.35737153835192254,-0.8858743292050493
SIDM01064,0.26198006825270514,-0.680158197205942,-0.8334318656195238,-0.899966417502244,1.088025450042879,1.7400377592103187,-0.8798472352642068,-0.7597015631410159,-0.8925987486119213,-0.3321140104192212,0.40155088196277144,1.0911284673599908,2.084415258299299,3.4034288725146906,1.1949111794702933,0.6787109632888305,-0.1459512768393714,1.746109980929255,0.18585945805940876,-0.6721752179475249,-0.9320170481107894,2.669403199037595,0.7999928254039865,0.9041467708888243,1.3777806969793978,2.807170391840869,1.0930183146057535,-0.8537455885241033,-0.8428301898563473,2.8265015843449115,-0.8879849273672796,-0.7391270942505996,-0.9639943186570036,-0.2790947215186836,-0.6984660886578938,-0.9253239990831639,-0.7930981824862666,-0.8848590133041605,2.5597213838742223,1.9024028461500675,0.6143120089623763,-0.9103354314920529,-0.7803315205603071,2.296593853517435,-0.11303741249625987,2.7610407060138686,0.22442257295773851,1.8670770261349545,0.24206515278388668,0.42684806254574076,0.2266160600755611,1.1418887347677154,1.7336106290850721,-0.18906183570049748,3.591794618345647,1.419922603441871,3.169894136401991,0.7279588231711646,-0.7081885708248863,0.9082229504652144,2.9227337555740363,2.8181469355738145,3.5760201505355624,2.5233771458313368,3.410092265365584
