,CDC16,ADCY8,ADCY9,ADCY6,RAF1,ADCY7,ADCY5,SPDYA,IGF1,RPS6KA6,CDK1,ANAPC10,IGF1R,ANAPC11,SPDYC,MAPK9,MAPK10,MAPK11,BRAF,MAPK13,MAP2K1,ADCY4,AKT1,AKT2,RPS6KA2,RPS6KA3,AKT3,MAPK3,ANAPC7,ANAPC5,ANAPC2,ANAPC4,MAD2L1,RPS6KA1,MAPK1,PIK3R5,PDE3B,MAPK8,CDC23,MAPK14,MAPK12,KRAS,PRKX,GNAI1,CCNA1,GNAI2,FZR1,ADCY3,HSP90AA1,ARAF,ADCY2,PLK1,ADCY1,PDE3A,ANAPC13,MOS,PIK3R3,PGR,CCNA2,BUB1,PKMYT1,PRKACA,CDK2,PRKACB,PRKACG,GNAI3,HSP90AB1,CDC27,PIK3CA,PIK3CB,CDC25B,CDC25C,PIK3CD,CDC25A,MAD2L2,CCNB1,PIK3CG,PIK3R1,CCNB3,PIK3R2
SIDM00519,1.629813384639639,-0.8197097615542076,-0.3761925150605204,-0.3708795690060417,0.41097071018801634,-0.7190695396731633,-0.8264178627985858,-0.8208144500807816,-0.8069700227069544,-0.6265032999048307,1.3881216369779408,1.1184369860733465,0.24168238824328261,2.2096953063011533,-0.9447973495109988,0.7229490449626709,-0.8000735354340742,-0.4275518556801686,-0.5413997596560421,0.5838466638312486,1.4682702253736368,-0.7573625113558111,-0.3955558339139622,-0.7032513775795374,0.3671086038404896,1.9030355642735475,-0.29600760340522414,0.5154256853947725,0.6072883702798161,2.264959494083085,-0.4578541175407341,1.1585493956350124,0.9329743918773122,-0.2309502108713907,0.20225978087680163,-0.8367236396892249,-0.3518232362803178,-0.3898911071975693,0.41457707212712136,0.37111776949571185,0.22566466874088495,1.5419688881072011,0.009070405730790947,1.5624281652834855,0.8857822659397648,1.204096884232378,-0.4933418508123999,1.0890773088790928,1.5170394994180354,0.07456749189187163,-0.876292904812085,-0.4747375908650665,-0.6225659736773329,-0.8910139489044214,2.2181629003966705,-0.7968860297147248,-0.7187735136670106,-0.9802089788911099,0.9494007192252573,1.043310562147882,-0.022424632171748567,-0.6642417916566798,0.3896380854916218,-0.19396801661267524,-0.7547095192082567,1.3494180606695867,2.9433448034546497,1.4979426043454693,0.31954704636902964,-0.18112189125699452,0.2380927221346026,-0.0025219711556636664,-0.5861729564811344,-0.4526857141238728,0.9713264107129909,1.917532263929513,-0.8386561761109992,-0.22309303738012728,-0.6300558638159235,-0.07939079386696714
SIDM00917,1.4339121331860292,-0.736023673057336,-0.7262704888656341,-0.42718424679709555,0.6703226732559828,0.49095225179449475,-1.0031337627221115,-0.6623640079480355,-0.7610539101750744,-0.4618557538954975,-0.06297222719674431,1.719654488962285,-0.724651281633404,2.2840222822457767,-0.9946117424325265,0.3279819575978883,-0.4789249487721815,-0.525953339268432,-0.08737606934962737,0.47021257552627205,2.1682208807797045,-0.6176678574062296,-0.44961501627394507,-0.43991493639764384,-0.8424505142219189,0.8139088599922194,-0.53140709085529,0.12581611851856564,0.42366205913560523,2.1489805266799706,-0.44938186557625304,1.6634280828314105,0.24125429800896006,0.9343583059768635,0.7518296918279702,0.4079912195723818,-0.5635680417656792,0.7084240651382601,0.2296485415733907,0.2015353129556218,0.181379694899807,0.6747655177517772,-0.0030871924810914725,-0.8015429212983989,0.0413165291314218,1.3337234561834943,-0.5516848693710354,1.1120563915100519,1.689954614467088,0.3104583380836929,-0.8639147417245175,-0.6414485593489281,-0.7424661071244673,-0.9131069975243776,2.357962908306129,-0.8172047560279797,-0.33826179106292537,-0.9411060670246739,0.06590952258148253,0.25749437577422307,-0.1529537202546345,-0.6980003707464469,-0.25235009453546553,-0.7685558875984023,-0.7451376266929471,1.5765793998814601,2.8190497763926996,1.2812288900583584,1.6959402178273975,0.29428175640692444,-0.5265141087480943,-0.7100547183887971,0.6552993831852555,-0.7398378298081404,1.4118598471610493,0.02483926048540346,-0.7207299110933022,0.09639864077465503,-0.8441763454762505,-0.45814276637380663
SIDM00309,1.7436403240609246,-0.8095859802542961,-0.03929455467457163,-0.4091885176566541,0.7255659061086115,-0.7092400268259906,-0.866293312010003,-0.7395160195731783,-0.8123720685046184,-0.8893726144012618,1.4735463914075726,1.2363835231629212,-0.19003279365953166,2.3641096766077885,-0.8932735272320823,0.7807549866059781,-0.8191751222390329,-0.6920362432120015,-0.5982155072109197,-0.6167940378906848,1.533801591408699,-0.7225668182173891,-0.2912125403265399,-0.5673413731578653,-0.3961075809183811,1.6740140653320976,-0.323607853268389,0.5986800821643932,0.6098890712404251,2.4023683157238156,-0.6008458017146445,1.7194604531910884,1.1029707582279917,0.1525414500869207,0.19821987316206793,-0.8541154838838494,-0.5882521688206384,-0.39617924839638224,0.3348983246046762,0.027781658176252295,0.16320294456720882,0.44635764588407606,-0.3506946920234881,1.0431219546695902,0.38024200940746894,1.7260176775013463,-0.4540965509103517,1.2981620284639448,1.5048333566815733,0.07713419241059723,-0.8882832658521452,-0.34961722497094283,-0.6919039205970113,-0.9045114001887604,2.158219683858114,-0.8993157897697539,-0.5719067588538529,-0.9310221936671773,1.2687281189489614,1.158088002691931,0.004601402580546358,-0.6548918264125425,0.5992906972010221,-0.32250331188668446,-0.796842937710926,1.2577300723385132,2.96921043661516,1.4417430998204566,0.9023372519923574,0.4332412209128918,0.07906998446788407,0.2055006373423367,-0.5018997117469767,-0.07680419956494727,0.938667485337436,2.0231723671886117,-0.7952065883643438,-0.33145082133245723,-0.6329709720540948,-0.1603682274832688
SIDM00099,1.4666837884316786,-0.6498613700267414,-0.18517704180743702,-0.2576992610259169,1.1767266262913327,-0.4458734750819432,-0.7281494818796146,-0.6345921029833019,-0.8420840144334021,-0.8596776765958183,1.3322680423987743,1.08616944910795,0.37613355995859515,2.4478337504419176,-1.077349837272427,0.3390362523399091,-0.7705711201622135,-0.6524415497699577,-0.4747716843383623,-0.6743050407145389,1.4524860221399285,-0.9230177894996229,-0.2291313922542609,-0.5616008280392394,0.5461649969927554,1.123279266281021,0.4590628778438762,0.6202538847874911,0.5593979096346543,2.361537250420599,-0.5102116725448969,1.3293772041566745,0.9883539830803241,-0.5494898051998036,0.4272251428179874,-0.8097681129008282,-0.42614784323368937,0.13335399968062153,0.34042277141867605,0.15698173939898816,0.19782956718958974,0.6730085000785737,0.24545625125314027,0.9279949003657944,0.7562473018603573,1.3334506185405113,-0.4109190610009474,1.1497249312574733,1.4122137773275276,0.007434448992897634,-0.5990377147306057,-0.6383748243700589,0.4569788463465034,-0.9133972897819408,2.3183871956552937,-0.7905296134603683,-0.745840851085465,-0.9507316025438702,1.1491729488148836,1.2512953825278268,-0.09761000664822517,-0.5869944303847916,0.6284943136407297,0.12689241603057716,-0.7381890646027427,1.772365471261806,2.9180245770156317,1.3809799792777233,0.9772417205774084,0.2470462313405816,0.15155431738458222,0.3209340969987554,-0.60403659056009,-0.7010179821928244,1.1485861192987104,1.9690359615698276,-0.7412131459935081,-0.30151261608262947,-0.8483724664937642,-0.29295489699624994
SIDM00276,0.9248275296151555,-0.787935756460015,-0.5225389598422249,-0.3121261130971343,0.6944907569106895,-0.4374733797239699,-0.9070478476260756,-0.7614744248869502,-0.8100300141193602,-0.37843851411481927,1.6533825095115056,1.729406700787688,-0.40741203898103584,2.807205680578315,-1.0287605913873916,0.22516520348511637,-0.693685319706086,-0.7072319325125542,0.4225250613223542,1.4914025585674724,2.019959361654287,-0.6108730396463931,0.11933883765264834,-0.5956790432627415,0.5645127919877357,1.4255143565548307,-0.5519477570600904,1.1105277507367421,0.4384149649672717,2.253724622788035,-0.5654304334926012,1.324775522244449,1.381643609254094,0.5398964791057,0.3901472004011665,-0.8267639290855728,-0.41785120083383437,-0.0691404580401485,-0.08588444163377838,0.3161658464418772,-0.0616438838510233,0.6515748950888393,-0.13406283809776876,0.5008446396137698,-0.6756932756296199,1.361698122446652,-0.5196635238563537,1.2370817294319385,1.632317610273234,0.3319259955565263,-0.8543191801528256,-0.09816482351378386,-0.7197081432223705,-0.9338039092556761,1.7820649724809356,-0.8366081174775637,-0.6488194164256283,-0.9917211373220381,1.7261438086061298,1.579486894675056,0.3302668105605862,-0.726402678006925,1.1643684646006895,-0.18959251099276647,-0.7414626369710949,1.729278170054739,3.200467576990951,1.3239513199429298,0.4020237646019066,0.030209795559018312,0.8944967471757124,0.7602659364235297,-0.5315367247175582,-0.05094605715976648,1.7050396825030152,2.2467050490354623,-0.8724342233570149,-0.49045962005312094,-0.706751866451704,-0.4121884693058777
SIDM00311,1.1105055986311054,-0.8338650298806419,-0.2018835395922187,-0.17004751774736446,0.5447987316773143,-0.5707866226762848,-0.6634210375995113,-0.7156997384173348,-0.8127392125710633,-0.5817542038391551,1.5404920783529754,1.4357413753161186,-0.19024781705445357,2.2869895784856182,-0.9220605697211409,0.5474182472045206,-0.8049432169992577,-0.53551381406055,-0.7453538371884136,-0.558065289953534,1.8896826961927777,-0.8024440377522937,-0.04068572253821361,-0.6105409974472994,0.11842218249655319,1.3898298874174204,-0.27243689547260147,0.29001810221540564,0.5296680982710918,2.226636097353595,-0.4154375528631899,1.2253134546100468,1.638911148697101,-0.4214738375191723,0.38729023043362193,-0.751888574666709,-0.6242917032465448,-0.07582413085830866,0.5800461792052721,0.22038630050524832,0.1215856797023061,0.5102474431294666,-0.43949852066979184,0.6190998396265972,1.589546652044746,1.7660340308372604,-0.44955620631326326,1.4867196035450856,1.94668119336897,0.08589945360217498,-0.9197123081666504,-0.16697443751995142,-0.4839696158533931,-0.8629896740468991,1.554190839474939,-0.8696955985028437,-0.677359328236902,-0.9573910479723866,1.8285027867727788,1.5405050464233798,0.2988382325120287,-0.5088950164142347,0.5709020553360239,-0.11699589132220085,-0.7612137915489496,1.8407117244370457,2.719650241322372,1.829611051678919,1.2324268605147033,-0.16744840637044256,0.8234200744589539,0.8567051955865378,-0.5452007531527697,0.2900627644209891,1.5218427477901386,2.568237664883525,-0.7787929081177212,-0.1528127154303174,-0.6591550834579701,-0.2815786822959473
SIDM00970,1.2570118580404566,-0.6906937174444193,-0.7448599744154192,0.0016497048016924222,1.0032059249628758,-0.7010909604646125,-0.8502856930618422,-0.785300438372017,-0.7702518987849236,-0.7198589289787303,1.7696309093824656,1.0940091579200963,-0.17167322440950866,2.7098568188930847,-1.1339858078042704,0.17957833961123676,-0.0005214666553748757,-0.7101858439138434,0.16764458696924706,1.1320125379614268,1.5480021660770813,-0.7460463355224911,-0.10547988580351268,-0.32945864135872244,-0.8375776316612893,1.0909825668078816,-0.8508602838977936,0.3293145122295789,0.7500419553624355,2.3674662001136366,-0.4650107008237144,1.8483309782044781,1.5388411091790422,0.529962347670253,0.8119872597350951,-0.8149726060877294,-0.16673529040544813,-0.3662241185702077,-0.1593660531635791,0.22025738468349013,-0.283948733105749,0.8955143169693113,-0.0036272333850462333,0.7577928930312189,-0.8512368984207243,1.5581281885373102,-0.4069043382308649,1.1609521373897784,2.0859728402108395,0.016143176077876336,-0.8810710387313534,-0.3278852592484667,0.8377013906306389,-0.9085316201305689,1.8204410235643562,-0.8765251491365482,-0.4642723288066422,-0.9769663828062876,1.5424999486594624,1.4188732972505498,0.24584922263465933,-0.6435096983966702,1.0728471158117499,-0.02148999828132397,-0.8275878392458749,1.8706812423030812,3.006917984436023,1.4645686170568457,0.6516507787099076,0.07842511824996666,-0.28844920235923777,-0.28358899567190243,-0.7197542934563707,0.39639862093323347,1.149005793256608,1.7799321105394383,-0.8051315465966639,0.024174200640533106,-0.7626469235868676,-0.3230373291454919
SIDM00103,1.7427048174332918,-0.7545610996114599,-0.24442607537513414,-0.4929876868343497,0.842042295483723,-0.42275532301870344,-0.8117901204860103,-0.7770246205335536,-0.7969174172790026,-0.8027069733153116,1.010186713654703,1.3068261799586645,0.023540062073262376,2.4221340252652603,-1.0002887598810688,0.06579980602104345,-0.8092251083840144,-0.6616446450437894,-0.3199136617291577,-0.40427665466322144,1.3916393884940752,-0.8249554116357566,-0.06847722136698463,-0.5499446939252121,1.2684603535515762,1.1603063175351556,-0.24893693507670495,0.80055510601947,0.564961526661064,2.214335328738166,-0.4008342699223396,1.7052399538782181,0.582509594202708,-0.627439849722841,0.3533626797819316,-0.8467818040121766,-0.5341538251226953,-0.40114405850187046,0.1252467246171154,0.0013004073611845926,0.15811161940364743,0.019609299068091418,-0.141904177810424,0.9331583259683843,-0.9434641191641483,1.7040941639938407,-0.33064638794566487,1.1816378700321182,2.0146627826901082,0.0004835080749557808,-0.8645975638065646,-0.48072084910710267,-0.6664243563686305,-0.9164346913592578,2.3540137714009974,-0.663267409738031,-0.8018036490477344,-0.8424991779571136,1.1456928491751177,0.8155483763416385,0.023959792888617756,-0.5592154262132353,0.4580110810559802,0.319056458936254,-0.7280524335108798,1.9663959762821708,2.977584642823896,1.351416637416636,0.8649885642906499,-0.012228360223561519,0.7737079827342869,0.011343292761004417,-0.5742533021236681,-0.599706482624026,1.1862564779421392,1.749647483249663,-0.8415395909860525,-0.19631857119045654,-0.705028560821952,-0.10318863179885122
SIDM00266,1.2443841950159733,-0.8383722459025567,-0.26475644225969447,-0.269054779103005,0.7998530910773893,-0.7230544883647042,-0.7695400954168218,-0.8160088598659344,0.3009426408206368,-1.053139858322276,1.7499742078375085,1.4722933687138835,0.43328065627730916,2.4006825775326837,-0.9147179144186945,0.4323758508759002,-0.3600812305976859,-0.7213032168910508,0.1151396341686013,0.020916236547061776,1.3033679463501235,-0.7790981750231987,-0.3555052293772311,-0.5117967119573102,0.22311205420569463,1.067421149161405,-0.8347357449295455,0.43598438125523226,0.5250311681999458,2.3566884658233134,-0.5265629255317927,1.8115893961646823,1.5153245399551214,-0.5996036741030542,0.5203234391390296,-0.8496389728152324,0.1911065977772374,-0.30005824183715535,0.2635091584489312,0.20226953876461828,-0.08669129486398476,0.9111993007529532,0.33201053192936386,-0.30140136424836733,-0.8121864030238835,1.1658435046116802,-0.510705436944408,0.9219132995513944,1.5966987588794854,-0.1599034263136676,-0.8875121490756173,-0.020137860622959653,-0.6623390878355583,-0.9627519755153499,2.0854667852592823,-0.7812824220616994,-0.5568906287862644,-0.9606122063108836,1.8877988414078355,1.5631776990890518,-0.02590715256717027,-0.7803909825069223,0.3005009183936125,0.36874910338888944,-0.8099666108176443,1.9219700959908683,2.782561545550829,1.3792134706126928,0.975240071825603,-0.33462897669646635,0.6692583485300383,0.7844427907735421,-0.6595534890448225,-0.08087428675503838,2.0680645027250764,2.296340616413545,-0.6325575608303017,-0.043248545248515055,-0.7144880764602193,-0.44868059800330085
SIDM01064,1.3859496630828454,-0.7328274176960781,-0.251120669100297,-0.66266757633644,1.1271093323880224,0.2807882806754634,-0.7035891690409853,-0.7221597975940146,1.0895075749060357,-0.9039246494106622,1.7523243176594547,1.7171883978481455,-0.8080556540446873,2.168705254872407,-1.0436910347839037,1.5451934254228694,-0.8948051722627113,-0.4817365671169845,-0.3823909016943919,0.30136442387271595,1.9344409784512715,-0.27055712673893534,0.12561007301362406,-0.5099221426094163,-0.4729021756941233,1.0964490036293941,-0.4457132286410602,1.0024155733741154,0.4851166755445225,2.5875959319162116,-0.4328013456449634,1.6054822021951367,1.8788360415934027,0.5824353889962777,1.324784881453375,0.00999373611543667,-0.5211529388711827,0.49006099709420986,0.392123920983516,0.3799612684593851,-0.003268500461773034,1.139741061167428,0.1056745475013724,-0.7615119622024282,-0.6987463820588757,1.680778780777626,-0.4483891714966201,1.6605406835355598,1.8670770261349545,0.11853981156144153,-0.8710000108144892,0.0067104392000070165,1.2536498824211928,-0.9138641007417054,1.699555031182645,-0.6991692709420417,-0.5222596854068073,-0.8406280743921646,1.8400816875168267,1.6559542306682982,0.601195493310622,-0.5473229927479505,1.1340757855931924,0.07765749165441556,-0.6808190530892965,1.7268781743105956,2.8181469355738145,2.024361479659606,1.6317312906782862,0.201441486318639,-0.020066251145933394,0.3759038363954338,0.5128280268281551,0.5459911013986145,1.9698834571855295,2.168208763349833,-0.7788569289509498,0.8846240816513324,-0.8465220043682485,-0.3221179351293593
