,PIK3R5,SFN,NR3C2,PRKCB,PRKCA,FXYD4,KRAS,IGF1,SCNN1G,SCNN1B,SCNN1A,ATP1B2,KCNJ1,ATP1B3,ATP1A4,ATP1B1,NEDD4L,PRKCG,PIK3R3,HSD11B2,HSD11B1,SLC9A3R2,PDPK1,ATP1A1,IRS2,ATP1A3,ATP1A2,PIK3CA,PIK3CB,PIK3CD,MAPK3,IRS1,SGK1,ATP1B4,INSR,PIK3CG,IRS4,PIK3R1,PIK3R2,MAPK1
SIDM00519,-0.8367236396892249,-0.5059695237346118,-0.9198828459881063,-0.693256665426057,-0.14177020028773454,-0.8350123289374981,1.5419688881072011,-0.8069700227069544,-0.952381603148149,-0.87183544032013,-0.10402675387481757,-0.7740226629961922,-0.8851081205600002,1.1101310136872913,-0.7828710561398116,2.5284733812493956,0.5941912617341575,-0.7837771690016947,-0.7187735136670106,-0.7477834274939051,-0.8636828746406333,-0.7519961271281178,1.2480937511442078,1.9920580645959451,2.124287134227986,-0.8913165222401799,-0.8695533228065438,0.31954704636902964,-0.18112189125699452,-0.5861729564811344,0.5154256853947725,-0.4435836720259733,2.756863264442991,-0.8957407318041934,-0.21441901153788814,-0.8386561761109992,-0.8263879871868793,-0.22309303738012728,-0.07939079386696714,0.20225978087680163
SIDM00917,0.4079912195723818,-0.3211109234407099,-0.8270640238962773,1.6723657668354104,-0.5834552659254151,-0.8368340592136971,0.6747655177517772,-0.7610539101750744,-0.9803344551141198,-0.8783591738747591,-0.5484362606123824,-0.7904076305313658,-0.802641425641017,1.3780804224496466,-0.570010199849167,1.7234166960021857,1.7517706150049412,-0.8209437091275041,-0.33826179106292537,-0.7033305635776167,0.09376481426572413,-0.7803586919505084,1.1117795845019818,2.5017967774396985,1.091507257011763,-0.935404667999006,-0.8443860129915435,1.6959402178273975,0.29428175640692444,0.6552993831852555,0.12581611851856564,-0.634857320265725,-0.3768625594916146,-0.8834268119483419,0.07986583331952216,-0.7207299110933022,-0.5581370125635631,0.09639864077465503,-0.45814276637380663,0.7518296918279702
SIDM00309,-0.8541154838838494,0.16823736303295359,-0.8576748468321325,-0.8444723115073255,-0.2444585548068717,-0.9310741630713136,0.44635764588407606,-0.8123720685046184,-0.9917917074469573,-0.8112545383394417,0.06101356071612057,-0.877360527487539,-0.8933730648803855,1.5248172426540216,-0.6709484070872416,2.0300743457994166,0.4157188594113832,-0.7892785415681088,-0.5719067588538529,-0.5975505101638267,-0.8906846682213226,-0.6842922156596295,1.0417012936541494,1.7685096554306465,1.4753599176538554,-0.8885061404794011,-0.7763130221921755,0.9023372519923574,0.4332412209128918,-0.5018997117469767,0.5986800821643932,-0.5626684858600401,2.2515849200654867,-0.9450328901984727,-0.05412817645347338,-0.7952065883643438,-0.6847588939732595,-0.33145082133245723,-0.1603682274832688,0.19821987316206793
SIDM00099,-0.8097681129008282,-0.4802706277419766,-0.774645093637334,-0.8126854339693373,-0.13137744725192088,-0.8873432554503385,0.6730085000785737,-0.8420840144334021,-1.033572728121778,-0.9456465111199589,-0.5901398957432475,-0.8832136741238037,-0.7619995228019081,1.4746012831276527,-0.6476408410471565,1.7503842356852162,0.5218189772316768,-0.7737446713268549,-0.745840851085465,-0.7003590968204859,-0.8698399320692134,-0.40623955435376885,0.9734616798497266,2.129937499043698,1.0977814616918724,-0.8846084046640038,-0.7578726629657592,0.9772417205774084,0.2470462313405816,-0.60403659056009,0.6202538847874911,-0.036740656709425924,1.6817376518134142,-0.9013854906563884,0.17550582487835992,-0.7412131459935081,-0.7219101589174964,-0.30151261608262947,-0.29295489699624994,0.4272251428179874
SIDM00276,-0.8267639290855728,2.259705480774712,-0.6488081515709037,-0.7890798899543415,-0.40676241488024195,-0.806553007144302,0.6515748950888393,-0.8100300141193602,-0.9505678885502187,-0.7662232203014292,1.2451785682227836,-0.8443420555186307,-0.8600641723410499,0.8012594941153696,-0.8726108836590177,2.066688475066833,0.4720273883184339,-0.7574964145062062,-0.6488194164256283,-0.7250306437406262,-0.7399241086844592,-0.5943900985578235,0.833516480644265,2.4430982100728036,1.012175613081893,-0.9397151074259678,-0.7605836518486133,0.4020237646019066,0.030209795559018312,-0.5315367247175582,1.1105277507367421,0.5560974851628155,-0.10718604649021533,-0.9201552481204341,-0.732778511963785,-0.8724342233570149,-0.783483967092334,-0.49045962005312094,-0.4121884693058777,0.3901472004011665
SIDM00311,-0.751888574666709,-0.7866252315976919,-0.8679455785394469,-0.8105801305761055,0.7056643480085137,-0.8888959668168255,0.5102474431294666,-0.8127392125710633,-0.9375964416433402,-0.8446245498215246,-0.5683555180902452,-0.8865217104526731,-0.850641000003043,1.31404391542006,-0.7144547154070346,1.5574567957370102,0.5903602034552222,-0.7393564213780424,-0.677359328236902,-0.7261770054529536,-0.7822099065971606,-0.7129586150650439,0.9924763886210323,2.105911085151379,0.5912480432919356,-0.9277320378111723,-0.8797877270201866,1.2324268605147033,-0.16744840637044256,-0.5452007531527697,0.29001810221540564,-0.2848084396692028,2.5121866405021036,-0.8281160623819531,-0.19359475690584566,-0.7787929081177212,-0.6224968022461734,-0.1528127154303174,-0.2815786822959473,0.38729023043362193
SIDM00970,-0.8149726060877294,2.34712847217309,-0.9021216580880725,-0.7355939801807603,-0.23316708625249377,-0.7984760810427842,0.8955143169693113,-0.7702518987849236,-0.3061295071486164,-0.1497822877707165,0.4370062369400218,-0.9073925078429907,-0.8183995015410288,1.4886196735109452,0.10598502132424148,1.6442699399418754,0.8359799989995008,-0.8510645530002491,-0.4642723288066422,-0.2265648492186311,-0.8818101612443322,-0.6681451611619492,1.2089254783997123,2.264193260006678,-0.3581124812228324,-0.8982308761825926,-0.885077106678927,0.6516507787099076,0.07842511824996666,-0.7197542934563707,0.3293145122295789,0.4802128873385446,0.46822187242910035,-0.9229805640312053,-0.18781366534341587,-0.8051315465966639,-0.6724583895381969,0.024174200640533106,-0.3230373291454919,0.8119872597350951
SIDM00103,-0.8467818040121766,0.6739095882271021,-0.6696576412208416,-0.8670659958030608,-0.28424573269653736,-0.957556337515823,0.019609299068091418,-0.7969174172790026,-0.9563889091369121,-0.8413812406311925,-0.5249360441398966,-0.8713613757735454,-0.8621938303623553,1.7751088065019116,-0.7010579639339078,1.2325956837588319,1.8805210248504216,-0.7682631555429059,-0.8018036490477344,-0.6521925761164281,-0.808929040898154,-0.673734950864396,0.9419679025363212,1.8717679599029877,1.2550382845557928,-0.9466625210987373,-0.8758449396413373,0.8649885642906499,-0.012228360223561519,-0.5742533021236681,0.80055510601947,0.10073035652218339,2.438984239849418,-0.9121568402504925,-0.005295857444307438,-0.8415395909860525,-0.7084238119156647,-0.19631857119045654,-0.10318863179885122,0.3533626797819316
SIDM00266,-0.8496389728152324,-0.5167202984163155,-0.7333791100368379,2.4447941496261234,-0.4922111936441592,-0.8624107509334569,0.9111993007529532,0.3009426408206368,-0.046075069523799944,-0.7224493022248684,-0.5353581131814308,-0.5827898855647482,-0.8537141099842319,1.4521950701634476,-0.7339426612645874,1.125426263403684,-0.4339767207803624,-0.7934670783701385,-0.5568906287862644,-0.6702580258306889,-0.6370788693831053,-0.7340220773185587,0.6750494982901337,3.387439307649513,2.5351804051168005,-0.8718400622086467,-0.8070406137546923,0.975240071825603,-0.33462897669646635,-0.6595534890448225,0.43598438125523226,0.3390993745449397,1.130727860003957,-0.993725053575916,-0.22575949848514418,-0.6325575608303017,-0.7229982020766618,-0.043248545248515055,-0.44868059800330085,0.5203234391390296
SIDM01064,0.00999373611543667,1.8904766645772932,-0.8396542253167281,-0.8145439237286827,0.17604218848619743,-0.8786538396867436,1.139741061167428,1.0895075749060357,-0.9777660448744544,-0.7836908847156974,-0.5013201870139503,-0.8477916218986163,-0.8614420141637049,1.340449595529255,0.09291334836468239,-0.6972279714705765,0.6402970498170505,-0.7491547537256324,-0.5222596854068073,-0.7533924677411994,-0.8454001541054385,-0.7655168939078679,1.5397970858077232,1.817066742931408,0.21663335405689035,-0.928515546955637,-0.8353184137378713,1.6317312906782862,0.201441486318639,0.5128280268281551,1.0024155733741154,-0.44830557261726045,-0.7474715767817751,-0.8577501035477278,-0.7128938637461991,-0.7788569289509498,-0.6785879751150234,0.8846240816513324,-0.3221179351293593,1.324784881453375
SIDM00098,-0.8478427138862007,-0.30786534492409595,-0.638265764201006,-0.7593485237630189,0.665712107089428,-0.8459949746145448,0.47466145476394606,-0.8384382074766696,-0.9475258744523847,-0.7727163264920378,-0.19598836954331936,-0.8674389635602097,-0.740471526475344,1.419320458643217,-0.6629022183176257,1.6036530390545864,0.10975417754990717,-0.7676440311455066,-0.6512429962791757,-0.5858198684268765,-0.814468347377346,-0.3040613246489256,0.9813605094842519,1.8566377729824635,1.0746577567573254,-0.9589717139283079,-0.8512146994515637,0.8515901817502423,0.17596570516696397,-0.3846227482318617,0.3043844854751119,-0.4287338216762993,1.6093447666544805,-0.9250589158958231,-0.1588458475462526,-0.8832652758626194,-0.7059239575398247,-0.435137947832969,-0.16420752704121946,0.45912016079758144
SIDM00225,-0.8339691836356542,-0.824378899043042,-0.8776289822381647,-0.8488476625423591,-0.32273940766304543,-0.8484753278860907,0.879071646217962,-0.7828208073120027,-0.8870640451732315,-0.8394792152713537,-0.8285040316350084,-0.9197075027996303,-0.8331158795332801,1.750418794704717,-0.7179307154849152,1.287877220333172,0.7627162177156785,-0.7962875933653063,-0.31956181662508887,-0.5640844320115747,-0.7760425438007047,-0.5235897263919304,0.9440534074438506,2.5646881007215883,0.7923330968284255,-0.968524100671541,-0.908058492850442,0.6432993664700564,-0.289436664838999,-0.4259825966617104,0.42574360123698995,-0.15016042603126067,1.911495008456443,-0.9059333177368797,-0.6090676003367457,-0.85038006208633,-0.6953248388978014,-0.2771121420304421,-0.4603573061973098,0.5101479725257008
SIDM00846,-0.7286019215380581,1.4144799728642548,-0.672033700259626,0.3937068401889022,-0.28414790650247623,-0.9492986130838919,0.705831098423714,-0.635799432944386,-0.9292065503818642,-0.8457949095827875,-0.21782529724075292,-0.8585764912524388,-0.8418602827414393,1.7530688160525685,-0.8431478549565993,2.495811533888909,0.06085629228454384,-0.7174047400905132,-0.06271061018132987,-0.7200988277025786,-0.8280904724610917,-0.5661000097903724,0.9882606559100836,2.292518729621146,1.3345394635720171,-0.8925436701718561,-0.7611025333519627,0.3009842739833732,-0.288815158393606,-0.7489569632522669,0.40456292514070263,-0.43652528562754433,3.0976117630168107,-0.856350946595164,-0.6262808517283678,-0.820596360725214,-0.7566882807190505,-0.539366920455228,-0.30207525946749875,0.3639110576930663
SIDM00291,-0.7365915933005378,-0.6583228074903419,-0.5349019583454213,0.511977753015404,-0.5639027357226977,-0.7307532260503943,0.9636772611317815,-0.7619893543743832,-0.9840150883607015,-0.8061309864490342,-0.5545702309229127,-0.7588798915553435,-0.814509500694549,1.9083400310388896,-0.7493972134667283,1.2061008864565945,1.3036589642904088,-0.6818573122373017,-0.6587730241746428,-0.6015659810400454,-0.764148832454586,-0.5284156136577762,1.2706719121151453,3.1838940988664164,1.4489455063831795,-0.8704634795429518,-0.8378886112631059,0.6758468981090971,0.7973915424442831,0.019775914665252674,0.8556571961413694,-0.1534798341138381,2.42046117835155,-0.8773232087560418,-0.05552847181016513,-0.9451146794788785,-0.8887121487437992,-0.1357513311775369,-0.25954488834721806,0.5321205356572491
SIDM00520,-0.8314140434830632,-0.0760872151710124,0.12089230895158375,-0.7736898172630116,-0.09266788333177609,-0.7472891213934281,0.17721634025831323,-0.8821517776709179,-0.923052604992747,-0.7239001488780732,-0.45292238259859186,-0.8050012823756826,-0.8500819179887296,1.3590037518529308,-0.8677677578594838,2.0330057554626144,1.4148924717035738,-0.7610415022968393,-0.7648242114555972,-0.7067497943316321,-0.8004296237657476,-0.5988378329554765,1.1506451896167227,2.1570169867441877,1.519930826968652,-0.814365098068016,-0.8896369282218387,0.9489371145890182,0.04872946486551291,-0.6088840333322989,0.5000866377405552,-0.20939761092813672,2.4916592526158743,-0.9134404557381302,-0.0619854788438542,-0.809002244635813,-0.6962366636487044,-0.22277964900335825,-0.23402885410095514,0.26042457304454064
SIDM00003,-0.8020179127306238,-0.468769877091144,-0.8944470781482474,-0.7810375137376369,-0.6506165646414338,-0.7792956202469877,0.568297621257225,-0.8416571603575369,-0.9257563080131527,-0.8685244866837644,-0.6589742538564418,-0.911456047808703,-0.8384933945326205,2.087655062082319,-0.7310825141027996,0.9044923312421536,0.6593950825029133,-0.7206777514485687,-0.5000258795066411,-0.6582741012994385,-0.8271388198765398,-0.7729654591908842,0.7407111758782388,2.8218484622668067,0.7726764285424873,-0.9136558937768782,-0.8161282642619779,0.993463517123065,0.5307492349086849,-0.4551687594131406,0.46660514256326746,-0.036031908358055455,2.457869799184618,-0.9173514530182677,-0.4104413451209873,-0.7573812995678978,-0.8667360072832847,0.007774037385819338,-0.25041751802124634,0.7243979395425967
SIDM00136,-0.8366041470975958,1.283353571482439,-0.7024155018232531,-0.8693325448539425,-0.09879023611518825,-0.8577976215681878,1.0135103333842828,-0.8136384367829445,-0.9318198543423191,-0.9294424371175138,0.7774008726022834,-0.8843936205592522,-0.8243722738094263,0.8459463203133193,-0.7189882900766271,2.868954283893592,0.7567690417481301,-0.823848860888974,-0.6223357305028023,-0.42767179510160397,-0.860994204603571,-0.4455910674795203,1.189349240210322,2.3511605754539957,0.737657282952186,-0.8646967802998033,-0.8248872434601273,0.5843610535832205,0.25811132734267916,-0.7474600078698875,0.6507892655995077,0.4257376801533514,1.4177837734904555,-0.8746533882115217,-0.017174645363213885,-0.8703045150505063,-0.6798080475574634,0.5372548495522526,-0.22358075672074318,0.3851481893824864
SIDM01155,-0.814897796665046,-0.7265906112831305,-0.9065279607514478,-0.8336239833669642,0.11206769601147143,-0.9213666096219041,0.5175215510099777,-0.7923949773567066,-0.9406697188181615,-0.7810270407489083,-0.6262502632419213,-0.8905382206633824,-0.7970688368029688,1.780869436027554,-0.8503588820955634,1.3751927042094938,0.7396583624882589,-0.8307562495689359,-0.45677295766753406,-0.8692899914751373,-0.5635408330321827,-0.4454999416816003,1.1018261804694869,2.215895187794876,-0.43497543425754354,-0.8669402248693123,-0.8660858933638809,0.7117247695566788,-0.062196483072455025,-0.5514510402916394,0.48095139700391365,0.4601228712821635,1.2374141603858964,-0.9025948596668181,-0.5092749991906926,-0.7796014496506495,-0.7825400206336282,0.03555478131917427,-0.26542025170621397,0.7064244268194239
SIDM00224,-0.8431084684171928,-0.35662908080461436,-0.9135186227203717,1.2178584494346665,0.4457697712443634,-0.9103136351947284,0.2679026432531028,-0.8278635106429837,-0.7956876577468803,-0.9484426063645027,-0.3496155140550986,-0.8636110829152357,-0.8522876006810253,1.719869871619826,-0.6668968227603912,1.6547840855554152,-0.195854082107659,-0.7537508121261541,-0.6406742721275255,-0.6306134488572073,-0.8645604902736321,-0.8178699881118164,0.9563547370781154,1.931606442603855,1.0042272920715505,-0.9754895555330341,-0.8513098489270985,0.8560372261357724,0.33833862798018505,-0.4916265209661461,0.5479442443358864,-0.3295387508252189,-0.2782618969211204,-0.9535324131384372,0.09724416139155927,-0.8366483153810327,-0.7430080731970174,-0.32013283493063943,-0.1933033126050991,-0.5549538999256374
SIDM00783,-0.6390949064998547,1.7947536328607019,-0.7820222289931186,-0.7582532172790154,-0.4215546067215151,-0.8618337525824763,0.8330509782272281,-0.8328836021539132,-0.9053656141825434,-0.8693935680638814,0.4822295561195998,-0.862189213210847,-0.7541742234140039,1.7056121563294915,-0.7952693022793909,1.4693055220851066,0.38528240014358894,-0.8016071386549489,-0.782129818802481,-0.3481789509969755,-0.8267610087052216,-0.5706125820761908,0.9568636914344675,2.1461815767718373,0.6417756689197116,-0.8748896402796074,-0.8269335585051151,0.6883281403188356,0.3237229141187382,-0.6119591500737706,0.3326112379658688,0.7257370664119458,-0.44151340101811576,-0.9059941342556342,0.2881224517652089,-0.8965572643749253,-0.759734504084642,-0.34362315900357127,-0.20513017930257668,0.5324004850994095
