,IDH3B,DLST,PCK2,CS,PDHB,PCK1,PDHA1,PDHA2,FH,OGDH,SDHB,IDH3A,SDHC,IDH2,IDH1,ACO1,ACLY,MDH2,DLD,MDH1,DLAT,OGDHL,PC,SDHA,SUCLG1,SUCLA2,SUCLG2,IDH3G,ACO2
SIDM00519,1.755370672908782,0.13538416852150423,-0.520767737402791,-0.7251728548172419,2.3969787262500835,-0.9713397927461586,2.0318384817801918,-0.8791824657691152,1.9729503898739955,-0.1635723843452114,1.7959278315655325,1.2202003711085765,2.4465927780302943,0.46015786476783377,2.17222796754642,2.1079315354018067,1.9015163556256869,1.7789139519022503,2.3574594457173115,2.7984035015981887,1.3563903559299733,0.07288333381555571,-0.6947717694481977,2.374708395974643,1.580809591316871,1.386931916541774,-0.5858196846961818,1.4965987284901197,0.38686989261396665
SIDM00917,1.5711484807147584,0.4498621349932252,1.5628348025876244,-0.6940693551809236,2.2927971273300978,-0.8772411303974126,1.882185361736023,-0.7543959467432741,1.412250564020987,-0.34299018659547365,1.9734580413423115,1.5449609403820321,2.314409107988728,1.3169627304313216,1.7648392878439796,0.08698633525385373,1.6360037569936745,1.6228199580137794,2.581099354957047,2.8879645771023728,0.8000798020078022,-0.7956126042914476,-0.7998665467825193,2.0421108979814617,1.5661447018864278,1.161489305225425,-0.4336598728630497,1.7343287579696542,0.7414780416190019
SIDM00309,1.244845508305755,-0.006912934129565968,-0.1836013138611848,-0.6189983976651622,2.776907285701644,-0.9947996642237837,2.1637142305635044,-0.755176295644106,2.054877891855931,-0.24838893834958134,2.1311905020926676,1.3355952755791638,2.278753433097384,0.08939428658204271,2.0341062549064595,1.1677304795449739,1.958324494594882,1.756873560989428,2.6235774140218213,2.9812473466327356,1.0739426659859639,-0.07092568413268724,-0.8436013205124288,2.0430240609087362,1.5273217600786293,1.5396647208740275,0.197798911888526,1.815594107592487,0.570030649213413
SIDM00099,1.7266707544441804,0.5111425002765042,0.8156044688297786,-0.6467865417429027,2.0318087289295415,-0.9518379246629353,1.8471939673329147,-0.6992779451105047,1.6256179924237153,-0.38746960481634035,1.648826684729052,1.1060634672890346,2.1604756393634648,0.22892913834739173,1.462482917897898,1.0439973828143911,1.60657405464895,1.765453785143823,2.0558383126069044,2.7284314688615496,0.8022420356997684,-0.661567048666693,-0.841717590300801,2.2499999599688043,1.2622992379950266,0.4868538270108191,-0.39791162921991313,1.6729909199822033,0.027247610215139047
SIDM00276,1.7372511484215984,0.37672995291755307,0.7416376797674441,-0.6749291930676569,1.9614454106166586,-0.9095681404847161,2.0148901195140376,-0.8020474984879744,1.4961103348203462,-0.24065615693452772,1.909327186603605,1.1457229319530506,2.278087024735032,1.4104879881454422,2.56028606164222,1.6536695313024616,1.9650734429419034,1.6291554508629624,2.320147548651848,2.7245245814785255,1.2853364286614113,-0.6214710338073194,-0.577971175289567,2.4453436111173152,1.2497561362465495,0.6893230084699434,-0.7312764734662685,1.8855740928992821,0.47343261942397374
SIDM00311,1.5581543056596494,0.18457209089916654,0.5335854535840204,-0.607593002825178,2.653735006158347,-0.9358074124728981,2.0168288479313285,-0.7536922757409688,1.7808556596684686,-0.42214223996040856,1.9336413097884553,1.410999580750224,1.9669366265055825,0.6377230874558468,1.3354614899115123,1.41067151984685,2.1197346851472503,1.6737126341132915,2.227946913237322,2.318885538180146,1.0522283060074178,-0.8075602325028248,-0.6881380658089882,1.9829914656455725,1.2937204740759176,0.7904488499670154,-0.2449200263549857,1.6021192930869286,0.24383191481716843
SIDM00970,1.411154221899455,0.3918509403765905,0.37070217563053226,-0.6037468027310408,2.1207296553149657,-0.8865654963797573,1.8099129036270083,-0.790118127264569,1.0789956584989684,-0.5049268057025575,1.8898398550642632,1.315625764715388,2.3846449461358574,1.1304165193232114,2.796208457130495,0.5978643962301424,1.4532406755445704,1.694679870369973,2.503001469396825,2.4413793046701358,0.8623994527877187,-0.7317488835416578,-0.8637439058786387,2.073865623273684,1.199232239808151,1.0686562408952518,-0.13205126569459527,1.5060796262298204,0.7260904517767092
SIDM00103,1.869503747811541,0.5364973883569695,0.7001919680304667,-0.48125949452133815,2.612542752847421,-0.9724739990703349,1.8784509191795395,-0.7281922730313234,1.5634124893252819,-0.5328887323724381,1.5660941729295272,1.3378490266255032,2.2175594154506926,0.03893872534382505,1.538149313998884,2.3379188087388276,1.7149005807349427,1.5746552241162448,2.202863754809861,2.7364768711527456,0.46831746326186735,-0.6538663696741116,-0.7010306196391574,2.0521371455577038,1.158576820956961,1.3654419123063604,0.2442347889930526,1.8510740413823268,0.4162027461890853
SIDM00266,1.7749563732713338,0.6236956240744466,1.1423020406974322,-0.6766864069191002,2.5532721832222443,-0.8841199365630958,2.0422445798988567,-0.7584083288069189,2.3663304296343064,-0.5341145081901647,2.181510118763013,1.3438978283766079,2.416494699398866,1.2504568993187772,2.211124289660891,1.0643492380955213,2.3277440679377097,1.868734642060359,1.9527535319167684,2.557890963298557,0.9957383670105221,-0.22574328822346584,-0.39708724649732774,1.643703006763596,1.5182320310325446,1.2412359813033043,-0.48752603056806704,1.3016831062737537,0.5820064595410525
SIDM01064,1.134576266320893,0.3439106796575746,0.6631232376814669,-0.6764756358083278,2.3010533195696574,-0.941576874297403,1.59761976147336,-0.7963712359344854,1.8805444951843107,-0.37196632882614605,1.859089970112888,1.2775055699033082,2.0610933705862915,1.5153974895084794,0.19692574280515027,0.7282704034357644,1.9180183846961494,1.7740629670919035,2.3642205193447445,2.634078852068498,0.9501436970901475,-0.6748075048936889,-0.7552597163868437,2.5232775990081064,1.5736651023740407,1.0973686464559345,-0.53229698025221,1.4254478850540593,0.46692449551921
