,ALDH1A3,ALDH3B1,ALDH3B2,MAOB,MAOA,HPD,GOT2,AOC2,ALDH3A1,AOC3,PAH,GOT1,PRDX6,TAT,MIF,IL4I1,DDC
SIDM00519,2.201568402854045,1.232119752372071,-0.8287292028572647,-0.9138550965516653,-0.5284558265761403,-1.0473211874096522,1.1210229936151281,-0.6773595835182094,-0.4943125919693578,-0.7354788920999459,-0.9958905878530446,1.4784153732692813,2.8883185320317737,-0.9194215558469359,3.344437662586076,-0.3266712955654804,-0.7719249136759854
SIDM00917,-0.7628504927195283,-0.3917130883246354,-0.556022597946201,-0.9583647591876644,-0.5839396790370103,-0.9486366515865993,1.7411698039792476,-0.5914750527795075,-0.6387510042013984,-0.6975652984371609,-0.9247793866838413,2.35277952475545,1.9328843893058651,-0.9057358670531653,3.2334585268433282,2.26833699169626,-0.9184987505693945
SIDM00309,2.507038407196217,1.2315013221627489,-0.8364496437560559,-0.9112056394858054,-0.6167469588872668,-0.9391880507292891,1.7269882951436972,-0.7720325925128061,-0.544209361441012,-0.8667008081021658,-0.9598266574746223,1.4314193353066715,2.796741253550817,-0.9094658448623827,3.3193396863379587,-0.8108908128317466,-0.8486592576699037
SIDM00099,-0.4992900544528711,1.1017647634080756,-0.8145923068250598,-0.8322537728278157,-0.6002430034108348,-0.9833461022108173,1.0698879483084118,-0.45671952384070974,-0.6892421907487165,-0.6061372755720383,-0.9181135072179816,1.8518056517128079,3.1629473651316062,-0.9211937633616887,3.1216581905176217,-0.855153527618166,-0.8344868935731302
SIDM00276,0.2860005221020032,0.7223954927403983,-0.7236065603977224,-0.9348952740669156,-0.03844910393050507,-0.9746536529756219,1.8041537888618802,-0.7487076210693027,1.134520216583569,-0.841172276725411,-0.9344152475482516,1.6686750759342417,2.9253439529176495,-0.9401052537806243,3.4021012719986548,-0.48578144874265866,-0.8388968185034924
SIDM00311,1.7980728328230706,0.13066379173635326,-0.8058547336555968,-0.9548943350972524,-0.5835144092171077,-0.8986432206910587,1.3287603098325493,-0.5541310167986698,-0.5814100970045081,-0.7102294450579798,-0.8285766205624898,1.2245965676561699,2.7475492033230378,-0.9441795582307441,3.3607649550814354,-0.7205199876370251,-0.8989765295481721
SIDM00970,2.279971983796373,0.2859330465149035,-0.6858233852615048,-0.8974087032951485,2.014621095806215,-0.989884140996711,2.000186856970254,-0.43205282993818717,0.6446979223660867,-0.7224096813055845,-0.9339880501103347,0.460806940540381,2.282272417756743,-0.9877439533505895,3.494113901959943,-0.8058323693460225,-0.8526947535285334
SIDM00103,-0.49144650089135417,1.2533507381313578,-0.791756556304869,-0.9148178940841195,-0.6026042715409793,-0.9690954134585136,1.5256760200002415,-0.8073253969699441,-0.5647726997449514,-0.7919031605883169,-0.8797253974050805,1.5975954047381216,2.8059437509795506,-0.930088738342922,2.974356836766299,-0.8582191682437014,-0.8129887965938057
SIDM00266,-0.8162536457833733,-0.5066299488730533,-0.8342915428559363,-0.9137155544298667,-0.055017167614877675,-0.9977124114622284,0.9499497386654009,-0.5410783409292869,-0.7592498385835662,-0.6095028945112159,-0.9723614352858684,2.0322948148693776,2.60329548848427,-0.8820536680781845,3.531443728875609,-0.5775937131823061,-0.8214625772430381
SIDM01064,-0.8893049815638298,-0.4723343463077326,-0.7948221684280004,-0.6821606625204357,-0.6308339435187512,-0.9027206012104514,1.5990866417189897,-0.4723041408467074,-0.7496058976159035,-0.7306659830970589,-0.8956152521445251,0.9017363021670682,2.330765201174293,-0.8524985096502509,3.4279317415870034,1.640412713141765,-0.8506583462531032
