,CDH5,JAM3,CDH3,NLGN3,CDH4,CD80,NLGN1,CD86,CD28,CD274,PDCD1LG2,ITGA9,ITGAL,NRCAM,ITGAM,CD34,CD276,ICOSLG,CADM3,ITGA4,ICOS,SIGLEC1,CADM1,HLA-G,CLDN20,CD22,ITGB7,SELL,VCAM1,ITGAV,SELP,ITGB1,SELPLG,ITGB2,CDH2,JAM2,CTLA4,CLDN18,CD4,HLA-DRB5,CNTN1,NLGN2,NRXN3,ALCAM,SELE,CD8A,CD8B,CD6,CLDN17,L1CAM,ITGB8,MAG,VCAN,HLA-F,NFASC,HLA-E,NRXN1,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,NRXN2,CD2,CLDN16,MADCAM1,SDC2,SDC4,SDC1,PVR,HLA-DRB1,CDH1,HLA-DRA,HLA-DOA,HLA-DOB,CLDN10,ICAM2,ICAM3,CLDN8,CLDN2,CLDN6,CLDN5,CLDN1,ICAM1,NEO1,HLA-C,HLA-B,ESAM,HLA-DMB,HLA-A,F11R,PDCD1,CLDN19,PTPRF,CLDN15,CD226,CD99,CLDN22,CNTNAP2,MPZ,MPZL1,PTPRC,ITGA8,NCAM2,NCAM1,NEGR1,CLDN11,SDC3,CLDN4,PTPRM,CLDN3,ITGA6,CNTN2,CD40LG,CNTNAP1,CD40,GLG1,CDH15,CLDN14,NLGN4X,CLDN9
SIDM00519,-0.8937488682557905,-0.1740124223377273,0.36856015984432533,-0.7237878919658463,0.5063861346475325,-0.8773960331696109,-0.9380866783056079,-0.8494147967707412,-0.9311927655030178,-0.8061150959821839,-0.6359166151100595,-0.8299001018324714,-0.8773054405218104,-0.8863725545939399,-0.9448408908595647,-0.8637705556506055,0.6918237657724257,-0.42584900257458896,-0.5001802882711652,-0.6821227591647605,-0.8639943493118833,-0.8308243996297532,0.8680696377267385,-0.7405098487993936,-0.7348916858567228,-0.7707971077912834,-0.665481587489008,-0.7409213827499929,-0.8274012388200103,0.0009008262244029427,1.1801195979614958,2.086497938027983,-0.6814555275231535,0.4269189979011586,1.8132517244769604,-0.9162821623167544,-0.8917641008859385,-0.9146677411745338,-0.8893415969116252,-1.0386262726376774,-0.8452284167568122,-0.2619812841305125,-0.2804741911687625,0.6335686313260053,-0.8942185738536693,-0.937336258221774,-0.8903575225384422,-0.8282530672645922,-0.8038348763101617,0.741615445657075,-0.4053639929168636,-0.819814868455578,-0.9159065736384749,-0.11745663116171481,-0.7410959027864872,1.8938241351479466,-0.9192358090064644,-0.14036690293772516,-0.6835902490495037,-0.8552762103619947,-0.8500095596348652,-0.9122944676291965,-0.02245034815742815,-0.7217977351382131,-0.8488195976010747,-0.812282196842589,1.8776845413774803,2.058580320993033,0.4439931678235074,-0.3318217392645528,-0.28720554554339617,0.5996811532132683,-0.906367164563807,-0.759487187615111,-0.8995066411033797,-0.8970144193213436,-0.8069544675126248,0.6613564533594497,-0.9457976366090692,-0.7747189982617163,-1.0907035895808324,-0.8492727574014024,0.3867175180784917,1.4940916617258393,0.6582420265025208,0.10087621872552131,3.187525623381969,-0.8050394930677286,-0.6528306856265902,0.2917932877761825,1.309798122590218,-0.8321609869362155,-0.7327908484179779,1.6784420571485266,1.7587572826804687,-0.8763305508800214,1.5636877767850288,-0.6722182457401955,-0.8904970441121829,-0.953211464302166,1.505967296429497,-0.9436863931863493,-0.7304007155354405,-0.7893841674317531,-0.7425725697420542,-0.9206110584494209,0.03280020693156257,-0.6559287500656997,-0.6112583836847866,-0.5633510497296389,-0.6787416550888945,0.6634384165166023,-0.8623350014925387,-0.8809258530671084,-0.2644236573236458,0.7556309314959715,0.6898346986336461,-0.7443783165858375,-0.793515975491653,-0.9220400746263855,-0.6289886167739939
SIDM00917,-0.9177571627088095,-0.7392815610931477,-0.7967378334522489,-0.6900579254563134,-0.8309165989902598,1.826736739893343,-0.9068234439511508,2.2939909671583387,-0.6433808897176444,0.7886336093970645,0.2617364674806052,-0.27836192835523066,0.7933163050216999,-0.24834266135822805,-0.5291532725550696,-0.8308599530438121,-0.1145737388768175,-0.5105366726092216,-0.7213403143270136,-0.7620170533924799,-0.7424807941531727,-0.829101203513865,-0.49392935046772257,-0.4421501975428262,-0.5500039785426643,1.9156380491950407,0.4798854354507409,0.5118357889454161,0.5121360376074774,-0.9024899812836101,-0.8459787123670057,-0.5999323053013581,-0.4912974393827138,2.3520601960873035,-0.7196867235250534,-0.9196798288664224,-0.9234676630322638,-0.850110905499772,-0.8853507588397779,2.564093744552317,-0.7345645505300712,-0.5615407033493017,-0.015002015581517831,0.5704698503306439,-0.8528232342501834,-0.8880033993129236,-0.8663005975321821,-0.8249260243900163,-0.746355074517268,0.1341553916623545,-0.8029778385870237,-0.8210862153571513,-0.5643287970182255,0.9128778657408331,-0.8094140428872979,2.4692638527606587,-0.096880666499405,3.5048573757347694,0.42175124772919653,2.8754514899834267,-0.6888859523753298,0.4211067066924665,0.1892602200072348,-0.7124372269665898,0.9899113624449818,-0.8254237555987596,-0.7252412576615549,0.8762114621043887,0.17197251768885435,-0.578455550181654,1.9781012486340996,-0.8302974159753143,3.494590086395887,0.34617692899567964,0.12764982889070794,-0.8671842377255568,1.0311702079652856,2.9229046903245357,-0.9677653292638198,-0.6944322991856166,-0.833309976951814,-0.9458917192443452,0.8609231361907544,1.284298641551554,-0.735821666937204,1.4991358427298656,3.6663476765561325,-0.7514750655999667,0.9145743162847568,0.41087511245564706,0.8473669178244688,-0.8509057729513468,-0.8117359223507762,-0.8122418617175141,0.06736353954636219,-0.8468029583176367,1.595624677102244,-0.9019472324109917,-0.907729007895228,-0.5671241839497985,0.24761861937450108,0.7932557169976354,-0.8420425537598755,-0.860375742846483,-0.7387010398697567,-0.8964394242524657,-0.7473849658066815,-0.21996835156635708,-0.602027137843485,1.4581172399869147,-0.8657385644309619,-0.9011456893296703,-0.8477570519403169,-0.7726088462316814,-0.27255154382687297,3.0185796191821663,0.8945183949007532,-0.7457204206901673,0.3516358573193355,0.05193767447993171,-0.7790546953190349
SIDM00309,-0.8646370090062335,-0.22217326812909924,-0.3959542663683154,-0.7384558585117504,0.13799541982379673,-0.8756893981451909,-0.8662804722934596,-0.8970896840721696,-0.9736594079017136,-0.8310350209864741,-0.8018877296777026,-0.8870712218535854,-0.8219623974938411,-0.8149444965754173,-0.80179839137684,-0.8071340572904974,0.4687448361408459,-0.17527116355788586,-0.7869333011034019,-0.8757329080998536,-0.8250419191106813,-0.8518213902246664,-0.06523494590887875,-0.7355329370315681,-0.8053043904682762,-0.9173496591549949,-0.7446717730834719,-0.959800730070761,-0.10465362470687321,0.02318201200707048,-0.8139569582042457,1.6650003876070572,-0.627945625363129,1.4792077514075685,1.7996804039255327,-0.901453340485617,-0.8899182864497048,-0.9513594112579576,-0.8854825580157517,-0.960016427006162,-0.8428360284558263,-0.34605243620782444,1.10688915413339,1.107576893582476,-0.8658559423035365,-0.8167229835629615,-0.9184153538120557,-0.8488460027787375,-0.7029321268792792,1.028579530921971,-0.7682747172242385,-0.885183344966359,-0.9287140524847709,-0.19134190533736564,-0.5722661952171524,1.742302695727907,-0.9353480286163223,-0.31685623071890795,-0.820810202798485,-0.8822903017517721,-0.8334600041818734,-0.7269201019206271,-0.7381167001930072,-0.7351714867273776,-0.8058004508567642,-0.8441049838333604,0.2282638729245223,2.1148762849047107,-0.22524322719021653,-0.09896085422934167,-0.2404282112448008,1.2032511283514795,-0.7582596087680119,-0.7349895016732227,-0.8650262547556056,-0.8282760208832741,-0.7387609383544422,0.908346359554619,-0.9547249921581702,-0.7876607287379829,-0.9202370273374822,-0.8310350209864741,-0.4046714582682708,1.4020394816685098,-0.012443671726835146,0.6130801415639899,3.214183508295408,-0.8540012817009088,-0.702628022902575,0.45833903870003895,0.7018119115385888,-0.8419965557498921,-0.827680868467964,1.5900628966031596,0.514162926826565,-0.9322204719851993,1.829349771984189,-0.58133293253688,-0.9228095938501775,-0.8855013959053564,1.1954160445406594,-1.0180250870329397,-0.8746273567587348,-0.40100491805787675,-0.738082211133191,-0.8729090391394807,2.0612705477934026,-0.5340625504828823,-0.579872418470474,-0.63638886305112,-0.8843064999003322,0.6355730277905758,-0.8199299165688306,-0.7930068416082126,-0.31881923351013053,-0.09459870333919498,1.0801684713497863,-0.8033667427738841,-0.7903637452649894,-0.9340795236334571,-0.7381129296544007
SIDM00099,-0.807463120292618,-0.5841418537962981,-0.8012750773017888,-0.6868076474531938,-0.5759279397107613,-0.9153341784676792,-0.7024122478925621,-0.8352389370433234,-0.9910990043675716,-0.8032185053411053,-0.6339686461549158,-0.8773244183236929,-0.8021377240989692,-0.7982918391930405,-0.9610817380238337,-0.8456375157876993,0.5651252792611445,-0.6554662595106523,-0.7802221860424827,-0.7158013375438856,-0.862235482606821,-0.857280241846931,0.5866470802658117,-0.8202349040241574,-0.676341081956411,-0.7588240839832247,-0.6637093158772014,-0.9646001850147367,-0.6664891770624041,-0.33164264619797185,-0.6583597853695381,2.1164613662544722,-0.7013330855892044,-0.01587579333978548,2.2200240393918578,-0.5058698373953896,-0.8926485723067067,-0.93482025924469,-0.8743210390549863,-0.8855662207886726,-0.8520249034936197,-0.3478005604434511,1.6860159323737365,1.3240807317543881,-0.8683522249608085,-0.905846553043016,-0.8793587053604415,-0.8806757606117542,-0.6140025452142484,0.6508377964601241,-0.6350100546246159,-0.9589151782859889,0.6949597918022499,-0.6987640886749437,-0.5674704722952393,1.6973635217737335,-0.9133408438893224,-0.6696810121536299,-0.8052691501803051,-0.8360266712271515,-0.7175044414193924,-0.9120635014572644,-0.7498016969495717,-0.8046288800072652,-0.8925796352893427,-0.8369610060419119,2.250916248383572,1.9515445658559147,0.8648553101204888,0.0628828176244605,-0.347542825813449,-0.9146071897728487,-0.8855155724255507,-0.7591319998223833,-0.8509585785792771,-0.8014288870086779,-0.8155614250877667,1.046618967201619,-0.9525469833462678,-0.7273966990074554,-0.9760573489073676,-0.9516444513727488,-0.1495228392937134,-0.4201797826875966,-0.06117449319939373,-0.3079279357089392,1.3362267561079113,-0.8131151083259652,-0.6384798976138358,-0.25139688400941435,-0.09805315689427403,-0.8001387673026318,-0.7914503742218524,1.7461974988363205,-0.1883533763591241,-0.8540884659840986,1.8326689427691614,-0.7320992307099677,-0.9129069053999135,-0.9420224586155534,0.41024674739862516,-0.951492647288759,-0.7653986708698698,-0.804374547775027,-0.4715292751778058,-0.722615504619075,-0.5417200285528502,-0.4747650068767441,-0.5583456191727584,2.0162272599965596,-0.7939489689751694,0.7397001617541373,-0.8353162009815663,-0.826034249357654,-0.28554127944634006,-0.7347886175356101,1.1962987416498914,-0.8231454402838234,-0.7879111303365511,-0.8573124807792711,-0.8938905045413919
SIDM00276,-0.8266412569836247,-0.7372856980093423,1.831659360917562,-0.683226424743431,-0.6865001102994612,-0.8830804637983855,-0.8569728326405247,-0.888641716585704,-0.9223655621736347,-0.7243751478082439,-0.6824968897994421,-0.9396989825035806,-0.8561953210296007,0.007079274053579599,-0.9259945842280087,-0.8438243165422493,0.5392515612681718,-0.7302047030023138,-0.8264111209404031,-0.8481755148207543,-0.8777763096592112,-0.8314196501396874,-0.41736714347410336,-0.7481770720729634,-0.7845846465975969,-0.7971461766183893,-0.6907687720304181,-0.7051214543403808,-0.8705563838924861,-0.25759247262240875,-0.8087320278178598,1.9783318848585798,-0.7822529729077475,0.05582289228658892,0.5091117083945756,-0.8289526373289451,-0.8871720862337114,-0.829741435573573,-0.8562972938599723,-0.9916581306334903,-0.8144738237794532,-0.252845617792875,-0.4056550566271006,0.7112935415586914,-0.8907493521918214,-0.8329159405482388,-0.7833931572513155,-0.8550706651712231,-0.7186200635903384,0.35390825099970225,-0.390223295025274,-0.9352103442579834,-0.8397224323469867,-0.3431963101276266,-0.7437407807480356,1.8079058088730555,-0.9115670561169565,0.2515226328457574,-0.6126236524364589,-0.896588229704589,-0.7795969948078352,-0.7637220139450531,-0.6710371647962505,-0.7264858801377556,-0.9166730294977636,-0.8286717892663569,-0.6153125441726325,2.291053355322749,1.5022638611242536,0.08373259921346453,-0.42318176084016773,1.1936296443407253,-0.8612612736173961,-0.759468284672014,-0.2016403598949984,-0.8389039488711784,-0.8321140259315177,0.7643534953626574,-0.9322087462088987,-0.6548190023427444,-0.8211023838822943,-0.9835780912155138,0.944913797285946,0.9006555489908444,-0.16588730396426707,0.5194126399542155,3.0843788911716468,-0.6118654079145306,-0.45326220425159125,0.29573848814796166,1.3425733596298097,-0.8446264384660316,-0.7570179454312473,1.5107915072597657,-0.00877953928932434,-0.9312605008509187,2.299623974215522,-0.8216823702897715,-0.6301464530966295,-0.9876922856196422,0.6855800436526411,-0.9970548626961622,-0.7984839721774005,-0.797571509019436,-0.7413840181726775,-0.8263419571079803,1.050199029999753,-0.33026199092027275,2.8758743577081685,0.5545973207935715,1.1712371079969321,0.669787471935834,-0.8340936070990324,-0.7708399116371276,-0.7371760589763505,0.5995141011266852,1.3530692631695744,-0.7841330444333894,-0.7779258919914619,-0.8471827135115021,-0.539927308672863
SIDM00311,-0.7855457113008106,0.6580002034683994,-0.8552145494857661,-0.7891624727295888,-0.17753637271809902,-0.9333903376864,-0.774652242426542,-0.8897458545697337,-0.9411540743837576,-0.7790296702616891,-0.5076828628079384,-0.880303578755901,-0.8445534479847334,-0.8270015876132027,-0.99006922644476,-0.9083122065671598,0.5013151438336879,-0.7250324864976355,-0.8754158630231826,-0.07085414906357987,-0.7695403192835497,-0.7944874659983425,0.9770660075183234,-0.686297610704079,-0.7757426399611623,-0.8437480523363343,-0.7087395077694401,-0.8326544919458101,0.1273931650942835,-0.28451586249452937,-0.6638215553545938,2.109828675533141,-0.7642378304674392,-0.7722161506916605,2.0537591173627363,-0.8385623170425764,-0.8336979849720685,-0.90894741819379,-0.9525792054758552,-0.9068704989248833,-0.8744411619946323,-0.38621028271192953,0.6846401083450104,1.5382632999122565,-0.8415097278193615,-0.8443881593686545,-0.8947506033125615,-0.8493143157145804,-0.8246959293971414,0.309916279096013,-0.5991147373797197,-0.9538953240002356,-0.5219661743826691,-0.07759214012071514,-0.7980648968949319,2.0609499708310124,-0.9041952942125832,-0.26491364605303597,-0.6971919202266059,-0.8367602643151758,-0.8443897017756382,-0.7821481246194653,-0.7701882027077827,-0.7449085054612267,-0.8758686743940299,-0.8342446009604947,-0.1382995959676509,2.1438639838367157,-0.08120718069341981,0.7287117961641943,-0.5868674423644858,-0.8511073983279972,-0.8604028326316883,-0.8078909537741438,-0.9008898153248025,-0.8419099737223736,-0.7910108359282428,0.7357514349746689,-0.9066850626605218,-0.7469390624975539,-0.8979781203323859,-0.9221370314398468,-0.044163808531560905,0.5989010642972065,-0.1309777611250889,0.7097756397736831,3.3890163809674654,-0.6979948467150139,-0.7143681679650374,0.6301123685812894,-0.2839579983762916,-0.8502046744041393,-0.801536855767741,1.3835924948063052,-0.12738983464259568,-0.9188294023060991,2.3184518451708547,-0.8750652493461755,-0.8613410555887128,-0.9160859060428561,0.8322369516948489,-0.9310322728172075,-0.8568766925778432,-0.9093297950969682,-0.617069902470772,-0.6917354853984462,1.4892880642853252,-0.42862695806847295,-0.5760257217815438,1.3362996119773267,-0.8623423494672012,0.6641523656689027,-0.8637239662392778,-0.8211018253688963,-0.8080220240863886,1.1005456651389136,1.277243746439002,-0.8469032611055071,-0.19253644824704835,-0.8819342954413933,-0.9280960788545913
SIDM00970,-0.7972177286439498,-0.7345926363487001,0.9361465020792199,-0.7707141589249157,-0.7578368394277544,-0.8623098708920847,-0.9063888973562426,-0.7858965953472125,-0.9345641858074027,-0.7995510460521864,-0.807342141265242,-0.8737798552778344,-0.9001475876860638,-0.810237047947221,-0.9359981043025057,-0.7987599242558951,0.5578013648235112,-0.7699528868040447,-0.801979483187052,-0.8483730809648506,-0.8144758700024951,-0.8350519638851509,-0.6604867068385026,-0.8439017854416965,-0.8474040660684334,-0.877245645041602,-0.5950328498261548,-0.31076335560577356,-0.8401997003560394,-0.24391583092028785,-0.8081183416403376,1.694698650979929,-0.7975217902988815,-0.7223870652598282,-0.7725188599582032,-0.9126484593394634,-0.9350395677986156,-0.9467861557503526,-0.9203545374223284,-0.8755449884900229,-0.8996567179954494,-0.5122063456568438,0.6193173977723477,0.2548477573388984,-0.9225215373195835,-0.7627368034359896,-0.8442227037639555,-0.8167697623903167,-0.5952106159591077,-0.5572431683738813,-0.7199015517929959,-0.952932219797094,-0.9557682916937762,-0.5735949976064759,-0.7813744379614911,1.387628358318968,-0.9148553848441278,-0.2908684676498212,-0.8010047431387585,-0.8481901017126019,-0.852247864580324,-0.7245226127527773,-0.74447494717634,-0.7831837376205986,-0.9354373853731855,-0.8861127748607128,0.2481034116462886,2.3402125206575985,2.2927596081814334,-0.058550116758091596,-0.44943125610196627,1.583007419094312,-0.7502764860897346,-0.7738828000186729,-0.8644795362332542,-0.8923512179483408,-0.7264896743590791,0.522318144806053,-0.8996991269620315,-0.7246890501546346,-0.9096842561917565,-0.8890818107192362,1.1825652834122222,-0.8150119141412684,-0.7847012975460981,-0.07375931608414199,2.2606561659210125,-0.7615053196190359,-0.46547376106870697,-0.07781346723921073,1.3050243050415238,-0.8602358865847081,-0.7906113440328003,1.921973254306199,-0.30616972856867003,-0.9322863586779457,2.037994750813487,-0.8969760441780216,-0.9322029308760177,-0.8845964993296284,0.6679353345687014,-0.9892180028472713,-0.8495280016857213,-0.8949244488217426,-0.7599426703378063,-0.8886234904962611,-0.8423101322157902,-0.6243519503578827,2.3020805880456394,1.416308641113379,-0.8741452418862679,1.593128444132788,-0.9057762166505713,-0.8554872832435594,-0.69408576029972,0.3478553319942334,0.8012446216195406,-0.8383170089301037,-0.7941056446839252,-0.45308066467877794,-0.8121734734818622
SIDM00103,-0.8573848635760221,0.17910305753053815,-0.7372193594959612,-0.6908457577316486,-0.7699245266753859,-0.8787626600903105,-0.4265209406531065,-0.849583314479646,-0.9285399505055926,-0.815985661620193,0.4617176232002458,-0.9442137235094437,-0.8071098863923672,-0.7967261048412034,-0.9761690243933865,-0.8313841232437326,0.5925901165343234,-0.47973616086588394,-0.8161030013004188,-0.7049512001506142,-0.8026112271445895,-0.892026319418585,-0.754595763576927,-0.6912647615748149,-0.702695145043135,-0.6323582077054559,-0.7357209433811243,-0.9095282412469126,-0.8298982342921611,-0.7335315627056597,-0.7306943752201464,2.443566252914627,-0.7875772456105327,0.15874949151269346,1.1966107145771945,-0.8363487980105646,-0.8611193003398795,-0.8154748663735055,-0.8608661988468177,-0.913591553549024,-0.8155851688168413,-0.36294703126376215,1.579276074900117,1.1745010023037052,-0.8450250958307468,-0.9653325461723489,-0.7988368382376725,-0.8483606507252349,-0.49968800719756995,1.924948723626196,-0.6019615293486564,-0.9063363259332251,0.49771950328017417,-0.5402776651666361,-0.5524762657678074,2.239664566829769,-0.9000640130609789,-0.014606005088172187,-0.43747900117128874,-0.8705528104410781,-0.714399399536755,-0.8214621981494243,-0.7147329223552974,-0.7922551429083253,-0.929958106532993,-0.8494982465900813,0.1493714542441765,2.3816683625072654,0.028238624418645587,0.8761194602577452,-0.3324986756890726,-0.9058538182479098,-0.9028877008665502,-0.7458778443958731,-0.8746732181425017,-0.8103950464564491,-0.265010610958965,0.5679712530680333,-0.9292210390192255,-0.7123785344619425,-0.9116753781681767,-0.8947973380535711,0.376064160219975,0.8966726341769418,-0.5512559793815403,0.6718124363882514,3.2166080832566806,-0.7524275533093779,-0.6158311292088278,0.8174712922398781,0.3334984901898532,-0.8005628366758788,-0.7577697229560847,1.6317897120362155,-0.4053182175384066,-0.9246566475203232,1.8983290568290219,-0.7562013227449014,-0.9471484623280184,-0.8702087952429027,0.435347290207433,-0.8959644229928266,-0.7987954970562944,-0.5298587016215583,-0.6121677218138252,-0.7947988542386519,0.8622052385454854,-0.43937522208073687,-0.5338364053117884,1.8581262060880288,-0.9092150603740552,1.640517635021438,-0.8327531572156822,-0.7901236509869108,-0.3176468753939014,0.42989452965257147,1.1052019279323737,-0.8592856921704682,-0.30845405876964516,-0.8979605389768405,-0.8069333046734847
SIDM00266,-0.8350465323431173,-0.09772833640075418,-0.6334175714686634,-0.7182504953483585,-0.2855394173947776,-0.8951051895649392,-0.921401507205731,-0.7784463507029376,-0.9507617311332528,-0.9024916995214824,-0.8119598086413667,-0.862587542946882,-0.7988333315052322,-0.5741723989414835,-0.9879181904975406,-0.9212425089823307,0.17085846677353295,-0.6685854743239451,-0.864169349570652,-0.7375807523366853,-0.7318855379111857,-0.7635224274805065,-0.7744554493323977,-0.794555972592737,-0.8029889885392135,-0.8882887834625652,-0.8013513590161238,-0.8510668671794355,-0.31812033411718044,-0.38548394037421735,-0.836005160518091,1.627616334486582,-0.8126774177131226,2.2599234137025315,-0.7246853238400243,-0.6900818804082333,-0.9317483641058454,-0.8893688020570553,-0.8977705963630613,-0.8695237638441671,-0.8072109352075382,-0.45623882557399054,-0.8062529678383671,0.18377368549056353,-0.8945592671149569,-0.8083815871009254,-0.8812181905744572,-0.8205985972055849,-0.6343797832850371,0.5251313969686375,-0.8784999681816742,-0.9493691609601584,-0.8658166763543738,-0.730954635279651,-0.737009051503272,1.13524007771094,-0.9289798487895975,0.3645437775747787,-0.37230222210173347,-0.9272710252616172,-0.7070607866133303,-0.8111739066562624,-0.699941113517599,-0.7701268022335858,-0.7592628564781083,-0.8597992419118349,0.5984902144297176,0.6617491747544366,-0.72088318195503,-0.14281551035412804,-0.35737153835192254,-0.7989717166732344,-0.8858743292050493,-0.6614686722720333,-0.8273876326163914,-0.928369787561227,-0.31221543117730605,-0.25605507428723673,-0.9338649679894618,-0.6999207043098356,-1.0536416529048491,-0.8565516606433066,0.681996976732886,0.09098411701282516,0.30706913970957816,-0.14377543901388148,2.269403907977295,-0.7395433953843661,-0.5495218626620307,0.12995319763612048,0.1639797264013015,-0.8353523285873357,-0.8068981332436282,0.8621638148601127,0.21713680441315505,-0.9913590404394474,3.113840212999936,-0.7986416697257647,-0.5656954514613995,-0.8270662773629143,0.5885109642792646,-0.9430256704963312,-0.7937310943028407,-0.015902586588800532,-0.5948670775528881,-0.6464602748459665,-0.7793305759348836,-0.4679606576166154,-0.703893198920832,-0.40133094418285004,-0.6249791108410439,0.27571016831712136,-0.8640139229568721,-0.8448909171229004,-0.5159391624522586,0.906066289592875,2.4436557233480034,-0.8379952076877843,-0.8146421866472525,1.0563082437280131,-0.8307403052291051
SIDM01064,-0.7861935337440507,-0.6807461683348912,-0.7448738865271862,-0.651482545445374,-0.751026035524999,0.35024018260585893,-0.8793696198570564,1.9345792136160118,-0.8958202328794158,0.6616625341131928,1.1181416709011587,-0.8090345317541426,-0.7853354300938509,-0.8241416945182709,-0.49779351723723103,-0.8059984351435708,0.23031442449449066,-0.6686251701972687,-0.7748159371748257,-0.8288864661826276,-0.6313251912753567,-0.6443007240003584,-0.5957809152563309,-0.6721752179475249,-0.7127248527077817,-0.6704394949358945,-0.33577131766268087,-0.853334948066418,1.506778840742561,-0.7395640198512876,-0.7498021776099522,0.9275137453301685,0.5302718126335041,-0.8277324866409455,-0.6449889488945177,0.650617754126808,-0.879193821097628,-0.797605748949752,-0.8848590133041605,2.5597213838742223,-0.7612854995768119,-0.3547984769866116,0.29308688855379494,-0.08965967033161966,-0.805217490217886,-0.9103354314920529,-0.7803315205603071,-0.8029839184627278,-0.7014104434081031,-0.43656683088513576,-0.7888709639136522,-0.8532314424935916,-0.9176483697410802,0.2266160600755611,-0.7683771673080304,1.7336106290850721,-0.8868144844479925,3.591794618345647,1.419922603441871,3.169894136401991,-0.7081885708248863,0.9082229504652144,-0.640394610476553,1.8509381894446706,-0.9183962995323677,-0.844377744713149,-0.680846429414272,1.280176192903509,-0.7453245349221487,-0.6576373499110774,2.5233771458313368,0.2972462104533855,3.410092265365584,0.26198006825270514,-0.680158197205942,-0.8342317311990037,0.34972081960778845,2.0364327463638157,-0.934321718119304,-0.5686019693876301,-0.988438266256322,-0.9582128536486991,-0.7349414283500133,1.2747714952642195,-0.3261974197549478,2.084415258299299,3.4034288725146906,-0.824827764826885,1.1949111794702933,0.6787109632888305,-0.027493709231506656,-0.8267587618506537,-0.7374424527428846,-0.7830767489003889,0.08393290950962787,-0.7158098908745505,2.315706557010428,-0.8563183730413033,-0.892401345480831,-0.7682513661229631,0.4298617262550008,-0.9266141336552949,-0.8716022726646382,-0.6906103932872389,-0.7190907372311521,-0.8359623848702828,-0.8280390902955945,-0.7741253416542411,-0.4857960212000399,-0.6056117298928206,-0.776923537369381,-1.0060986940600265,-0.8215932710180447,-0.7689878989113619,-0.24658061586839441,1.5576623811316819,0.4930435208647692,-0.7334844766286625,2.4667807881071107,-0.8329157733648258,-0.6358647863216048
