,GRM5,PLCB2,ADCY8,CALM2,PLCB1,RAF1,PRKCB,PLCB3,PRKCA,CALM1,PLCB4,RPS6KA6,GRM1,PPP3CC,PPP3R1,CREBBP,PPP1R12A,PRKCG,GRIN1,GRIN2A,GRIN2B,MAP2K2,GRIN2C,BRAF,GRIN2D,ITPR3,CACNA1C,MAP2K1,GRIA2,GRIA1,RPS6KA2,RPS6KA3,NRAS,CHP2,PPP1R1A,PPP1CC,PPP1CA,PPP1CB,MAPK3,RPS6KA1,MAPK1,HRAS,ITPR1,EP300,ITPR2,KRAS,PRKX,ARAF,CALML5,ADCY1,RAP1A,RAPGEF3,CAMK4,CAMK2A,RAP1B,CAMK2B,CAMK2D,CAMK2G,PRKACA,GNAQ,PRKACB,PRKACG,PPP3CB,CALML3,PPP3CA,ATF4,CALM3,CHP1,CALML6
SIDM00519,-0.9647954346433641,-0.5224688389682631,-0.8197097615542076,3.405443011020229,-0.28388167354621846,0.41097071018801634,-0.693256665426057,-0.17219165357449026,-0.14177020028773454,2.0679101728721148,0.07490848976441174,-0.6265032999048307,-0.6383102379071678,0.11411858638168945,0.6006131335263584,0.7804463899523163,1.3252319950370464,-0.7837771690016947,-0.8336545197363687,-0.8711102277229238,-0.8649656119941859,1.2117328419628624,-0.7251294601834596,-0.5413997596560421,-0.916265358659966,0.23130577724304688,-0.8599463753321505,1.4682702253736368,-0.9998320503920795,-0.8006738270340403,0.3671086038404896,1.9030355642735475,1.221839698263148,-0.8245934981203595,-0.7125006158526018,2.6691031273684325,2.2778510656409945,-0.3179556892114843,0.5154256853947725,-0.2309502108713907,0.20225978087680163,0.8798485214472693,-0.7203016974859953,0.42957933691496025,0.41355116441195894,1.5419688881072011,0.009070405730790947,0.07456749189187163,-0.7856983964087129,-0.6225659736773329,1.1474215518840094,-0.577920575164442,-0.8494263377343858,0.18150273205412243,-0.8148607476656504,-0.6596592776837715,0.21609175543106074,-0.10317503087378249,-0.6642417916566798,1.3348226942570265,-0.19396801661267524,-0.7547095192082567,1.0595067925802728,-0.8929151937982222,0.4624333910765997,2.9472191820415774,0.07201739826156277,1.6441251892035962,-0.7289957667192392
SIDM00917,-0.9727597483715021,-0.7484199006984038,-0.736023673057336,2.9377746023401605,-0.8155343332125046,0.6703226732559828,1.6723657668354104,-0.625387120020742,-0.5834552659254151,2.017225902945296,-0.7800565199128136,-0.4618557538954975,-0.8323241016787386,1.4073343429485472,0.5031292249178309,0.3954024949423983,1.4674642705329721,-0.8209437091275041,-0.8530250237639185,-0.5859244803758489,-0.8019169405197101,1.4353305093647586,-0.6719787269115342,-0.08737606934962737,-0.9093959510948149,0.2803950818865365,-0.8989352661310939,2.1682208807797045,-0.9405278426256424,-0.8612144771970766,-0.8424505142219189,0.8139088599922194,1.5502036363871254,-0.8433782154006646,-0.7901190618414349,2.5598023261929037,2.1656333773028362,-0.4818221338672584,0.12581611851856564,0.9343583059768635,0.7518296918279702,0.5785314872233444,2.084349108020831,0.7794190322807186,-0.23188268718698102,0.6747655177517772,-0.0030871924810914725,0.3104583380836929,-0.8438875245171338,-0.7424661071244673,2.1679220368316354,-0.7483224427639611,0.32470176317841315,-0.8248880897902924,-0.93516831118711,-0.8365109445339176,0.1472783472451084,-0.2496021959814038,-0.6980003707464469,1.333536923318862,-0.7685558875984023,-0.7451376266929471,1.421329490820309,-0.7875357893135947,-0.9550305402844965,3.718085991935867,0.37466265137866067,1.0619232141102706,-0.7107302263572529
SIDM00309,-0.981843343731525,-0.8288201783708491,-0.8095859802542961,3.288812513982851,-0.8099176556565033,0.7255659061086115,-0.8444723115073255,-0.30167521091617444,-0.2444585548068717,2.1810960642285777,-0.6675338271001798,-0.8893726144012618,-0.8324620727116927,0.239530686891279,0.4586945316334438,0.45239454760209463,1.2545986673221867,-0.7892785415681088,-0.7916030438292029,-0.873371418752893,-0.8434691448664909,1.29693709399388,-0.49109612844113754,-0.5982155072109197,-0.8977231785649307,-0.060644982753957216,-0.8985738596381093,1.533801591408699,-0.9611548463247325,-0.8658813252718345,-0.3961075809183811,1.6740140653320976,1.256524659301111,-0.840162665915936,-0.7952953873835182,2.692446101999217,2.089666817517967,0.09146383849094515,0.5986800821643932,0.1525414500869207,0.19821987316206793,1.0882773068400704,0.1758981765566195,0.4579589061151084,-0.5964080220174995,0.44635764588407606,-0.3506946920234881,0.07713419241059723,-0.925941766277124,-0.6919039205970113,1.5043932259792796,-0.7003777293877304,-0.8289193163403664,-0.560412471674076,-0.86502732619906,-0.7659499181723805,0.013686211910347072,0.036832030268477915,-0.6548918264125425,0.9300509381485954,-0.32250331188668446,-0.796842937710926,1.1348244033746662,-0.7432149974902954,0.7846956195278735,2.732357095998629,0.4199465953508991,1.7579141813487515,-0.8365190917981722
SIDM00099,-0.9359463896791467,-0.828473055770185,-0.6498613700267414,3.346714649910355,-0.06562375297592993,1.1767266262913327,-0.8126854339693373,-0.2828811985284016,-0.13137744725192088,2.4110779704303242,-0.010766273318534629,-0.8596776765958183,-0.786223988458468,1.139087154857637,0.9383392124847367,0.5498496685699232,2.0196564572030455,-0.7737446713268549,-0.8342193048062185,-0.8926345904788212,-0.7872887852805356,1.6865245406992782,-0.7279719896638889,-0.4747716843383623,-0.9799720234276571,0.4071124894127082,-0.8819801281143722,1.4524860221399285,-0.9229085658838628,-0.8467950200832652,0.5461649969927554,1.123279266281021,1.2061207614674792,-0.8432639551399868,-0.8259741641712572,2.661218946963459,1.8398135744634367,-0.40395373862765394,0.6202538847874911,-0.5494898051998036,0.4272251428179874,1.0093641595797609,-0.48277610031675605,0.39921775645209767,-0.6708161837967919,0.6730085000785737,0.24545625125314027,0.007434448992897634,-0.9201892349624028,0.4569788463465034,1.5187677074087365,-0.7362944237938813,-1.001898365020712,-0.8295315740877559,-0.8701917169994118,-0.6867341929402653,0.46308077226321653,0.07545791300626167,-0.5869944303847916,1.6313964212235816,0.12689241603057716,-0.7381890646027427,1.3225179014283042,-0.8482326855644008,1.0484953055855488,3.4496867517063508,0.3371163731411872,1.5173131678875098,-0.7477793077570957
SIDM00276,-0.9957613145141574,-0.8201330135193009,-0.787935756460015,3.240136851313997,-0.7788636541550895,0.6944907569106895,-0.7890798899543415,0.003181374961338923,-0.40676241488024195,2.640025073890035,-0.7093503530086754,-0.37843851411481927,-0.7633773955201181,0.14944474233641536,0.7380633156463018,0.3161848239752825,1.0195418170525197,-0.7574964145062062,-0.7921997403841583,-0.886795926067741,-0.8997220402904402,1.5730502356630185,-0.7497486249597137,0.4225250613223542,-0.7822047002591036,0.5243242550444455,-0.9475335632409008,2.019959361654287,-0.9516948433214696,-0.9361448552522226,0.5645127919877357,1.4255143565548307,1.9524905147513523,-0.8075367709930855,-0.77574056917838,2.485535958399745,2.6242095109708483,-0.4896288876957792,1.1105277507367421,0.5398964791057,0.3901472004011665,1.1816656923996194,-0.5443190874339499,0.26240778424630146,-0.7489707943437317,0.6515748950888393,-0.13406283809776876,0.3319259955565263,-0.946973893608282,-0.7197081432223705,1.6900158608756393,-0.7618121706193536,-0.8184217593163949,-0.8408028764830664,-0.891819904966587,-0.8103528387628942,-0.6148705563465235,0.2019613956200795,-0.726402678006925,1.2079609471188764,-0.18959251099276647,-0.7414626369710949,0.9749929377434926,-0.7270777119510755,1.1017332648282585,3.269642499407298,0.3278868998570511,1.8004960987401966,-0.6295154616598309
SIDM00311,-0.9331755407877509,-0.8575282564558809,-0.8338650298806419,3.301473029237035,-0.6990640606832124,0.5447987316773143,-0.8105801305761055,-0.011229847868629248,0.7056643480085137,2.3985497785788255,-0.14213813901389724,-0.5817542038391551,-0.7731499745911633,0.5372556161210008,0.33983197724746034,0.5379680922769874,1.1684727195528462,-0.7393564213780424,-0.8700051754780997,-0.8348294688604934,-0.8682536570055481,1.3593653195542226,-0.6984856788253516,-0.7453538371884136,-0.9526670159102201,-0.14954882203939818,-0.9109247693103822,1.8896826961927777,-0.9550523451923879,-0.8900368452250145,0.11842218249655319,1.3898298874174204,1.5785594577365645,-0.8158154101321047,-0.8507802692809827,2.5956159398338534,2.2132241015140384,-0.4899323458559017,0.29001810221540564,-0.4214738375191723,0.38729023043362193,1.1499067182680816,-0.297196916930855,0.3726661133755071,-0.6355736511643333,0.5102474431294666,-0.43949852066979184,0.08589945360217498,-0.8082354228107739,-0.4839696158533931,1.494692404143523,-0.8385109275889269,-0.4939125202242458,-0.8838636629378673,-0.974540546993818,-0.8314846368484712,-0.33790594601758,-0.04741662479732327,-0.5088950164142347,1.38581750818193,-0.11699589132220085,-0.7612137915489496,1.2093930196224365,-0.90894741819379,0.947465542602499,3.0929466970782067,0.3964635671903048,0.7540254640885538,-0.8262110264974655
SIDM00970,-0.9412082136140476,-0.8729264863234977,-0.6906937174444193,2.997127622667184,-0.2056887890907924,1.0032059249628758,-0.7355939801807603,0.3691638520888408,-0.23316708625249377,2.9816846982138316,0.018608130776813853,-0.7198589289787303,-0.7427034785820373,0.030852483894811232,0.5069331571714352,0.4361938112367892,1.4251524358363599,-0.8510645530002491,-0.8832018114353318,-0.7896435071386281,-0.8665429834789505,1.0350064504926018,-0.8029038024646,0.16764458696924706,-0.682240756905089,0.0232715350514139,-0.9687990573362196,1.5480021660770813,-0.8136551581432439,-0.8724273725065558,-0.8375776316612893,1.0909825668078816,1.2890579677789475,-0.7022949505622341,-0.6794163160637178,2.7661270261580393,2.3029748098906118,-0.4192933597820453,0.3293145122295789,0.529962347670253,0.8119872597350951,1.3507311932125972,-0.3849159694104453,0.950953038465395,-0.8231778836173611,0.8955143169693113,-0.0036272333850462333,0.016143176077876336,-0.8660533697298957,0.8377013906306389,1.6142367942215397,-0.778017940325177,-1.0203742736336718,-0.8894647622897656,-0.9544814747274226,-0.8567212730857549,0.2915994873314407,0.40655452505328643,-0.6435096983966702,1.3877255711812926,-0.02148999828132397,-0.8275878392458749,1.3200824079518878,-0.7680933459775284,1.1064490655090542,3.2152483165126724,0.5755221068530932,1.7144994215516516,-0.8652414681128265
SIDM00103,-0.947877638200008,-0.7878343911565672,-0.7545610996114599,3.3787375877429024,-0.8394236156336857,0.842042295483723,-0.8670659958030608,0.10537069320392656,-0.28424573269653736,2.350299357280336,0.6929036419545747,-0.8027069733153116,-0.7539043995090604,1.39866427863796,0.5453880413287697,0.35132433999866564,1.4537796787674186,-0.7682631555429059,-0.9051678607542724,-0.7637008815017764,-0.8579353270191581,1.7208696588265395,-0.7562641846087838,-0.3199136617291577,-0.9246869838732787,0.6363394407494628,-0.8723192999102393,1.3916393884940752,-0.9013407583732873,-0.8751633164248374,1.2684603535515762,1.1603063175351556,1.5912580346491147,-0.7919491553438586,-0.6768714569385338,2.6082499410233693,2.0059867322452583,-0.525798493559705,0.80055510601947,-0.627439849722841,0.3533626797819316,1.4511064022891142,-0.6334190648656081,0.14464132941274382,-0.8590883299385064,0.019609299068091418,-0.141904177810424,0.0004835080749557808,-0.8485331953771983,-0.6664243563686305,1.781489468440995,-0.8166384364271665,-0.9128379563888283,-0.8431575061735065,-0.9483541958427381,-0.89668513910147,1.1348553177287841,-0.12774355548768823,-0.5592154262132353,1.1908561462898601,0.319056458936254,-0.7280524335108798,1.1609808763492704,-0.7985815630346397,0.931967646087815,3.283860935586649,0.36799501682737706,1.7219521346837794,-0.7354375173791132
SIDM00266,-0.9802349849778222,-0.8498200598777886,-0.8383722459025567,2.9941010345052836,-0.5241061003921688,0.7998530910773893,2.4447941496261234,-0.30980612618380193,-0.4922111936441592,3.5543218072134084,-0.43998132982956734,-1.053139858322276,-0.7872082425895289,0.059452434153442264,0.7518863505157191,0.5044365911171107,1.4231645738173022,-0.7934670783701385,-0.9393497090919154,-0.857302840889627,-0.8214330695060518,1.421884080467031,-0.7203445980815911,0.1151396341686013,-0.8041780033906409,-0.1795405296831473,-0.8612174626844602,1.3033679463501235,-0.8399411161935741,-0.8624805063482439,0.22311205420569463,1.067421149161405,1.6647147494627599,-0.8471823115370111,1.8366545032664732,2.876663801413975,1.8630661083364346,-0.5464420700201927,0.43598438125523226,-0.5996036741030542,0.5203234391390296,0.7427837498526729,0.8955894175660499,0.6946840758175171,-0.7532473379076112,0.9111993007529532,0.33201053192936386,-0.1599034263136676,-0.6894949735774384,-0.6623390878355583,1.4209224781677827,-0.6481078092432474,-1.0200728219685957,-0.8637623341643526,-0.9275023002734074,-0.8165924218160808,0.5398541971565853,-0.3475376764836021,-0.7803909825069223,1.3619032506322748,0.36874910338888944,-0.8099666108176443,1.6327421418768657,-0.7968717278372824,1.6648138934646912,3.581292603776316,0.14106793089805592,1.301229601043689,-0.5547975582084855
SIDM01064,-0.9384653484589875,-0.8419211342160129,-0.7328274176960781,3.1039004230882568,-0.8149221125354579,1.1271093323880224,-0.8145439237286827,-0.12677338058176302,0.17604218848619743,2.764487050354022,-0.737437860661444,-0.9039246494106622,-0.7713488296598239,1.2825025270747707,0.7706577661199161,0.9311953063125066,1.4323156339936558,-0.7491547537256324,-0.9241175167379905,-0.8102600933074803,-0.8700058658108729,1.1257725690972324,-0.6352847272499765,-0.3823909016943919,-0.8133546680012044,0.1407450704668801,0.18335384756784337,1.9344409784512715,-0.8960331786703962,-0.8378108277831928,-0.4729021756941233,1.0964490036293941,1.8509542624253292,-0.8555506126949551,-0.7294727415803124,2.93224165120046,2.258967133157781,-0.32446162696118624,1.0024155733741154,0.5824353889962777,1.324784881453375,0.8651038677438343,2.2630260065738272,0.7549958733303839,-0.5372407202241409,1.139741061167428,0.1056745475013724,0.11853981156144153,-0.8267772031766903,1.2536498824211928,2.662437321285291,-0.7828228865915535,1.0159238634577235,-0.8796326014562149,-0.693595473215947,-0.25733493587577766,0.6465186648715905,-0.13039191760931326,-0.5473229927479505,-0.524437168006727,0.07765749165441556,-0.6808190530892965,1.4965333639248315,-0.766686096323822,1.2064258194788318,3.3431577744670253,0.6075850662639282,1.1989393237284054,-0.7553292354973423
