,HHIP,FZD1,APC2,FZD4,FZD6,PTCH2,FZD7,FZD8,LEF1,FZD9,WNT3A,WNT9B,DVL2,WNT9A,FZD3,DVL1,WNT2B,WNT11,WNT10B,SMO,AXIN1,WNT4,WNT10A,AXIN2,TCF7,TCF7L2,SHH,WNT1,GSK3B,WNT7A,WNT7B,WNT8A,WNT8B,WNT2,WNT3,WNT5A,CTNNB1,WNT6,STK36,FZD10,WNT5B,FZD5,GLI1,TCF7L1,BMP4,SUFU,BMP2,GLI2,PTCH1,GLI3,WNT16,TP53,FZD2
SIDM00519,-0.9781554267739861,-0.25039869425318145,-0.510126572422362,-0.5826586206104697,1.3124150452906727,-0.9393578081494475,1.3047370919622128,0.46805592079089237,-0.7667498242748586,-0.7180171827763548,-0.8159052403356879,-0.603708781140173,0.21019007409702098,-0.8011436477949192,-0.6490712348777485,0.6400654740121293,0.884432312479872,-0.8304558082643441,-0.31454133185129296,0.5137522757969075,-0.12283781431877214,1.5234917039050204,1.8957689417182395,-0.6602126748609652,-0.7871562844557515,-0.3214029222485103,-0.7641992220446581,-0.9697800389832493,1.3510624486918985,-0.9216122454333966,-0.6479457945228304,-0.9646863888577806,-0.8439883274866068,-0.8940493879381352,0.7760237785994262,1.0808357762576402,1.2176476867537853,-0.1350309538907119,0.4023567463350987,-0.845676365475211,-0.6103275501572655,-0.4608584595027187,-0.7766933266862991,-0.1982741848813393,2.4490508578269994,-0.5372732873317738,0.9540746769882713,-0.6180226229045552,-0.6221255249865763,1.5204101755413524,-0.9678818198567822,-0.5490992699972357,2.240119619896659
SIDM00917,-0.7138664645452142,-0.57368122002606,-0.6694990443666693,-0.7868269421255817,-0.9112916391169785,-0.8345853671104801,-0.4200524090346898,-0.22086548293225725,-0.845652064579716,-0.5593562438009021,-0.7772355767786246,-0.693597865601388,0.1976574029183226,-0.8371096875544206,-0.8217918645349661,1.04683245854064,-0.789211172438897,-0.5491219616106073,-0.5795430734057055,-0.648867157590401,-0.416401493312339,-0.6204068927865473,0.8147197721984492,-0.773726404624795,0.6162921631342847,-0.8294919534732412,-0.7317838238960915,-0.9102826111219146,2.04988231234367,-1.0212595275913874,-0.8364171475079455,-0.8760326060643516,-0.9297170127601166,-0.5935597057244835,-0.5555568232364749,-0.4675096294722655,1.2852809793337285,-0.11086131885591344,-0.06578927575042029,-0.8167228878351597,-0.4059985574058303,-0.655900653496104,-0.7291521561290529,-0.7452880684152653,-0.8319041368580711,-0.6916319380871887,1.2624154475794205,-0.8236204540716435,-0.7732397709317274,-0.6363796292971703,-0.9294512457046094,-0.5377656233603392,-0.7525162193420624
SIDM00309,-0.8972505914828828,-0.2938497774389799,-0.6080851532395329,-0.5513237391264986,0.737173376041319,-0.855710174776876,-0.1770822833734774,-0.13789606810298677,-0.8265444768270023,-0.32308372603510666,-0.8922335680225032,-0.6761532344948097,0.16041871977767527,-0.8231843726291196,-0.9104959122608851,1.3572636525999902,0.4271072418368796,-0.8294988567732231,-0.6834601409322497,0.02221394082633896,-0.31054032154941197,-0.2837748855743531,0.834664118630433,-0.6464496591068354,-0.7015432307637346,-0.04938563469555932,-0.6759388927363215,-0.9706912082691557,1.5938635558462186,-0.9331791877553454,-0.5903650662570663,-0.8790846016868283,-0.9387975069781754,-0.8366477983949671,0.34058631791161814,-0.1535628056813112,1.531051666763261,-0.49632513368494974,0.13826895347779702,-0.8315885348755875,-0.6577882973509022,-0.4930296651681176,-0.726723406272392,-0.42172379788324077,2.4054635039987633,-0.5999595678439407,-0.5345861901131379,-0.7483603293081058,-0.7110052894838724,-0.006625732112649521,-0.8967168537212481,-0.4883528195407754,1.7909110297130497
SIDM00099,0.6542989642809945,-0.21281438081486462,-0.7477413318460993,-0.608152835870796,1.5558040489183362,-0.9437031558772047,0.8102493763001887,0.4591727410026285,0.034040901227907885,-0.6418927261835415,-0.8776684723858021,-0.6315145482646964,0.23783102253379865,-0.818729381875385,-0.8098949303116791,1.4161345306299022,-0.6680618233137058,-0.8300867168126116,-0.6576266139461817,0.4568761474699441,-0.02928372545294831,-0.6961832123548339,-0.7813682852983648,-0.6717366358307189,-0.7347915157505426,-0.4890676835513929,-0.6863745354466161,-1.013004897941291,1.7953402335997541,-0.9591393452969665,-0.7257260153160826,-0.8945513721497378,-0.985026724788037,-0.7876200407054321,0.6124372705966847,0.32016366249384914,1.4339588043516427,-0.5913697852316513,0.19893179168515512,-0.8306095923490177,0.5951303933051416,-0.6930710523632051,-0.12437798847901418,-0.2503047552254338,1.6134156601405794,-0.6934564787137185,-0.47514688628271756,-0.5798273263009799,1.057109372743791,0.09678145285918303,-0.9557627259979441,-0.4606656978346491,2.608864067857704
SIDM00276,-0.9086518927651297,-0.5480463041919902,-0.7796352833776798,-0.7731293940930366,0.890937383869386,-0.7869836325871128,0.502547877171304,-0.4862201662621162,-0.9211039188489438,-0.7510552216745144,-0.7987924649159575,-0.7527260136252119,0.6155882034157504,-0.8000869009504923,-0.6536735403937293,1.5697260494235796,-0.779273159426278,-0.6318455860894079,-0.614973736747614,0.13285323199316248,-0.27162683998993337,-0.757510121802741,1.5794158487166634,-0.583964102634621,-0.6869865589032614,-0.41397870405731296,-0.7387632582278163,-0.9252325305774035,1.6862762082929676,-0.84296023286256,-0.4543923005209215,-0.8971466490935702,-0.9446073897586287,-0.8446800271967081,-0.1391311925133974,-0.7274912474714871,1.3183493700636075,-0.41805580104619644,0.13602057580635643,-0.8534931303955017,-0.13888443553190347,-0.2865462100849648,-0.8059085858199958,-0.6224876156625813,1.7397976619140194,-0.5176278897193408,-0.6534999986952106,-0.7537918787733319,-0.22770690078363018,-0.7531734188132965,-0.9124257554765272,-0.3152874840479835,1.9580631757713303
SIDM00311,-0.3348914122320593,-0.5786722614794163,-0.8251381442988124,-0.44247542185975447,0.9588899468899811,-0.8993607047270867,0.25194890714191004,-0.2860768844850466,-0.8430178040505248,-0.5704477129314356,-0.8226890679123049,-0.8236176861961565,0.07124003735374497,-0.9141259652272522,-0.7126643697047299,1.1396870720238725,-0.8121723569567791,-0.8959190971349758,-0.6671954526851781,0.09287166833378036,-0.0685667908462816,-0.8430911770790941,-0.8606451142469631,-0.6486039079914081,-0.4863196877432758,-0.4086980928180935,-0.837058698837658,-0.9192867436833994,1.282951438624949,-0.9438030720508768,-0.7855084802779485,-0.853475597920043,-1.0487540960489168,-0.79985480891062,0.021037104647142958,-0.5192246614271693,1.7525331315109194,-0.5919248474369708,0.124905416770646,-0.8179078788424243,-0.5239688805151003,-0.6678195196930468,-0.5427441642209688,-0.19058832911240217,1.3691919068275278,-0.6023040874313423,-0.6916752250337259,-0.6805795365076356,-0.60588242294377,0.4719866104406093,-0.8406372869834161,-0.4660973343828472,1.2278232706649639
SIDM00970,-0.8040930087074611,-0.313632391671471,-0.6615745010084358,-0.6084482324394205,1.5871000659029166,-0.8621629860758021,-0.25861423613410683,-0.49589165629893484,-0.8504491830167896,-0.6953520246415543,-0.7891909759567697,-0.716690134426651,-0.21526356647949618,-0.9443024102502328,-0.2685060071464121,1.419426270167821,-0.7794794549496473,-0.8560472283457293,-0.7059131172553883,-0.6424310856133534,-0.26191338475256437,-0.38666219550485387,0.9322425501532191,-0.7835965237620971,-0.6940898776794232,-0.12257386523000707,-0.2146800123897261,-0.9129302221666779,1.5783739419319924,-0.9004254642656055,-0.19381939472166015,-0.9280486597632155,-0.8121734734818622,-0.8293214927119352,-0.29546775199927156,-0.24230532326900564,1.875124878476745,-0.49172789231261554,0.09166165819588155,-0.8051712012350546,-0.728770875986109,-0.00818667301714452,-0.7122430060969668,-0.7587748205084407,-0.02157230296652071,-0.5830652468485678,1.2191246675577943,-0.7980282114915542,-0.6461097750824676,0.27520028731177515,-0.9208810225695623,-0.6567645675008575,0.9410111871195217
SIDM00103,-0.9381917730836292,-0.4916049023194926,-0.771258699060732,-0.5561509452267414,1.3234185286069038,-0.8008984294957644,-0.11378806119713021,0.029546886053182952,-0.8549719750111858,-0.8027150207955084,-0.8410268581760296,-0.6427339590786465,0.41680289424221967,-0.9879598557047271,-0.7905421816465716,1.4218153210110682,-0.43099446582320955,-0.8784130709611935,-0.6067169852864243,0.015561733187178777,-0.05049095843654175,-0.9301262018292766,-0.8194999948538342,-0.7633433489682021,-0.6853490195046105,-0.32664288476617903,-0.7240870653841357,-0.967800319341584,1.8739563973929787,-0.7731330693882728,-0.7647317879794474,-0.9602616983978421,-0.9603529040048436,-0.819873802192795,0.5765800424849691,-0.8023046049998319,1.319050504339812,-0.5937172221101743,0.16841379177194174,-0.7942870264322154,1.4358192933764453,-0.5169559768399763,-0.7888703933250275,-0.3875862553480194,1.7328613535232,-0.6160990958248186,-0.7715473598840685,-0.7419371545892182,-0.6235281387886619,0.5215570500838805,-0.8772711625622852,-0.5608796842096238,2.231721104937708
SIDM00266,-0.8442378322066257,0.8017173898320383,-0.7184499706923594,-0.41765595793648336,0.6946495578469419,-0.8647009040676387,0.4245131147128787,0.7585396905642193,-0.3384008476793809,-0.7738562437140931,-0.8697231230659773,-0.6735871304361537,0.4004184256915675,-0.7874826715146896,-0.5365882190376178,1.30321743246193,-0.7381172513515957,-0.8042099511928055,-0.04679592727614707,-0.11516704070139974,-0.2758500902788404,-0.8175863979968111,-0.16027027565404872,-0.6148931944708096,-0.7361585838228143,-0.6945217951117894,-0.6356737624175068,-0.8699044867121528,1.608867664968994,-0.9521232145848645,-0.8134773546725079,-0.9571926492061363,-0.9501211079284092,-0.8910101200026245,-0.26835218489523327,-0.1982963785499579,1.3629373334990487,-0.46397442255320354,0.3271809587883554,-0.7990659662496606,-0.5219833711385421,-0.5923735935576011,0.06431825319602577,-0.3696895716185509,-0.9655613483510146,-0.6459289169489542,-0.5160136552073514,-0.7980640025289615,-0.12578152350962937,0.30480456620079055,-0.9231714615307619,-0.6844618064062402,1.505671229427538
SIDM01064,-0.8996140072042491,-0.8088728363801602,-0.5465099484304817,-0.7733555607835432,0.6503884909480773,-0.7977348803408013,-0.23610790779153235,-0.6903257928972989,-0.8129703626216489,-0.7555315640055933,-0.8767121574069694,-0.6488896163322074,0.12679249446512014,-0.9634809554566856,0.2738075515971727,1.0933921981430195,-0.8186600140610513,-0.6532174201270808,-0.7482728208518449,-0.6712013258533155,-0.18836069374213119,-0.7608715361407272,0.8836439748757167,-0.6454916392872737,-0.7454782273242749,-0.7432987552748739,-0.7945272910124296,-0.9175494226223446,1.0044439342394096,-0.9586256802204746,-0.8543933625382939,-0.899873416091469,-0.8809757047579215,-0.8487207297301881,-0.587094681185943,-0.7997122990421351,1.187079652225721,-0.5647364593184938,-0.7430959750011571,-0.8293553591412205,-0.12317847060858352,-0.6513806996277985,-0.6725260507283042,-0.6416339521020705,-0.42089047904843924,-0.6429981491228391,-0.7694218448914352,-0.8042483473777343,-0.37042945890236934,-0.7716471392173323,-0.9443322329267433,-0.5881384431654524,0.261447704792968
