,HRAS,E2F1,RAF1,EGFR,CDKN2A,KRAS,EGF,TYMP,VEGFA,ARAF,VEGFC,VEGFB,PGF,CCND1,ERBB2,MMP2,MMP1,MAP2K2,RPS6KA5,BRAF,MMP9,MAP2K1,CDK4,MDM2,RB1,RASSF1,TP53,E2F3,FGFR3,E2F2,NRAS,MAPK3,DAPK3,DAPK2,DAPK1,THBS1,MYC,CDH1,MAPK1
SIDM00519,0.8798485214472693,0.08599586272353803,0.41097071018801634,-0.05966289601354394,-0.6310219058229348,1.5419688881072011,-0.8929978167830748,-0.7072317254825373,-0.28184129782331313,0.07456749189187163,1.161676301362987,1.8715694589559007,-0.1316333253317547,1.4576129059103546,-0.2561277657813964,-0.5215901593690654,-0.848354679063088,1.2117328419628624,-0.8403506958766722,-0.5413997596560421,-0.9002055684692809,1.4682702253736368,2.234465398685669,0.3744561848381576,-0.451706616899581,0.009556189827165976,-0.5490992699972357,0.9026138924628194,0.09969783157124801,-0.6049584536004887,1.221839698263148,0.5154256853947725,0.807114075497826,-0.4824001075681365,-0.4002645182900184,0.15012803486129228,2.1568489899129997,0.5996811532132683,0.20225978087680163
SIDM00917,0.5785314872233444,-0.2135355422889387,0.6703226732559828,-0.701575656143487,-0.13914854844665173,0.6747655177517772,-0.919667194283133,-0.5292414189238274,0.6749611130665547,0.3104583380836929,-0.5440472617887283,1.5947474958848789,-0.09672882938308264,-0.5683018791586874,-0.6300975969652289,-0.7471403545163884,-0.873870603542347,1.4353305093647586,-0.2964825369424529,-0.08737606934962737,-0.5730058710889667,2.1682208807797045,1.8123176406853694,0.782457254819834,-0.20693165105610548,0.17813336151354528,-0.5377656233603392,0.5712278422207611,-0.43455616905863964,-0.7207177122178672,1.5502036363871254,0.12581611851856564,-0.07540710979494558,-0.6568613845549474,-0.12646045457953511,-0.8033850135945466,2.8043043388059963,-0.8302974159753143,0.7518296918279702
SIDM00309,1.0882773068400704,0.20761519131939282,0.7255659061086115,-0.033408677656909594,-0.4729076891930827,0.44635764588407606,-0.6905337454649281,-0.786444006215869,-0.2781246700638339,0.07713419241059723,2.061413170785068,1.6661583490903769,-0.7376653580839087,1.750803738259115,-0.3743296156063484,-0.629318707842324,-0.7832224652250569,1.29693709399388,-0.7915738283451355,-0.5982155072109197,-0.9315145820083699,1.533801591408699,2.108265807077271,0.04136872496734211,-0.20130190250486923,0.23357809675293945,-0.4883528195407754,0.8186152745784866,-0.06181102789061317,-0.4331368386889992,1.256524659301111,0.5986800821643932,0.5808259388060566,-0.6805017989415161,0.1972613760980569,-0.5742307645116381,2.5090390498281514,1.2032511283514795,0.19821987316206793
SIDM00099,1.0093641595797609,-0.08057002665373103,1.1767266262913327,0.21846877828626285,-0.6583672314984758,0.6730085000785737,-0.886350060965009,-0.7221052628671162,0.4060440274154541,0.007434448992897634,1.437593744063728,1.7200583868663775,-0.7525229775462875,1.9893804939894844,-0.31302835707563065,0.2995668665304628,-0.4823880321711869,1.6865245406992782,-0.6965416017092626,-0.4747716843383623,-0.8531961564743576,1.4524860221399285,2.35319881192637,0.6150369187560697,-0.21125073452829746,0.21814976969575034,-0.4606656978346491,1.1122126124745342,-0.024519679308742985,-0.7296459678057524,1.2061207614674792,0.6202538847874911,0.37386974325587,-0.7555422252246198,-0.41646515952157953,0.8808563712275488,2.8580368365656548,-0.9146071897728487,0.4272251428179874
SIDM00276,1.1816656923996194,0.6494015291488326,0.6944907569106895,0.24900124400107013,0.2468311246617019,0.6515748950888393,-0.617326739525956,-0.6661065716939907,0.04423901097012558,0.3319259955565263,1.4320876928010258,1.781872273037921,-0.6618289046515804,1.110777565362061,-0.26410001922606646,-0.8036387899643709,-0.854882732958866,1.5730502356630185,-0.6169493722551438,0.4225250613223542,-0.7820483605990859,2.019959361654287,2.049498912743563,-0.6031037443706602,-0.5708864249561418,-0.001831092346892247,-0.3152874840479835,0.6775051647594175,0.828735673306102,-0.4785287508458978,1.9524905147513523,1.1105277507367421,0.25232493752098384,-0.6295993541261515,0.22220809519844326,2.160684729513668,2.115272456379971,1.1936296443407253,0.3901472004011665
SIDM00311,1.1499067182680816,0.48251935496648896,0.5447987316773143,0.11182122054986383,-0.7234958444085249,0.5102474431294666,-0.4807646145470617,-0.7375234883857368,0.5132953485645706,0.08589945360217498,2.338757694612015,1.7098473332189854,-0.7172416337410076,1.1408512642531226,-0.2844104108884494,-0.4161882983943096,0.9198883081195917,1.3593653195542226,-0.4611855257931365,-0.7453538371884136,-0.7563653305445973,1.8896826961927777,2.154206687974875,-0.5754608576763738,-0.48704365733361277,0.8127882750567921,-0.4660973343828472,0.942535290863256,-0.42515462901194845,-0.512969308183406,1.5785594577365645,0.29001810221540564,0.2786114867928451,-0.5654517055931012,-0.4461720528228247,1.4363275006766139,2.967969496653463,-0.8511073983279972,0.38729023043362193
SIDM00970,1.3507311932125972,0.2927011409601079,1.0032059249628758,-0.4620419677363416,-0.780307409634175,0.8955143169693113,-0.9071411571691793,-0.8188668153094398,-0.0411071918593983,0.016143176077876336,0.18932458388962015,1.1479066050809417,-0.5256549411600988,2.0377973060067225,-0.08106132453348147,-0.24522942456046584,-0.8257700904057259,1.0350064504926018,-0.4954641813205074,0.16764458696924706,-0.7469676401919564,1.5480021660770813,2.0836698866468724,-0.25477635394625303,-0.25018499616597295,0.08538813503852238,-0.6567645675008575,0.9291838685627761,0.9057684775182295,-0.46976142432206475,1.2890579677789475,0.3293145122295789,-0.03161233045593163,-0.726887590910297,-0.10697660772984642,0.964283841561531,2.8190670787098924,1.583007419094312,0.8119872597350951
SIDM00103,1.4511064022891142,-0.11479201140650103,0.842042295483723,-0.0009420409975655662,-0.6547130715364519,0.019609299068091418,-0.8709323542503448,-0.8301615576182686,0.2546381519071807,0.0004835080749557808,1.9927127214703348,2.187522886063633,-0.8503776194424709,1.692495608595488,-0.33744940059802536,-0.13112644362035264,-0.719474480860089,1.7208696588265395,-0.44141764371364256,-0.3199136617291577,-0.8560307849383404,1.3916393884940752,2.343809602022163,-0.1605100913713362,0.019129677406904372,0.3180115715028042,-0.5608796842096238,0.7256121625759887,-0.5727059189089252,-0.7236374164487444,1.5912580346491147,0.80055510601947,0.5127562655102603,-0.6500781659550612,-0.21165976123840824,0.5836726921151388,2.9416310920056388,-0.9058538182479098,0.3533626797819316
SIDM00266,0.7427837498526729,-0.19522280359195227,0.7998530910773893,-0.4727299439307586,-0.6946544374414192,0.9111993007529532,1.332916152465452,-0.7949599580361593,0.48453409065528474,-0.1599034263136676,-0.7177109417741888,1.4581978107912916,0.19499029302853177,2.5759797624614174,-0.604682494559172,-0.7688057278597732,3.069962373344754,1.421884080467031,-0.34903552080715455,0.1151396341686013,0.7956082012277523,1.3033679463501235,2.1912185207380555,-0.4149837736893541,-0.20465054875850483,-0.02466244936621206,-0.6844618064062402,0.9126078970805189,0.0441948769722277,-0.576195003003543,1.6647147494627599,0.43598438125523226,0.04184757152494239,-0.6464987273183409,0.19295385076797714,-0.8119503063697466,2.4907638735127424,-0.7989717166732344,0.5203234391390296
SIDM01064,0.8651038677438343,0.314366468197255,1.1271093323880224,-0.6819687123538682,1.4889527258331234,1.139741061167428,-0.8499676609529545,-0.6723008291546219,-0.38390439931453113,0.11853981156144153,-0.7406362445139985,1.2272982263286853,-0.6112167123833706,-0.7509793774513629,-0.7070937817670304,-0.7260827421807278,-0.8311947235069237,1.1257725690972324,-0.6635348310590795,-0.3823909016943919,-0.781771232561669,1.9344409784512715,1.855068768194796,-0.021125039430176577,0.25313698106360166,0.8229557482483115,-0.5881384431654524,0.607367515044863,-0.6332389529558421,-0.09958872918827921,1.8509542624253292,1.0024155733741154,0.08454479367952229,-0.6699381534150972,-0.6008544691382834,0.23388483506035573,2.881343173952386,0.2972462104533855,1.324784881453375
SIDM00098,1.3875517393560706,0.510135825887728,1.105522053320851,0.6298424319898418,-0.7611210294012334,0.47466145476394606,-0.7040249172630424,-0.7402346617074115,-0.1295923200874717,-0.12338898425520059,1.6065276762589817,1.5485310141567536,-0.49406538002145084,1.6140950636714726,-0.40241393688625937,-0.5968940505344221,-0.7459650026746285,1.7985337293991823,-0.2725271112506709,-0.7822293700544648,-0.7211271966771505,1.3068758587456268,2.3533346535005797,-0.4490339789181068,0.016058739893408634,0.03653609140061328,-0.2857234055097085,1.2588280164808132,0.8056280496724859,-0.31863223932408746,1.796453302028577,0.3043844854751119,0.5190362195995532,-0.6525928025015242,-0.20488512814412568,0.6951805928767764,2.3982683497107904,-0.8382583698631063,0.45912016079758144
SIDM00225,1.1051907729656958,0.7095703519573987,0.8348573535582411,-0.47226253101766874,1.8201551078412437,0.879071646217962,-0.8171621954713532,-0.8139608686276619,0.1611539714433391,-0.17368924498095675,1.9513211000255406,1.7404692516920084,-0.49480356863698227,2.0388315196239675,-0.582178591662502,0.01699101096055093,2.6703317502436135,1.273364272885486,0.09258737614341034,-0.37593296330682047,-0.6197827151418858,1.7672558841865322,1.9720925673450305,-0.5332282524417341,-0.2338632487454279,0.660680124400137,-0.6204080570580509,0.9658058274085484,-0.12181491292553724,-0.07876034095545313,1.8397846356450012,0.42574360123698995,-0.11995128887305545,-0.6385881491377443,-0.48018555680674235,1.6807904946918355,1.805070708867808,-0.8833461458571928,0.5101479725257008
SIDM00846,0.6951875006183451,0.7857521884326684,0.8698531163205813,-0.4729979716097495,2.166953370595301,0.705831098423714,-0.7356509393306963,-0.8708293450932588,-0.0319282806931243,0.1361630588670387,1.4142811343457822,1.9108217940200785,-0.8252035873451186,0.07087854832076719,-0.43807267212906403,-0.4094812721382687,-0.6424207522975095,1.1338849989723598,-0.4026644992496174,-0.7589388476329242,-0.8464541133901285,1.8566577901095587,2.0039845495432793,-0.370563754381177,0.15958755471976,0.7104193494220377,-0.5811015847484154,0.8880523683033342,0.012533168671328353,0.1728051751688117,1.689101416942715,0.40456292514070263,-0.18110846234084393,-0.708116123102619,-0.7222425480413407,0.34864633151032565,3.130524928138079,-0.8552838084429766,0.3639110576930663
SIDM00291,1.0154145333144973,0.2981057210658998,0.9796559767371458,-0.7010901879183482,0.9420004143666958,0.9636772611317815,-0.7759404858109082,-0.8142344223529304,0.18902318134034468,0.20516428708917692,-0.3610332761450991,2.2070959434311446,-0.7470275969941947,1.394041590551702,-0.3288546015274794,-0.837620440109404,-0.6593391218077088,1.2604308368381785,0.5535383513653633,-0.11087046888498304,-0.5728487895017766,1.6589398477165531,2.6016268107613807,0.4435949493862394,-0.3756504775626648,0.13501717677836628,-0.5084398361676555,1.3714811290366928,-0.4091080447572872,-0.41557136905533726,1.374692858095759,0.8556571961413694,0.13963726261788265,-0.6285164866523103,-0.2970324566284119,-0.7667439757749097,2.9740459902471432,0.5619050414283527,0.5321205356572491
SIDM00520,1.5161091203354689,0.16466722873874487,0.8454594995210262,0.17015761897142367,-0.6084975171405642,0.17721634025831323,-0.9782685487911118,-0.8166438480560848,-0.14232747529191964,0.013560006457620706,2.1609778293021176,2.2509356617196197,-0.8150014718858104,1.9365871753526132,-0.3585332144231486,-0.6883241569240188,-0.2581287934865288,1.5326932560318176,-0.6401003665854486,-0.5368144346923572,-0.883432541971528,1.5191012332163636,2.288477714351277,0.1876885445511217,-0.6132319784903164,0.48960309720060224,-0.5243050792613837,1.0154610573451306,-0.4484466694749755,-0.5129108660307339,1.533903796599923,0.5000866377405552,0.6389277944342319,-0.5454032879430907,0.22404614981354598,1.859599389739109,2.5422411621911642,-0.7337348324747057,0.26042457304454064
SIDM00003,0.8197722327603156,0.7060601977833633,0.6530757342323101,-0.661709351285879,1.0103184147073712,0.568297621257225,-0.8326724453376524,-0.7175598246026136,-0.41303455798893135,0.07018065728126152,-0.6887046076731956,1.6492847214270816,-0.531643302642984,1.164899253512414,-0.5626779265565784,-0.5977805332165949,0.7063577752681952,1.5988747555684801,0.3879455502697062,-0.36580442658776524,-0.8944473330925411,1.7012680244644953,2.3227833709466115,-0.4439475464793733,-0.2219344226711705,0.3480993206342641,-0.5195021342956749,1.0479214843809905,-0.4346401855588999,-0.1709641255407752,1.6405661255028405,0.46660514256326746,0.04772784325208491,-0.8395882753610525,-0.39161665079690544,-0.046598480563101195,2.6661248089944,-0.8701003068147007,0.7243979395425967
SIDM00136,1.4466032401452813,-0.09184006992874497,0.3315127066929042,-0.3592493371703439,1.2728588985259195,1.0135103333842828,-0.882320773107236,-0.6956781978837625,0.8066710473704616,0.07786900375774598,-0.7074006385770631,1.932521503901632,-0.6242887352692774,0.6948512868562963,-0.1667916294892096,-0.7518964055435265,-0.6551925710479969,1.3220480235434442,-0.40578327368591893,-0.3625193553906259,-0.800706485427591,1.992879827711926,1.9601746556829303,-0.45279983097752174,-0.23087709210319557,0.12916136323724817,-0.6243602593595802,0.6777440110369342,1.5046191902184318,-0.6139667640731927,1.146668931315316,0.6507892655995077,-0.13989183807440542,-0.6279142621485588,-0.32964183143420783,-0.608902311500724,3.013841101271305,1.3598591627312495,0.3851481893824864
SIDM01155,1.2593258331658332,0.3930032760498438,0.8330819657038037,-0.1183927223300892,-0.58936616151768,0.5175215510099777,-0.7829754400087757,-0.8544624768784909,0.6300638211503191,0.0697316035222512,2.2657390710601084,1.5184747269687553,-0.4775339892191885,1.4068359428336112,-0.5945249396285045,0.7081182395235306,0.5367101613234991,1.3366550916262618,-0.6722745604180352,-0.40991705301384807,-0.7833412040262573,1.4341348643508207,2.04681421946008,-0.5651902850415044,-0.34247290604408803,0.3911577241855796,-0.5711970869300372,0.6639495807937909,-0.38283079608336923,-0.5194829540469407,1.6426541226071936,0.48095139700391365,0.34283771389368267,-0.5895563867304924,-0.6844709089925736,1.6367616254209094,2.25261891495447,-0.8589940427036427,0.7064244268194239
SIDM00224,1.2078768440861027,0.2942330250254228,1.0552668213136176,0.5347721481199239,-0.7312152107855576,0.2679026432531028,-0.7832119544178362,-0.7743062384381112,-0.019459422577301284,0.16993918698253993,1.272501837558836,1.8302885707406955,-0.756955120336084,0.8803768223143186,-0.40478138091443594,-0.5709174093550313,-0.8002324867192483,1.3047908376773982,-0.6423518268072397,-0.7070812741410794,-0.9175125707952229,1.005747312417868,2.0821114405291428,-0.40720094169179755,-0.33760702315155244,0.25545479791008546,-0.4210300737781478,0.9962056231830851,0.7627806253357584,-0.6254824800012515,1.4498162501009324,0.5479442443358864,0.5912496645127396,-0.6955091687936358,-0.24466044723230895,-0.7103595474041756,3.3672592531062406,0.9184056304698512,-0.5549538999256374
SIDM00783,1.0671521674781155,-0.07290704225820589,0.6344333396085167,-0.35319037622249505,1.0024670634092965,0.8330509782272281,-0.7978541022658486,-0.6657890422663079,0.3770561284843127,-0.22021396310918273,-0.9192920664146131,0.9346434868007071,-0.49491662303144024,1.5157258169243817,-0.32047247652962707,-0.7839502931352077,-0.859623319248163,1.33974538891998,0.2327973441100427,-0.23531569010504338,-0.4692891745554141,1.5514904306451307,2.080535091795395,-0.23362873697182654,-0.36091804979053277,0.36798806721168625,-0.5852476593539157,1.0470394726123582,0.48199303363836615,-0.5526901690033814,1.2282180204531403,0.3326112379658688,0.01201593424025223,-0.5245711932133622,-0.6745097238533249,-0.6882537307473652,3.2980494197195522,0.7465967347598318,0.5324004850994095
SIDM00490,1.1889361959984937,-0.6016287593201929,0.6034801070486192,-0.19401618306667462,-0.40088116597914825,0.4154799977497072,-0.7581466817024274,-0.7789665840462818,0.9334996676783002,0.1327836896004831,1.5863806157897218,1.6548487226732176,-0.7729278358706293,0.5028296861001972,-0.700193098727579,1.6958689953905066,0.6961922230808469,1.4917886482973903,-0.39188826447826697,-0.46494926395654174,-0.8421762363294013,1.7492183306847096,1.8124026863086533,-0.5866563587138597,-0.43030160339852663,-0.013330155534632565,-0.24583013670927326,0.37147069358327317,-0.4984821698182068,-0.6779512602450266,1.462210399915633,0.4983000834645974,0.02973069855273396,-0.7170139636756816,-0.7161548675480699,1.399784064402782,2.369235472927987,-0.8103071915597027,0.6606740881928407
SIDM01090,0.5365466734662082,0.22368881655372896,0.6563571538723628,-0.6157092042165297,-0.5639739079886108,0.8397798630567113,-0.8784522328583237,-0.6554690815084405,0.20578729248289743,-0.12251591717089358,0.5622495432569377,1.8209788425278808,0.4003940906476079,1.058733995214343,-0.2197861987764995,-0.7704026504725948,1.2900768258893867,1.386649234450303,-0.5699817592802613,-0.03947749389605054,-0.8406767220866027,1.6219592217336218,2.4431497255146004,0.09779529211237258,-0.4334854607548792,0.2747317174774664,-0.7335655248116916,1.1927312589190513,0.6047316990176509,-0.5489133060892625,0.4104861910525509,0.633215366254382,0.5508965412156563,-0.7853434512241632,-0.44887920079053945,-0.7910781853720148,3.558087005114285,-0.7251276135786091,0.5937105943187458
SIDM00394,0.6585246560075073,0.610530567876845,0.40400650063007526,0.3033034021256114,1.5610472143016394,0.5820423472225442,-0.9178179028492276,-0.6104363281255173,0.6167396242166588,0.2191680440514531,-0.7277777995632507,1.6599243725594937,-0.8387872844074186,-0.47237204346891226,-0.5267077154957458,-0.7958088433574537,-0.6691143934568753,1.1669256293804384,-0.542983544405519,-0.16392073603204077,-0.7415102024135619,1.8903093802408155,1.7815196362079202,-0.3896049459743619,-0.7089194650494177,0.6101291663815274,-0.7059087438497308,0.7519158334296585,0.04401040836305958,-0.24021843844769722,1.568544692549214,-0.09583599172821719,-0.16892489142026693,-0.6059514905186655,-0.3061809513790721,2.007255946910981,2.08224386007972,0.06951219271521966,0.6029050484084734
