,CASP9,RAF1,PRKCB,PRKCA,PPP3CC,PPP3R1,SH2D2A,PLA2G3,SPHK1,BAD,PRKCG,PLA2G6,PTK2,PLA2G2E,PLA2G10,NOS3,MAPK11,MAP2K2,PLA2G2A,RAC3,PLA2G4A,PTGS2,PLA2G5,MAPK13,PLA2G12B,MAP2K1,KDR,AKT1,PLA2G2F,AKT2,NRAS,AKT3,CHP2,NFAT5,MAPK3,RAC1,PLA2G1B,MAPK1,MAPKAPK3,PIK3R5,HRAS,NFATC4,MAPK14,MAPK12,NFATC3,MAPKAPK2,KRAS,SPHK2,VEGFA,PXN,PLA2G4E,SRC,PIK3R3,PPP3CB,PPP3CA,PIK3CA,PIK3CB,PIK3CD,PLA2G2C,PLCG1,SHC2,PLA2G2D,PLCG2,PLA2G12A,NFATC2,NFATC1,PIK3CG,PIK3R1,CDC42,PIK3R2,CHP1
SIDM00519,-0.16304697270656243,0.41097071018801634,-0.693256665426057,-0.14177020028773454,0.11411858638168945,0.6006131335263584,-0.6922716616073024,-0.6850179934614118,-0.14321916971815463,1.3580295249854797,-0.7837771690016947,-0.7554360435351557,0.8283135112466042,-0.8433965079575642,-1.0091032468882672,-0.6838417718551728,-0.4275518556801686,1.2117328419628624,-0.908346409006008,0.6351820544066088,-1.0116036917247377,-0.796398457584215,-1.0585534009949649,0.5838466638312486,-0.6626791441003931,1.4682702253736368,0.050364310108164057,-0.3955558339139622,-0.9895476338726719,-0.7032513775795374,1.221839698263148,-0.29600760340522414,-0.8245934981203595,0.8029011509859189,0.5154256853947725,2.769353667407342,-0.8607035765925894,0.20225978087680163,0.20212471987611794,-0.8367236396892249,0.8798485214472693,-0.8210818751642682,0.37111776949571185,0.22566466874088495,0.14223913067863656,0.03608882802909254,1.5419688881072011,-0.6760207120188853,-0.28184129782331313,-0.30615341960460535,-0.915282395936786,-0.22313365013243827,-0.7187735136670106,1.0595067925802728,0.4624333910765997,0.31954704636902964,-0.18112189125699452,-0.5861729564811344,-0.8463618549593636,-0.0034989349945850107,0.6351820544066088,-0.8869410620692143,-0.23385840083667578,0.9829538935460095,-0.756545736040116,-0.7407026394973882,-0.8386561761109992,-0.22309303738012728,-0.25600809403688,-0.07939079386696714,1.6441251892035962
SIDM00917,0.2536338368942526,0.6703226732559828,1.6723657668354104,-0.5834552659254151,1.4073343429485472,0.5031292249178309,0.35875529312041626,-0.7055607273055641,-0.7210758510530345,0.7032882367405254,-0.8209437091275041,-0.6983322727342728,-0.5015917742499891,-0.8268625016050603,-0.9810378849179168,-0.6702079367432965,-0.525953339268432,1.4353305093647586,-0.8391205397817006,-0.07227826244569432,-0.8022800340243171,-0.8534756915549503,-1.0038074211075247,0.47021257552627205,-0.8662341496460776,2.1682208807797045,-0.7450595986170103,-0.44961501627394507,-0.9505741889748194,-0.43991493639764384,1.5502036363871254,-0.53140709085529,-0.8433782154006646,1.509834124016156,0.12581611851856564,2.1032589178303955,-0.8616015082723868,0.7518296918279702,0.6618668071901601,0.4079912195723818,0.5785314872233444,-0.5427612633405228,0.2015353129556218,0.181379694899807,0.7972661786730947,0.22146467986631294,0.6747655177517772,-0.5253829624246691,0.6749611130665547,-0.5163558423755895,-0.6117874873680419,0.6796217501346691,-0.33826179106292537,1.421329490820309,-0.9550305402844965,1.6959402178273975,0.29428175640692444,0.6552993831852555,-0.5902381844032991,-0.02056146040246094,-0.7111083577729086,-0.7835150385827508,2.521525918877269,0.9387272697614286,-0.6339409823117056,-0.6519239209292012,-0.7207299110933022,0.09639864077465503,0.44944808904324823,-0.45814276637380663,1.0619232141102706
SIDM00309,0.3099802629052463,0.7255659061086115,-0.8444723115073255,-0.2444585548068717,0.239530686891279,0.4586945316334438,-0.36895185654664275,-0.6997536519140191,-0.10173658180365215,1.4346878852123166,-0.7892785415681088,-0.698775437850522,0.08441979984102689,-0.8110858275877346,-0.9720171270898533,-0.797474053571878,-0.6920362432120015,1.29693709399388,-0.9554116438070824,1.127406172706436,0.37204762457276763,-0.8701890631582929,-1.045958199149002,-0.6167940378906848,-0.8266731319775593,1.533801591408699,-0.7406971424418982,-0.2912125403265399,-0.9321267724225204,-0.5673413731578653,1.256524659301111,-0.323607853268389,-0.840162665915936,1.2422612697902125,0.5986800821643932,2.5778827866642704,-0.9305593624071036,0.19821987316206793,0.8027957599337081,-0.8541154838838494,1.0882773068400704,-0.8560703161417678,0.027781658176252295,0.16320294456720882,0.7219802571115488,-0.21652299683889295,0.44635764588407606,-0.5735111548704249,-0.2781246700638339,0.11743013424091665,-0.8396045563178794,-0.35902608280166326,-0.5719067588538529,1.1348244033746662,0.7846956195278735,0.9023372519923574,0.4332412209128918,-0.5018997117469767,-0.8320019248002899,0.03367052596493218,0.6434067479086082,-0.7977798730879978,0.08187136456782916,1.70553371557291,-0.8034805451055725,-0.7620115974132645,-0.7952065883643438,-0.33145082133245723,-0.1229129380584758,-0.1603682274832688,1.7579141813487515
SIDM00099,-0.16120780182301667,1.1767266262913327,-0.8126854339693373,-0.13137744725192088,1.139087154857637,0.9383392124847367,-0.8590487110326256,-0.6520919920808488,0.730435235902761,1.2518102860044347,-0.7737446713268549,-0.7387936053109125,0.8544068899536325,-0.6719447568385949,-1.0210522435705907,-0.7031491897666944,-0.6524415497699577,1.6865245406992782,-0.858795850759276,0.7354802762086091,-1.0218854526357262,-1.0144948648567913,-0.9976272469691949,-0.6743050407145389,-0.8568144494221323,1.4524860221399285,-0.8378073463374266,-0.2291313922542609,-0.972993659074612,-0.5616008280392394,1.2061207614674792,0.4590628778438762,-0.8432639551399868,1.4906761880878825,0.6202538847874911,2.5640336413202114,-0.8556420818499619,0.4272251428179874,-0.06528744641455138,-0.8097681129008282,1.0093641595797609,-0.8552614825016744,0.15698173939898816,0.19782956718958974,0.4907166525947159,0.05566081202222961,0.6730085000785737,-0.4857176350760171,0.4060440274154541,0.15777370804916824,-0.8210140128213779,-0.09321407001821022,-0.745840851085465,1.3225179014283042,1.0484953055855488,0.9772417205774084,0.2470462313405816,-0.60403659056009,-0.86124548210325,0.3041178582883408,0.8991220131854462,-0.7504937461532906,-0.4496306432321909,0.43443701066540386,-0.7297280377807519,-0.5712186187752463,-0.7412131459935081,-0.30151261608262947,-0.3063931104141543,-0.29295489699624994,1.5173131678875098
SIDM00276,0.5405277638057181,0.6944907569106895,-0.7890798899543415,-0.40676241488024195,0.14944474233641536,0.7380633156463018,-0.7166571733822165,-0.6799268319117648,-0.30401293681990393,1.2834932020677752,-0.7574964145062062,-0.6837233923198708,0.8291659226218577,-0.9156763157550357,0.3876511881634544,-0.4236450646729623,-0.7072319325125542,1.5730502356630185,-0.8057537278720598,1.320257080883738,-0.6802706896435589,-0.9194690877417911,-1.0456382015192203,1.4914025585674724,-0.8849210300509877,2.019959361654287,-0.74039979022828,0.11933883765264834,-0.9713400771111201,-0.5956790432627415,1.9524905147513523,-0.5519477570600904,-0.8075367709930855,0.46729077348319253,1.1105277507367421,2.537790164982142,-0.9329671401851335,0.3901472004011665,0.8532811690573638,-0.8267639290855728,1.1816656923996194,-0.6704676022637825,0.3161658464418772,-0.0616438838510233,0.5402510445726798,0.15764291399673244,0.6515748950888393,-0.550590107487806,0.04423901097012558,0.21893960583691258,-0.6196206763585796,0.5275392477335129,-0.6488194164256283,0.9749929377434926,1.1017332648282585,0.4020237646019066,0.030209795559018312,-0.5315367247175582,-0.825849163375806,-0.03665739673160678,-0.8931849684240403,-0.80878416615467,-0.028502178643651007,1.0599953897512413,-0.8009237497953396,-0.9062178075717767,-0.8724342233570149,-0.49045962005312094,-0.18699906706649816,-0.4121884693058777,1.8004960987401966
SIDM00311,0.016676397282197126,0.5447987316773143,-0.8105801305761055,0.7056643480085137,0.5372556161210008,0.33983197724746034,-0.8445858844590522,-0.7036655802229366,0.6537605824375601,1.179641852767542,-0.7393564213780424,-0.8051409034030218,0.7677533507212658,-0.8394633264695162,-1.054186096606148,-0.7892409548241577,-0.53551381406055,1.3593653195542226,-0.8547788795453823,1.0092042678574253,0.13027171813925953,-0.43020602098408267,-0.9550506598284961,-0.558065289953534,-0.8069346609114783,1.8896826961927777,-0.7802326394627043,-0.04068572253821361,-0.9974412198044029,-0.6105409974472994,1.5785594577365645,-0.27243689547260147,-0.8158154101321047,1.0653170309099644,0.29001810221540564,2.5336087504973483,-0.8780408538143946,0.38729023043362193,1.0201875235569788,-0.751888574666709,1.1499067182680816,-0.8776166274923565,0.22038630050524832,0.1215856797023061,0.3741323540730578,-0.06818374899480918,0.5102474431294666,-0.6812345633654411,0.5132953485645706,0.12616538773111163,-0.8672145225539768,-0.2006083380364833,-0.677359328236902,1.2093930196224365,0.947465542602499,1.2324268605147033,-0.16744840637044256,-0.5452007531527697,-0.8579385075539958,0.24234045098963491,-0.22817501325306394,-0.8653644261684323,0.22047856944745903,0.9595621741522522,-0.749702553287369,-0.6073710930588813,-0.7787929081177212,-0.1528127154303174,-0.029608362448675183,-0.2815786822959473,0.7540254640885538
SIDM00970,0.47699840145989814,1.0032059249628758,-0.7355939801807603,-0.23316708625249377,0.030852483894811232,0.5069331571714352,-0.4005231317977185,-0.6784045593186835,-0.5895570161768897,0.926248724312014,-0.8510645530002491,-0.7574719229506964,1.3150903179988855,-0.6888230047759513,1.3217577016747517,-0.8593532855708754,-0.7101858439138434,1.0350064504926018,-0.3908837056288941,0.19980267442914598,0.6571301454544184,1.238955745219103,-0.994838682054863,1.1320125379614268,-0.8011085379766891,1.5480021660770813,-0.8978061903654361,-0.10547988580351268,0.4334215230072857,-0.32945864135872244,1.2890579677789475,-0.8508602838977936,-0.7022949505622341,1.3601499438898244,0.3293145122295789,2.70133784532971,-0.8362080727679566,0.8119872597350951,0.9434462201179842,-0.8149726060877294,1.3507311932125972,-0.8292913973608347,0.22025738468349013,-0.283948733105749,0.54216188023287,0.06410846120424746,0.8955143169693113,-0.5219932219807462,-0.0411071918593983,0.11523059556033079,-0.7967784638565522,1.085885571358944,-0.4642723288066422,1.3200824079518878,1.1064490655090542,0.6516507787099076,0.07842511824996666,-0.7197542934563707,-0.8498109810761587,-0.20487850156093684,-0.8370006192797307,-0.848123374276097,0.41264517800793504,1.2699804597788635,-0.6591845002345471,-0.7053407019267107,-0.8051315465966639,0.024174200640533106,-0.0044976200404464785,-0.3230373291454919,1.7144994215516516
SIDM00103,-0.21195830567363155,0.842042295483723,-0.8670659958030608,-0.28424573269653736,1.39866427863796,0.5453880413287697,-0.7423774989536517,-0.645315576779291,1.0113237974228253,1.506035085821319,-0.7682631555429059,-0.6726244867374868,0.4167131649759908,-0.79915342753613,-1.0820791556080098,-0.6093430879671461,-0.6616446450437894,1.7208696588265395,-0.7998276058930084,1.0316353661159339,-0.9942213356313719,-1.0275622997954168,-0.9444389806237633,-0.40427665466322144,-0.8693087562790918,1.3916393884940752,-0.8209480917668106,-0.06847722136698463,-0.9606979439575039,-0.5499446939252121,1.5912580346491147,-0.24893693507670495,-0.7919491553438586,1.5894483937733366,0.80055510601947,2.5729208617833472,-0.8928968330839427,0.3533626797819316,0.9267826167103524,-0.8467818040121766,1.4511064022891142,-0.5451930369162776,0.0013004073611845926,0.15811161940364743,0.333849265286775,0.32565693914018984,0.019609299068091418,-0.6327146618625623,0.2546381519071807,0.05815223553253749,-0.9498515779066433,-0.057982224219576585,-0.8018036490477344,1.1609808763492704,0.931967646087815,0.8649885642906499,-0.012228360223561519,-0.5742533021236681,-0.7861875438867996,-0.1470608013499035,-0.393073193246736,-0.7947851954592112,-0.5946701851889066,0.500807688870367,-0.8243914979942017,-0.7073016849798737,-0.8415395909860525,-0.19631857119045654,-0.28401500007289676,-0.10318863179885122,1.7219521346837794
SIDM00266,0.1439342599588066,0.7998530910773893,2.4447941496261234,-0.4922111936441592,0.059452434153442264,0.7518863505157191,0.15397956235751625,1.7826819544649817,-0.040217909704459126,0.8550364573565588,-0.7934670783701385,-0.7591196404868659,0.6838536770977712,-0.9374146182193293,-0.7518317989959907,-0.8358855079624437,-0.7213032168910508,1.421884080467031,-0.8801709330413998,0.9651475071789204,-0.3083381519564571,-0.88391880953411,-1.018096110526356,0.020916236547061776,-0.9458011921767625,1.3033679463501235,-0.7304475457491217,-0.3555052293772311,-0.9138732875823558,-0.5117967119573102,1.6647147494627599,-0.8347357449295455,-0.8471823115370111,0.8225539262431254,0.43598438125523226,2.423210183355695,-0.836883294058943,0.5203234391390296,0.6060479783352384,-0.8496389728152324,0.7427837498526729,-0.5472135560595207,0.20226953876461828,-0.08669129486398476,0.24565822843564036,-0.387640491999486,0.9111993007529532,-0.6408422478295971,0.48453409065528474,-0.4370233517994328,-0.7870936499375204,-0.3861699825009486,-0.5568906287862644,1.6327421418768657,1.6648138934646912,0.975240071825603,-0.33462897669646635,-0.6595534890448225,-0.8172758917945459,0.12465917458109645,0.14542831781025914,-0.835237241354834,1.042684104369696,1.6893030339626087,-0.7181169584038343,-0.6735704101789105,-0.6325575608303017,-0.043248545248515055,-0.15869170900966262,-0.44868059800330085,1.301229601043689
SIDM01064,-0.1351704207431215,1.1271093323880224,-0.8145439237286827,0.17604218848619743,1.2825025270747707,0.7706577661199161,0.6449617951604016,-0.5925676505631666,-0.5001409307647425,1.1711456279706722,-0.7491547537256324,-0.7122782191068401,-0.6869075951904757,-0.76018020586711,-0.8006073310145412,-0.7148353963249289,-0.4817365671169845,1.1257725690972324,-0.8125914513044605,-0.038295302397666216,1.0999819084382731,-0.9303105823854808,-0.9390141126265353,0.30136442387271595,-0.7970281733185461,1.9344409784512715,-0.6609188829629641,0.12561007301362406,-0.8022317497224494,-0.5099221426094163,1.8509542624253292,-0.4457132286410602,-0.8555506126949551,0.5756187915761554,1.0024155733741154,1.8105522688699511,-0.9008787124480435,1.324784881453375,1.0303001516238934,0.00999373611543667,0.8651038677438343,-0.849907290383355,0.3799612684593851,-0.003268500461773034,0.4729958487755104,-0.13264755447737975,1.139741061167428,-0.5537646951378851,-0.38390439931453113,-0.7302360507039123,-0.7291847804771081,-0.4978691802916767,-0.5222596854068073,1.4965333639248315,1.2064258194788318,1.6317312906782862,0.201441486318639,0.5128280268281551,-0.736715753611964,-0.4206900010717696,-0.6029364535680753,-0.776347159391237,-0.661233852400993,0.774666341696827,-0.5762247744328114,-0.5573720633816219,-0.7788569289509498,0.8846240816513324,-0.10113901006162213,-0.3221179351293593,1.1989393237284054
