,GRM4,PLCB2,ADCY8,ADCY6,TAS2R42,TAS1R2,TAS1R1,TRPM5,ASIC2,PDE1A,CACNA1A,ITPR3,CACNA1B,TAS2R5,ADCY4,GNAT3,GNG13,TAS2R9,TAS1R3,TAS2R1,KCNB1,TAS2R16,SCNN1G,GNB3,PRKX,GNG3,SCNN1B,SCNN1A,TAS2R40,TAS2R39,PRKACA,PRKACB,PRKACG,GNAS,TAS2R38,GNB1,TAS2R8,TAS2R7
SIDM00519,-0.832295228315138,-0.5224688389682631,-0.8197097615542076,-0.3708795690060417,-0.9670134131498975,-0.7799148507306408,-0.7573177017589303,-0.7818576716769622,-0.1809116102044952,-0.8983461665532606,-0.7333729305354163,0.23130577724304688,-0.8056814166878207,-0.887215677437925,-0.7573625113558111,-0.8990855858235108,-0.9432729949006303,-0.9948695624412573,-0.5020756073439141,-0.9926801343655838,-0.5635646552129906,-1.0238614134546105,-0.952381603148149,-0.4892985783965478,0.009070405730790947,-0.9445222712290533,-0.87183544032013,-0.10402675387481757,-0.9120002947269591,-0.9060732496680826,-0.6642417916566798,-0.19396801661267524,-0.7547095192082567,3.0824770249581417,-0.8953221311315769,1.6767094345192193,-0.8773603112659191,-0.8006739026588101
SIDM00917,-0.8166551606419762,-0.7484199006984038,-0.736023673057336,-0.42718424679709555,-0.9152320142198341,-0.8027843113952157,-0.8163328068565109,-0.8592365693829498,-0.7555946545919956,-0.8532264971026253,-0.17976425834833118,0.2803950818865365,-0.783811224491228,-0.9751472743166045,-0.6176678574062296,-0.8092809916711982,-0.8693711812675927,-0.944531694340508,-0.4968676928398328,-1.0147168138376226,-0.9722408158860334,-1.089091443860027,-0.9803344551141198,-0.8402210741019381,-0.0030871924810914725,-0.8975260202188269,-0.8783591738747591,-0.5484362606123824,-0.7911602452328088,-0.7870118820920082,-0.6980003707464469,-0.7685558875984023,-0.7451376266929471,2.997911791706883,-0.7829525844354099,2.0434620380942095,-1.0611984179740117,-0.844373914933588
SIDM00309,-0.8333751896529114,-0.8288201783708491,-0.8095859802542961,-0.4091885176566541,-0.90106119286845,-0.7596034502923464,-0.7352438961945442,-0.7401308588772945,-0.6097403796962585,-0.35357728662449595,-0.7982499460586311,-0.060644982753957216,-0.7694471634651882,-0.7989515510135985,-0.7225668182173891,-1.0257589165294934,-0.9129610426102999,-0.9543862827928815,-0.6179607956524217,-0.9467109631819205,0.00895935787089237,-1.0292577609575455,-0.9917917074469573,-0.7372136887547557,-0.3506946920234881,-0.9730098925253733,-0.8112545383394417,0.06101356071612057,-0.8399839400478715,-0.93169817016975,-0.6548918264125425,-0.32250331188668446,-0.796842937710926,3.23694400189608,-0.9409179765508084,2.081511233455767,-0.928877145028002,-0.9441546531255096
SIDM00099,-0.8131128067663125,-0.828473055770185,-0.6498613700267414,-0.2576992610259169,-0.8768361739129752,-0.7995015224673286,-0.820877391932641,-0.8708831429356594,-0.47082518093780984,-0.8043882964841854,-0.7121380004897893,0.4071124894127082,-0.8255007327581445,-0.5804058721484082,-0.9230177894996229,-0.8268398718664064,-0.8985293478657369,-1.054067703145802,-0.59901856624918,-1.0312776620116537,-0.8756545416968321,-1.038054245589298,-1.033572728121778,-0.2701776242131243,0.24545625125314027,-0.7964434987133487,-0.9456465111199589,-0.5901398957432475,-0.8398466031342058,-0.7048307053381854,-0.5869944303847916,0.12689241603057716,-0.7381890646027427,3.400105283773008,-0.9556837464278828,1.7386753001466655,-0.9503697554959426,-0.761534790440639
SIDM00276,-0.841400557124045,-0.8201330135193009,-0.787935756460015,-0.3121261130971343,-1.0090572927456636,-0.7623741448551303,-0.8374912909334818,-0.6002968901471114,-0.7270367069899973,-0.9450031496081194,-0.770335393690034,0.5243242550444455,-0.7326227801023298,-0.8867178192007634,-0.6108730396463931,-0.8464917832341321,-0.9448099909794317,-0.9830399949293568,-0.6231756040848735,-1.1178254606970495,-0.9852980936048309,-1.0013924407735466,-0.9505678885502187,-0.8350497277664558,-0.13406283809776876,-1.0073611393735669,-0.7662232203014292,1.2451785682227836,-0.8763240034263805,-0.937892879326093,-0.726402678006925,-0.18959251099276647,-0.7414626369710949,3.3563369398163165,-0.9122501097279455,2.1136504269943748,-0.9856753386821485,-0.727303096541431
SIDM00311,-0.8103246076235681,-0.8575282564558809,-0.8338650298806419,-0.17004751774736446,-0.835555425255491,-0.6825336436335068,-0.824160741732785,-0.8609872151628561,-0.8048618011599377,-0.7314493322153746,-0.4887904722846012,-0.14954882203939818,-0.8561930527116695,-0.766953627506101,-0.8024440377522937,-0.8232973718994617,-0.9281930392940081,-0.9361975946144449,-0.5415423068707258,-1.0741788605293674,-0.9539374011227573,-0.9670615532315382,-0.9375964416433402,-0.523477481987909,-0.43949852066979184,-0.9679327454719381,-0.8446245498215246,-0.5683555180902452,-0.8595989983833755,-0.9544587469488677,-0.5088950164142347,-0.11699589132220085,-0.7612137915489496,3.3097942154221136,-0.8014945523788447,1.9898857070471958,-1.0216330308539738,-0.7142031029044633
SIDM00970,-0.7948958347892324,-0.8729264863234977,-0.6906937174444193,0.0016497048016924222,-0.9635769996844019,-0.8499223286273249,-0.9090102658796743,-0.9258015596998089,-0.6810730793351234,-0.8183429852974828,-0.743923029527322,0.0232715350514139,-0.7558333365872155,-0.8385987846831588,-0.7460463355224911,-0.8471450810312606,-0.8745133998152561,-0.992413800495176,-0.5472807911027142,-1.0166050197877998,-0.9458651485958808,-1.0086243722807555,-0.3061295071486164,-0.5228705344585549,-0.0036272333850462333,-1.0207270548415022,-0.1497822877707165,0.4370062369400218,-0.7589434327349953,-0.8216145252150339,-0.6435096983966702,-0.02148999828132397,-0.8275878392458749,3.230436858915878,-0.9850373713837393,2.0142693951151114,-0.9367181348964477,-0.6879423427856319
SIDM00103,-0.8532157390661246,-0.7878343911565672,-0.7545610996114599,-0.4929876868343497,-0.7759175235149692,-0.829903947265982,-0.8000053664002389,-0.8929806919938578,-0.763588429288129,-0.4392113582721652,-0.7076588731594482,0.6363394407494628,-0.7782412899554636,-0.7194907555294774,-0.8249554116357566,-0.8587697972368865,-0.9075815386864003,-0.8446871742230351,-0.533457680357338,-0.9112989484865636,-0.22997705009276007,-0.9710009450530701,-0.9563889091369121,-0.7923336228077821,-0.141904177810424,-1.0022725906293724,-0.8413812406311925,-0.5249360441398966,-0.849319411996227,-0.788482503869676,-0.5592154262132353,0.319056458936254,-0.7280524335108798,3.2486743295430394,-0.8189602598467691,1.6718623674235737,-0.9058802144480117,-0.5827413465548208
SIDM00266,-0.7231450878562093,-0.8498200598777886,-0.8383722459025567,-0.269054779103005,-0.8462769845097831,-0.8014162957338016,-0.851076497272212,-0.7731388622076403,-0.2748903558058313,0.46780834189135856,-0.6118404007079492,-0.1795405296831473,-0.7665826307485886,-0.8921930596217389,-0.7790981750231987,-0.8677385396562133,-0.8015077674767426,-1.019770397316528,-0.4901002210917338,-1.0599742531700536,-0.9169781796248546,-1.055617540568926,-0.046075069523799944,-0.27871502711880836,0.33201053192936386,-0.9060983097996916,-0.7224493022248684,-0.5353581131814308,-0.8023400282755244,-0.9176517568580768,-0.7803909825069223,0.36874910338888944,-0.8099666108176443,3.306362028489332,-0.8724148071925086,2.0897796667215527,-0.9688726187546245,-0.605595831804221
SIDM01064,-0.790131792089345,-0.8419211342160129,-0.7328274176960781,-0.66266757633644,-0.900659786095733,-0.8481418308719962,-0.6814336517250189,-0.8608989329766803,-0.6661438091415314,-0.7796696184507781,-0.650489923661775,0.1407450704668801,-0.8005670154639666,-0.5798429207655489,-0.27055712673893534,-0.8573820231994974,-0.8572647963293349,-0.9447861190538324,-0.5934960405287208,-0.906400015419072,-0.9788320874343015,-0.9990696100476503,-0.9777660448744544,-0.8572844059694998,0.1056745475013724,-0.9420958845858997,-0.7836908847156974,-0.5013201870139503,-0.7298930088476692,-0.9371281539133178,-0.5473229927479505,0.07765749165441556,-0.6808190530892965,2.595688350816121,-0.8769219200595568,2.163290170288766,-0.9801472261339648,-0.7538698474027592
