,RPE,UGT2B28,CRYL1,UGDH,UGT2A1,GUSB,DCXR,DHDH,UGT2B11,UGP2,XYLB,UGT2B10,UGT2B7,UGT2B4,UGT2A3,UGT2B17,UGT2B15
SIDM00519,0.9845520155610207,-0.82031647201751,0.8522124784934338,0.711481257646751,-0.9042632837709682,2.0984424754996764,1.2288182040621396,-0.7651820075047407,-0.9668374874718498,3.138661816830269,-0.7673102728883157,-0.8136425030719703,-0.7881922421034362,-0.9822907899181706,-0.9755920119544125,-1.0507368802864394,-0.8346090656911848
SIDM00917,0.8265984863473642,-0.8003932286815031,-0.15905775864350385,0.8176659512758493,-0.8555782531987597,1.9841508690064054,1.461486635229602,-0.7959566626401283,-1.0244361502091766,2.6431043132575684,-0.7646384807303893,-0.830892609094296,-0.7401498117258457,-0.9102517800415708,-0.9296821275975992,0.1910455290305892,-0.7194089580653549
SIDM00309,1.0061754541783974,-0.8070125815292547,0.8566414944265878,1.045729202842332,-0.881424689446013,2.0429822207105683,1.6492584386571283,-0.7377255737790477,-0.9345691724377109,3.418205849547397,-0.6976222673990853,-0.9799512328916787,-0.8086807680226303,-0.9434718914778469,-0.9423795121048735,-1.0158685466878936,-0.9107215858057593
SIDM00099,1.1584298979975782,-0.7239348108304712,0.4849017456499308,1.1734807870878137,-0.7894889988141145,1.8886265194174343,1.0377746654085926,-0.6087276173195154,-0.9503559895003176,2.746765709712492,-0.819895887965384,-0.9314442936494274,-0.6452563150686119,-0.9512975048674717,-0.9172709158309721,-1.0250560029306743,-0.8647849849280048
SIDM00276,1.009108637573833,-0.683542219825438,0.5819506102015714,1.8547868228309636,-0.8626312100008882,2.2650178888030843,1.510332477808936,-0.4468192138460186,-0.9824906556451823,2.7158680276510765,-0.6596929940271803,-0.843052717652555,-0.7897514042333919,-0.9935646626331794,-0.9703098908795459,-1.0612419988128055,-0.827480726584247
SIDM00311,1.0688364527808893,-0.7655543728869196,-0.28482841554009114,1.4745833711961833,-0.8083436238400878,1.7542827524438147,1.5727651166904764,-0.7627772002499692,-0.9382193360420664,2.790587599143513,-0.6640821880973279,-0.8803820812056731,-0.9030402014050612,-1.0316916503671039,-0.9212547752531339,-1.0604807042078208,-0.896525161195093
SIDM00970,1.0222320319895857,-0.8381245557622392,0.3221487069400718,1.8280704069762521,-0.8144136820398553,2.239763696414414,1.9531268014207033,-0.4817332788345888,-1.0083395456659905,2.6160742971262407,-0.666865714473999,-0.8420200451141695,-0.7555930864907768,-0.98687876025118,-0.9002148254246108,-1.0126214878689273,-0.8567025082469868
SIDM00103,1.2570089164183362,-0.8014826063347923,0.8747629139470894,1.3346697800839635,-0.8394946533168942,1.8820308612475356,1.1445714773031683,-0.6594602720189038,-0.8721697320264769,2.6224569682036125,-0.7420409421156109,-0.8962325681924299,-0.8326916053243125,-0.9934736543805543,-0.956050263172138,-1.0328781822069153,-0.8569153754104231
SIDM00266,0.9842973347881515,-0.7930657289755331,0.7887054605323157,1.1746664093102366,-0.8501808671803883,1.9758662638261915,1.0512436010365511,-0.5397362635450274,-0.9567034788102454,2.535986011650079,-0.7856124605187533,-0.8543325455427438,-0.7795239061140025,-0.9804455810288456,-0.9637016174958742,-1.0362888754175024,-1.0503499681557618
SIDM01064,0.7885163039118307,-0.7914102568807918,0.9418070942979118,0.5485734931500257,-0.7727916312462797,1.9242031597156506,0.7870540893049309,-0.7498285441080532,-0.7362692051402573,2.7839092049364838,-0.6619281278908163,-0.8199123305446021,-0.7411651663062993,-0.9213748659044738,-0.8814729325127854,-0.9748527805476254,-0.7599006955685264
