,MNX1,NEUROG3,GCK,HHEX,HES1,MAFA,PAX6,SLC2A2,BHLHA15,HNF1B,HNF4G,NKX6-1,HNF1A,FOXA3,HNF4A,NKX2-2,ONECUT1,FOXA2,PAX4,PDX1,IAPP,NR5A2,PKLR
SIDM00519,-0.05599756933189944,-0.8006404701312666,-0.851856790810811,-0.7187500092961613,0.17413663101403445,-0.8780583316806345,-0.7488516890195922,-0.8538675353853221,-0.8937691250745107,-0.8455029412666638,-0.7588612350123243,-0.8215933807247929,-0.7883233709227291,-0.9966273191827919,-0.874275950812375,-0.7552575425583631,-0.7138070919711491,-0.8126272417910767,-0.7767539684605698,-0.7220192702788666,-0.9820192213727439,-0.9215566333106662,-0.776407906036647
SIDM00917,2.3206786477717336,-0.8782262323031823,-0.9308760474518427,1.155135996617862,-0.02486503689973282,-0.9072963751386781,-0.7399553059036473,-0.8619959751669786,-0.9036846877378367,0.15415309107290842,-0.3513103488192246,-0.7570436864936628,-0.6918218366033871,-0.6045212100891575,-0.79883751840736,-0.7438043754929791,-0.7757357976801011,0.35964866607110163,-0.7802597027668134,-0.18821128744475737,-0.9568004226310824,-0.8435585460528434,-0.7749853803013764
SIDM00309,0.20344102447517382,-0.8012339993527088,-0.8654967979506697,0.13120903361015632,-0.04303797532866482,-0.9468149573332163,-0.48961052117590664,-0.9030674474978515,-0.9917689915644982,-0.9526822130737886,-0.727769946891405,-0.8992807277919154,-0.8132745449841127,-0.8762137444855032,-0.8591807566814548,-0.7727177621881356,-0.771597844620423,-0.8455179687087744,-0.8528913557017389,-0.6661872175859731,-0.9521019676400108,-0.8942842822178394,-0.7836999865545959
SIDM00099,-0.5870951824272697,-0.7991658218162189,-0.9140020422628103,-0.5397250179744421,-0.2640390219965576,-0.8569487965669835,-0.35048873519975965,-0.8289922890681458,-0.9451441922883344,-0.8871812724502,-0.8203866532478211,-0.8831383654120818,-0.7812629753461627,-0.8909127665289672,-0.8165999784024663,-0.7631697054479782,-0.7038544705483885,-0.7954747913048934,-0.837483485350972,-0.6238876155789873,-0.9214766906671318,-0.8537137413227804,-0.7419947159271147
SIDM00276,0.2082911025131922,-0.8044196281338798,-0.870078532919965,1.1907561453007973,0.11190688631237447,-0.858811750187261,0.0666044417989585,-0.8065205228375634,-0.9661183860780588,-0.6481271123190285,-0.6197295671770106,-0.6420905415605532,-0.7914646791768596,-1.000757169631492,-0.8674783093719786,-0.7746572838949615,-0.7289563581185843,-0.7327609294007703,-0.8561674247731397,-0.665140934777805,-0.9536597105687513,-0.8813892236474751,-0.7843056258198139
SIDM00311,0.09108882504131656,-0.8852495592692692,-0.8608042374066757,0.7854155590922252,-0.07547180872320157,-0.813132551926247,0.18315553765147,-0.8304186337846439,-0.9024606258759875,-0.8972290875836639,-0.75781659158322,-0.7695552442261173,-0.7513135178266709,-0.8774465031646042,-0.8118233820728542,-0.7048478852047801,-0.5758253598089884,-0.769216228401402,-0.8264563333595789,-0.7290079979535151,-0.9393073093514637,-0.8640357058860821,-0.8123729671874719
SIDM00970,0.4309295033659848,-0.9079244105708016,-0.8127138879874172,-0.9651016668611435,0.5704236795939113,-0.901545836482666,-0.7646721336372952,-0.8477852873104806,-0.9479851349354284,-0.3237426801768155,-0.788877283843948,-0.7553603114373317,-0.804899485756047,-0.9186502857831607,-0.816107553597766,-0.6601545586352747,-0.597298655649938,-0.8356841376672336,-0.9071055040182883,-0.6065037639351785,-0.9295055946952383,-0.8567449068251096,-0.8650316453786014
SIDM00103,-0.6203170056517222,-0.7805009594095582,-0.8472998312581437,-0.5252269030388881,-0.552902997644895,-0.7984028069319677,0.2465715257165883,-0.8366203656247734,-0.9020974468383495,-0.8268008420335243,-0.8212562001314496,-0.7446172074949347,-0.7579712853166699,-0.9806864506038389,-0.7564679886445105,-0.7030192377863107,-0.6157128394935386,-0.7627914536899689,-0.8870573650677486,-0.6896112994419925,-0.9691028485643461,-0.8652159290170348,-0.8341732326940375
SIDM00266,1.0306816444538471,-0.8591448337548927,-0.9203336529953521,0.12726919029817102,0.6975507468090809,-0.8261391633183031,0.6750459786369444,-0.8914598951102074,-0.9061746116800478,-0.9021598530679851,-0.6743783249453077,-0.15146889728769344,-0.7495044760510843,-0.9432258518287896,-0.7820405732583019,0.42061174603875834,-0.773270885619844,-0.7885729557216951,-0.8308289271664003,-0.7022095390132713,-0.9485049962462806,-0.8693755700643107,-0.7518317989959907
SIDM01064,0.5167288530869008,-0.8041296265382766,-0.9352146283943806,-0.940018215664064,-0.2960541502305347,-0.8826864762349639,-0.759323951834512,-0.8350258624893944,-0.978228412011412,-0.9610715173882558,-0.8080732762894748,-0.6359592902394574,-0.7454377434964543,-0.0689388618939073,-0.7866515051747284,-0.7108948622631012,-0.6759754472155178,-0.8253713705177194,-0.8653076158209778,-0.514580560960206,-0.9032980420545528,0.023862773979102206,-0.7626777218484814
