,HLA-DOA,HLA-DOB,CD80,CD86,CD28,IFNA5,IFNA4,IFNA2,TSHR,TSHB,HLA-C,HLA-B,HLA-DMB,HLA-A,HLA-G,TG,CGA,IFNA21,IFNA6,IFNA7,PRF1,IFNA8,IFNA10,IFNA14,GZMB,IFNA16,TPO,IL10,CTLA4,HLA-DRB5,HLA-F,HLA-E,IL2,CD40LG,HLA-DPA1,CD40,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,FAS,FASLG,IL4,IL5,HLA-DRB1,HLA-DRA
SIDM00519,-0.759487187615111,-0.8995066411033797,-0.8773960331696109,-0.8494147967707412,-0.9311927655030178,-0.9545172274613523,-1.0129931015747884,-1.0039804812469049,-0.9314295175233378,-0.7867816217698839,0.10087621872552131,3.187525623381969,-0.6528306856265902,0.2917932877761825,-0.7405098487993936,-0.8432059676010653,-0.5828995167883609,-0.8521458703408168,-0.934189271756039,-0.8809774858524404,-0.78224999423855,-0.7783965622126561,-1.014608444281772,-0.7443906954699843,-0.8682762410128446,-1.005563280054395,-0.8395456622369588,-0.8536327205195777,-0.8917641008859385,-1.0386262726376774,-0.11745663116171481,1.8938241351479466,-0.9240046300844071,-0.8809258530671084,-0.14036690293772516,0.7556309314959715,-0.6835902490495037,-0.8552762103619947,-0.8500095596348652,-0.9122944676291965,1.426481890672693,-0.7823200060139647,-0.9271930406874138,-0.8675141182544702,-0.28720554554339617,-0.906367164563807
SIDM00917,0.34617692899567964,0.12764982889070794,1.826736739893343,2.2939909671583387,-0.6433808897176444,-0.9846807475030495,-0.9034954879655271,-0.1912172530333991,-0.9035639409486912,-0.6979674911811066,1.4991358427298656,3.6663476765561325,0.9145743162847568,0.41087511245564706,-0.4421501975428262,-0.8697453117848848,-0.48703714223224237,-0.9271066337250823,-0.7472278565975979,-0.9501366300578844,-0.7347480535519665,-0.6430285373891311,-0.8520899851215884,-0.579628723323272,-0.9005710954226578,-0.9860393778203127,-0.7904351993394199,-0.8572141517941781,-0.9234676630322638,2.564093744552317,0.9128778657408331,2.4692638527606587,-0.8903612096981379,-0.7726088462316814,3.5048573757347694,3.0185796191821663,0.42175124772919653,2.8754514899834267,-0.6888859523753298,0.4211067066924665,2.5215052797383217,-0.8068097076991405,-0.7488772612517122,-0.8178315766669182,1.9781012486340996,3.494590086395887
SIDM00309,-0.7349895016732227,-0.8650262547556056,-0.8756893981451909,-0.8970896840721696,-0.9736594079017136,-0.9764532022570535,-0.786920370637195,-0.9890018209755258,-0.8689521279864082,-0.6980773047036353,0.6130801415639899,3.214183508295408,-0.702628022902575,0.45833903870003895,-0.7355329370315681,-0.9395159063306374,-0.6871652219207877,-0.9160398720931994,-0.7874953443645246,-0.9250245024213454,-0.7561218218574102,-0.6846273300573748,-0.9332687143000141,-0.6637140629338979,-0.837143629849791,-0.9126444980590723,-0.8832859217620668,-0.8284773833065676,-0.8899182864497048,-0.960016427006162,-0.19134190533736564,1.742302695727907,-0.8973873176543059,-0.7930068416082126,-0.31685623071890795,-0.09459870333919498,-0.820810202798485,-0.8822903017517721,-0.8334600041818734,-0.7269201019206271,0.9070731447325172,-0.8104885493395886,-0.9816497481095143,-0.7537781344851271,-0.2404282112448008,-0.7582596087680119
SIDM00099,-0.7591319998223833,-0.8509585785792771,-0.9153341784676792,-0.8352389370433234,-0.9910990043675716,-0.9314825197041255,-0.765466022188897,-0.839476962741347,-0.9338392483759309,-0.600468923574886,-0.3079279357089392,1.3362267561079113,-0.6384798976138358,-0.25139688400941435,-0.8202349040241574,-0.8298896469114341,-0.5344291493247629,-0.8483775017250621,-0.8748401624059226,-0.8642024137798934,-0.8334746813290703,-0.7194479493262311,-0.9689928714425293,-0.6168004833558962,-0.8859563555130472,-1.0013842105084956,-0.7359190782155838,-0.8578138576088669,-0.8926485723067067,-0.8855662207886726,-0.6987640886749437,1.6973635217737335,-0.8355179391865548,-0.826034249357654,-0.6696810121536299,-0.7347886175356101,-0.8052691501803051,-0.8360266712271515,-0.7175044414193924,-0.9120635014572644,0.930903134078281,-0.9146445239494626,-0.9004948197222211,-0.8250072987568752,-0.347542825813449,-0.8855155724255507
SIDM00276,-0.759468284672014,-0.2016403598949984,-0.8830804637983855,-0.888641716585704,-0.9223655621736347,-0.9825985233488319,-0.9167971715193116,-0.9873527477870035,-0.8755447240781133,-0.7084046861011108,0.5194126399542155,3.0843788911716468,-0.45326220425159125,0.29573848814796166,-0.7481770720729634,-0.8673431163856963,-0.7054517636609549,-0.809077285411035,-0.9158989527804375,-0.9047895635859892,-0.8010180112043774,-0.6948294171203327,-1.0397376885474026,-0.6801464845557731,-0.9041189937956847,-1.0220052669089603,-0.7931258390160667,-0.7896059243898568,-0.8871720862337114,-0.9916581306334903,-0.3431963101276266,1.8079058088730555,-0.853053712366457,-0.7708399116371276,0.2515226328457574,0.5995141011266852,-0.6126236524364589,-0.896588229704589,-0.7795969948078352,-0.7637220139450531,-0.04318668410329701,-0.8148084170734019,-0.9522851726014916,-0.9002127589764983,-0.42318176084016773,-0.8612612736173961
SIDM00311,-0.8078909537741438,-0.9008898153248025,-0.9333903376864,-0.8897458545697337,-0.9411540743837576,-0.9430374891017629,-0.7182755826109317,-0.8524077813194925,-0.8275826938231534,-0.7110599357195975,0.7097756397736831,3.3890163809674654,-0.7143681679650374,0.6301123685812894,-0.686297610704079,-0.8888031467265435,-0.8122152094908669,-0.8512110830222311,-0.8368740494826495,-0.8840334802052052,-0.7987195447794959,-0.7421597812625467,-0.9829654201076409,-0.7050104279154906,-0.8703540484362817,-0.9090494889245361,-0.8681346566818123,-0.7882661454750398,-0.8336979849720685,-0.9068704989248833,-0.07759214012071514,2.0609499708310124,-0.8947551983743558,-0.8211018253688963,-0.26491364605303597,1.1005456651389136,-0.6971919202266059,-0.8367602643151758,-0.8443897017756382,-0.7821481246194653,0.36575852301577094,-0.7443431153920639,-0.866873692571956,-0.8322675174813061,-0.5868674423644858,-0.8604028326316883
SIDM00970,-0.7738828000186729,-0.8644795362332542,-0.8623098708920847,-0.7858965953472125,-0.9345641858074027,-0.950460404113569,-0.8086353560648755,-0.9628458212461521,-0.8314669052323612,-0.7392294128995721,-0.07375931608414199,2.2606561659210125,-0.46547376106870697,-0.07781346723921073,-0.8439017854416965,-0.8765156442539854,-0.8696361529619321,-0.9285609017144162,-0.8686470096722771,-0.8993150702671108,-0.7715658445194866,-0.5363557712034847,-0.9252176392017352,-0.8112331965919161,-0.8359706205057077,-0.9003975499844092,-0.893316596528636,-0.8775637011727477,-0.9350395677986156,-0.8755449884900229,-0.5735949976064759,1.387628358318968,-0.9685678471241579,-0.8554872832435594,-0.2908684676498212,0.3478553319942334,-0.8010047431387585,-0.8481901017126019,-0.852247864580324,-0.7245226127527773,-0.3874832023965425,-0.8365462245567281,-0.8563244637310119,-0.8738129336902587,-0.44943125610196627,-0.7502764860897346
SIDM00103,-0.7458778443958731,-0.8746732181425017,-0.8787626600903105,-0.849583314479646,-0.9285399505055926,-0.957865194267097,-0.877539704681847,-0.9658273185517992,-0.8281416326566475,-0.59780086441676,0.6718124363882514,3.2166080832566806,-0.6158311292088278,0.8174712922398781,-0.6912647615748149,-0.8741368958633874,-0.6242283564815967,-0.8664884361914473,-0.739806507655852,-0.892657891155546,-0.8664910255045645,-0.6929126982956768,-0.9216055554093888,-0.763702385209971,-0.7523639141810545,-0.8888302497889217,-0.8446580881905329,-0.8873494022381585,-0.8611193003398795,-0.913591553549024,-0.5402776651666361,2.239664566829769,-0.946801039619253,-0.7901236509869108,-0.014606005088172187,0.42989452965257147,-0.43747900117128874,-0.8705528104410781,-0.714399399536755,-0.8214621981494243,0.8964305047705046,-0.7783009211564911,-0.8332045865226951,-0.8206538940805392,-0.3324986756890726,-0.9028877008665502
SIDM00266,-0.6614686722720333,-0.8273876326163914,-0.8951051895649392,-0.7784463507029376,-0.9507617311332528,-0.9923470920742694,-0.8129946085672685,-0.8798001759838683,-0.8941479100425498,-0.721875335377528,-0.14377543901388148,2.269403907977295,-0.5495218626620307,0.12995319763612048,-0.794555972592737,-0.8902539993044308,-0.6831765508508185,-0.8746654531784199,-0.87606911962658,-0.9137514337276893,-0.7480232316149349,-0.5265917579278834,-0.7866057380276715,-0.7153788230482185,-0.8524911983122689,-1.0558918364766967,-0.8056907530149248,-0.8662196745749828,-0.9317483641058454,-0.8695237638441671,-0.730954635279651,1.13524007771094,-0.9394326481390457,-0.8448909171229004,0.3645437775747787,0.906066289592875,-0.37230222210173347,-0.9272710252616172,-0.7070607866133303,-0.8111739066562624,0.3025587382148227,-0.7825221958441149,-0.8215947046643177,-0.785609961393071,-0.35737153835192254,-0.8858743292050493
SIDM01064,0.26198006825270514,-0.680158197205942,0.35024018260585893,1.9345792136160118,-0.8958202328794158,-0.8798472352642068,-0.7597015631410159,-0.8925987486119213,-0.8663283453805807,-0.658100149299624,2.084415258299299,3.4034288725146906,1.1949111794702933,0.6787109632888305,-0.6721752179475249,-0.6912379739904316,-0.15501287440660094,-0.8537455885241033,-0.8428301898563473,-0.8879849273672796,1.8249678833069867,-0.7391270942505996,-0.9639943186570036,-0.6984660886578938,-0.8365803942263734,-0.9253239990831639,-0.7326247118790143,-0.7432726821938074,-0.879193821097628,2.5597213838742223,0.2266160600755611,1.7336106290850721,-0.9395830653140689,-0.7689878989113619,3.591794618345647,1.5576623811316819,1.419922603441871,3.169894136401991,-0.7081885708248863,0.9082229504652144,2.2598797043841197,-0.8084632995821914,-0.5609866696001622,-0.7421805862317838,2.5233771458313368,3.410092265365584
