,CHST2,B3GNT2,CHST1,B4GALT1,B3GNT7,ST3GAL2,B4GALT3,ST3GAL1,B4GALT2,B4GALT4,CHST4,ST3GAL3,FUT8,CHST6
SIDM00519,-0.4001289421233521,1.482344896419938,-0.9191774613706066,-0.3570816542236682,-0.625533893510952,-0.6053577462317702,1.3941383898555113,0.24970519852152692,0.3668430836596042,0.4717178330904339,-0.6089257311603666,-0.7750699875455663,0.7267851588731871,-1.010761917657877
SIDM00917,0.38156539722593524,2.3337567926171374,-0.9178943100788667,-0.4069326756790907,-0.6157170284170256,0.6107114103918635,1.3137359961151716,-0.3001396963123799,0.04864245912098151,0.45474597343254664,-0.7878171957540936,-0.5829766866976548,0.6732717640999998,-0.9485612887699666
SIDM00309,-0.7785218800396395,1.5320378591005905,-0.9523579259421889,-0.4996110138969836,-0.7074242549259144,-0.4106421691700134,0.7626640352559975,-0.478038974634223,0.7582036103155168,1.612603201025771,-0.6536182152996597,-0.6641860093325918,0.5837105895762709,-0.9139953751341509
SIDM00099,-0.1993192774602026,0.7366777950786415,-0.9066483308584712,-0.5079507573765537,-0.6566576207818441,-0.5296572244164625,1.3264082193563795,0.06444188213508938,1.1499582950577403,1.5607768236407549,-0.879991628747979,-0.5048403660672464,0.4306954705553648,-0.9753548086988121
SIDM00276,-0.8289514480460686,1.1368740455727249,-0.9394769522933096,-0.37228751539032306,-0.44699373247829616,-0.5352499440248611,1.4439342072579426,0.20065693552165595,0.8530873465250995,0.8588005723566016,-0.6567754016669339,-0.7457739117474702,1.4106391763930106,-0.9729092449169517
SIDM00311,-0.4300492657913039,0.42876431636451,-0.8740830731846257,-0.31185116878864194,-0.6980778493345927,0.005140792885034629,0.932121395726278,-0.2648895634550316,0.8089105905804903,1.3674773703742706,-0.8662820708007285,-0.7032748618446872,1.5216535799444773,-0.9563919580022816
SIDM00970,-0.8787542752576329,1.1140105451104265,-1.0242398726857262,-0.34908008634370985,-0.7863442570760895,-0.5503244293884723,1.2743894580271045,1.3070811867320087,0.7452848895805091,0.8896744431095928,-0.7922004503304199,-0.858116465618126,0.7709475987498687,-0.8582320423286508
SIDM00103,-0.7607945137836047,0.6016834101001154,-0.8826384942500396,-0.3284305822145648,-0.8196299650724611,-0.46843938145256364,1.2641363772259575,-0.23259425943431555,0.9339730003097616,0.9338805309761501,-0.7833016469935286,-0.4977083673363359,0.5408525397788263,-0.9174070025062263
SIDM00266,-0.6457980591904526,0.7730679240151024,-0.8580447391389723,-0.5906293265535952,-0.8163933632924731,-0.5149397702298895,1.4341727234018273,-0.2913049598486608,0.7411202508217538,0.14823415458825429,-0.792530781194787,-0.4262336579700029,0.3916530340685215,-0.9170055552965848
SIDM01064,-0.6749719050904982,1.3939878654528692,-0.8407885006377136,-0.00873577998921473,-0.6714520334884692,-0.33042490559999715,1.2470784173463478,0.4460915083163271,0.6618323694897517,0.5200815996430986,-0.9941603447272153,-0.6794727917446108,2.0724055829640045,-0.8077632207419082
SIDM00098,-0.44689105341224866,0.7988133924706196,-0.8299280893363907,-0.6403129657732293,-0.7623454995318037,-0.28162086300405614,0.9996650450675947,-0.20753462825884322,0.7291469270754659,0.5392458918727031,-0.8314099613298807,-0.5170790118680592,0.39130218356742186,-0.8762297164083549
SIDM00225,0.1657232789850227,0.8919825836836546,-0.7794595425749963,-0.4776591140391386,-0.493619925989309,0.17048148036137203,1.2482687694717545,0.8309240862820799,0.8171090738111397,-0.07995801058797905,-0.828032307449462,-0.4330646274060339,0.7270910917186714,-0.8409484205917468
SIDM00846,-0.8141189681721337,0.5980051103297125,-0.8628482253013253,0.4710401132226712,-0.708584642017275,-0.4169894093052444,1.1751591404327857,0.3246236839116918,0.9125910424577557,0.1956876519613187,-0.8267525746102237,-0.6579796959210633,0.1765172827251225,-0.8524897657255784
SIDM00291,1.1404007955144515,1.3410994120784887,-0.8109492173340115,-0.6178909416816706,-0.6248382406343747,-0.23523491314350395,1.8357271239113122,-0.1693771916229433,0.8501832626716613,0.7604005599042171,-0.9751090080342047,-0.48826907118519064,0.4785003127904288,-0.8960066373868812
SIDM00520,0.0643886939061421,0.6852777684216385,-0.9789230674117032,-0.2402418215553443,-0.785552054445273,-0.510732817996365,1.018535725819275,-0.029772831458240532,1.003472522343032,1.3673284698328716,-0.8526045753617286,-0.545329893944725,0.5041325482843564,-0.8854723760103538
SIDM00003,0.4604043209525716,1.1567427122541498,-0.9132074538750569,-0.5707995154448496,-0.7320590898498728,-0.1731519907107335,1.0454754486915374,-0.39517659155968077,0.9068782468147681,0.4990696165061639,-0.8140760943108135,-0.5914414826278696,0.583629965743474,-0.7134244890921786
SIDM00136,-0.8782759020491203,1.208994939827941,-0.8730814683174238,-0.38863974280614344,-0.7939432210206959,-0.20089299964852095,1.3589158295889687,1.5825291906482073,0.7692654111662593,0.8321591961334147,-0.37812553700086077,-0.7509603473061479,-0.4280769295823718,-0.8801160006459331
SIDM01155,-0.3963893762636176,0.9078410153187259,-0.7939014387304825,-0.49014228603737686,-0.7186036274117149,0.019110937110105867,0.8745927156330984,0.5519442107362033,0.8901288012945835,0.4037491926185558,-0.6800438870929827,-0.5753715681198384,1.3811537112409285,-0.8741173093777206
SIDM00224,-0.24916975315588535,1.596897505579783,-0.6583693303096472,-0.6229843074681573,-0.7072987895348313,-0.5566615498939393,0.5768836216739014,0.36637531971924214,0.3312865599440875,1.3731954350611522,-0.8637265647267648,-0.6741855305648812,0.7051503273395886,-0.8741341501798883
SIDM00783,-0.5107887818692539,1.4760050294550913,-0.8150719148169981,-0.6685473042693592,-0.5719697620010656,-0.5117650527184914,1.450544353453874,-0.3932957646217683,0.7986778018836169,0.3039292951825958,-0.7813535890956796,-0.7263823512879334,1.1376781063807073,-0.7899637691174412
SIDM00490,0.5017183262252272,0.05043100584953551,-0.858839806253398,-0.1688101810895138,-0.7668452270845473,0.059159360602275,1.0064279051579834,0.7352048015815371,0.7280584889969085,0.17372060575283443,-0.8504025823783417,-0.6367166782737119,0.5572978551387214,-0.8437082738626653
SIDM01090,-0.9049334720105369,0.8798490873915455,-0.8501139374206709,-0.6384761075983676,-0.7314794025732885,-0.42647390092125737,1.437382341569462,-0.05337407962817843,0.6811012421414704,0.2918307031694751,-0.956275643340812,-0.5832114532626972,0.31210991403031196,-0.8649184090480129
SIDM00394,-0.7685228224665157,0.5691286411687393,-0.7998950744794133,0.3467643409275593,-0.6306821863957621,-0.6699959012504136,1.4278254155628332,0.0169624572825337,0.654261014120616,0.8271593889723194,-0.8264329971225771,-0.6157394415838451,-0.3111818992855915,-0.7862803584074728
SIDM00538,-0.7925578685742544,1.0238964719722299,-0.8223081472516047,-0.4282740633836229,-0.8647744047598195,-0.5223315349150467,1.4312643008141661,-0.09522936528554417,0.41310883204184184,0.34117727937296655,-0.9354341757283918,-0.7412464836660411,0.7555178140197455,-0.9279988242809171
SIDM01140,1.395432247283848,1.329942501239183,-0.8887732090118629,-0.6812631730865657,-0.624782851547888,0.07498627125773161,1.2399493569312265,-0.5993743218405457,0.9861252716637727,0.5629508955815363,-0.4290302662157812,-0.5347740165654645,0.9660937943945905,-0.8319458504412969
