,CA5A,CA5B,CA6,CA12,CA7,GLUD2,CA2,CPS1,CA3,CA4,GLS2,GLUL,CA8,CA14,GLUD1,CA9,CA1,GLS,AMT,HAL,ASNS,CA13,CTH
SIDM00519,-0.8889301945513826,-0.7268538421707159,-0.8094557681906707,-0.11747410945509457,-0.8058379465004228,-0.43800582839538643,-0.1322737531606191,-0.7224652878266823,-0.8726415282168676,-0.7758520024447215,-0.7205424237967444,-0.22957847414395158,-0.6365750880429739,-0.8874113737958784,1.8961743271692626,-0.10268610942737262,-0.9642408334595026,1.3966387516537488,-0.7267902257670062,-0.8428720049081527,1.1615452675336508,-0.7547903621810989,-0.4842425354226972
SIDM00917,-0.6446488383850568,-0.8675568464963357,-0.8033691124792225,-0.7899571156718039,-0.7192140207244404,-0.8470976652522795,-0.4888428487220663,-0.8480839857654019,-0.8433429934788149,-0.10448759865760325,-0.6959647835206765,-0.6187601879468131,-0.8878855669436461,-0.8537468580668673,1.9383841622630822,-0.8585566748526555,-0.9206453384455423,0.8456341602327946,-0.5612686269881961,-0.8581227519273523,3.1048166014546954,-0.85459577222302,2.212072326935666
SIDM00309,-0.7156068038935032,-0.8094437519044315,-0.814137685372209,-0.7156588409443069,-0.6658969390053425,-0.7250433898221245,-0.6071966559235288,-0.7191086133707623,-0.8617574801373459,-0.6870151055365485,-0.6598265686516978,-0.22354695052096715,-0.9515954454711856,-0.8890531047274609,2.101566858909275,-0.7564528815892515,-0.8919111517290541,1.9918944994714156,-0.7226563242567041,-0.7847355998741466,1.3518872514115348,-0.6907147880491175,1.788683239270284
SIDM00099,-0.6725464979827058,-0.25336442890205024,-0.8268798115027021,-0.5742149676642894,-0.7568742961491168,-0.7972808918422636,-0.7673472809636864,-0.8902330083071053,-0.8308019528522791,-0.7368111595928919,-0.741577316538603,-0.3209482784816685,-0.8144370853426175,-0.7908881900640027,2.3658472768852206,-0.8194246203471094,-0.8299373436805851,1.5076325707256926,-0.7120138262355129,-0.8367664928694547,2.57461764393574,-0.8804458726227332,-0.5640396336301995
SIDM00276,-0.6164505264117506,-0.7511248097034274,-0.7858023768547597,-0.7281189998267662,-0.7242559040588337,-0.7121125296787959,-0.46060305665975143,-0.9324145952233631,-0.884370186779853,-0.7561247807614588,-0.7954865891823367,-0.03228563278176348,-0.6387148106514338,-0.8077963401946087,1.9279388020177153,-0.8602614065516601,-0.8322808708331796,0.7163794960149816,-0.6755043448100843,-0.7891584599064085,2.4130468086247596,-0.6706295051270202,1.5666182587713509
SIDM00311,-0.770844660674059,-0.7685374438961966,-0.7817348121553549,0.6309929100189862,-0.8434072968231479,-0.7863600650040056,-0.4042329067040688,-0.4678481896638572,-0.8313124518227356,-0.8036838763748171,-0.8100911738238447,-0.5665916100689014,-0.8821974573925774,-0.7103499138703555,2.0651759853800185,-0.8637065304298484,-0.879221624912031,0.7639403769399651,-0.6528038372080005,-0.873020440013699,2.0973309776221445,-0.8057954747396444,0.32545473932636027
SIDM00970,-0.803706316747079,-0.6968922733685142,-0.787370485907191,1.1062587119187248,-0.8371554631687264,-0.7319076005933005,0.920949153926043,-0.7405674229327486,-0.87467049655542,-0.876100602882836,-0.6285356254317156,0.3611550038706518,-0.8825101753859989,-0.7945385982207508,1.9179638334438662,-0.7530545776280957,-0.9313477730942632,0.4092612260199761,-0.636938307897055,-0.8490056768875369,0.976264065493058,-0.8721732132717211,-0.9687109472456452
SIDM00103,-0.698672844595072,-0.4883871436103935,-0.8480116358619394,0.5062797214018768,-0.6399967599848428,-0.6959290191350921,-0.9063363259332251,-0.3848948873283412,-0.9001985832666216,-0.7341153401109569,-0.7279784096511676,-0.2692161472302321,-0.8848996562501157,-0.7926766538387432,2.1753058279218815,-0.8419529805056337,-0.8388450046582812,0.7476298930834242,-0.6674945799483597,-0.8126114722573226,2.4682816271118027,-0.5992821830247803,0.3417165133183719
SIDM00266,-0.7938024826650044,-0.6472818864313302,-0.8084513845191675,-0.7427139096708194,-0.7843889688408621,-0.8714839814776341,-0.8068876874186822,-0.847591396256049,-0.846753663913634,-0.7193920081128161,-0.7929109142488646,-0.21619384462491664,-0.3158916926733757,-0.3597282107592166,2.264377989136242,-0.3547507185630097,-1.0009714232685947,0.4424743232511456,-0.5138734886863994,-0.8396087014353252,3.3110434015175616,-0.669579834359856,1.2874023621851052
SIDM01064,-0.7152745298905867,-0.8537509718128707,-0.7612498090097753,-0.732938711615854,-0.7336684029836913,-0.7214233637431751,-0.810263729736274,-0.8724929128733164,-0.8247011960386257,-0.8633118559499487,-0.7837122339536081,-0.2208262465295961,-0.8595938722007391,-0.7724228722423694,2.1294581108023913,1.102006228911874,-0.8716046259777843,0.9271711955697693,-0.5242237588409031,-0.7859520475801872,2.5562107767612674,-0.7161834768980982,1.0402943978417183
SIDM00098,-0.6791706951255188,-0.8207237485208523,-0.8070718290777054,-0.780549409080251,-0.7097642058574369,-0.7977057185796861,-0.6808504705141335,-0.9101932090305543,-0.8035126658902204,-0.7278025224397469,-0.7175788064892643,-0.5143819173829499,0.3369828240966779,-0.8263774507805317,1.7268349730795163,-0.5944404814046026,-0.8351281125656532,0.9236274590663994,-0.6341855940252081,-0.8638513127453739,2.2848805556278906,-0.9374243317049897,-0.4231652915931272
SIDM00225,-0.614713093300265,-0.4484438275807155,-0.777642218640381,-0.7735630529678147,-0.7312175107874553,-0.7672462180784869,-0.686219352225308,-0.8183677921333425,-0.8881021887245016,-0.6619459952771937,-0.7599124769960625,-0.5212417360435451,-0.45048179949572476,-0.7929722652507446,2.0032827670047415,-0.6833633697062984,-0.8743759114137248,0.5993837965865433,-0.6650487012558295,-0.8588679404314074,2.5261160740007504,-0.8996482805876755,0.39744532121490234
SIDM00846,-0.24166162359149188,-0.7847792860213048,-0.7885460822314505,1.15285353612669,-0.8491215968232575,-0.8266689063496038,1.2087696417392508,2.3688331797203728,-0.8606671127540835,-0.8435224435251903,-0.7451803500096235,0.014025518130319117,-0.91751125119011,-0.8624725280257782,1.9001364759386774,1.5376611196297567,-0.8831856885316898,0.31549683485484253,-0.6630024007266059,-0.803049551913196,2.322059775536137,-0.5804538525076466,0.7355802196440344
SIDM00291,-0.6560396717318797,-0.7518159302821025,-0.7380844726875865,-0.8199724312439702,-0.6082000282577967,-0.06037894140179207,-0.7151242353685792,0.30621865051691605,-0.809038443021812,-0.6663084792430645,-0.790486378675516,-0.48845928660393556,-0.9010830269668799,1.8734736244572865,1.947824230731145,-0.8413802962063962,-0.8790026615753359,1.0258708113140695,-0.36640401602704664,-0.826029159893848,-0.763929652569668,-0.6588103607749171,1.6754512225788867
SIDM00520,-0.7781961616399719,-0.8061848560497279,-0.8496367123033975,-0.5062155075232254,-0.7943028625797068,-0.7436284320633472,-0.8596281728893552,-0.6287036316933816,-0.8578299937751503,-0.7954699659201173,-0.7976883085684313,-0.6235279328181191,-1.0143724139586277,-0.8752088681789201,2.0647525884223614,-0.8857414893482899,-0.9257960300137587,1.306590892270919,-0.6502532723078717,-0.8301522632543741,1.9768954218668064,-0.9074431635186657,0.284869898097988
SIDM00003,-0.7156185876948985,-0.5744937174841006,-0.7278813129984574,-0.7563693074798981,-0.6691421403004042,-0.08600018266965657,-0.7887271293016487,-0.6735093920445462,-0.9389245843413325,-0.8648897235700608,-0.8142177006692499,-0.4607890489430248,-0.29873299476085186,0.1446415325225525,1.9507541130209378,-0.8047713801128252,-0.8739579022354846,0.5594127005389581,-0.6712753261665543,-0.8225679259611511,1.8419048362416837,-0.7692835770388612,0.7623525031205501
SIDM00136,-0.7456350712539541,-0.7638079004023652,-0.8331440005954923,2.0854461342797928,-0.785985482933276,-0.8336551660043048,0.7831788111285141,-0.9776408434333754,-0.8107251637501905,-0.7542002534801153,-0.7079501664729767,-0.06802099027231298,-0.830852723793827,-0.8844092703474928,2.1053521598330303,2.410888711720021,-0.9273619909707356,0.06803624093197821,-0.5935261230807944,-0.8207161054447876,3.1034262809687405,-0.41855427425918945,0.44360904622962644
