,SPHK1,PIP4K2B,WASF2,PLA2G6,VAV1,WASF1,PIKFYVE,VASP,AKT1,AKT2,PIP5K1A,AMPH,DOCK2,PIP5K1B,ARPC5,AKT3,ARPC1B,SCIN,WASF3,FCGR2A,FCGR3A,FCGR2B,PIK3R5,DNM2,CFL2,CFL1,PIP5K1C,PLA2G4E,ASAP2,DNM3,PAK1,CRK,CRKL,PLCG1,PLCG2,PLD1,ARPC5L,PLD2,CDC42,PRKCB,RAF1,PRKCA,ARF6,WAS,PRKCG,PRKCD,INPP5D,HCK,PRKCE,MYO10,WASL,PLA2G4A,DNM1L,MAP2K1,DNM1,MARCKS,RPS6KB1,RPS6KB2,ASAP3,MAPK3,PLA2G4F,ARPC2,RAC1,PTPRC,MAPK1,MARCKSL1,GSN,GAB2,SPHK2,LIMK2,LIMK1,SYK,PLA2G4D,PIK3R3,PIK3CA,PIK3CB,PIK3CD,ARPC1A,PIK3CG,ASAP1,LYN,VAV3,PIK3R1,PIK3R2
SIDM00519,-0.14321916971815463,0.23509716739136644,-0.5951141998391772,-0.7554360435351557,-0.29271956221701273,0.6587749490718254,-0.617269527312013,0.7100635254866965,-0.3955558339139622,-0.7032513775795374,0.7538690841306975,-0.8391581602757098,-0.9358810619710485,-0.8521291484005075,2.66895677701065,-0.29600760340522414,3.1321487324674213,-0.9010544808083117,1.3215305263904498,-0.4753317770036593,-0.9036977301794038,-0.8879551343148693,-0.8367236396892249,-0.26133303023511056,0.9999554188594267,2.201481337933568,-0.4645254166695385,-0.915282395936786,1.779554988999114,-0.6168959027934391,1.258227015239765,1.2446644240034146,0.034940508580002146,-0.0034989349945850107,-0.23385840083667578,0.08952501488936536,1.6610379462808593,-0.42778744262526036,-0.25600809403688,-0.693256665426057,0.41097071018801634,-0.14177020028773454,1.1548087107240097,-0.9280587846251072,-0.7837771690016947,-0.16217541688124437,-0.6445948568621265,-0.792024276963584,0.2467610685660952,0.2927615995358134,1.0547330348168285,-1.0116036917247377,0.9741493581296478,1.4682702253736368,0.26783055573324,2.3472129955949796,0.6891289766408747,0.03515906037870421,-0.07621862328602651,0.5154256853947725,-0.793222455396152,3.2581551315358372,2.769353667407342,-0.9436863931863493,0.20225978087680163,2.117711447654526,0.7158983129590519,-0.06637235057079378,-0.6760207120188853,-0.14585709716137393,-0.5053320107919572,-0.8009619951846767,-0.9691141148633778,-0.7187735136670106,0.31954704636902964,-0.18112189125699452,-0.5861729564811344,2.5332954995236516,-0.8386561761109992,1.655177822048118,1.0616726236766958,-0.7551533582386583,-0.22309303738012728,-0.07939079386696714
SIDM00917,-0.7210758510530345,-0.05309255270785134,-0.17662275902629057,-0.6983322727342728,0.6058303991855325,-0.5244797284831125,-0.42733563348673537,1.7926535886901747,-0.44961501627394507,-0.43991493639764384,0.10147381392824177,-0.710484551157889,0.8707458388386629,-0.09428310444106462,2.298953128747233,-0.53140709085529,2.9566459076105174,-0.6822829138881513,-0.5022928762177595,-0.08628337697199527,-0.8970076253610872,1.5039176729535413,0.4079912195723818,-0.2995169987474034,0.18782405462700044,1.6032737781834392,-0.265492339294578,-0.6117874873680419,-0.5186418849514076,0.1153203625269205,1.7345939641854828,0.5399892258928097,0.40700550208776304,-0.02056146040246094,2.521525918877269,2.05851846338494,2.0782836577755797,-0.40217561206026603,0.44944808904324823,1.6723657668354104,0.6703226732559828,-0.5834552659254151,2.134713829131281,-0.7525482937302769,-0.8209437091275041,1.5657473081576383,0.07375993449014455,1.1678067155154603,-0.34761794029644505,-0.33178807493631046,0.7509936653125916,-0.8022800340243171,0.9774524284924163,2.1682208807797045,-0.8304522958826391,1.919073061691764,0.29835394152441674,-0.13190756479274365,-0.3662872059473223,0.12581611851856564,-0.8026355997938365,3.169301720273523,2.1032589178303955,0.7932557169976354,0.7518296918279702,3.1634381654102772,-0.05502764037463948,-0.6273721673672108,-0.5253829624246691,-0.14316192790815346,-0.4284633235878352,0.846966397865307,-0.9828328809758,-0.33826179106292537,1.6959402178273975,0.29428175640692444,0.6552993831852555,1.8321882014516433,-0.7207299110933022,0.6240880133904698,2.599953714582175,-0.7231712567390318,0.09639864077465503,-0.45814276637380663
SIDM00309,-0.10173658180365215,0.3131013133985392,-0.30792432475465387,-0.698775437850522,-0.7327293340903663,0.6988063890847586,-0.5912013280866811,0.977924857298986,-0.2912125403265399,-0.5673413731578653,0.46041332734125145,-0.19512766867470627,-0.8836467702135469,-0.7509386625626394,2.4724192966566783,-0.323607853268389,2.942299009945732,-0.925473212301953,1.471912273912183,-0.45485274043856855,-0.8991434000705931,-0.9208668503400408,-0.8541154838838494,-0.13111810997684673,2.1463979743167108,2.1920713367099602,-0.32510670110076234,-0.8396045563178794,1.3602442640695809,-0.8323169605448697,0.8343008677626348,1.308878414367355,-0.11725484951057555,0.03367052596493218,0.08187136456782916,-0.236486328604705,1.0690214235625775,-0.4246775518930443,-0.1229129380584758,-0.8444723115073255,0.7255659061086115,-0.2444585548068717,1.2091632431187231,-0.9252019915189158,-0.7892785415681088,-0.16192114428717402,-0.7453242757512184,-0.879271162586281,-0.010849607542058605,-0.5224534087667936,1.0442837470628963,0.37204762457276763,1.2712975466996823,1.533801591408699,-0.4615209602834244,2.0397375212753075,0.627212806327107,0.08900680572302652,-0.11940642901159411,0.5986800821643932,-0.798363506043931,2.9653946692716495,2.5778827866642704,-1.0180250870329397,0.19821987316206793,1.6520102354610835,0.19473373481915449,-0.13888804622220252,-0.5735111548704249,-0.29186590485222635,-0.6337287468568507,-0.6241813455249899,-0.9055230291937449,-0.5719067588538529,0.9023372519923574,0.4332412209128918,-0.5018997117469767,1.9040400332600094,-0.7952065883643438,1.3052472260361576,0.6441326067299576,-0.8438744664001151,-0.33145082133245723,-0.1603682274832688
SIDM00099,0.730435235902761,0.2799900249898952,-0.12282198353031351,-0.7387936053109125,-0.7726990256436767,0.4091895805222624,-0.5747824787164777,1.6487240254662028,-0.2291313922542609,-0.5616008280392394,0.5684240373982458,-0.7069737431981254,-0.8455985384291204,-0.8293608305966537,2.4119729148765687,0.4590628778438762,3.1124286886454358,-0.7814570435367773,0.9748119931188898,-0.6641142301869474,-0.9449121938033698,-0.8671042686911759,-0.8097681129008282,-0.08890691748066357,1.7748264879048086,1.8637172185664532,-0.31917394894543316,-0.8210140128213779,1.8844846449816774,-0.7195462649594447,0.05773351879501439,1.3090162296449548,0.11344628506884087,0.3041178582883408,-0.4496306432321909,-0.3920564817104374,1.5966981865856102,-0.4507546403798565,-0.3063931104141543,-0.8126854339693373,1.1767266262913327,-0.13137744725192088,1.9226515510233886,-0.8610085800494975,-0.7737446713268549,0.08749614809878069,-0.6330770555164758,-0.7176562568305136,-0.011093741128729333,0.02881930710176565,1.3249670516130747,-1.0218854526357262,0.9694459001877558,1.4524860221399285,-0.28325476325696747,1.907255850511022,0.40582766185537367,-0.35470584222096785,-0.23042861132545206,0.6202538847874911,-0.910630371524355,3.2771102424250005,2.5640336413202114,-0.951492647288759,0.4272251428179874,1.8149164996719307,2.005649260172746,-0.29155910421871256,-0.4857176350760171,-0.32207906740658854,-0.6419773279716301,-0.7187895426531591,-0.8963585692886026,-0.745840851085465,0.9772417205774084,0.2470462313405816,-0.60403659056009,2.3326497892466187,-0.7412131459935081,1.7390622430369262,-0.13631200820160339,-0.7464210122780767,-0.30151261608262947,-0.29295489699624994
SIDM00276,-0.30401293681990393,0.034905459787874314,-0.38320981199993137,-0.6837233923198708,0.018827202302377277,0.049350063671835497,-0.6859664485581259,0.869853299324395,0.11933883765264834,-0.5956790432627415,0.3777133068419122,-0.7674901464873793,-0.7949098938853786,-0.7947879020197687,2.1467423605666838,-0.5519477570600904,3.206240368830582,0.7856307276092218,0.5737792174992048,-0.630119319180307,-0.8708141212934409,-0.9281416962230737,-0.8267639290855728,-0.17507348784670565,1.482880073099032,2.3570913410805416,-0.4050827120773105,-0.6196206763585796,1.4872841355433213,0.4818097619987028,1.4485348529477764,1.2893929818752554,0.10948548738996396,-0.03665739673160678,-0.028502178643651007,-0.11198844640858856,1.8344119222901263,-0.43574937906933203,-0.18699906706649816,-0.7890798899543415,0.6944907569106895,-0.40676241488024195,2.3568834604272615,-0.9327809524995514,-0.7574964145062062,0.6637941091877231,-0.6677738451485075,-0.7671468282574642,0.21101288368288423,0.42571264047427715,1.1425571272803774,-0.6802706896435589,0.8240465576249785,2.019959361654287,0.7639089031347316,1.7275569316316248,0.12627098334408426,0.14335860824793964,-0.31315530918766693,1.1105277507367421,-0.7330869597551277,3.1613738783180754,2.537790164982142,-0.9970548626961622,0.3901472004011665,1.9933623153052058,1.5585317398199714,-0.3308871749955511,-0.550590107487806,-0.2635118736298662,-0.40474542717226886,0.49155265882209953,-0.9523833329051283,-0.6488194164256283,0.4020237646019066,0.030209795559018312,-0.5315367247175582,2.6963512279615762,-0.8724342233570149,1.8653035563526599,1.538287484023975,-0.7054601585509422,-0.49045962005312094,-0.4121884693058777
SIDM00311,0.6537605824375601,0.33130657437952143,-0.31352424151024033,-0.8051409034030218,-0.8689779586238847,0.5956481517945899,-0.6286564135674927,0.9835579044377454,-0.04068572253821361,-0.6105409974472994,0.22190172765399782,-0.06605166935549663,-0.8617307048505853,-0.8562188283286094,1.7567860838555194,-0.27243689547260147,2.42808781422643,-0.8077584032882789,0.6204243026461753,-0.598455227520416,-0.9892067609814644,-0.8389539466654905,-0.751888574666709,-0.31859560336743964,1.519105846672103,2.3413702752546133,-0.20768318779909117,-0.8672145225539768,1.739511348219748,-0.7323321906743653,0.6672431865164238,1.222587437599316,0.20913883553329307,0.24234045098963491,0.22047856944745903,-0.4267310830038636,1.8430035807410634,-0.483193484597924,-0.029608362448675183,-0.8105801305761055,0.5447987316773143,0.7056643480085137,1.9268963558213308,-0.9000899867140846,-0.7393564213780424,0.3732942372692227,-0.7579816717625386,-0.9031174181009445,0.6361110097270698,0.03601882465464728,0.8436234795295232,0.13027171813925953,1.4109061414981297,1.8896826961927777,-0.6953895129669875,2.158772619758514,0.8941608847471052,-0.2305903542709228,0.5258268679661761,0.29001810221540564,-0.9053164703695656,3.1879283346030145,2.5336087504973483,-0.9310322728172075,0.38729023043362193,1.9595024244758348,0.2946035935012594,-0.2938008355705803,-0.6812345633654411,-0.3790924555449768,-0.594783960182626,-0.8753313190884853,-0.9229396039764097,-0.677359328236902,1.2324268605147033,-0.16744840637044256,-0.5452007531527697,2.435438331821009,-0.7787929081177212,1.858360098730463,0.5216602945623253,-0.6994468276851648,-0.1528127154303174,-0.2815786822959473
SIDM00970,-0.5895570161768897,0.18170442777458007,-0.20492778850522828,-0.7574719229506964,-0.7808174088188924,-0.06570783250081777,-0.6833200777143145,2.291478490488694,-0.10547988580351268,-0.32945864135872244,0.09836607148141062,-0.37581053953007587,-0.8559343392657555,-0.8839027404965354,2.144970035163055,-0.8508602838977936,2.3321775311066024,0.07688734169011771,0.41443025647066056,-0.7859114700415917,-0.927459937131705,-0.9030876606617987,-0.8149726060877294,-0.19129148140207722,-0.11290250024129689,2.2670654250594384,-0.24776095997986278,-0.7967784638565522,0.9103896680962195,-0.599325231405335,0.9820464646986934,1.107503557714046,0.5703371447563536,-0.20487850156093684,0.41264517800793504,-0.5966965990311485,1.6577455859365384,-0.476725855366429,-0.0044976200404464785,-0.7355939801807603,1.0032059249628758,-0.23316708625249377,2.2926862766300378,-0.9127000731469146,-0.8510645530002491,1.3945888705784915,-0.5852904881654436,-0.9715882102936507,0.11704625043704507,0.4714915925708117,1.4439899219978192,0.6571301454544184,1.5844181332278473,1.5480021660770813,-0.053753588868722245,1.9394784330068584,0.434859948864825,-0.1859696791394609,0.15205756397121445,0.3293145122295789,-0.6276593818576578,3.4981813042420598,2.70133784532971,-0.9892180028472713,0.8119872597350951,2.4968683743342894,0.9055204890014119,-0.7490890955709114,-0.5219932219807462,0.2038744994746327,-0.6745692388621879,0.7555729284712365,-0.8382907735751666,-0.4642723288066422,0.6516507787099076,0.07842511824996666,-0.7197542934563707,2.584656796453179,-0.8051315465966639,0.9053760638459306,1.2608411430676931,-0.047028253319504124,0.024174200640533106,-0.3230373291454919
SIDM00103,1.0113237974228253,0.23076105241188097,-0.2691936577652089,-0.6726244867374868,-0.7562903116397408,0.697547397146467,-0.6089064479207409,1.479345955601828,-0.06847722136698463,-0.5499446939252121,0.30655549978105123,-0.6838620085046602,-0.07560089813647199,-0.831451795699067,2.320598716088903,-0.24893693507670495,2.8627809341751296,-0.8081536762811262,0.8792881336507244,-0.6816550632078324,-0.9421399183175823,-0.8573262410867384,-0.8467818040121766,-0.03566983180356029,1.8872950073417896,2.1243260478344914,-0.09958507986715248,-0.9498515779066433,1.7001409296940506,-0.76947945785789,1.2219708033261014,1.2453190119225184,-0.10922721032177976,-0.1470608013499035,-0.5946701851889066,0.1279126044820992,1.7799888485790154,-0.5421045263703609,-0.28401500007289676,-0.8670659958030608,0.842042295483723,-0.28424573269653736,2.087738298164366,-0.8561024572068694,-0.7682631555429059,0.350730680716894,-0.6621347121450256,-0.8654235853474932,1.0314702720977094,-0.07221115939220704,1.1936235816428447,-0.9942213356313719,0.7393810760150378,1.3916393884940752,-0.7162953048957199,2.2573044693546698,0.30031106169452504,-0.20046928129675043,0.1646722283240435,0.80055510601947,-0.8844798513464359,3.2268012701449003,2.5729208617833472,-0.8959644229928266,0.3533626797819316,0.787959162932833,1.239570674561613,-0.21413587996231648,-0.6327146618625623,-0.5056842644104855,-0.6614768712865585,-0.738292880671025,-1.0010332077066377,-0.8018036490477344,0.8649885642906499,-0.012228360223561519,-0.5742533021236681,2.4313672333500804,-0.8415395909860525,2.0504210726667007,0.8321479795950905,-0.7108082069880823,-0.19631857119045654,-0.10318863179885122
SIDM00266,-0.040217909704459126,0.16571177821635227,-0.3515914283374685,-0.7591196404868659,-0.43423365118197577,1.6231603080670205,-0.442682288037836,0.679526647560741,-0.3555052293772311,-0.5117967119573102,0.4222214025100966,-0.48009877429650744,-0.7815452461377385,-0.8300242578001157,2.035598742985858,-0.8347357449295455,1.9488084538451023,-0.8865758308506881,-0.000674153151230975,-0.338494978013402,-0.865680549315209,-0.7777301313521171,-0.8496389728152324,-0.429967377054918,1.5927184658364126,1.8523274559690326,-0.5718530709306198,-0.7870936499375204,0.8536662376684351,-0.7578918168842019,1.253827961612637,1.158112894856864,0.37430815062844575,0.12465917458109645,1.042684104369696,-0.4575713727885775,1.7876563833722872,-0.6808518265738267,-0.15869170900966262,2.4447941496261234,0.7998530910773893,-0.4922111936441592,1.6416738021222717,-0.7262704283587305,-0.7934670783701385,-0.05871988004598698,-0.7471451250078748,-0.8666541450775271,-0.4401287169458169,1.5663643385909571,0.8756692004947332,-0.3083381519564571,1.531970796110469,1.3033679463501235,0.016736094240527154,1.658177382658794,0.3124598235535927,-0.46062109873695345,-0.20768711165454476,0.43598438125523226,-0.9873882595230933,3.0248876644837726,2.423210183355695,-0.9430256704963312,0.5203234391390296,2.576210216745019,0.34825607871293535,-0.37959803940356013,-0.6408422478295971,-0.47466185424724167,-0.706899138481267,-0.8482683906998657,-0.9147921767377742,-0.5568906287862644,0.975240071825603,-0.33462897669646635,-0.6595534890448225,2.3524319986334166,-0.6325575608303017,2.070559829124362,0.7012087593342549,-0.7238248028637337,-0.043248545248515055,-0.44868059800330085
SIDM01064,-0.5001409307647425,0.18586263914150872,-0.28629780892385165,-0.7122782191068401,0.3878281994828493,-0.3446990184486611,-0.7656715211091727,1.1935874529508994,0.12561007301362406,-0.5099221426094163,0.16784293565056468,-0.6991231330391664,1.1714879489939,-0.35741841218448406,2.2899883153239435,-0.4457132286410602,2.767941271415355,-0.8833136489751165,-0.44050627175644036,-0.5252426819073415,-1.0024598970145264,-0.7185323637993222,0.00999373611543667,-0.22203044512999995,-0.3267282710931582,2.21597267441025,-0.24988837920432286,-0.7291847804771081,1.2694612343373075,-0.5626689854923623,1.218593717846548,0.23453807024904166,0.5056436354050513,-0.4206900010717696,-0.661233852400993,-0.2176454889852269,1.988556586746059,-0.4227333335709346,-0.10113901006162213,-0.8145439237286827,1.1271093323880224,0.17604218848619743,2.1672117217027855,-0.6653545904591668,-0.7491547537256324,1.006196374863881,-0.3939216172902523,-0.7386233765025493,0.04558505890749956,-0.6179175774304767,0.5062736671614094,1.0999819084382731,1.1379324471859562,1.9344409784512715,-0.7651427346413499,-0.6377866514670044,0.3721451255392191,-0.14944063715153091,-0.5376967775483654,1.0024155733741154,-0.82246106537326,3.118570612764778,1.8105522688699511,-0.9266141336552949,1.324784881453375,0.3452858065957279,-0.03797620598147324,-0.23189461171957151,-0.5537646951378851,-0.04141045293639459,-0.7146202153716537,-0.7029059951603241,-0.9131925345112181,-0.5222596854068073,1.6317312906782862,0.201441486318639,0.5128280268281551,1.6291086261911913,-0.7788569289509498,0.9909003748607986,1.8926205883781668,-0.7695841706409674,0.8846240816513324,-0.3221179351293593
