,UQCR10,NDUFA4,UBE2L6,NDUFS7,MT-CO3,COX5B,COX4I1,UCHL1,NDUFA2,NDUFA3,NDUFA1,SNCAIP,APAF1,UBE2G2,UBE2G1,VDAC3,UBE2J2,UQCRQ,UBE2L3,COX7A2L,COX5A,UBA7,UBA1,SLC25A6,SLC25A5,SLC25A4,SDHA,SLC18A1,SLC18A2,NDUFA4L2,TH,SLC25A31,CASP9,PPID,SDHB,SDHC,PINK1,COX7B,COX7A1,COX7A2,COX6C,UBE2J1,COX6B1,COX7B2,CASP3,UQCRB,COX6A2,UQCRH,UQCRC2,UQCRC1,NDUFB3,NDUFB1,NDUFB2,NDUFA10,NDUFAB1,NDUFA7,NDUFA8,UQCR11,HTRA2,NDUFA6,NDUFV3,MT-ND4,COX6B2,COX4I2,MT-ND1,SNCA,NDUFB10,NDUFS8,NDUFC1,NDUFS1,NDUFB6,NDUFS4,NDUFB7,NDUFV1,NDUFS6,NDUFB9,NDUFS5,NDUFS2,NDUFB4,NDUFS3,NDUFB5,PARK7,CYC1,GPR37,SLC6A3,LRRK2
SIDM00519,2.8717436117353654,-0.29394091983170373,2.0320921302683495,1.8054672487911094,3.862569912718719,2.9774593418774993,1.9640332531308697,2.4959932417697415,2.2794415572297844,2.6139800458754836,3.2301551158983792,1.0839162327678649,-0.46457905330289656,1.0338417827334545,1.6077722980751157,2.646582181729853,1.029886620509067,2.2478182051361455,0.6617263566254442,2.3363657605532535,2.8630510921314696,-0.5029855849891028,1.2938424407653053,2.289528198505218,3.122698503675134,0.34715344567508966,2.374708395974643,-0.8153082434228235,-0.8143318563794582,-0.8073938186549812,-0.7894210442519911,-0.9706143967770327,-0.16304697270656243,1.1195402854703762,1.7959278315655325,2.4465927780302943,0.6414470618122206,3.007197721442201,-0.8955042119619918,2.9381557230627746,2.3169151251033875,1.7987899031037489,3.1318812234144797,-0.8376372800045262,0.7134332037451958,-0.14741648203320848,-0.9435131670941967,1.0364666972439447,2.5541954866984056,1.0338915132721955,0.9394232949200425,2.4896328253157165,3.0867382084103485,1.8265295438809943,2.932130410771814,2.369174909232661,2.1026857864505537,1.3498773224470086,0.3882154307901805,2.476979433554559,1.3335428059077148,3.976607072570011,-0.6811072423798128,-0.906546274622956,3.1366300892828405,0.15496352084328954,2.337704251923193,1.706622818749828,2.6104941821622725,1.5738509069192494,2.3796115690726825,2.756778209229791,2.4426519057806777,1.829401192978448,3.3204494495805834,2.3511459931465826,2.626849137093461,1.1299256588464992,2.892004166484689,0.18307211457727443,1.899654971160509,2.5606396878348923,2.502579863318232,1.6269911578774925,-0.8222205236902255,-0.8644049354696817
SIDM00917,3.0614508721382636,-0.4058561428202305,3.033698565251647,1.941605577163341,3.677958864306688,2.970567169358438,2.246557157966709,1.752015540150221,2.4045482665965663,2.6364321279790643,3.0733803999166076,-0.24924165742072343,-0.4817598551934792,0.7908182387135094,1.208709154608327,2.574250230666476,1.234404533631541,2.1246672555679926,0.8549898631327004,3.0409921222460112,2.9372378445530947,1.0886027458316196,0.7985801908365614,2.7975504017670754,3.0839086920819208,0.513474697927666,2.0421108979814617,-0.7553845443157804,-0.8645766858750117,-0.7199304538754822,-0.7157335973277495,-0.9852195499592226,0.2536338368942526,1.7713517108211614,1.9734580413423115,2.314409107988728,-0.30452646187604804,2.9010157358100144,-0.9949777178408387,2.832251948796705,2.4001324759772973,1.502180935475245,3.081767226684848,-0.8999900001068128,0.9001218501554026,-0.44446861592390796,-0.8084164951300262,1.6643039253809968,2.7185408278200462,1.1439864903403674,0.7000327459659514,2.834497497509193,2.4870727938169943,1.6323388696835464,2.8487430906875386,2.433297559721159,1.892691736615515,0.6948953859251366,1.6189826900060484,2.7580856283141886,0.2976499255328116,3.7149231078192937,-0.5060102748472888,-0.682864036581286,2.836840361977694,0.18087942425397646,1.6496127629963115,1.5254904026978917,2.463563256891285,1.3083510160513128,2.102924236662697,2.7215743633876306,2.1364731546032125,1.675152238979228,2.599505830728849,2.313496083359178,2.237858401850689,0.7258454806660635,3.272272124720095,0.2041795862540469,2.4820099488043756,3.0526032463992716,2.373556274422809,-0.834930943940457,-0.7857591204695291,0.3410774131833685
SIDM00309,2.8001159540260265,-0.3534629778694106,2.2035297412921304,1.8213083851077947,3.6061249598679197,2.9606543411455277,2.1779599430043453,2.793097305244928,2.3557326788211013,2.304860029932269,3.2521855000304543,-0.7174610421971759,-0.6448947396276308,1.1062348343526107,1.3692858661865752,2.623242663053969,1.272273207799176,2.27220627331566,0.7081143208020378,2.5237550549400507,2.828338236998217,0.7254060115505491,1.1756165657370437,2.3807307100072053,3.2368393068320715,1.2457984145001468,2.0430240609087362,-0.821568284603257,-0.7163111946104833,-0.7935149836790847,-0.7817967928372772,-1.0662376694416076,0.3099802629052463,1.1407016403318047,2.1311905020926676,2.278753433097384,1.450717722251451,2.980769131965067,-0.930843680094797,2.829090084870947,1.950610124321013,1.880118602354948,3.1431526378249193,-0.8982025438718771,1.5199915871511618,-0.5554371908248736,-0.7212306408447935,1.1898269926665166,1.989132680751659,1.6766599861211482,0.9924555276287974,2.459214997546807,2.968730746612531,1.3804383893621874,2.829875505997478,2.5190037256104896,1.6501262237679668,1.197907037195355,0.6217383730744107,2.1741343448532335,0.8464355817049795,3.6849734970150596,-0.7457877903285507,-0.8247247725783244,2.7528392634706145,-0.2364181553178054,2.2276521241781255,1.7993633053175933,2.5075356439771994,1.7410335853862144,2.0911701475757645,2.6564188749368416,2.4695529192792254,2.0169540231151877,2.731829058304928,1.8262063401442552,2.7050932648340895,0.8465206466186704,2.9918367008797846,0.3949768471772534,2.2559802490181666,2.687681564018,2.0397627165910617,-0.1128617615871878,-0.8295778402314253,-0.6625724575883006
SIDM00099,2.6207881557566175,-0.48043519867953205,1.7379332160524146,1.6130894895304373,3.725890820412927,3.03959936598121,1.760449916951654,2.4632804679004785,2.0939448817144934,2.3824543426295914,3.0421923456946844,0.008067236298783323,-0.5123098983380346,1.0222342022315587,1.6921024466705707,1.9726991475705458,0.8724016199763253,2.114703955546781,0.5450484868747442,2.708328527144328,2.728772408302283,-0.03430992102635753,1.117026104664788,2.466800511582716,3.155667620975782,0.14872117505193772,2.2499999599688043,-0.7337441888361986,-0.7811230500963496,-0.8381989735141564,-0.7387611647285268,-0.9177151507761493,-0.16120780182301667,1.265608163720629,1.648826684729052,2.1604756393634648,1.5568776989436086,2.78526019991043,2.104456315630593,2.7182878537128374,2.1463690348058493,1.1870928089874695,3.0213924256480604,-0.8793425728578984,0.7852054929480522,-0.18095405930029332,-0.8449315419053656,1.464040025742948,2.2029163477388978,0.9679362781494374,0.4237291164703365,2.645522892303461,2.6558541718311184,1.786284092458406,2.359082609736613,2.3133917536005226,1.9367597709223368,1.0407449521387557,1.2838016069050129,2.1947109654108155,0.774572924722825,3.777305171637729,-0.6898140319668599,-0.812589273545618,2.608420394625518,-0.5800470924027028,2.158690278380694,1.6083028358468685,2.325656152559548,1.3019907058140512,1.8734562712159462,2.6117511486886236,2.349978262615842,1.7454350860698746,2.687534237566526,2.255554614930616,2.7149869560499176,0.7262410260859452,2.8066126581117636,0.3091897899883044,2.1756229925057915,2.551195038644975,2.3682323095515114,0.4907695252043857,-0.8570683035372441,-0.9029547400467473
SIDM00276,2.889761248684471,-0.5183725383644817,2.4579225737156354,1.3150056225807776,3.636124736357085,2.817586980119351,2.0583651729541828,2.8436783722361314,2.109092172356666,2.1288339266146195,3.05156098193859,-0.8826176798352717,-0.5289073356854165,0.6338419796319472,1.4220093591887435,2.501304673649993,1.5919498144563538,2.0780981853695555,0.9133559767152599,2.4583223525542826,2.7362354804034137,0.39669418810419277,1.6690383724425255,2.450627730288568,3.389830010045623,0.732182201238289,2.4453436111173152,-0.7614199952833488,-0.8026679692207407,-0.8268471295655351,-0.7138734445847437,-0.9684728223963551,0.5405277638057181,1.691574428775765,1.909327186603605,2.278087024735032,1.9421490730199527,2.7962126835428207,-0.9754631321118463,2.9403476769491226,2.1315456494025105,1.4803014437223463,2.912749995477266,-0.7995193732162669,1.1949182686427657,-0.400883322288765,-0.8408857770008366,1.295638792056172,1.8499285097055214,1.117089317320639,0.8720577346584706,2.756342073131159,2.955322287123919,1.6709730631599222,2.737234387579139,2.0982932417967723,1.9625427378181548,0.856551444692032,0.9423593949247199,2.2503839282282634,0.7243120207214379,3.790483441676353,-0.692333006581198,-0.9022160801668198,2.561247784887783,-0.17933617986746284,1.8234616123144336,1.767021319026229,2.802808412919517,1.4074404249188792,2.107614011269186,2.251714728732945,2.200161506318467,2.105069490093354,2.9555647973410877,2.1956535255448735,2.758959257370965,0.7343017199718616,3.0519007479960694,0.16927186838485683,1.9341155689985345,2.8959169548984054,2.5777580247148673,-0.049883490121699965,-0.799324288326033,-0.8435641480926822
SIDM00311,2.80302313808871,-0.5239693146721328,2.879728608690345,1.3505560405320325,3.5679596843367367,2.6648840102608697,1.9946237082021752,2.6370625769635745,2.151896687402712,2.0313834457337094,2.97456991665718,-0.8260504166319913,-0.5693115362619589,0.7944623777381691,1.1378847626791018,2.7936304123089295,1.2600557433054014,2.1957522438905865,0.7663531491651715,2.3540663639441823,2.726241594935203,0.8416503336168271,1.3629617651189903,2.5376371493094,3.168643516775801,0.5004834411163586,1.9829914656455725,-0.8006259694417311,-0.8353130843268919,-0.8903372110305433,-0.8362889482914543,-0.8947551983743558,0.016676397282197126,1.7139857558692893,1.9336413097884553,1.9669366265055825,1.6981200682155833,2.7337410922030245,-1.0210813802365974,2.7762018377590203,2.1589684286674076,1.4461769473405526,2.7664377255608965,-0.7805865277452985,1.292328226521967,-0.15707987281716873,-0.8941562614163296,1.0193750722790476,2.03790654323593,1.416602514428008,0.677497492125803,2.4759612349361024,2.7835134680333984,1.460898834764143,2.6149365499380792,2.0078523874670844,2.048010079491008,0.9638613905252394,0.9061649021926359,2.3604511929335508,0.23757430564344362,3.5232370464975653,-0.7642751060922864,-0.885576141419287,2.589991142234988,0.20827351739618044,2.0820646409381465,1.6044490644505607,2.528978611349894,1.2329909988404526,2.492513574328965,2.5638354635910576,2.219923460933643,1.79500146965017,2.681861950544985,2.4117159608714753,2.410909515323092,0.44233377380913413,2.537598933812452,0.35944513764290337,2.1573497327899473,2.842356109788146,2.426680870340117,0.4035946171339443,-0.8316769723399409,-0.8751854074462011
SIDM00970,3.3061555733720835,-0.37818409534410563,1.73998261557867,1.3732945724089847,3.6558224606302057,2.7044467273575403,1.9613771893361374,-0.7168001206391279,1.9229259339972284,2.670425339927546,3.1449035138441475,-0.7839789212970885,-0.5592354542280012,0.9185225374005476,1.021079209998355,2.7376547846782806,1.4492256946712054,2.278806678517597,1.2729977125647678,1.9999158019245338,2.9528254135252086,0.8302768233787351,1.3359200916832497,2.1959176148148543,3.2281733790393004,0.10959679980735706,2.073865623273684,-0.8503499105041618,-0.7770598150274662,-0.846811836805021,-0.726581436382054,-0.9317830849773773,0.47699840145989814,1.372679833191239,1.8898398550642632,2.3846449461358574,0.9299629457961149,2.904965217328487,-0.9780596367846325,2.8389025322545507,2.372432436770787,1.2472262601784658,3.3608538865009066,-0.8738076356279902,1.2696085940084265,-0.09330900847086689,-0.8414275416397562,1.6567194229589306,2.2302690711099338,1.3615226922174768,0.6785837467977198,2.8849853732553155,3.0127062497587205,1.7254609485484984,2.7777511096138467,2.186633886206724,1.8863314877164208,1.0223979959417906,0.4420927998861085,2.568653751567278,1.1504620614509944,3.8042027099989912,-0.7845414419881207,-0.9423947679904816,3.053234655478105,0.5773314902569746,2.232313182976116,1.4196536797053882,2.6084205185775358,1.2264702224144695,1.94586739905926,1.9820451128471908,2.2280948095397624,1.4969580883610558,2.6808959882038352,2.441970514184741,2.729352496997331,0.7303969330122458,3.0292299374670324,0.2522688275315328,1.9550670233742133,2.9334862665592536,2.68193609898832,-0.8603734483031388,-0.873679580936188,-0.8532080837096002
SIDM00103,2.4541130845619983,-0.5953485364516666,2.36017389004673,1.8185372286495702,3.728426944887844,2.9442107079459188,2.0273056436341466,2.607467461696522,2.0197645022189397,2.3060893622102343,2.883266918556573,-0.8596826270964979,-0.6801308861233766,1.2434132156254403,1.3322537985632206,2.5796302851113624,0.865411345803725,2.1547812759328706,0.7071084634878885,2.671537723617825,2.8285614743971275,0.4415130806060137,1.2209521231680558,2.3585409455405553,3.1190118348123037,0.507241820612547,2.0521371455577038,-0.8030329800524951,-0.8881501944007417,-0.8562672445124079,-0.7721940844964162,-0.9615805567915788,-0.21195830567363155,1.465863749449299,1.5660941729295272,2.2175594154506926,1.2344341378761312,2.6960183665705832,-0.80562922800111,2.7496281266972726,2.1790364570106093,1.6480299985638156,2.9776579663286395,-0.8203539673978565,1.4164805506199207,-0.11880114156254427,-0.8579679204578198,1.5467250640500472,2.4261753931063854,1.4689498840303647,0.5025263935129658,2.440766608846104,2.4308257863675675,1.7987000220135052,2.811523629375483,2.0028843950593744,2.127771704981388,1.0558641686774364,1.0800441958761504,2.06876511554321,0.5254371575711373,3.8342051942424815,-0.7219768069818232,-0.9677322755265984,2.664098246215688,-0.4056755537347393,2.2854015600620565,1.724484531869512,2.779658856044452,1.481760802072686,2.4061573864020356,2.773472591780038,2.3361677292975203,1.9586291709440569,2.7044050965767057,2.3337973122311046,2.720041614557674,0.8162527235888317,2.9180259325376365,0.3817552629549723,1.9734501386104482,2.412622732770835,2.5539240376457175,-0.2453936510360414,-0.8686300434381388,-0.5560510490804439
SIDM00266,2.6757156894414362,-0.5986288713480191,1.4121395355904014,1.961787488534704,3.6755033891555478,2.97131762566905,1.8540351318579433,2.705998719729201,1.9958759626668594,2.5368234479010607,2.9350810091118906,-0.890412582907447,-0.5488311224049399,1.781477215392176,1.3444637438558618,2.35510384067938,1.2845021830256749,2.207261380782209,0.8633923085604646,2.6214667560131195,2.9640017337976077,-0.6122614475653205,1.1756184057401797,2.872713179034883,3.110382211447876,0.5067441427788902,1.643703006763596,-0.8374656748084248,-0.8062285717984338,-0.8951349095920739,-0.7582443116154503,-0.9875468042350235,0.1439342599588066,2.1722708410619345,2.181510118763013,2.416494699398866,0.4900170001670234,2.691769744274513,-1.0090230173434838,2.8129213979077408,2.078588070212031,1.6272976110295498,2.9516468739452546,-0.7496683247579762,0.6822150047002127,-0.11238732346303185,-0.8880739685131752,1.9522675554311164,2.494169120914538,1.7414427171509856,0.47433496549537935,2.8431437652589233,2.467777446556984,1.8398799848145357,2.9315078595565995,2.5987010939821853,1.9232342680038186,0.970487079179769,0.7976826618860006,2.7336349568571245,0.34150622461720825,3.802233478366549,-0.7809221044720396,-0.9131105810355786,2.7045689528650327,-0.4296252928988669,2.277346398902745,1.6431021967323074,3.1727451259030954,1.7536088633186562,2.377924413873826,2.6180350933141994,2.534929843548474,1.9194930568398514,2.6820001052611673,2.584757923720163,2.550355042586298,1.3715531369039538,2.8744186077018443,0.4250970792135293,2.354231126284552,2.8814461863813534,2.9224596918034105,-0.7956122835845726,-0.8243301840932975,-0.6282264444380852
SIDM01064,3.003416024886976,-0.6270962544277191,2.2575815328336577,1.73129265979287,3.5994530728213783,2.8543674416180185,1.6555953914383483,-0.6059794538196175,2.1540597210007517,2.5181317573444013,3.1380434686999665,-0.8547624892857475,-0.5468074502680605,1.245902602006525,1.202092256128048,2.539406386780806,1.3464148403441771,2.2033593757823597,1.1170535432089033,2.568198657241533,2.9208330553865003,0.8625073905258759,1.1396658270618603,2.271511617910747,3.040191145493448,0.896240038237262,2.5232775990081064,-0.6942935408570959,-0.8241398396856865,-0.8015673552116257,-0.688174400167622,-0.9630610848416604,-0.1351704207431215,2.806718394433715,1.859089970112888,2.0610933705862915,-0.06671797193559936,2.6978047179664353,-1.0409266953588725,2.9459858486195034,2.2848142024336413,1.4802738906366137,3.0542960116785802,-0.760643574463554,1.5209681332346896,-0.12538383070003628,-0.8574409443468478,1.009186716981493,2.165423229596105,1.288712954035356,0.8580745821497697,2.8752026275688607,2.857767934069986,1.5492670485303386,2.8489809719110126,2.574834751030366,1.9166488172201814,1.0469021347881386,1.108034342235462,2.216028938663448,-0.04243263208181871,3.7077453978039876,-0.6214998956833925,-0.9717653674010659,2.819960583885582,-0.6539403071985401,2.087223536981422,1.5813891039813885,2.479944929620607,0.7428154161651505,2.2663208921854103,2.269841659147622,2.134946410430127,1.8007284225484073,2.870764784477862,2.522558659576255,2.533427040669361,0.538912408293041,3.001512069110377,0.3034808187878912,2.468940351743359,3.1427990535484716,2.425686012845801,-0.69103689531995,-0.8531621582626568,-0.8168603455848745
