,HS3ST5,EXT2,EXT1,NDST3,XYLT1,XYLT2,B3GAT1,NDST1,GLCE,HS3ST3B1,HS2ST1,HS6ST2,B3GAT3,HS3ST1,B3GALT6,HS3ST2,NDST2,NDST4,HS6ST3,B4GALT7,B3GAT2,EXTL1,EXTL2,EXTL3
SIDM00519,-0.9387017256447883,0.9823689813917261,2.0640894940693975,-0.9798344502570008,0.6048408103722662,-0.4863636819419504,-0.6020816506003847,-0.2403559851823208,-0.22763271456717402,-0.5018147284595977,-0.09168194601156014,-0.8388366554290622,0.28415413260074246,-0.8632427221506763,0.6435361834496734,-0.9585724024648655,-0.26314262007007844,-0.827971060865141,-0.7530722286666524,-0.1997124066647369,-0.8212394317852033,-0.8307267842164016,0.8531764411930566,0.3633422368751175
SIDM00917,-0.9314204541707293,0.5753084583519364,0.24184928322667235,-0.9363679219212417,-0.418172538557204,-0.5045532983994452,-0.7293559562336615,-0.5460424025572995,-0.5403153724996791,-0.6498899275304314,-0.39408334011384233,-0.8065142486015872,0.10262277167474632,-0.9154597942327785,1.1439460424947616,-0.8314828428453888,0.166807853677132,-0.7899561965648317,-0.7908697145500833,-0.2018540337131033,-0.8074208920655382,-0.8086254998822747,1.428742475037088,0.237029687366986
SIDM00309,-0.5614315415719119,1.433417701989499,1.3663695255510386,-0.9604849833881395,-0.8935643168361876,-0.6903488871412654,-0.7360862459341639,-0.3309459929922175,-0.41750505053610915,-0.7195150277483806,-0.1842297701618041,0.25291048053680626,0.4186285992513886,-0.7386363111311582,1.2499960572847177,-0.8890808324340649,-0.3107473631751788,-0.8196089028617491,-0.5026567623667569,-0.05038373269718058,-0.7612427507717799,-0.7587323062248541,0.22821627283036616,0.2078365297611742
SIDM00099,-0.5691924945073717,1.3038621474727383,1.8686715497934179,-0.949000742805191,-0.7193458744603513,-0.42387498209344365,-0.6579854942494541,0.05108077568046148,-0.11062968601239526,0.33520286031938074,0.06852943034043235,-0.7827398637061442,-0.19292001489215227,-0.8333194860816651,0.8690420483555404,-0.9243658882661473,-0.18427103064811143,-0.8851783032730987,-0.7996051417636627,0.05991368304256443,-0.755202543936652,-0.746005607049181,0.5193283227751578,0.2902051424379857
SIDM00276,-0.8748690133792972,1.282472128668651,1.3131475187466313,-0.9841947859241724,-0.9288340355725614,-0.4502964532033436,-0.7041346247952328,-0.2601822498620983,0.5188641341269729,-0.7382658626285825,-0.016511726310211878,-0.4628012168148605,0.1720946108425055,-0.18410895850065276,0.9386722108238263,-0.8421065263197661,-0.26760740602856703,-0.9648998103656153,-0.7908815730430958,-0.008638955895755456,-0.8397076958995381,-0.8449734980626871,0.3604035175209633,0.5911366351289293
SIDM00311,-0.8309069934962657,1.7921311574660257,2.2739161412789795,-0.9363170094930524,-0.933023229424163,-0.45322462561650534,-0.7611978188111671,-0.1571347594320707,0.23981876452574546,-0.3762086042162557,0.24315149159668573,-0.8886403785242981,0.1675419367734467,-0.8229721127161801,0.7724825631661238,-0.8902911851425523,-0.27161748796231083,-1.0333471645401135,-0.766931093599994,0.13262942774625872,-0.7749890451722196,-0.7248617807105352,0.7965814504630869,0.3386485465895077
SIDM00970,-0.4973330821896997,1.1535246296260837,1.2354077716838838,-0.9317548319926067,1.2901862575486855,-0.7037283122502965,-0.6048177013149371,-0.5495054392887232,-0.10486075696664203,-0.6941377078388578,0.21417197815827402,0.5568285564896303,-0.4369386521250207,1.0025287629540642,1.086939103825697,-0.8582311771680334,-0.12167697704407483,-0.9039776985293635,-0.7467126504392512,-0.2635475920804496,-0.7646356857383796,-0.8602713754864109,0.6689037176651056,0.804534781010663
SIDM00103,-0.8946647597213303,1.290534852009193,2.6387267415875293,-0.9152167359787514,-0.9410555423905786,-0.5126496266100021,-0.5910800090524211,-0.04604214431446068,-0.6757784407011074,-0.31168853729784174,-0.28091954287048576,-0.8411904218538113,0.006822088073008522,-0.7750177071875564,0.726883351253358,-0.8246488131659332,-0.2514318375148313,-0.8628036268164457,-0.9700841572181812,-0.44563678183321104,-0.7905348827948758,-0.48858570666959783,0.058479808123396405,0.3972631224944935
SIDM00266,-1.0210498613670926,0.8762903170193874,1.5238132647370861,-0.9609709881391664,-0.9824147714611103,-0.6561987455173839,-0.7459881197195428,-0.47074286613404237,1.3677437589744224,-0.7399698114742491,-0.13294954056328118,-0.5093757355237951,0.1698468001099065,-0.8384808889067732,1.1358867099106509,-0.8410771508756788,-0.3269482853643039,1.2616092108950439,-0.8199557788054556,-0.4508169101954548,-0.7417903474140615,-0.7784692590827272,1.2139887882581912,0.29969136007904884
SIDM01064,-0.9273394789774717,1.3704209707105783,1.275128183480116,-0.8514915655912503,1.1107958872532826,-0.15615456491772456,-0.7802768479466221,-0.6002472237081719,-0.5129693962392753,-0.43960098247350277,0.5570329338063059,-0.8090157356526534,0.611912552509963,-0.7869380078586381,1.3684002173089695,-0.8255897049481715,0.07985795840808038,-0.8471164803370496,-0.9082046283712542,0.6451467772465274,-0.6825181589750972,-0.8187423499741344,1.525994937422527,0.17109028943317078
