,ACSS2,PCK2,ME3,GRHPR,PDHB,PCK1,PDHA1,ALDH1B1,PDHA2,HAGH,ALDH2,ACAT2,ACAT1,LDHC,LDHD,ACSS1,LDHB,ACYP2,ME1,ACYP1,ALDH9A1,ALDH3A2,ME2,DLD,MDH2,DLAT,MDH1,ALDH7A1,PC,GLO1,LDHAL6B,LDHA,ACACB,ACACA,PKLR,LDHAL6A,PKM,ACOT12
SIDM00519,0.29511761952327087,-0.520767737402791,-0.4276127864911794,2.346574050289268,2.3969787262500835,-0.9713397927461586,2.0318384817801918,0.3268015394243121,-0.8791824657691152,1.8839613392834744,1.5815824349005054,2.115628202017624,0.8010804861327718,-0.8435072148808965,-0.8063657574288914,-0.5232081993295642,3.1969906449327063,-0.8576200798195226,1.5835178765014222,0.6210566013109194,1.7085690665840134,0.8409676884375483,1.4707146870366712,2.3574594457173115,1.7789139519022503,1.3563903559299733,2.7984035015981887,-0.04734848633950823,-0.6947717694481977,1.7949001896309749,-0.9630461719698113,3.2514106245128693,-0.5895864126264033,0.04143448515804447,-0.776407906036647,-0.8199571689843174,1.040664692787864,-0.8498789175272166
SIDM00917,-0.3012730783617963,1.5628348025876244,-0.44868230534838943,2.97237548701572,2.2927971273300978,-0.8772411303974126,1.882185361736023,0.16178218933883895,-0.7543959467432741,1.5306730592443836,0.9875022302127456,2.328122615397938,0.571618518517897,-0.17995731620204564,-0.6698488270688551,0.7618701740394169,3.4506279829399045,-0.69003777480661,0.7546099411742857,0.9842208711699854,1.3250852221660985,-0.5058578943192685,1.930974202795533,2.581099354957047,1.6228199580137794,0.8000798020078022,2.8879645771023728,-0.7657183485170751,-0.7998665467825193,1.5108589706076818,-0.9257808205868472,2.8678666604260337,-0.7044831257380413,-0.3196029692773038,-0.7749853803013764,-0.8578580274183351,0.8551162367446061,-0.8037062111950244
SIDM00309,-0.03028763836064123,-0.1836013138611848,-0.07995945407988427,1.9802773080212868,2.776907285701644,-0.9947996642237837,2.1637142305635044,0.9844704359577299,-0.755176295644106,2.044412695913489,1.6300128197525552,2.1905855387733393,0.954784090973499,0.0608437933490491,-0.7531541140672057,-0.23573086709942173,3.477275800113581,-0.3973103104263255,1.695969799275439,0.6268363851684429,1.8339944601095088,1.4691261244116733,1.2855291335536827,2.6235774140218213,1.756873560989428,1.0739426659859639,2.9812473466327356,0.24218797152292582,-0.8436013205124288,1.584158354496112,-0.9041400495394192,3.3343110031972407,-0.5933256468647696,0.0767295894549805,-0.7836999865545959,-0.9089258859309005,0.7259929512196759,-0.9348669282703654
SIDM00099,-0.0013473714606467336,0.8156044688297786,-0.308586137934374,1.9269393685600118,2.0318087289295415,-0.9518379246629353,1.8471939673329147,-0.04974230606188002,-0.6992779451105047,1.6587447290762307,0.8255992518663462,1.6880244254139187,0.6708620725392492,-0.9196515659196373,-0.779275584985236,-0.18928460949109388,3.463786142027431,-0.20533822789787812,0.7537540674193322,0.17834408153422215,1.6297378894987773,0.832568243536906,1.74419324335161,2.0558383126069044,1.765453785143823,0.8022420356997684,2.7284314688615496,-0.22052098185750413,-0.841717590300801,1.739675730215725,-1.0206689738543115,3.3186882941346876,-0.6652942372952481,-0.3617213969293093,-0.7419947159271147,-0.8236971253443145,0.9287519574133235,-0.8317427727589267
SIDM00276,0.578721269719088,0.7416376797674441,0.04935399989574721,2.152791258857635,1.9614454106166586,-0.9095681404847161,2.0148901195140376,0.2367673266587503,-0.8020474984879744,1.539657840374039,0.903857136505525,2.631149885570977,0.6002457059117374,-0.7902924644522992,-0.6657310354224503,0.0805496840526151,3.2970195384274934,-0.7102755233137648,2.4374289794873776,1.0001350865384893,1.3776031459929157,1.4218166096185478,0.8038496163004342,2.320147548651848,1.6291554508629624,1.2853364286614113,2.7245245814785255,-0.2715353348482606,-0.577971175289567,1.8504533717257743,-0.8657375953577826,3.34544033941942,-0.5732440366135313,-0.04310995448981765,-0.7843056258198139,-0.8716678248317035,0.8633541890310813,-0.9851438368998413
SIDM00311,-0.27573942453245953,0.5335854535840204,-0.17948004961716163,2.1688004529764022,2.653735006158347,-0.9358074124728981,2.0168288479313285,0.5375278773673092,-0.7536922757409688,1.5103810795312793,-0.39572946679666754,2.2510934519976646,0.8141880733349468,-0.8124379379720148,-0.7015528757031322,-0.0505908990557558,3.258151629066105,-0.627906945597283,1.6560147014352513,0.6020238004528353,1.403225295754775,0.7039665427985154,1.2717834524956464,2.227946913237322,1.6737126341132915,1.0522283060074178,2.318885538180146,0.37060933935053214,-0.6881380658089882,1.9902059312622233,-0.912002358635423,3.7035303705118965,-0.6737463006462355,-0.25827882505059846,-0.8123729671874719,-0.834503014499932,1.5363665717290682,-0.9237733505503264
SIDM00970,-0.20421617813623721,0.37070217563053226,-0.3425294654991001,1.6585758397583925,2.1207296553149657,-0.8865654963797573,1.8099129036270083,0.33591301963711573,-0.790118127264569,1.0546236571603933,-0.7201920148016463,2.4488725160241955,0.31301983138880823,-0.46676817287556144,-0.25283205794944896,-0.03546332023494202,3.499014681363831,-0.7806211074671439,0.7608278006670409,0.845986754283336,1.4491222181167558,1.0380871160648786,1.332344417909916,2.503001469396825,1.694679870369973,0.8623994527877187,2.4413793046701358,-0.6490675668523387,-0.8637439058786387,1.6474025259408234,-0.8456451255926264,3.034010313460711,-0.6817314549894224,0.0910250679018899,-0.8650316453786014,-0.8739730626653679,1.1451164792831907,-0.8810614875370731
SIDM00103,0.22467955986547286,0.7001919680304667,0.015565124240769397,2.8968379455774023,2.612542752847421,-0.9724739990703349,1.8784509191795395,1.2594088871511915,-0.7281922730313234,1.4742149589426032,0.4389370103908405,1.6886143139599472,0.6755126127311989,-0.7780216303914902,-0.6033581771803255,-0.5252269030388881,3.1865614879524715,-0.6008440257079773,0.9351822444174724,0.0927298615717368,1.9695101279538043,0.24834820655537557,1.3919603841825263,2.202863754809861,1.5746552241162448,0.46831746326186735,2.7364768711527456,-0.2946678181916362,-0.7010306196391574,1.779706299087042,-0.9819859427627553,3.359897013087449,-0.6395225325884406,-0.26266618217155147,-0.8341732326940375,-0.8265597023796025,1.264724710650215,-0.8819385007496134
SIDM00266,0.8195315435065648,1.1423020406974322,-0.49452619748127113,2.174152726025607,2.5532721832222443,-0.8841199365630958,2.0422445798988567,-0.10244850770486642,-0.7584083288069189,1.2194237431986377,1.6582370703601024,2.743270221112306,0.9519662327651953,-0.9376583186836714,-0.6573294175878378,0.5028498374932346,3.56176928105793,-0.9953321530010145,2.3288483541495943,1.4056667885621585,1.8155206378386164,0.7871429610249502,2.0709145466929657,1.9527535319167684,1.868734642060359,0.9957383670105221,2.557890963298557,1.1381351972950031,-0.39708724649732774,1.8642099401968455,-0.8763090604513163,3.325970090142578,-0.024465516671967693,-0.08204248702817413,-0.7518317989959907,-0.8702297787241525,0.763663823700026,-0.8715310040842746
SIDM01064,-0.7145933846227724,0.6631232376814669,-0.442292664655413,2.314469923848314,2.3010533195696574,-0.941576874297403,1.59761976147336,0.5992779551442026,-0.7963712359344854,1.6252306258558054,-0.7301487036633993,2.004131513003939,0.7291323055269603,-0.8791317911286247,-0.833228434582054,-0.657689674646519,3.3148586521844505,-0.5753872538739234,-0.8779525918269128,1.625370907328304,1.1305584264127977,0.4509594922089069,1.8882593056972234,2.3642205193447445,1.7740629670919035,0.9501436970901475,2.634078852068498,-0.6808861758033511,-0.7552597163868437,1.9183844099555065,-0.9000034165049233,3.3769195498792537,-0.5164717061249076,-0.38254558336356764,-0.7626777218484814,-0.805417001290536,1.4657151882263066,-0.7998116579777267
