,JUN,CD80,CD86,STAT1,CCL3,MYD88,CCL5,MAP2K4,CCL4,LBP,RIPK1,IKBKB,LY96,MAP3K8,MAP3K7,AKT1,AKT2,CD14,CTSK,AKT3,SPP1,IKBKE,NFKB1,NFKBIA,PIK3R5,TLR5,TIRAP,MAPK14,MAPK12,RELA,TRAF6,TRAF3,TOLLIP,CXCL11,TAB2,TLR7,TLR8,CXCL10,CASP8,TICAM1,CHUK,TNF,IFNA5,IFNA4,IFNA2,FADD,IRAK4,MAPK9,IL12B,MAPK10,MAPK11,MAP2K2,MAP2K3,IL12A,MAPK13,MAP2K1,MAP2K7,MAP2K6,IFNA21,IFNA6,IFNA7,IFNA8,IFNA10,IFNA14,IFNA16,MAPK3,RAC1,MAPK1,IRF3,IKBKG,MAPK8,IFNB1,IFNAR1,IL1B,IRAK1,CD40,PIK3R3,TBK1,PIK3CA,CXCL9,PIK3CB,PIK3CD,TLR3,TLR4,TAB1,TLR1,FOS,TLR2,IRF5,PIK3CG,IL6,PIK3R1,IRF7,PIK3R2
SIDM00519,1.450651171689224,-0.8773960331696109,-0.8494147967707412,0.8117543098289354,-0.8211887500507226,-0.47178469893652214,-0.3219774777435255,0.8536117751585641,-0.9585043397599834,-1.0618036905435781,0.3009024851672452,-0.13511638424224445,1.8501050379037707,0.3935452395812294,1.4429260628253475,-0.3955558339139622,-0.7032513775795374,2.0783916994166614,1.3949440014231795,-0.29600760340522414,-0.5709444123976785,0.11745421659356035,1.6810797093900343,1.5124775933865677,-0.8367236396892249,-0.9476050353575899,-0.5641334968634556,0.37111776949571185,0.22566466874088495,-0.04413591818367234,-0.17858717545229483,0.24880699117806257,-0.5241996856490287,-0.9822177660356078,0.5829209855304018,-0.9110939743318005,-0.9080725987671192,-0.42780199136002295,0.0006099864991469575,0.44898081378431737,0.8161035609072119,-0.5600337566519754,-0.9545172274613523,-1.0129931015747884,-1.0039804812469049,1.6568903330029767,0.06066420763083665,0.7229490449626709,-0.9078612974835442,-0.8000735354340742,-0.4275518556801686,1.2117328419628624,0.9184842646917146,-0.1732660053484683,0.5838466638312486,1.4682702253736368,-0.13095442971362944,-0.32925879534820157,-0.8521458703408168,-0.934189271756039,-0.8809774858524404,-0.7783965622126561,-1.014608444281772,-0.7443906954699843,-1.005563280054395,0.5154256853947725,2.769353667407342,0.20225978087680163,-0.48351163077325715,-0.46833018718845176,-0.3898911071975693,-0.6918780635555453,1.1255389734960082,-0.2167654205277526,2.234641151153429,0.7556309314959715,-0.7187735136670106,1.6388706153868304,0.31954704636902964,-1.0431178222299227,-0.18112189125699452,-0.5861729564811344,-0.4965078952817794,-0.8372193965054766,-0.6942617738590277,-0.6843543875575446,-0.2966005646921992,-0.12215688911877166,-0.5546344488990147,-0.8386561761109992,-0.06574918497559652,-0.22309303738012728,0.22464836262441756,-0.07939079386696714
SIDM00917,0.3557040154974996,1.826736739893343,2.2939909671583387,2.05407705242873,1.8843175196288384,-0.2731567214626661,1.5810691863936355,0.9061781709798711,1.2358933916315653,-1.0609986143558479,-0.36849187467602207,0.36611728776337293,1.8336582677888091,0.8960824196753857,1.3335708815362415,-0.44961501627394507,-0.43991493639764384,-0.8223492756118116,0.3153373878316139,-0.53140709085529,-0.8234728961144411,0.42748987158923957,2.706514981805068,2.926357499895323,0.4079912195723818,-0.7132212223040106,-0.5935993339319611,0.2015353129556218,0.181379694899807,-0.01219307294287043,-0.01820099558756851,1.2632262210408287,-0.3093890443983271,-0.9231075813855718,0.4666605156430873,0.46671494841215866,-0.8720813935683408,-0.7148535000297576,0.17923875659352212,0.9752034964987666,0.9771338680956163,1.830999589279416,-0.9846807475030495,-0.9034954879655271,-0.1912172530333991,0.9217449476682111,0.432561677880402,0.3279819575978883,-0.5848995554409336,-0.4789249487721815,-0.525953339268432,1.4353305093647586,1.1114459492290452,-0.4113101972766817,0.47021257552627205,2.1682208807797045,-0.2359058389791639,-0.06804046775688463,-0.9271066337250823,-0.7472278565975979,-0.9501366300578844,-0.6430285373891311,-0.8520899851215884,-0.579628723323272,-0.9860393778203127,0.12581611851856564,2.1032589178303955,0.7518296918279702,0.017246985436043288,-0.4990074757813973,0.7084240651382601,0.298402417220705,0.498818631883671,-0.7157615594981127,1.9082271304078615,3.0185796191821663,-0.33826179106292537,1.8525858066608791,1.6959402178273975,-0.9357320338554479,0.29428175640692444,0.6552993831852555,-0.5654293704862162,-0.7850538082708308,-0.6218995698285426,1.2804311014513567,-0.763011425278973,-0.62313547209208,-0.13356254939027012,-0.7207299110933022,-0.5730148655163706,0.09639864077465503,2.2455559279497956,-0.45814276637380663
SIDM00309,1.1989135914686246,-0.8756893981451909,-0.8970896840721696,0.6396077119275543,-1.0376503579746095,-0.4487262270553846,-0.7494871161450463,0.6856889106587097,-0.9706672424391432,-0.9613010532442962,0.1294836694756633,-0.03539533274547862,1.7233555686816835,-0.07284621490403262,1.3720361928870406,-0.2912125403265399,-0.5673413731578653,-0.5290589212600076,0.3417435784589008,-0.323607853268389,-0.9068914391053734,-0.32002010924058955,1.4951173730900065,2.224831625741866,-0.8541154838838494,-0.9983888857205795,-0.6465129184709443,0.027781658176252295,0.16320294456720882,-0.07075364474348073,-0.09823501433670695,0.06557768777281105,-0.15041756273470472,-0.9444893050141266,0.42701348150114865,-0.9240364130717509,-0.8299756429516462,-0.7001147176379907,0.04318044773879801,0.3363157577047336,1.0570803897792147,-0.8252947442022723,-0.9764532022570535,-0.786920370637195,-0.9890018209755258,1.4713581531465492,0.31789256164362995,0.7807549866059781,-0.8779990737646883,-0.8191751222390329,-0.6920362432120015,1.29693709399388,0.914281731536143,-0.6676006313017869,-0.6167940378906848,1.533801591408699,-0.24323890091214959,-0.32064613607320613,-0.9160398720931994,-0.7874953443645246,-0.9250245024213454,-0.6846273300573748,-0.9332687143000141,-0.6637140629338979,-0.9126444980590723,0.5986800821643932,2.5778827866642704,0.19821987316206793,-0.12803825338191174,-0.35404607635741997,-0.39617924839638224,-0.775524936227725,0.8713753854744617,-0.2638700280432006,2.184304477231024,-0.09459870333919498,-0.5719067588538529,1.6157650136668738,0.9023372519923574,-0.7590212474838242,0.4332412209128918,-0.5018997117469767,-0.15418980707050844,-0.8259978573783899,-0.6517759836248341,-0.9624459061095153,-0.7280138679522405,0.050104014073232596,-0.5394216656263292,-0.7952065883643438,-0.5258352209916104,-0.33145082133245723,0.4104921777641561,-0.1603682274832688
SIDM00099,1.2804267594778411,-0.9153341784676792,-0.8352389370433234,0.7980042189590422,-0.9444538663086335,-0.8365649008926325,-0.6856084021375127,0.49088961829913735,-0.960013613362531,-1.0006394747499123,0.10632656163102545,-0.178519674526836,0.05853396091545546,-0.6036421853453281,1.4850624809205493,-0.2291313922542609,-0.5616008280392394,-0.8362120400935583,2.2981857934853185,0.4590628778438762,-0.9223360708397124,-0.5381350450691637,1.4286800173594663,1.3423688261952067,-0.8097681129008282,-0.18498549475043324,-0.7119082492202848,0.15698173939898816,0.19782956718958974,0.13366079755805624,-0.19688733199262035,0.18611870773196326,-0.3888132864994334,-0.9802039383914832,0.5829315842777512,-0.8860091373658484,-0.8477546082513578,-0.7073854955055547,-0.2420353614863415,0.7922977510121132,0.9480620406235725,-0.8381578425807334,-0.9314825197041255,-0.765466022188897,-0.839476962741347,1.2681470254519487,-0.5604937108484815,0.3390362523399091,-0.9321540167843939,-0.7705711201622135,-0.6524415497699577,1.6865245406992782,0.8757885213634468,-0.7390069908009805,-0.6743050407145389,1.4524860221399285,-0.08853232014296893,-0.4856989509765795,-0.8483775017250621,-0.8748401624059226,-0.8642024137798934,-0.7194479493262311,-0.9689928714425293,-0.6168004833558962,-1.0013842105084956,0.6202538847874911,2.5640336413202114,0.4272251428179874,-0.14862822052531197,-0.48127298654902717,0.13335399968062153,-0.7570747280547233,0.6662394017245644,-0.6613169484086525,2.0635899199885017,-0.7347886175356101,-0.745840851085465,1.6894232706149346,0.9772417205774084,-0.8258401036564635,0.2470462313405816,-0.60403659056009,-0.8181446760075909,-0.8061832567714339,-0.7242864418082253,-1.010666227525964,0.032363518786125416,-0.9841335655919813,-0.5951367130440375,-0.7412131459935081,-0.813236293695699,-0.30151261608262947,0.10830879768382208,-0.29295489699624994
SIDM00276,1.1495267237151896,-0.8830804637983855,-0.888641716585704,0.7299756676216173,-1.0033338957368583,-0.4726614705041721,-0.7966182986974407,0.7319338128724997,-0.9859207825142609,-1.0386351280852728,-0.10074130873011701,-0.22945576373960963,-0.5204461585277325,-0.8319947349210246,1.2861609568192804,0.11933883765264834,-0.5956790432627415,-0.8152281799459357,0.004814382800184281,-0.5519477570600904,3.036688318615151,-0.0378720707767677,1.5166522702960785,1.8837504521796675,-0.8267639290855728,-0.6077994887102046,-0.5833419638152602,0.3161658464418772,-0.0616438838510233,0.2185667859797125,-0.483533278006994,0.11294906241816405,-0.3298221575721396,-0.9882772586565596,0.5472303924671619,-0.813960382929695,-0.9011915041837542,-0.7447525846740175,-0.15621800348254145,0.3697473422564048,0.5164845613433473,-0.7093612735075637,-0.9825985233488319,-0.9167971715193116,-0.9873527477870035,1.6145808363374572,-0.3448226092226276,0.22516520348511637,-0.8642806201423239,-0.693685319706086,-0.7072319325125542,1.5730502356630185,1.2755666797266043,0.1493108560269076,1.4914025585674724,2.019959361654287,-0.19761384906400065,0.07916000121860613,-0.809077285411035,-0.9158989527804375,-0.9047895635859892,-0.6948294171203327,-1.0397376885474026,-0.6801464845557731,-1.0220052669089603,1.1105277507367421,2.537790164982142,0.3901472004011665,-0.05020018146694398,-0.576300583743626,-0.0691404580401485,-0.7581147864036328,0.7372744901512165,-0.45111261766847927,2.424268466971343,0.5995141011266852,-0.6488194164256283,1.193984156749285,0.4020237646019066,-1.023203126015477,0.030209795559018312,-0.5315367247175582,-0.13635749225650842,-0.7679320868710091,-0.7244286627056721,-0.6728617195248693,-0.5043323766106234,0.27926008238194844,-0.5899688247375213,-0.8724342233570149,-0.2037712524924354,-0.49045962005312094,0.7574629833445701,-0.4121884693058777
SIDM00311,1.6009746532649622,-0.9333903376864,-0.8897458545697337,1.0778381738374154,-0.9848157428265147,-0.4634178679714476,2.6065702328105425,0.5121588476229368,-0.9812853466026251,-1.1049925632284505,0.3701881271425634,-0.1436366764423288,1.8072962934964003,-0.6069985763286129,1.5217649565572562,-0.04068572253821361,-0.6105409974472994,-0.6967571099861454,0.3206764500281219,-0.27243689547260147,0.21061197102515572,-0.4047739335148927,1.7807493777478833,1.7433000336297542,-0.751888574666709,-0.9113272846112603,-0.7366294276353379,0.22038630050524832,0.1215856797023061,0.15884163586295352,0.18508660345019287,0.5226809795931122,-0.47942897305974486,-0.6153162391234008,0.5692126620072838,-0.9288765496159265,-0.9131048295941192,-0.5168455364564795,-0.1161798164687677,-0.033280454043996585,0.8036714917234041,-0.7630319113703132,-0.9430374891017629,-0.7182755826109317,-0.8524077813194925,1.5216817724486587,-0.2536524861597572,0.5474182472045206,-0.8905014002495889,-0.8049432169992577,-0.53551381406055,1.3593653195542226,1.0915739940647466,-0.3693355378255847,-0.558065289953534,1.8896826961927777,-0.27496927592504694,-0.5161589198999724,-0.8512110830222311,-0.8368740494826495,-0.8840334802052052,-0.7421597812625467,-0.9829654201076409,-0.7050104279154906,-0.9090494889245361,0.29001810221540564,2.5336087504973483,0.38729023043362193,-0.20303290357262016,-0.41368099135544933,-0.07582413085830866,-0.864323879514576,0.8345088849686362,-0.6986167104004898,2.173158288568141,1.1005456651389136,-0.677359328236902,1.4590499534325299,1.2324268605147033,-0.933108834879567,-0.16744840637044256,-0.5452007531527697,-0.4238229477778078,0.20142553943126226,-0.7354893540895191,-0.9966690429248309,-0.47377415735670114,-0.8947824880606604,-0.632271411362025,-0.7787929081177212,1.278100008928427,-0.1528127154303174,0.9975959139970584,-0.2815786822959473
SIDM00970,1.1125033789495749,-0.8623098708920847,-0.7858965953472125,0.4156426592409475,-0.8718840062122933,0.14596493996541038,-0.7800737977166667,0.2539807798261478,-0.9708253024669554,-1.0400260601378366,0.08114046094978117,-0.0316694772888078,-0.6500102050854752,-0.27869032346843203,1.1408235307705439,-0.10547988580351268,-0.32945864135872244,-0.7570694585135122,0.24397723815558228,-0.8508602838977936,-0.6888132987394903,-0.02911071373317435,2.047102764470724,2.2527880968170315,-0.8149726060877294,-0.1672102072285945,-0.7707663471550803,0.22025738468349013,-0.283948733105749,0.02339370108682473,-0.025831726989787737,0.20777358704481846,-0.03547437525193077,-0.9341958310702659,0.3079324782444134,-0.806688891230181,-0.9558843381262303,-0.7606796933933007,-0.08559988515420308,0.3202072318925085,0.3015782067203512,-0.9528144348089674,-0.950460404113569,-0.8086353560648755,-0.9628458212461521,1.2980681109729102,0.1256303338019862,0.17957833961123676,-0.9347543444801301,-0.0005214666553748757,-0.7101858439138434,1.0350064504926018,0.7436446832470484,-0.8531308427409137,1.1320125379614268,1.5480021660770813,-0.2499960950436658,0.17634610993410874,-0.9285609017144162,-0.8686470096722771,-0.8993150702671108,-0.5363557712034847,-0.9252176392017352,-0.8112331965919161,-0.9003975499844092,0.3293145122295789,2.70133784532971,0.8119872597350951,0.2902375309828419,-0.6183407853938081,-0.3662241185702077,-0.7723320811045791,1.0404147299646187,0.8619130503356253,1.7065777733523066,0.3478553319942334,-0.4642723288066422,1.624719354962291,0.6516507787099076,-1.0070071642767089,0.07842511824996666,-0.7197542934563707,0.22760069587270346,-0.525918775971935,-0.5771255711076205,-0.8842605661246604,0.970328271120959,-0.2569167872594855,-0.48949188354783885,-0.8051315465966639,-0.7280346011888512,0.024174200640533106,-0.17380665617033697,-0.3230373291454919
SIDM00103,1.9346272657562575,-0.8787626600903105,-0.849583314479646,0.9863331329856467,-0.933561540025525,-0.6476567496938768,-0.40439660552982293,0.4193752403248207,-1.0047340390809656,-1.0974232986154218,0.007930971797363677,0.1526785008488658,2.115496142686742,-0.632341803494112,1.3831803282219355,-0.06847722136698463,-0.5499446939252121,0.044617458168909684,1.2037533583878928,-0.24893693507670495,-0.8732138822298893,-0.4895226605241976,1.2461389920078365,1.3316515770819293,-0.8467818040121766,-1.0028598912085815,-0.6712648949554098,0.0013004073611845926,0.15811161940364743,0.05682964877522256,0.08536607866700835,0.2047325701929993,-0.0887562268709295,-0.9966656799499217,0.41805277842292776,-0.8728246582451893,-0.8473747261629622,-0.6967222105687646,0.05666128670094899,0.6340207707426085,0.8192588864072707,-0.7985828210686804,-0.957865194267097,-0.877539704681847,-0.9658273185517992,1.3533582671720505,-0.3198347996556772,0.06579980602104345,-0.9064598300519332,-0.8092251083840144,-0.6616446450437894,1.7208696588265395,1.253334838882961,-0.07200702243971076,-0.40427665466322144,1.3916393884940752,-0.14844929526096878,-0.4248265892447458,-0.8664884361914473,-0.739806507655852,-0.892657891155546,-0.6929126982956768,-0.9216055554093888,-0.763702385209971,-0.8888302497889217,0.80055510601947,2.5729208617833472,0.3533626797819316,-0.46689302336236793,-0.4292891057591731,-0.40114405850187046,-0.8165113459856128,0.7519599382896577,-0.5290849951425801,2.523919148698665,0.42989452965257147,-0.8018036490477344,1.346629198988433,0.8649885642906499,-0.9765273102217469,-0.012228360223561519,-0.5742533021236681,-0.8982279544630865,-0.21581228186723536,-0.7207902339874,-0.7530282242597345,-0.760248912439599,-0.8835787625661462,-0.6095629087136012,-0.8415395909860525,-0.3129267717127321,-0.19631857119045654,-0.09222338244232163,-0.10318863179885122
SIDM00266,0.7547732186794955,-0.8951051895649392,-0.7784463507029376,0.4262766490363536,-0.8503897872899566,-0.684711836463478,-0.7286578393815804,0.4011389814825354,-0.8926989910874824,-1.07713852894072,-0.34861612748532833,-0.2454207720614906,2.2830011520825275,-0.8793103130253153,1.4709432974225625,-0.3555052293772311,-0.5117967119573102,-0.8361814087642498,0.7167382023132961,-0.8347357449295455,-0.8891367485826214,-0.5868390087059432,1.2716264406624573,1.5394493332535957,-0.8496389728152324,-0.48296590281806145,-0.64677029944832,0.20226953876461828,-0.08669129486398476,-0.248028129252309,-0.4356357129989262,0.680688275400782,-0.485603776456163,-0.7966344893618023,0.31814625611988284,-0.7904227801930815,-0.7939848488192358,-0.09570510451100574,-0.1300122715286382,0.26856630463788483,0.73891556292186,-0.6886728367980001,-0.9923470920742694,-0.8129946085672685,-0.8798001759838683,1.0402083790739116,-0.2474678986957821,0.4323758508759002,-0.8230027830372577,-0.3600812305976859,-0.7213032168910508,1.421884080467031,0.37867268065868775,-0.6029143542640338,0.020916236547061776,1.3033679463501235,-0.1614697313923173,1.498995925038835,-0.8746654531784199,-0.87606911962658,-0.9137514337276893,-0.5265917579278834,-0.7866057380276715,-0.7153788230482185,-1.0558918364766967,0.43598438125523226,2.423210183355695,0.5203234391390296,-0.3630853084573058,-0.5568467555927609,-0.30005824183715535,-0.7621357231027707,0.07772004131499462,-0.21590178351473444,1.8160217957287108,0.906066289592875,-0.5568906287862644,1.2564749997410072,0.975240071825603,-0.9302316482976943,-0.33462897669646635,-0.6595534890448225,-0.8185621580634935,-0.8431008895558239,-0.683310747750963,-0.9329042768238102,1.5013876299231168,-0.5263432211282376,-0.7034661197198223,-0.6325575608303017,-0.8609391685527416,-0.043248545248515055,0.04423030413114099,-0.44868059800330085
SIDM01064,1.1767698825357338,0.35024018260585893,1.9345792136160118,1.2866763672843036,-0.7014182035443548,-0.33346317898574845,0.2926152772714306,0.49371136136102367,-0.7747435490650563,-0.9341486991035346,0.502725520383832,-0.051216720492121844,1.3877901509189046,-0.47959176633519296,1.3905928719004024,0.12561007301362406,-0.5099221426094163,-0.7347809822108665,0.14128705020986215,-0.4457132286410602,-0.8198374124974013,-0.34838413710210075,2.224705986401305,2.441087912138068,0.00999373611543667,-0.8314903314025612,-0.5296165844743999,0.3799612684593851,-0.003268500461773034,0.054157544537158105,0.5276334487591244,1.18734204864023,-0.5911779640200021,-0.8814207928895615,0.7335244459433932,-0.8287115422644737,-0.9085339227641547,-0.6626763531566217,-0.4158480958375661,0.7133387355543312,1.136571207278792,1.2615577021538715,-0.8798472352642068,-0.7597015631410159,-0.8925987486119213,1.349767548081793,0.5788892972784462,1.5451934254228694,-0.812206662984279,-0.8948051722627113,-0.4817365671169845,1.1257725690972324,0.8352703443306618,1.012873667397358,0.30136442387271595,1.9344409784512715,-0.21505805647415066,-0.24627051765342797,-0.8537455885241033,-0.8428301898563473,-0.8879849273672796,-0.7391270942505996,-0.9639943186570036,-0.6984660886578938,-0.9253239990831639,1.0024155733741154,1.8105522688699511,1.324784881453375,-0.12938310194022654,-0.2614683980259644,0.49006099709420986,-0.6760600484738661,0.6316816694292823,-0.9442081731163728,2.110421671200975,1.5576623811316819,-0.5222596854068073,1.6373055326308077,1.6317312906782862,-0.8766165891973949,0.201441486318639,0.5128280268281551,0.29552960171904963,-0.8177856584391479,-0.6034260967432533,-0.3446184815739204,-0.7361677029592799,-0.9626641408227457,-0.15298586141931955,-0.7788569289509498,1.0169902188629425,0.8846240816513324,1.119494401188992,-0.3221179351293593
