,GRM5,PLCB2,RYR1,PLCB1,RAF1,PRKCB,PRKCA,PLCB3,PLCB4,IGF1,CRHR1,GRM1,CRH,IGF1R,PLA2G3,GRID2,PRKCG,CACNA1A,PLA2G6,PLA2G2E,PLA2G10,MAP2K2,PLA2G2A,BRAF,PLA2G4A,ITPR3,PLA2G5,PLA2G12B,MAP2K1,NOS1,GRIA3,GRIA2,GRIA1,PLA2G2F,NRAS,MAPK3,PRKG1,PRKG2,MAPK1,PLA2G1B,HRAS,ITPR1,ITPR2,GNA12,GNA13,GNA11,KRAS,GNAI1,GNAI2,GUCY1A2,PPP2CB,ARAF,PPP2R1A,PPP2R1B,PLA2G4E,GNAQ,GNAS,PPP1R17,GNAI3,GNAO1,GNAZ,PLA2G2C,PLA2G2D,PLA2G12A,LYN
SIDM00519,-0.9647954346433641,-0.5224688389682631,-0.7682816255885855,-0.28388167354621846,0.41097071018801634,-0.693256665426057,-0.14177020028773454,-0.17219165357449026,0.07490848976441174,-0.8069700227069544,-1.0007893787323585,-0.6383102379071678,-0.469127049412467,0.24168238824328261,-0.6850179934614118,-0.8450579663165312,-0.7837771690016947,-0.7333729305354163,-0.7554360435351557,-0.8433965079575642,-1.0091032468882672,1.2117328419628624,-0.908346409006008,-0.5413997596560421,-1.0116036917247377,0.23130577724304688,-1.0585534009949649,-0.6626791441003931,1.4682702253736368,-0.8581953720467783,-0.9415065745594065,-0.9998320503920795,-0.8006738270340403,-0.9895476338726719,1.221839698263148,0.5154256853947725,-0.7738641203613367,-0.8958454438120005,0.20225978087680163,-0.8607035765925894,0.8798485214472693,-0.7203016974859953,0.41355116441195894,-0.027699052895415573,-0.7643596271581187,1.759509928435881,1.5419688881072011,1.5624281652834855,1.204096884232378,-1.1277859687413132,2.3131850173963175,0.07456749189187163,0.7447594215576702,0.2608362555348689,-0.915282395936786,1.3348226942570265,3.0824770249581417,-0.885119909208148,1.3494180606695867,-0.8444535392985851,-0.3618839234501659,-0.8463618549593636,-0.8869410620692143,0.9829538935460095,1.0616726236766958
SIDM00917,-0.9727597483715021,-0.7484199006984038,-0.8231057604509177,-0.8155343332125046,0.6703226732559828,1.6723657668354104,-0.5834552659254151,-0.625387120020742,-0.7800565199128136,-0.7610539101750744,-0.9867793413452651,-0.8323241016787386,-0.42652509918072673,-0.724651281633404,-0.7055607273055641,-0.9650522137726646,-0.8209437091275041,-0.17976425834833118,-0.6983322727342728,-0.8268625016050603,-0.9810378849179168,1.4353305093647586,-0.8391205397817006,-0.08737606934962737,-0.8022800340243171,0.2803950818865365,-1.0038074211075247,-0.8662341496460776,2.1682208807797045,-0.7901190618414349,-0.8597843637725621,-0.9405278426256424,-0.8612144771970766,-0.9505741889748194,1.5502036363871254,0.12581611851856564,-0.6403495025951672,-0.8445431782027923,0.7518296918279702,-0.8616015082723868,0.5785314872233444,2.084349108020831,-0.23188268718698102,-0.26588173770816,-0.28958453673464024,0.6190993811339816,0.6747655177517772,-0.8015429212983989,1.3337234561834943,-1.0714340085707588,1.801482297960035,0.3104583380836929,0.8724956301614748,0.008589338708260839,-0.6117874873680419,1.333536923318862,2.997911791706883,-0.8031901141531522,1.5765793998814601,-0.8048207724775841,-0.7556840441936612,-0.5902381844032991,-0.7835150385827508,0.9387272697614286,2.599953714582175
SIDM00309,-0.981843343731525,-0.8288201783708491,-0.738275952725578,-0.8099176556565033,0.7255659061086115,-0.8444723115073255,-0.2444585548068717,-0.30167521091617444,-0.6675338271001798,-0.8123720685046184,-1.00873347962761,-0.8324620727116927,-0.5314640619122364,-0.19003279365953166,-0.6997536519140191,-0.9731709111129242,-0.7892785415681088,-0.7982499460586311,-0.698775437850522,-0.8110858275877346,-0.9720171270898533,1.29693709399388,-0.9554116438070824,-0.5982155072109197,0.37204762457276763,-0.060644982753957216,-1.045958199149002,-0.8266731319775593,1.533801591408699,-0.8456682406461499,-0.8690336818189741,-0.9611548463247325,-0.8658813252718345,-0.9321267724225204,1.256524659301111,0.5986800821643932,-0.6334222463470289,-0.8639766381957944,0.19821987316206793,-0.9305593624071036,1.0882773068400704,0.1758981765566195,-0.5964080220174995,-0.1752781626131636,-0.6733080286689712,1.5926576742677376,0.44635764588407606,1.0431219546695902,1.7260176775013463,-0.9959237312543462,2.1843999219309045,0.07713419241059723,1.0802815444112424,0.20175189135711027,-0.8396045563178794,0.9300509381485954,3.23694400189608,-0.9405199271496245,1.2577300723385132,-0.843360248516831,-0.6280044480065535,-0.8320019248002899,-0.7977798730879978,1.70553371557291,0.6441326067299576
SIDM00099,-0.9359463896791467,-0.828473055770185,-0.881155704722741,-0.06562375297592993,1.1767266262913327,-0.8126854339693373,-0.13137744725192088,-0.2828811985284016,-0.010766273318534629,-0.8420840144334021,-0.8969920566665526,-0.786223988458468,-0.5444655270632907,0.37613355995859515,-0.6520919920808488,-0.8890612833630473,-0.7737446713268549,-0.7121380004897893,-0.7387936053109125,-0.6719447568385949,-1.0210522435705907,1.6865245406992782,-0.858795850759276,-0.4747716843383623,-1.0218854526357262,0.4071124894127082,-0.9976272469691949,-0.8568144494221323,1.4524860221399285,-0.889306792091601,-0.8289587958885136,-0.9229085658838628,-0.8467950200832652,-0.972993659074612,1.2061207614674792,0.6202538847874911,-0.6902782682250636,-0.862896826298409,0.4272251428179874,-0.8556420818499619,1.0093641595797609,-0.48277610031675605,-0.6708161837967919,0.23554763224771882,-0.49576915959398726,1.619188059490869,0.6730085000785737,0.9279949003657944,1.3334506185405113,-0.991029239578319,2.5945016931685094,0.007434448992897634,1.1569291592876152,-0.26397111345171087,-0.8210140128213779,1.6313964212235816,3.400105283773008,-0.9219910638909807,1.772365471261806,-0.8287445205131835,-0.5744882469986163,-0.86124548210325,-0.7504937461532906,0.43443701066540386,-0.13631200820160339
SIDM00276,-0.9957613145141574,-0.8201330135193009,-0.8622740366137611,-0.7788636541550895,0.6944907569106895,-0.7890798899543415,-0.40676241488024195,0.003181374961338923,-0.7093503530086754,-0.8100300141193602,-0.9432024535876062,-0.7633773955201181,-0.5314632370705741,-0.40741203898103584,-0.6799268319117648,-0.9269300786092222,-0.7574964145062062,-0.770335393690034,-0.6837233923198708,-0.9156763157550357,0.3876511881634544,1.5730502356630185,-0.8057537278720598,0.4225250613223542,-0.6802706896435589,0.5243242550444455,-1.0456382015192203,-0.8849210300509877,2.019959361654287,-0.7513960091459745,-0.8834856316751661,-0.9516948433214696,-0.9361448552522226,-0.9713400771111201,1.9524905147513523,1.1105277507367421,-0.823273462337547,-0.8799697234246842,0.3901472004011665,-0.9329671401851335,1.1816656923996194,-0.5443190874339499,-0.7489707943437317,-0.19648133975242713,-0.5511766540550338,1.694768933111216,0.6515748950888393,0.5008446396137698,1.361698122446652,-1.0332731746646098,2.3557738643704207,0.3319259955565263,1.0136013201486003,0.21674865593997988,-0.6196206763585796,1.2079609471188764,3.3563369398163165,-0.9480210532782286,1.729278170054739,-0.8036438490089528,-0.781014653276604,-0.825849163375806,-0.80878416615467,1.0599953897512413,1.538287484023975
SIDM00311,-0.9331755407877509,-0.8575282564558809,-0.8065476838017979,-0.6990640606832124,0.5447987316773143,-0.8105801305761055,0.7056643480085137,-0.011229847868629248,-0.14213813901389724,-0.8127392125710633,-1.016364395587509,-0.7731499745911633,-0.5134622258205878,-0.19024781705445357,-0.7036655802229366,-0.8787860402616873,-0.7393564213780424,-0.4887904722846012,-0.8051409034030218,-0.8394633264695162,-1.054186096606148,1.3593653195542226,-0.8547788795453823,-0.7453538371884136,0.13027171813925953,-0.14954882203939818,-0.9550506598284961,-0.8069346609114783,1.8896826961927777,-0.8170338047222186,-0.8665390008697079,-0.9550523451923879,-0.8900368452250145,-0.9974412198044029,1.5785594577365645,0.29001810221540564,-0.596212028758563,-0.7259341888178908,0.38729023043362193,-0.8780408538143946,1.1499067182680816,-0.297196916930855,-0.6355736511643333,0.24615387139158518,-0.4530859052950045,1.99544738342623,0.5102474431294666,0.6190998396265972,1.7660340308372604,-1.0216377274479327,2.14150776480264,0.08589945360217498,0.8190079611583896,-0.07971200905591741,-0.8672145225539768,1.38581750818193,3.3097942154221136,-0.8963558333044912,1.8407117244370457,-0.8160834603972159,-0.6478713750088708,-0.8579385075539958,-0.8653644261684323,0.9595621741522522,0.5216602945623253
SIDM00970,-0.9412082136140476,-0.8729264863234977,-0.8568094939879876,-0.2056887890907924,1.0032059249628758,-0.7355939801807603,-0.23316708625249377,0.3691638520888408,0.018608130776813853,-0.7702518987849236,-0.9460429552085523,-0.7427034785820373,-0.4171156203286795,-0.17167322440950866,-0.6784045593186835,-0.8281456734349212,-0.8510645530002491,-0.743923029527322,-0.7574719229506964,-0.6888230047759513,1.3217577016747517,1.0350064504926018,-0.3908837056288941,0.16764458696924706,0.6571301454544184,0.0232715350514139,-0.994838682054863,-0.8011085379766891,1.5480021660770813,-0.8307747727808694,-0.899325407894801,-0.8136551581432439,-0.8724273725065558,0.4334215230072857,1.2890579677789475,0.3293145122295789,-0.8416770313957599,-0.8144959870259191,0.8119872597350951,-0.8362080727679566,1.3507311932125972,-0.3849159694104453,-0.8231778836173611,-0.24104407850557782,-0.28542703640142,1.5944586769210394,0.8955143169693113,0.7577928930312189,1.5581281885373102,-1.0355886159555343,2.443523958218484,0.016143176077876336,1.1898177755524166,0.12402837437917921,-0.7967784638565522,1.3877255711812926,3.230436858915878,-0.9668835867123184,1.8706812423030812,-0.803655653543426,-0.8063012707042954,-0.8498109810761587,-0.848123374276097,1.2699804597788635,1.2608411430676931
SIDM00103,-0.947877638200008,-0.7878343911565672,-0.8312846628792556,-0.8394236156336857,0.842042295483723,-0.8670659958030608,-0.28424573269653736,0.10537069320392656,0.6929036419545747,-0.7969174172790026,-0.9394823341755446,-0.7539043995090604,-0.4112467426647495,0.023540062073262376,-0.645315576779291,-0.8647702969434152,-0.7682631555429059,-0.7076588731594482,-0.6726244867374868,-0.79915342753613,-1.0820791556080098,1.7208696588265395,-0.7998276058930084,-0.3199136617291577,-0.9942213356313719,0.6363394407494628,-0.9444389806237633,-0.8693087562790918,1.3916393884940752,-0.8198624622143239,-0.7855602966138794,-0.9013407583732873,-0.8751633164248374,-0.9606979439575039,1.5912580346491147,0.80055510601947,-0.846112080811885,-0.7840316114845433,0.3533626797819316,-0.8928968330839427,1.4511064022891142,-0.6334190648656081,-0.8590883299385064,-0.017898145198039717,-0.5428958900820408,1.7877853420598013,0.019609299068091418,0.9331583259683843,1.7040941639938407,-1.015674024147578,2.571323359728546,0.0004835080749557808,1.4013222235786624,-0.37538084504721186,-0.9498515779066433,1.1908561462898601,3.2486743295430394,-0.9033071267512189,1.9663959762821708,-0.8598105031063454,-0.7418740543644833,-0.7861875438867996,-0.7947851954592112,0.500807688870367,0.8321479795950905
SIDM00266,-0.9802349849778222,-0.8498200598777886,-0.682654161558717,-0.5241061003921688,0.7998530910773893,2.4447941496261234,-0.4922111936441592,-0.30980612618380193,-0.43998132982956734,0.3009426408206368,-0.8902586297156598,-0.7872082425895289,-0.5066299488730533,0.43328065627730916,1.7826819544649817,-0.8426085290733107,-0.7934670783701385,-0.6118404007079492,-0.7591196404868659,-0.9374146182193293,-0.7518317989959907,1.421884080467031,-0.8801709330413998,0.1151396341686013,-0.3083381519564571,-0.1795405296831473,-1.018096110526356,-0.9458011921767625,1.3033679463501235,-0.46341943486929016,-0.9228149902468402,-0.8399411161935741,-0.8624805063482439,-0.9138732875823558,1.6647147494627599,0.43598438125523226,-0.5823331162598453,-0.8693726346565617,0.5203234391390296,-0.836883294058943,0.7427837498526729,0.8955894175660499,-0.7532473379076112,-0.36515573611713625,-0.5190287192064339,1.3661727213425148,0.9111993007529532,-0.30140136424836733,1.1658435046116802,-1.0034320191810666,2.403318143003788,-0.1599034263136676,0.7658391543278876,-0.092720134336156,-0.7870936499375204,1.3619032506322748,3.306362028489332,-0.9577694955436515,1.9219700959908683,-0.863393710017343,-0.816497938019598,-0.8172758917945459,-0.835237241354834,1.6893030339626087,0.7012087593342549
SIDM01064,-0.9384653484589875,-0.8419211342160129,-0.8101580152813792,-0.8149221125354579,1.1271093323880224,-0.8145439237286827,0.17604218848619743,-0.12677338058176302,-0.737437860661444,1.0895075749060357,-0.9822455607698894,-0.7713488296598239,-0.4381429633205112,-0.8080556540446873,-0.5925676505631666,-0.7733072249488133,-0.7491547537256324,-0.650489923661775,-0.7122782191068401,-0.76018020586711,-0.8006073310145412,1.1257725690972324,-0.8125914513044605,-0.3823909016943919,1.0999819084382731,0.1407450704668801,-0.9390141126265353,-0.7970281733185461,1.9344409784512715,-0.8467547284349406,-0.8494628604310069,-0.8960331786703962,-0.8378108277831928,-0.8022317497224494,1.8509542624253292,1.0024155733741154,-0.8258617582870075,-0.8575760042328157,1.324784881453375,-0.9008787124480435,0.8651038677438343,2.2630260065738272,-0.5372407202241409,0.5247118312430309,-0.4009017437070787,1.3890441933500592,1.139741061167428,-0.7615119622024282,1.680778780777626,-0.9926337453083746,1.6287778773425128,0.11853981156144153,0.8405282911163392,0.12873562617667442,-0.7291847804771081,-0.524437168006727,2.595688350816121,-0.9102245345567052,1.7268781743105956,-0.8047269916805145,-0.7303396643403337,-0.736715753611964,-0.776347159391237,0.774666341696827,1.8926205883781668
