,ZAP70,CD4,TNFRSF13C,IKBKG,IL2RG,RFXAP,RFX5,CD8A,CD8B,TAP1,ICOS,UNG,IL7R,ADA,CD40LG,CD40,AICDA,BTK,BLNK,CD19,RAG2,RAG1,CD3D,CD3E,RFXANK,AIRE,CD79A,TNFRSF13B,JAK3,IGLL1,CIITA,LCK,PTPRC,DCLRE1C
SIDM00519,-0.6045768253033916,-0.8893415969116252,-0.828365030752248,-0.46833018718845176,-0.8042612621597024,0.43103392933327733,0.7487985312381301,-0.937336258221774,-0.8903575225384422,1.8774137436730343,-0.8639943493118833,1.2883103740571202,0.4829880629439682,2.068093307108393,-0.8809258530671084,0.7556309314959715,-0.9219115638120213,-0.9963362085214063,-0.9019539072049412,-0.7593551922531183,-0.8145569512323478,-0.8700266871252921,-0.8953536874077132,-0.8878859173572006,1.4033749240213702,-0.78042582654136,-0.8665100529638956,-0.7668883650698494,-0.595597233136592,-0.7879857299031685,-0.9878964408171202,-0.8821549782123423,-0.9436863931863493,0.3153143342340417
SIDM00917,-0.6350212138425455,-0.8853507588397779,0.5454951130545254,-0.4990074757813973,0.5855910234837064,0.595849003389792,1.9342506486708975,-0.8880033993129236,-0.8663005975321821,2.5830140794243523,-0.7424807941531727,0.3396941215162363,-0.9507376962066373,2.2802650407468117,-0.7726088462316814,3.0185796191821663,-0.8059723797422018,1.359672450036133,2.588407782288221,0.02964591573008377,-0.8940410020473221,-0.82054491773953,-0.7533741315656707,-0.8942701883997404,1.2737988125409123,-0.7613522134783672,1.6945499181332486,1.1070378226779216,-0.3382955463434439,-0.7498792031613692,-0.5301202907496994,-0.15642031414978935,0.7932557169976354,0.214209424189237
SIDM00309,-0.607408926401795,-0.8854825580157517,-0.778155995692627,-0.35404607635741997,-0.7762768920575579,0.3794077720524693,0.8076800367876883,-0.8167229835629615,-0.9184153538120557,1.6256012349893956,-0.8250419191106813,1.4537255919939363,-0.4401488560402502,1.250366129360651,-0.7930068416082126,-0.09459870333919498,-0.9246513560645213,-0.9830227622883678,-0.9088592340311552,-0.7633943988458649,-0.8146065232073402,-0.9553302436783074,-1.0267846552120472,-0.9268127314986092,1.026802385347256,-0.7758478245257531,-0.8505724398146185,-0.7432226302652126,-0.6808353894876465,-0.8086167070869145,-0.9292009993746602,-0.8484027373351773,-1.0180250870329397,-0.025418220725526554
SIDM00099,-0.6434553581282575,-0.8743210390549863,-0.7800592322467734,-0.48127298654902717,-0.8876925382472561,-0.43026208914091385,-0.3560562405659117,-0.905846553043016,-0.8793587053604415,1.1543223341610744,-0.862235482606821,1.2774454590052353,1.6425179049734508,0.45343373488904076,-0.826034249357654,-0.7347886175356101,-0.8177511139843577,-0.9726525568727691,-0.9050531510879306,-0.8151870737202614,-0.7844490278345847,-0.8217633508300531,-0.8523770980351802,-0.9186809471624761,1.2645219576276008,-0.7903370527045777,-0.9075810413837513,-0.75001438493213,-0.6573489179513832,-0.6820475641054581,-0.9093583065181252,-0.852814101316093,-0.951492647288759,0.24383052607199937
SIDM00276,-0.6792408209692262,-0.8562972938599723,-0.8074492716048756,-0.576300583743626,-0.8663785641650267,-0.3340635291628566,1.0238973953596728,-0.8329159405482388,-0.7833931572513155,1.431995758667243,-0.8777763096592112,1.4916702364250267,-0.7244785678664281,0.9499968666607429,-0.7708399116371276,0.5995141011266852,-0.9138769683045239,-0.962710503745344,0.26860181682613304,-0.81998947252609,-0.6770854922988835,-0.824214788666443,-0.9485327118298268,-0.9462380215940103,0.8788379172625835,-0.7294283426886802,-0.8668074442782481,-0.7539861551903404,-0.6074464407797427,-0.916485355482781,-0.9250957182772591,-0.7238878903102137,-0.9970548626961622,0.2807448993169663
SIDM00311,-0.6585756273852325,-0.9525792054758552,-0.854914282512272,-0.41368099135544933,-0.8602721916772359,-0.16292429469207115,0.3413494705101776,-0.8443881593686545,-0.8947506033125615,1.527369846736349,-0.7695403192835497,1.6545541316259704,1.4871657028305398,0.7750633442986495,-0.8211018253688963,1.1005456651389136,-0.9477890333602558,-0.8449021753776194,-0.8965356812186448,-0.8206238311100338,-0.6582635268932675,-0.8697995517255788,-0.7773485658111411,-0.8867908151426424,1.0079495844516442,-0.7957682197147484,-0.9378769989548444,-0.8074077688080132,-0.7699026506535689,-0.8659511793636782,-0.9433559736241822,-0.8260516498554193,-0.9310322728172075,0.4754192368813825
SIDM00970,-0.7643416894176579,-0.9203545374223284,-0.7380418147399657,-0.6183407853938081,-0.8942253141581716,-0.13827319011144323,0.5958257233897734,-0.7627368034359896,-0.8442227037639555,0.633849371360299,-0.8144758700024951,1.8335758644591793,-0.8390648126106593,0.7249972030165704,-0.8554872832435594,0.3478553319942334,-0.8707667645452841,-0.897447883561647,0.6562787340001228,-0.8051301396331002,-0.7245634296997759,-0.8172618471083762,-0.8774317488138749,-0.8994592850945919,0.9525569732319872,-0.7810676596181189,-0.9781893011982553,-0.7446066030818852,-0.7179727698267759,-0.8329875582278545,-0.9344293928027185,-0.8640674454664702,-0.9892180028472713,0.5805773448245675
SIDM00103,-0.7107054039721898,-0.8608661988468177,-0.6959987310412001,-0.4292891057591731,-0.8929812484295274,-0.5358854001874107,0.18674349537307938,-0.9653325461723489,-0.7988368382376725,1.553491247129207,-0.8026112271445895,1.3068263946365013,0.4949850877200746,1.2280348998786894,-0.7901236509869108,0.42989452965257147,-0.8825946142437917,-0.9535682793888517,-0.8823096244610759,-0.7987586449207091,-0.7849492422255627,-0.7921357452005965,-0.7829319459377696,-0.8653294504630612,1.1479626769827542,-0.7678122224710706,-0.8772077228105446,-0.757369951856656,-0.6596832896268048,-0.6633256517166747,-0.864925282282057,-0.7924706960616359,-0.8959644229928266,0.28929450519452166
SIDM00266,-0.587889359050985,-0.8977705963630613,-0.6824778556942813,-0.5568467555927609,-0.8276708866227597,0.6423030716952055,1.0460275854688217,-0.8083815871009254,-0.8812181905744572,0.4710524905673902,-0.7318855379111857,1.5477481261808412,-0.8028349696385079,1.2011168996779553,-0.8448909171229004,0.906066289592875,-0.859247952914698,-0.9479561099779149,-0.5743313271961473,-0.7911705817005411,-0.8396667612061567,-0.8800055115035688,-0.928492620427092,-0.9327777576411418,1.3621643077437486,-0.7316336992772957,-0.824033671011228,-0.6785001740941392,-0.7025332593210022,-0.7576570262596101,-0.90905035248177,-0.9032966898049805,-0.9430256704963312,0.06890060962795243
SIDM01064,-0.6879661229832771,-0.8848590133041605,-0.9524684269935066,-0.2614683980259644,0.28452387018630426,1.088025450042879,1.7400377592103187,-0.9103354314920529,-0.7803315205603071,2.296593853517435,-0.6313251912753567,1.7849159187145085,-0.6482936291697504,-0.19211823875920464,-0.7689878989113619,1.5576623811316819,-0.8589948509053875,-0.7778273802927627,0.6086114185054978,-0.8453246327661762,-0.7123886416446746,-0.8550971048426241,-1.004864148050743,-0.8655130758457301,0.7999928254039865,-0.8275604119343479,-0.8819881349801503,-0.7262095600246976,-0.33189202287862907,-0.6408707349292175,-0.2790947215186836,-0.8535813984254174,-0.9266141336552949,0.6790225049114134
SIDM00098,-0.6464716749299042,-0.924963394264632,-0.9070323279823428,-0.46038859833741774,-0.8491948283909369,0.09838774377068889,0.11670650936106503,-0.8718782298141688,-0.8762286694893631,1.6998239886042101,-0.7776171707827053,1.5765650871964225,0.9837043150234059,0.546421839186165,-0.7799837041284752,-0.6963768319261092,-0.8748986778464669,-0.9392941452861411,-0.9250431029578449,-0.8818314578162452,-0.7167206587801291,-0.7708962836134163,-0.9078015000477979,-0.8443679239252923,1.2948982374024676,-0.8012055663191294,-0.8932251087535855,-0.7280969850148665,-0.7260261424740273,-0.6803194493934763,-0.8761192602092553,-0.8170699719280734,-0.9317258523690807,-0.24418739175052973
SIDM00225,-0.7198517449777753,-0.8680511940828763,-0.8535171827213845,-0.5967082838023928,-0.8524543094018818,-0.2264294169007184,0.8156403892031396,-0.8554111522998454,-0.8554104050612914,0.6520781248015016,-0.7357262646844018,1.233126722734331,-0.10975338539817577,0.9600679215174945,-0.8181112068453431,-0.7297009407472806,-0.9131577567907677,-0.911503341617996,-0.9007670542858418,-0.8239746113847599,-0.7554662693284805,-0.7948647393311538,-0.9155227148515174,-0.9026343720200687,1.2542880228659508,-0.7942878397266535,-1.0203223358622509,-0.7613008471556947,-0.6118510704712907,-0.7765628002203909,-0.8950853027939807,-0.8359812612788246,-0.9391039106606908,0.4520738315129184
SIDM00846,-0.7570943337205936,-0.8416875790762411,-0.7577092272441356,-0.39863429127182004,-0.8564075848713348,0.8248078038095961,1.5223198244769995,-0.8544526458174201,-0.9065766775058883,1.522587045407145,-0.8867280927727174,1.7648076261191823,-0.618954580499266,0.5080939794218978,-0.7891083458842173,-0.666486758257714,-0.8934914799194698,-1.0179133963396994,-0.9158230004403073,-0.8909333520007505,-0.7906390397517412,-0.9183073246703671,-0.870586812331592,-0.8890976938054087,1.0883554596841023,-0.7754708085261115,-0.9287766132637593,-0.7020685000440686,-0.6714912393565338,-0.7375733386404909,-0.9170099546565044,-0.9031676139012796,-0.9661897914776875,0.16787935383303165
