,HES5,DTX3,NOTCH4,DTX3L,NOTCH3,NOTCH2,EP300,HES1,NOTCH1,NUMB,PSEN2,PSEN1,PTCRA,SNW1,APH1A,KAT2A,ADAM17,RFNG,RBPJ,DTX1,CREBBP,DTX2,MAML1,CTBP2,NCOR2,CTBP1,JAG2,DVL2,NUMBL,MAML2,KAT2B,DLL4,PSENEN,DLL3,DVL1,CIR1,DLL1,LFNG,JAG1,MAML3,HDAC1,HDAC2,NCSTN,DTX4,MFNG
SIDM00519,-0.8393133370513887,-0.6912088955000144,-0.7797359773099679,0.2342908583608537,-0.7406457485346151,0.0851959959534621,0.42957933691496025,0.17413663101403445,-0.5217060943691294,-0.1953460989911496,0.035550016400592174,0.5811610122945735,-0.6170309811084147,1.8144131491671773,1.3130083892512583,0.8795314722457378,0.2561167679384067,-0.6549221653185836,0.6682147153030527,-0.7317098301777283,0.7804463899523163,0.2186279899680161,-0.29738808345942425,1.2584343143577856,0.03680111066874407,1.6311502367236335,-0.47664937429558907,0.21019007409702098,-0.6830649102989305,0.5496923386720276,-0.40632753423797136,-0.8392287855414434,1.3069525723491744,-0.1661114249945253,0.6400654740121293,1.0277436865745175,-0.7349510366292419,-0.6121023039167677,-0.2867160554888318,-0.6918563083528655,1.4561251478930999,-0.5122632893305596,0.48244823091762623,1.9712264438593923,-0.7131454314064857
SIDM00917,-0.6491051188099314,-0.6339308808534387,-0.6242395796805009,1.5640718252975092,-0.7365424103191978,-0.5890576911971738,0.7794190322807186,-0.02486503689973282,-0.5122238888023264,0.35892347816173686,-0.38982913593430857,0.6275505383920545,-0.7044645144139879,2.2152957572476075,0.944048756655343,0.7903871138512909,-0.05970290004989674,-0.46184340339864155,1.1498825397401327,-0.6946200441659022,0.3954024949423983,1.1322326962183165,-0.45135423629511845,-0.7941491997185194,-0.1903385292635774,1.8213866513903827,-0.6776554614448133,0.1976574029183226,-0.7481287101635488,0.5572772660265427,-0.06391855514938614,-0.7790578760632448,1.1677912256255736,-0.8009694050003396,1.04683245854064,1.4022173971569294,-0.19072527418092883,-0.7309936848944056,-0.5317410611212325,-0.5755725434843733,1.9812879132323762,-0.8477311642907213,-0.11208108292878922,2.845397233862456,0.6390512925294265
SIDM00309,-0.8775313505275604,-0.6049535808969166,-0.811243793070496,0.6113292163343532,-0.7069978458219557,-0.22352263885908066,0.4579589061151084,-0.04303797532866482,-0.7748662803832526,-0.3582439664542277,-0.20835439085964028,0.3517240622624061,-0.6828897500140892,1.6563512876734507,1.1182889347976754,0.7347531085169682,0.2685011764352977,-0.2792371166924957,0.9641390268474327,-0.7933527293407187,0.45239454760209463,-0.4229529927956897,-0.5207284802539319,1.242912180315431,-0.307633194407867,1.9933031325040869,-0.19314838809375576,0.16041871977767527,-0.3788368544718598,0.556396563176636,0.2305984399233036,-0.8532121877743496,1.3785342289585618,0.5171485471897105,1.3572636525999902,1.2227449500196845,-0.6830301382542002,-0.7648779591644267,-0.7056993475899443,-0.7483635902962992,1.8099628019369962,-0.526073745169573,0.17936662890392915,1.3030480268618532,-0.782055658143087
SIDM00099,-0.8743593248836384,-0.741105676387321,-0.8077006844428255,-0.28099576482774086,-0.4177678702968221,0.27015709920846215,0.39921775645209767,-0.2640390219965576,-0.5574870436852638,0.10769934238695583,-0.44535269068448535,0.7701599562668678,-0.6608832237448242,2.2009315813605546,1.3538605642674648,0.829629822054309,0.32176451877767853,-0.2393044246830369,1.11496889774583,-0.681900020951076,0.5498496685699232,-0.30318547563487896,-0.22267349153151986,1.1247924089912626,-0.2339309473564036,1.6187479459755736,0.19839321271934005,0.23783102253379865,-0.2613894026048576,0.455654361086021,-0.5053010323824404,-0.871440096052936,1.1516831095599065,-0.5606338842588331,1.4161345306299022,1.5286150079951752,-0.35270165745060894,-0.6531067329008491,-0.6367913149601138,-0.590332176210655,1.4385749635774001,-0.6819933749914281,0.29923300654592,1.0739785563517028,-0.826717169386471
SIDM00276,-0.8817962248855111,-0.7572480176426738,-0.7641863403419477,0.380465074191402,-0.4633219914311183,-0.06945442613071633,0.26240778424630146,0.11190688631237447,-0.7326194408150684,0.09109993386954011,-0.0862660279026074,0.593729657706993,-0.5170548021574158,1.9910388288376486,1.6517740321864491,0.7765184732346275,0.207593030701589,-0.04908109412977841,0.9853967801833978,-0.7116247350775374,0.3161848239752825,0.9527487753769637,-0.4256418009072617,1.685736738143086,-0.2903823649591905,2.1977892128792433,0.16103877603803188,0.6155882034157504,-0.5520479800023511,0.5271988200467786,-0.7106691733444126,-0.8265107997720396,1.4926781620694083,-0.4792496372118681,1.5697260494235796,0.7306483592895384,-0.7587668921058621,-0.5559186790984767,-0.44507099482310547,-0.6945876105674582,2.1680881940881434,-0.6737866425514184,0.28392982878434225,2.05470793192127,-0.7513642042092558
SIDM00311,-0.8848132456917238,-0.7000247160880042,-0.705336917700559,0.4379761221464899,-0.6368044343778207,0.4210766239656897,0.3726661133755071,-0.07547180872320157,-0.7095312214792556,0.0031868147176385316,-0.4852368931039348,0.6577777061793281,-0.5729702683000633,2.1389322162330586,0.9425170643925643,0.9630094103203314,0.19783869995362555,-0.3439976094216269,0.862288695597377,-0.8233852571087951,0.5379680922769874,-0.5554671818725394,-0.300194691929942,1.5301770392909997,-0.44215194663307306,1.5210112506699123,-0.5274225014704875,0.07124003735374497,-0.4267705266636013,0.43191557527605495,-0.6308108301339496,-0.7865512246289981,1.2976087918602601,0.07830766902474422,1.1396870720238725,0.9776810286539837,-0.7066327588450431,-0.7901323145207808,-0.3231345760869041,-0.7046295161485104,1.8412143217293135,-0.5530022298506254,-0.03404266518748564,-0.16649983497043633,-0.7679860678127955
SIDM00970,-0.8962104859946833,-0.716747461134885,-0.744189270881489,0.3427458436662618,-0.1523381833689025,-0.24264616331784017,0.950953038465395,0.5704236795939113,-0.5648407453867132,0.11899867763982452,-0.5589488424494581,0.7324013124294123,-0.5649019728567581,2.1795143377647124,1.2687435234354774,0.9927195507903616,0.02027363399493361,-0.45606522442355646,0.8598896481628959,-0.7788685554068171,0.4361938112367892,0.4057739662660502,-0.4819527165878072,1.1638226843557105,-0.43208992960007736,1.796056289841482,-0.3259043253479309,-0.21526356647949618,-0.6352594300656659,0.14077631471756705,-0.24119267302693395,-0.7348868861091524,1.8454756377278962,-0.1825111146616105,1.419426270167821,0.8442669191002964,-0.8074346230617804,-0.7497747590764547,0.14820048624240442,-0.5539325656817399,2.327293026074145,-0.4370566308122645,0.16800631514902095,2.662662611526629,-0.7450332755563818
SIDM00103,-0.8720885242051719,-0.7074428396961413,-0.7756640467558695,0.6716919765462157,-0.6988691792707092,-0.12048669604099511,0.14464132941274382,-0.552902997644895,-0.7007102824809016,0.04182766525896672,-0.17749597022475766,0.8393377020745209,-0.6463164687463083,2.210121258289888,1.1982413814423203,0.6980871994586465,0.17748882342378333,0.049961452671529384,1.6845279042903205,-0.7632888281787885,0.35132433999866564,0.11130328947168366,-0.5610243402049981,1.3707958986505635,-0.4768360942762342,1.4689017616477569,-0.5506119919910232,0.41680289424221967,-0.31076300231742965,0.12308257309791357,-0.42198314713542495,-0.786295373346044,1.3103590208828857,-0.4309934626238683,1.4218153210110682,1.2212735585899241,-0.5805548196293207,-0.7695311395242068,-0.630846859486967,-0.6823354835880195,1.0247600047692527,-0.6851780362967921,0.04944729095389548,0.3992151169358251,-0.7621389379213152
SIDM00266,-0.8386308528852738,-0.67306075820379,-0.7770991679973882,-0.31529542385609893,-0.5462978849994534,-0.3315053520915806,0.6946840758175171,0.6975507468090809,-0.8450219200511189,0.04165215683296713,-0.5802740491853905,0.6472160595696071,-0.6594915993915054,2.47299127338077,1.21286798178397,1.0284538690594687,0.33143008703768545,-0.3275109493092677,1.193430480177407,-0.7201522440261487,0.5044365911171107,-0.5089886533263916,-0.40544553238801845,1.2905887679438501,-0.4122484395769543,1.7795191691100103,-0.5865135890629446,0.4004184256915675,-0.6651316676810627,-0.3338796413610255,-0.8451727928617336,-0.8009986928354041,1.503617982653371,-0.020158474595282326,1.30321743246193,0.9496647129152413,-0.6174680763749257,-0.8955326793712697,0.054165115278728346,-0.6492899872037128,1.7333968909508612,-0.44544176398086593,0.1492245122895973,-0.041162180961815314,-0.7984823539529567
SIDM01064,-0.8572912996375747,-0.6420575249768721,-0.38528487853408616,0.7007556978481608,-0.7387794132598223,0.21006123986776176,0.7549958733303839,-0.2960541502305347,-0.48925252839574546,-0.03619564213617819,-0.4068579637482864,0.7868903166701529,-0.72077257498285,2.0470924058893223,0.9584661448062157,0.8122880017610264,-0.1118805209185571,-0.6020722956798196,1.1363416752861462,-0.6312877227708013,0.9311953063125066,-0.05630195161626584,0.0697123486008964,-0.7953654929263099,-0.5431771450680543,1.8407804347443169,-0.5696531189560484,0.12679249446512014,-0.6933609213023112,1.2786301645077929,0.025174651141601105,-0.7843400149263741,1.3600690367279638,-0.27867808060055305,1.0933921981430195,1.0241738460044547,-0.686001612933277,-0.7000223346639269,-0.7657132385484112,-0.5616225700672762,2.1495605185121787,-0.49689301343976966,-0.047240900816240425,-0.4712036976171257,0.7491614630900031
