,SOS2,E2F1,CHUK,PTPN11,RAF1,SHC1,BAD,CTBP2,CTBP1,MAP2K2,BRAF,MECOM,MAP2K1,IKBKB,MDM2,RB1,ABL1,AKT1,AKT2,SHC4,AKT3,NRAS,GRB2,STAT5B,SMAD3,MAPK3,STAT5A,SMAD4,NFKB1,NFKBIA,SOS1,MYC,MAPK1,RUNX1,PIK3R5,IKBKG,HRAS,RELA,GAB2,CBLB,CDKN2A,KRAS,CBL,SHC3,CDKN1B,TGFB2,TGFB1,ARAF,TGFBR2,TGFBR1,TGFB3,CCND1,PIK3R3,BCL2L1,CDK4,CBLC,TP53,E2F3,E2F2,CRK,PIK3CA,PIK3CB,CDK6,CRKL,PIK3CD,SHC2,HDAC1,BCR,HDAC2,PIK3CG,PIK3R1,PIK3R2
SIDM00519,0.0498076182111507,0.08599586272353803,0.8161035609072119,-0.41687740632795267,0.41097071018801634,1.7754572859967834,1.3580295249854797,1.2584343143577856,1.6311502367236335,1.2117328419628624,-0.5413997596560421,-0.6541797282962472,1.4682702253736368,-0.13511638424224445,0.3744561848381576,-0.451706616899581,0.3547805573656611,-0.3955558339139622,-0.7032513775795374,-0.9148373248866729,-0.29600760340522414,1.221839698263148,1.7411622420718154,-0.19289710376957628,1.3093881103578247,0.5154256853947725,0.43988414635095824,0.3261291832515681,1.6810797093900343,1.5124775933865677,0.5708231736562318,2.1568489899129997,0.20225978087680163,-0.233229068344019,-0.8367236396892249,-0.46833018718845176,0.8798485214472693,-0.04413591818367234,-0.06637235057079378,-0.647993994586536,-0.6310219058229348,1.5419688881072011,-0.03141944906364873,0.2172080272673925,0.7086712161008124,-0.5502732194059194,-0.7328772199613526,0.07456749189187163,0.6853681495679597,-0.4887481317008841,-0.8042327848341712,1.4576129059103546,-0.7187735136670106,0.24007478526559883,2.234465398685669,-0.7927789540679651,-0.5490992699972357,0.9026138924628194,-0.6049584536004887,1.2446644240034146,0.31954704636902964,-0.18112189125699452,2.1685863377808317,0.034940508580002146,-0.5861729564811344,0.6351820544066088,1.4561251478930999,-0.5273382315962847,-0.5122632893305596,-0.8386561761109992,-0.22309303738012728,-0.07939079386696714
SIDM00917,0.777404455271312,-0.2135355422889387,0.9771338680956163,-0.5545172319292266,0.6703226732559828,0.12774549222024534,0.7032882367405254,-0.7941491997185194,1.8213866513903827,1.4353305093647586,-0.08737606934962737,-0.8002590624270342,2.1682208807797045,0.36611728776337293,0.782457254819834,-0.20693165105610548,0.07227524592064806,-0.44961501627394507,-0.43991493639764384,-0.8928742589394802,-0.53140709085529,1.5502036363871254,2.0967618944171535,0.1951135938548035,-0.3992769345693402,0.12581611851856564,2.032499068174159,0.6018744472152134,2.706514981805068,2.926357499895323,0.5455241666444859,2.8043043388059963,0.7518296918279702,-0.8481874870690143,0.4079912195723818,-0.4990074757813973,0.5785314872233444,-0.01219307294287043,-0.6273721673672108,-0.7149193416171191,-0.13914854844665173,0.6747655177517772,0.018010350725628243,-0.9705805088038854,1.0781721097533157,-0.7962043363591329,-0.05252370331954249,0.3104583380836929,-0.6035133333529629,-0.6012794748482913,-0.8931751692380971,-0.5683018791586874,-0.33826179106292537,0.30905402251947384,1.8123176406853694,-0.8999405698822873,-0.5377656233603392,0.5712278422207611,-0.7207177122178672,0.5399892258928097,1.6959402178273975,0.29428175640692444,1.6434028863032866,0.40700550208776304,0.6552993831852555,-0.7111083577729086,1.9812879132323762,-0.5804936838421597,-0.8477311642907213,-0.7207299110933022,0.09639864077465503,-0.45814276637380663
SIDM00309,-0.055147137698300645,0.20761519131939282,1.0570803897792147,-0.43675263706473116,0.7255659061086115,1.4934606146991267,1.4346878852123166,1.242912180315431,1.9933031325040869,1.29693709399388,-0.5982155072109197,-0.1624853709188614,1.533801591408699,-0.03539533274547862,0.04136872496734211,-0.20130190250486923,-0.14684212911695277,-0.2912125403265399,-0.5673413731578653,-0.9150806248763022,-0.323607853268389,1.256524659301111,1.551214464507327,-0.25196475949383634,0.694650547024864,0.5986800821643932,0.5778454292346422,0.33231993069445404,1.4951173730900065,2.224831625741866,0.6321035255310687,2.5090390498281514,0.19821987316206793,-0.45733535483506715,-0.8541154838838494,-0.35404607635741997,1.0882773068400704,-0.07075364474348073,-0.13888804622220252,-0.8057084974725208,-0.4729076891930827,0.44635764588407606,-0.3420208379162094,0.44619944357772084,1.4073051121288134,-0.9214273137731334,-0.398022946651397,0.07713419241059723,-0.17888301134424955,-0.7515624782056892,-0.7927969404487873,1.750803738259115,-0.5719067588538529,0.1544148113693867,2.108265807077271,-0.9262680849602798,-0.4883528195407754,0.8186152745784866,-0.4331368386889992,1.308878414367355,0.9023372519923574,0.4332412209128918,1.7905076222712484,-0.11725484951057555,-0.5018997117469767,0.6434067479086082,1.8099628019369962,-0.6955493853264493,-0.526073745169573,-0.7952065883643438,-0.33145082133245723,-0.1603682274832688
SIDM00099,0.23750660699476628,-0.08057002665373103,0.9480620406235725,-0.48805428678273177,1.1767266262913327,1.8449289938861713,1.2518102860044347,1.1247924089912626,1.6187479459755736,1.6865245406992782,-0.4747716843383623,-0.8250901163663698,1.4524860221399285,-0.178519674526836,0.6150369187560697,-0.21125073452829746,0.6239641672368567,-0.2291313922542609,-0.5616008280392394,-0.855564847017962,0.4590628778438762,1.2061207614674792,1.5303667233180474,-0.32036710954354114,0.516896907106455,0.6202538847874911,0.4293951853404003,0.9889638523853684,1.4286800173594663,1.3423688261952067,0.833796751022729,2.8580368365656548,0.4272251428179874,-0.4229893801679411,-0.8097681129008282,-0.48127298654902717,1.0093641595797609,0.13366079755805624,-0.29155910421871256,-0.5636716404629954,-0.6583672314984758,0.6730085000785737,-0.002930302308622005,-0.709476890474113,1.1649822417382556,-0.08776125432368843,0.3631753301796315,0.007434448992897634,0.2764188287044035,-0.3991043129623154,-0.8431826104721083,1.9893804939894844,-0.745840851085465,0.7042714198127649,2.35319881192637,-0.8588552445705597,-0.4606656978346491,1.1122126124745342,-0.7296459678057524,1.3090162296449548,0.9772417205774084,0.2470462313405816,2.543351426805786,0.11344628506884087,-0.60403659056009,0.8991220131854462,1.4385749635774001,-0.7758520253699144,-0.6819933749914281,-0.7412131459935081,-0.30151261608262947,-0.29295489699624994
SIDM00276,-0.0659297637105213,0.6494015291488326,0.5164845613433473,-0.44887793886853683,0.6944907569106895,1.2360285556403219,1.2834932020677752,1.685736738143086,2.1977892128792433,1.5730502356630185,0.4225250613223542,0.46336428457012446,2.019959361654287,-0.22945576373960963,-0.6031037443706602,-0.5708864249561418,0.10760197413090264,0.11933883765264834,-0.5956790432627415,-0.9086837356651726,-0.5519477570600904,1.9524905147513523,1.9575623215250881,-0.3459103450949326,0.45809853087418184,1.1105277507367421,-0.3630684917624366,0.04471356433910901,1.5166522702960785,1.8837504521796675,0.4636340472715856,2.115272456379971,0.3901472004011665,-0.6141638822406459,-0.8267639290855728,-0.576300583743626,1.1816656923996194,0.2185667859797125,-0.3308871749955511,-0.44320454736521914,0.2468311246617019,0.6515748950888393,-0.07779895785991249,-0.17374398306805527,1.3552218174092572,-0.5075501905398743,-0.48433843117361014,0.3319259955565263,0.3985969001546798,-0.6729384347717665,-0.878878674651359,1.110777565362061,-0.6488194164256283,0.3722016247702064,2.049498912743563,-0.8458751624680838,-0.3152874840479835,0.6775051647594175,-0.4785287508458978,1.2893929818752554,0.4020237646019066,0.030209795559018312,1.0723546854252366,0.10948548738996396,-0.5315367247175582,-0.8931849684240403,2.1680881940881434,-0.6349257499822412,-0.6737866425514184,-0.8724342233570149,-0.49045962005312094,-0.4121884693058777
SIDM00311,-0.03247697834325912,0.48251935496648896,0.8036714917234041,-0.48437306637563843,0.5447987316773143,1.1941706855572498,1.179641852767542,1.5301770392909997,1.5210112506699123,1.3593653195542226,-0.7453538371884136,0.8015373745354343,1.8896826961927777,-0.1436366764423288,-0.5754608576763738,-0.48704365733361277,0.5012232020806003,-0.04068572253821361,-0.6105409974472994,-0.9014738711073031,-0.27243689547260147,1.5785594577365645,1.635529327971572,0.040551384762328224,1.1456864598072072,0.29001810221540564,-0.7356217442499314,0.4764579269706616,1.7807493777478833,1.7433000336297542,0.6037743687259487,2.967969496653463,0.38729023043362193,-0.1820172728987065,-0.751888574666709,-0.41368099135544933,1.1499067182680816,0.15884163586295352,-0.2938008355705803,-0.002421370819849334,-0.7234958444085249,0.5102474431294666,-0.0810526231746209,1.381402266667887,1.1097653499745967,-0.46941732480073955,-0.13474756891173795,0.08589945360217498,0.5194520148316456,-0.429418852049095,-0.8596516129349381,1.1408512642531226,-0.677359328236902,-0.12702848759436397,2.154206687974875,-0.8287666590836056,-0.4660973343828472,0.942535290863256,-0.512969308183406,1.222587437599316,1.2324268605147033,-0.16744840637044256,1.4788793169273584,0.20913883553329307,-0.5452007531527697,-0.22817501325306394,1.8412143217293135,-0.7104280588157654,-0.5530022298506254,-0.7787929081177212,-0.1528127154303174,-0.2815786822959473
SIDM00970,0.06815208203162508,0.2927011409601079,0.3015782067203512,-0.4807603789388971,1.0032059249628758,1.093737430029109,0.926248724312014,1.1638226843557105,1.796056289841482,1.0350064504926018,0.16764458696924706,1.9537463783998372,1.5480021660770813,-0.0316694772888078,-0.25477635394625303,-0.25018499616597295,-0.08722888146728958,-0.10547988580351268,-0.32945864135872244,-0.8732184163463943,-0.8508602838977936,1.2890579677789475,1.7772022885091538,-0.05552264691939188,1.0362821960047388,0.3293145122295789,-0.32136310886736985,0.5498250488021341,2.047102764470724,2.2527880968170315,0.7419548768709279,2.8190670787098924,0.8119872597350951,-0.3381827102566071,-0.8149726060877294,-0.6183407853938081,1.3507311932125972,0.02339370108682473,-0.7490890955709114,-0.6440513887172788,-0.780307409634175,0.8955143169693113,-0.372850295071207,0.31463617934483623,1.3371286241953104,-0.9062378848792261,-0.24560597450788194,0.016143176077876336,0.07593002238863181,-0.7997441549426471,-0.862421172009199,2.0377973060067225,-0.4642723288066422,0.0380372055909362,2.0836698866468724,0.9850910999284843,-0.6567645675008575,0.9291838685627761,-0.46976142432206475,1.107503557714046,0.6516507787099076,0.07842511824996666,-0.6233670239583565,0.5703371447563536,-0.7197542934563707,-0.8370006192797307,2.327293026074145,-0.5592806880390799,-0.4370566308122645,-0.8051315465966639,0.024174200640533106,-0.3230373291454919
SIDM00103,0.11201949844336118,-0.11479201140650103,0.8192588864072707,-0.35016489112851445,0.842042295483723,1.6799060352227027,1.506035085821319,1.3707958986505635,1.4689017616477569,1.7208696588265395,-0.3199136617291577,0.4724977722249676,1.3916393884940752,0.1526785008488658,-0.1605100913713362,0.019129677406904372,0.764448897546259,-0.06847722136698463,-0.5499446939252121,-0.8961283271701918,-0.24893693507670495,1.5912580346491147,1.6238428467390442,-0.24337613375500355,0.4168218500162432,0.80055510601947,0.6114375069754151,0.41510557535056075,1.2461389920078365,1.3316515770819293,0.6115918772422926,2.9416310920056388,0.3533626797819316,-0.3772898018700081,-0.8467818040121766,-0.4292891057591731,1.4511064022891142,0.05682964877522256,-0.21413587996231648,-0.49930878613587715,-0.6547130715364519,0.019609299068091418,-0.4006511678695992,-0.16048396266523843,0.8985220835888357,-0.1489624022248841,-0.5518795733650771,0.0004835080749557808,-0.15713019423056115,-0.31765203890663724,-0.8756849230558732,1.692495608595488,-0.8018036490477344,0.5011303763626825,2.343809602022163,-0.8914532999648367,-0.5608796842096238,0.7256121625759887,-0.7236374164487444,1.2453190119225184,0.8649885642906499,-0.012228360223561519,1.12683149848289,-0.10922721032177976,-0.5742533021236681,-0.393073193246736,1.0247600047692527,-0.6832425833529673,-0.6851780362967921,-0.8415395909860525,-0.19631857119045654,-0.10318863179885122
SIDM00266,0.18691646827734318,-0.19522280359195227,0.73891556292186,-0.35970337316955103,0.7998530910773893,1.5400359956754033,0.8550364573565588,1.2905887679438501,1.7795191691100103,1.421884080467031,0.1151396341686013,-0.07711361628203056,1.3033679463501235,-0.2454207720614906,-0.4149837736893541,-0.20465054875850483,0.6654788082368788,-0.3555052293772311,-0.5117967119573102,-0.8662850694336253,-0.8347357449295455,1.6647147494627599,1.4884797745308012,-0.08529470905245536,0.08454986992931454,0.43598438125523226,-0.7404523636994732,0.6734581626959109,1.2716264406624573,1.5394493332535957,0.5948286514554698,2.4907638735127424,0.5203234391390296,-0.8405057099482665,-0.8496389728152324,-0.5568467555927609,0.7427837498526729,-0.248028129252309,-0.37959803940356013,-0.5242393306366948,-0.6946544374414192,0.9111993007529532,0.09627253022619521,-0.724148075907903,1.237918109598917,-0.8524898453995975,-0.17615706719771163,-0.1599034263136676,-0.2661855431909787,-0.717075322252523,-0.6472016918770039,2.5759797624614174,-0.5568906287862644,-0.43181650829586077,2.1912185207380555,-0.8287662823695146,-0.6844618064062402,0.9126078970805189,-0.576195003003543,1.158112894856864,0.975240071825603,-0.33462897669646635,-0.08315933928135008,0.37430815062844575,-0.6595534890448225,0.14542831781025914,1.7333968909508612,-0.6649927080615778,-0.44544176398086593,-0.6325575608303017,-0.043248545248515055,-0.44868059800330085
SIDM01064,0.4878491632261718,0.314366468197255,1.136571207278792,-0.48667244666953907,1.1271093323880224,0.32009308019923066,1.1711456279706722,-0.7953654929263099,1.8407804347443169,1.1257725690972324,-0.3823909016943919,-0.5457170126871425,1.9344409784512715,-0.051216720492121844,-0.021125039430176577,0.25313698106360166,-0.05166498747120784,0.12561007301362406,-0.5099221426094163,-0.7577685515402328,-0.4457132286410602,1.8509542624253292,1.7085587502100803,0.8910061640613753,-0.18205096731180204,1.0024155733741154,1.5054204402501614,0.7873520739244022,2.224705986401305,2.441087912138068,0.8955226757344096,2.881343173952386,1.324784881453375,-0.4213881921332629,0.00999373611543667,-0.2614683980259644,0.8651038677438343,0.054157544537158105,-0.23189461171957151,-0.8287468115394749,1.4889527258331234,1.139741061167428,-0.010160713992846956,-0.8469511923744635,1.455623767041481,-0.8588586741547825,0.06787615621053905,0.11853981156144153,-0.560569454632862,0.033796607007861836,-0.8664130507518361,-0.7509793774513629,-0.5222596854068073,-0.1324727414864441,1.855068768194796,-0.8783249358451041,-0.5881384431654524,0.607367515044863,-0.09958872918827921,0.23453807024904166,1.6317312906782862,0.201441486318639,2.2707506791410754,0.5056436354050513,0.5128280268281551,-0.6029364535680753,2.1495605185121787,-0.48431595574807473,-0.49689301343976966,-0.7788569289509498,0.8846240816513324,-0.3221179351293593
