,CACNA2D1,CACNB1,CACNB2,UQCR10,CACNB3,CACNB4,CACNG1,CACNG8,RYR2,CACNG6,ATP2A2,CACNG7,TPM2,TPM1,ATP1B2,ATP1B3,ATP1A4,ATP1B1,COX7B,COX7A1,COX7A2,COX6C,MT-CO3,CACNA2D3,COX6B1,CACNA1D,SLC8A1,COX5B,SLC9A1,CACNA1C,TNNI3,CACNA1F,COX4I1,ATP1A1,CACNA2D2,CACNA1S,COX7B2,ATP1A3,TNNC1,ATP1A2,UQCRB,COX6A2,SLC9A6,TPM4,ACTC1,CACNA2D4,UQCRH,UQCRC2,TPM3,UQCRC1,CACNG2,CACNG3,UQCR11,UQCRQ,MYL3,TNNT2,MYL2,COX6B2,COX4I2,COX7A2L,COX5A,CACNG5,CACNG4,CYC1,MYH7,MYH6,ATP1B4
SIDM00519,-0.3915534843027527,-0.691001126582928,-0.8543822133728614,2.8717436117353654,-0.4845805739212113,-0.9160620681576422,-0.6540811201921105,-0.5493845649198209,-0.8202151985270927,-0.7688048070315725,0.8592396318544177,-0.7157624965123075,1.1284163911760878,1.4075087173871157,-0.7740226629961922,1.1101310136872913,-0.7828710561398116,2.5284733812493956,3.007197721442201,-0.8955042119619918,2.9381557230627746,2.3169151251033875,3.862569912718719,-0.7387446381919069,3.1318812234144797,-0.9267804143791178,-0.4087435367499114,2.9774593418774993,-0.6965689604589599,-0.8599463753321505,-0.6731199220402921,-0.5919623709124651,1.9640332531308697,1.9920580645959451,-0.7935916790936406,-0.7536578846054568,-0.8376372800045262,-0.8913165222401799,0.847774882492689,-0.8695533228065438,-0.14741648203320848,-0.9435131670941967,0.2206969694731071,1.778180135671463,-0.6724782508564707,-0.7946663096137327,1.0364666972439447,2.5541954866984056,-0.00525236377603938,1.0338915132721955,-0.9279109537200317,-0.7252436111037359,1.3498773224470086,2.2478182051361455,-0.924244103651519,-0.6624309520990644,-0.7655024916566378,-0.6811072423798128,-0.906546274622956,2.3363657605532535,2.8630510921314696,-0.6797433361539624,-0.2988766119764976,2.502579863318232,-0.822839390601478,-0.4349816799047846,-0.8957407318041934
SIDM00917,-0.23073419661021724,-0.7123680846377393,-0.6527597819459082,3.0614508721382636,-0.7428480336277032,-0.7490902821167378,-0.7120248906167009,-0.600564992462109,-0.8768934148787829,-0.7863409840453268,0.2159415427739219,-0.7062013830553261,-0.4035644085433916,-0.3954390227121774,-0.7904076305313658,1.3780804224496466,-0.570010199849167,1.7234166960021857,2.9010157358100144,-0.9949777178408387,2.832251948796705,2.4001324759772973,3.677958864306688,-0.7036202883132403,3.081767226684848,-0.68834948379689,-0.7486964592947566,2.970567169358438,-0.47529369636651836,-0.8989352661310939,-0.6753492265528925,-0.6492499505738857,2.246557157966709,2.5017967774396985,-0.8107589287136783,-0.7925092387689823,-0.8999900001068128,-0.935404667999006,-0.5253483369409415,-0.8443860129915435,-0.44446861592390796,-0.8084164951300262,0.11101319688408678,1.4018668862550434,-0.9654988323696737,-0.7271605268252077,1.6643039253809968,2.7185408278200462,-0.2229392020940833,1.1439864903403674,-1.0420590782612036,-0.5740681459382636,0.6948953859251366,2.1246672555679926,-0.7121984183401213,-0.8718434795355956,-0.5708504543953569,-0.5060102748472888,-0.682864036581286,3.0409921222460112,2.9372378445530947,-0.6258112383339456,-0.6593892331323882,2.373556274422809,-0.7374797192665867,-0.2878199153302258,-0.8834268119483419
SIDM00309,-0.40722974543797164,-0.7721170460291674,-0.9022083260010233,2.8001159540260265,-0.6608739000724695,-0.9013629760216975,-0.6488102756775784,-0.6491288319671399,-0.6493403347052716,-0.7927884375947349,0.9596384616930871,-0.7627239553152962,0.974783192832822,0.5573754189491604,-0.877360527487539,1.5248172426540216,-0.6709484070872416,2.0300743457994166,2.980769131965067,-0.930843680094797,2.829090084870947,1.950610124321013,3.6061249598679197,-0.7599588596237107,3.1431526378249193,-0.892140631001195,-0.8430195065136842,2.9606543411455277,-0.6997281958820064,-0.8985738596381093,-0.7911569926622486,-0.627145881601741,2.1779599430043453,1.7685096554306465,-0.7753701767717505,-0.7115613422902661,-0.8982025438718771,-0.8885061404794011,2.2505539783203847,-0.7763130221921755,-0.5554371908248736,-0.7212306408447935,0.40062226522302974,1.994580347261951,-0.8918296381179733,-0.79704614490906,1.1898269926665166,1.989132680751659,-0.32402259701727515,1.6766599861211482,-1.1052769586730586,-0.9025698401336252,1.197907037195355,2.27220627331566,-0.5792623814595758,0.08369301665150929,-0.8320432949923473,-0.7457877903285507,-0.8247247725783244,2.5237550549400507,2.828338236998217,-0.4963310314637459,-0.7597556834094003,2.0397627165910617,-0.823653191088552,-0.5535356304020488,-0.9450328901984727
SIDM00099,-0.3993794699507153,-0.6974250872579655,-0.8297718891123789,2.6207881557566175,-0.7028852405760161,-0.6789177529919744,-0.7492969460190118,-0.6081253783654046,-0.8705724044312186,-0.5335714118547047,1.0827085160579375,-0.7961521423575978,0.915447765814196,0.8406536581444766,-0.8832136741238037,1.4746012831276527,-0.6476408410471565,1.7503842356852162,2.78526019991043,2.104456315630593,2.7182878537128374,2.1463690348058493,3.725890820412927,-0.7362786243172026,3.0213924256480604,-0.8726638848981728,-0.7545522973836538,3.03959936598121,-0.7642464963057617,-0.8819801281143722,-0.6343159326664101,-0.6300371130952537,1.760449916951654,2.129937499043698,-0.8949452473200465,-0.8934494623745697,-0.8793425728578984,-0.8846084046640038,-0.6624705378600525,-0.7578726629657592,-0.18095405930029332,-0.8449315419053656,0.28653059884366805,2.2581096440785347,-0.7596182570292054,-0.7827193672388743,1.464040025742948,2.2029163477388978,-0.38513212864213814,0.9679362781494374,-0.9481602067409723,-0.7375741543141161,1.0407449521387557,2.114703955546781,-0.7794924265477501,-0.5034417724757386,-0.9124838324086932,-0.6898140319668599,-0.812589273545618,2.708328527144328,2.728772408302283,-0.5129510091315191,-0.35379744341644953,2.3682323095515114,-0.7223793275693872,-0.7734517880488895,-0.9013854906563884
SIDM00276,-0.3422305520383572,-0.711255626129326,-0.9292895817357918,2.889761248684471,-0.7092430071927941,-0.9379070591895857,-0.667492613371543,-0.692832227868967,-0.8816824494142521,-0.14353418553975142,0.5786476557236497,-0.7529850645794294,1.0205192470312476,1.1863231539624775,-0.8443420555186307,0.8012594941153696,-0.8726108836590177,2.066688475066833,2.7962126835428207,-0.9754631321118463,2.9403476769491226,2.1315456494025105,3.636124736357085,-0.769439559227453,2.912749995477266,-0.911619553627882,-0.5565844626301767,2.817586980119351,-0.6342675368663704,-0.9475335632409008,-0.6313065308074185,-0.6528849787401175,2.0583651729541828,2.4430982100728036,-0.8831414875525175,-0.7232178654711192,-0.7995193732162669,-0.9397151074259678,1.1954879466030894,-0.7605836518486133,-0.400883322288765,-0.8408857770008366,0.365065266145099,1.7036198044374,-0.9001964563338036,-0.8695500863947576,1.295638792056172,1.8499285097055214,-0.3176043086729943,1.117089317320639,-1.0558091582621054,-0.7230671310891835,0.856551444692032,2.0780981853695555,-0.7703110482058652,-0.902399863607151,-0.8861007793774383,-0.692333006581198,-0.9022160801668198,2.4583223525542826,2.7362354804034137,-0.7185563701514897,0.03668516376636779,2.5777580247148673,-0.6823217224714805,-0.663378895250653,-0.9201552481204341
SIDM00311,-0.5111957196285999,-0.6672459023058581,-0.8809611125668354,2.80302313808871,-0.8176323588998518,-0.9406315034166496,-0.7250603314452047,-0.5125477654469327,-0.865999362026393,-0.7142890113578361,0.6644975619990958,-0.797844327925898,1.746778571062431,1.389763590297112,-0.8865217104526731,1.31404391542006,-0.7144547154070346,1.5574567957370102,2.7337410922030245,-1.0210813802365974,2.7762018377590203,2.1589684286674076,3.5679596843367367,-0.6109227757244672,2.7664377255608965,-0.9071954875508508,-0.6103844749735715,2.6648840102608697,-0.6086841852023028,-0.9109247693103822,-0.6663639130916938,-0.6484544999160443,1.9946237082021752,2.105911085151379,-0.803857071890477,-0.789517563182541,-0.7805865277452985,-0.9277320378111723,-0.7157261662834367,-0.8797877270201866,-0.15707987281716873,-0.8941562614163296,0.5629048456051752,2.0691030237321777,-0.9006688772989416,-0.8314273939942874,1.0193750722790476,2.03790654323593,-0.3382673124598491,1.416602514428008,-0.968418672843837,-0.8650506202677345,0.9638613905252394,2.1957522438905865,-0.9782898496405438,-0.8491727914488179,-0.7096952696945884,-0.7642751060922864,-0.885576141419287,2.3540663639441823,2.726241594935203,-0.688650187758457,-0.45322462561650534,2.426680870340117,-0.7352050580120044,-0.5128212581276824,-0.8281160623819531
SIDM00970,-0.5688131928301128,-0.7287321400143956,-0.8783248909687317,3.3061555733720835,-0.608451391100944,-0.9277647448714021,-0.7632833281098538,-0.4535406822578905,-0.9293387037806685,-0.8678111296912844,1.0137500368866244,-0.7207381463675375,-0.4280392427304721,-0.1288426102687718,-0.9073925078429907,1.4886196735109452,0.10598502132424148,1.6442699399418754,2.904965217328487,-0.9780596367846325,2.8389025322545507,2.372432436770787,3.6558224606302057,-0.5981657388308415,3.3608538865009066,-0.6532647387976468,-0.6399737675328219,2.7044467273575403,-0.2675017987279967,-0.9687990573362196,0.18573408492552307,-0.6040073971420742,1.9613771893361374,2.264193260006678,-0.7976654463027388,-0.8084663223505886,-0.8738076356279902,-0.8982308761825926,1.5620495676331614,-0.885077106678927,-0.09330900847086689,-0.8414275416397562,0.3099532033343935,2.0950105746089824,-0.9761248750969378,-0.8058794963006214,1.6567194229589306,2.2302690711099338,-0.06999964916926125,1.3615226922174768,-0.9196026567168982,-0.7274852931378539,1.0223979959417906,2.278806678517597,-0.9790131430924022,-0.8298435059222842,-0.8087801062004353,-0.7845414419881207,-0.9423947679904816,1.9999158019245338,2.9528254135252086,-0.5375022539358938,-0.2087585771201274,2.68193609898832,-0.7629789207597116,-0.5314263557897543,-0.9229805640312053
SIDM00103,-0.5040176724249252,-0.738680725443973,-0.8497774787323592,2.4541130845619983,-0.7742634961214706,-0.9246380466879596,-0.7247772432555728,-0.5554044862665867,-0.8709547750021496,-0.7986463492830225,0.8765461561870056,-0.7537047311131145,1.3716438092289547,0.7850831253781718,-0.8713613757735454,1.7751088065019116,-0.7010579639339078,1.2325956837588319,2.6960183665705832,-0.80562922800111,2.7496281266972726,2.1790364570106093,3.728426944887844,-0.8405478643085601,2.9776579663286395,-0.885752070746853,-0.8397488658089172,2.9442107079459188,-0.7213594726854735,-0.8723192999102393,0.29295843104556374,-0.5666967177655473,2.0273056436341466,1.8717679599029877,-0.7820331296125179,-0.7691125414372325,-0.8203539673978565,-0.9466625210987373,-0.5576325074136588,-0.8758449396413373,-0.11880114156254427,-0.8579679204578198,0.41942666506722986,2.570967502356757,-0.8453229070474982,-0.8056190910725896,1.5467250640500472,2.4261753931063854,-0.2830885737627439,1.4689498840303647,-0.9518141622589474,-0.7638614327281565,1.0558641686774364,2.1547812759328706,-0.8334292355476325,-0.7433471002482634,-0.781010651896609,-0.7219768069818232,-0.9677322755265984,2.671537723617825,2.8285614743971275,-0.6718001025155634,-0.8100064188863388,2.5539240376457175,-0.6178473518759606,-0.5230435670407566,-0.9121568402504925
SIDM00266,-0.29869940892852187,-0.7793365138247981,-0.7215442000940089,2.6757156894414362,-0.821611607496383,-0.9053032093079226,-0.7625376375434977,-0.6308843334224804,-0.8227696388632848,-0.8283417039304367,0.7062116299192687,-0.688423664937046,0.6611965297607392,-0.43470749733049163,-0.5827898855647482,1.4521950701634476,-0.7339426612645874,1.125426263403684,2.691769744274513,-1.0090230173434838,2.8129213979077408,2.078588070212031,3.6755033891555478,-0.8148340798544589,2.9516468739452546,-0.8972024279831587,-0.8912774148162452,2.97131762566905,-0.7574231314286823,-0.8612174626844602,0.8587383022105924,-0.5907975434770865,1.8540351318579433,3.387439307649513,-0.7926931963065753,-0.6854903321761104,-0.7496683247579762,-0.8718400622086467,-0.534435265393953,-0.8070406137546923,-0.11238732346303185,-0.8880739685131752,0.3517963915899273,1.6838969767343108,-0.8747636683230126,-0.842808844504028,1.9522675554311164,2.494169120914538,0.330469296555627,1.7414427171509856,-1.054017863185672,-0.7176477525122846,0.970487079179769,2.207261380782209,-0.6362253207607231,-0.9310165360558182,-0.8402903158844421,-0.7809221044720396,-0.9131105810355786,2.6214667560131195,2.9640017337976077,-0.6374808783657351,-0.7782349710830928,2.9224596918034105,-0.764146591798814,-0.554373879046253,-0.993725053575916
SIDM01064,-0.2484178091728888,-0.732605944326476,-0.8280759801993426,3.003416024886976,-0.7078746423980904,-0.8419395665075634,-0.6706057112391728,-0.6137968240653666,0.3837054190490448,-0.8545935057250686,0.49916440224965164,-0.8604546120638095,1.5488386432364085,-0.579167961273732,-0.8477916218986163,1.340449595529255,0.09291334836468239,-0.6972279714705765,2.6978047179664353,-1.0409266953588725,2.9459858486195034,2.2848142024336413,3.5994530728213783,-0.8316661775272737,3.0542960116785802,-0.8954114719759686,-0.8345120406521807,2.8543674416180185,-0.546636288222211,0.18335384756784337,-0.7811848764180859,-0.615860413254957,1.6555953914383483,1.817066742931408,-0.8232813408016001,-0.7351450489649145,-0.760643574463554,-0.928515546955637,-0.5590350185147003,-0.8353184137378713,-0.12538383070003628,-0.8574409443468478,0.4252941596115608,2.1584764448490668,-0.9166677715658004,-0.6309773922132335,1.009186716981493,2.165423229596105,-0.27260482846867734,1.288712954035356,-0.9850213335660212,-0.7473330404979546,1.0469021347881386,2.2033593757823597,-0.8020746636634801,-0.8416544828892777,-0.834811026614557,-0.6214998956833925,-0.9717653674010659,2.568198657241533,2.9208330553865003,-0.5720111803308822,-0.6576369469771475,2.425686012845801,-0.8776788620201819,-0.3945479523912369,-0.8577501035477278
