,METTL6,AHCY,SEPHS1,SEPHS2,METTL2B,HEMK1,GGT6,LCMT2,PAPSS1,PAPSS2,AHCYL1,GGT7,GGT5,MAT2B,MAT1A,LCMT1,CBS,AHCYL2,CTH,MAT2A
SIDM00519,0.10620589233650712,1.7540392420841986,1.5569123502181026,1.5783796273176587,0.6026956527358038,-0.5502118083454393,-0.8343104027998501,0.3458794478724325,1.160089757815618,2.23401746978349,1.4841508689540739,-0.5593965332280869,-0.5740919246951359,1.493527716299204,-0.8067297803498683,1.3716555661887135,-0.44175168093209344,-0.07174502018311811,-0.4842425354226972,0.36606627163228017
SIDM00917,0.5106428000051099,1.3799543799802698,0.7560010168353472,2.087229613468341,0.30399067966558385,-0.10168489247898796,-0.8740583990448163,0.15415115703727966,1.3375098691708749,-0.7099447458853253,1.7020586331386156,-0.687921036613258,-0.7234885363061568,1.8592223926226046,-0.7261880925284233,1.357082569456696,1.0856115413117184,0.03307444315877053,2.212072326935666,0.8376314511631321
SIDM00309,0.5843595229696695,1.5262633016865241,1.186489134604822,1.6356519297389178,0.5870877255318196,-0.04756899201444305,-0.7838587120821718,0.019422443696258965,1.3948043786711712,2.3294851820255342,1.5512261650224166,-0.5614944798026479,-0.694463683700607,1.485892309749073,-0.46320583521749925,1.4943457613114146,-0.14869205376587538,-0.23596209331412665,1.788683239270284,0.3374386858624008
SIDM00099,0.8791029837964034,1.4151968004775164,1.1272812046786138,1.7056499838939292,0.6871150706239817,-0.31936966844613307,-0.7951426603546748,0.1756664411699018,1.1712521703745784,1.7051896894445535,1.938800085100182,-0.8567819040176885,-0.7814544783239226,1.106090010423435,-0.8625102250801588,0.9147122927588232,1.168946684168543,-0.3168503321377815,-0.5640396336301995,0.5552692160886871
SIDM00276,0.2912163431018611,1.6644695576618986,1.2849507217726899,1.553423943833775,0.6743990362573101,-0.2784370176582996,-0.8121539048929157,0.21017859601663047,1.3193360127169127,1.1853753680539734,1.7960354478076073,-0.6541955670525608,-0.8151339910042457,1.362923523986848,-0.7617986692012944,1.649685489165149,0.9727915546081956,-0.1805951105848814,1.5666182587713509,0.5400482877144713
SIDM00311,0.5154470512421424,1.4581181758436716,1.0911552463322003,1.6264661441056087,0.6854905931145181,0.02964906742632282,-0.7975508766031535,0.2756579506043281,1.1787584684616508,2.227641342107614,1.586392452821125,-0.6628220083622929,-0.5524660092369904,1.6410840172864518,-0.7634595721803027,1.3761963629325071,0.25190495281681197,-0.2690816180564686,0.32545473932636027,0.791846694222069
SIDM00970,0.5876039494126319,1.6015834766424617,1.346261245491198,1.7363673269065258,0.8131681566315897,-0.15535115855934462,0.5579703961530522,0.5947333682326342,1.4981715427501927,-0.6238723382377793,1.6680025201210678,-0.4276842354837111,-0.8342246479199757,1.11872729659223,-0.5757117815452036,0.9757119764751963,-0.6099783179378806,-0.47727447831820535,-0.9687109472456452,0.4832979590212329
SIDM00103,0.9025460709837594,1.445430607967139,1.1095623304081321,1.2756426941128038,0.6611783767184228,-0.2586999487815419,-0.7851882209586099,0.24983913691381315,1.1057744417067001,2.2567644006069023,1.6896087538904199,-0.7427785220057906,-0.7734731552605199,1.2409112547356906,-0.7653921831855812,1.5240643686836153,1.0857070554593258,-0.293656219616847,0.3417165133183719,0.9762044741548362
SIDM00266,0.893107189418465,2.4658493361223637,1.4055328328409027,1.7062311613650618,0.5740424087003934,-0.20310174903731285,-0.8253513482911672,0.17205217804939482,1.8132641249740409,-0.511286667953337,2.037448297285069,-0.3391005541178608,-0.8493928799532559,1.300625386429064,-0.8104143570897362,1.4221257142593027,1.3140225965462293,-0.009847439138434071,1.2874023621851052,0.558963764220243
SIDM01064,0.44137775163058,0.8634496892813022,1.7392894424140344,1.5425522481872904,0.702516579753328,1.0776365227905274,-0.7853641747264509,0.5120265686181485,1.76930198242391,-0.6547415605872128,2.5472164024596595,-0.7170959996877528,-0.7778829640076794,2.14429792278765,-0.701987117982639,1.1258756171555067,-0.7888488834229622,1.628457606260372,1.0402943978417183,0.9934393566477193
SIDM00098,1.03306657885203,1.453175957058616,1.2037115937202598,1.4782643647440312,0.5899873300733938,-0.5268677644430712,-0.8062999732249009,0.33619753895736937,0.6480137860206968,1.7630393554590909,1.8302530443620304,-0.8028782940642295,-0.6545115362321577,1.3629231455974204,-0.6939396558759833,1.602369244659112,1.2018057672624438,-0.6149255609997095,-0.4231652915931272,0.961471136017681
SIDM00225,0.5342358901289639,1.6672341547389748,1.6106328800439274,1.6185488035933906,0.7558321363763042,-0.0696319068251489,-0.7935794662583378,0.6633941349045676,1.6709886776209086,1.6310377012928348,1.8141387209061262,-0.03161440484669337,-0.6485413867854345,1.259319455310847,-0.6392198225737964,1.1677391074165888,0.8012495349052372,-0.3020029272718647,0.39744532121490234,0.40504783447508347
SIDM00846,0.7886395301089942,1.6289229179102391,1.2900500926121194,1.468732781941417,0.9675756436975838,-0.14705250624288616,-0.8103653877170968,1.1737540902588361,1.5528738067195866,0.5192665858206297,1.8695990885729694,-0.5206338619296136,-0.7999323929240866,1.4395141103338092,-0.8635778912623547,1.4054248055972518,1.023420583549828,-0.39600539825215053,0.7355802196440344,1.0952806232319858
SIDM00291,1.1432918719781253,1.9342794200996585,0.7179824644609955,1.9120446472648522,0.9679790046788282,0.0731706672195419,-0.7804765549853188,0.6733776313657687,1.6951771577110941,-0.6597836311199425,1.879545683727082,0.3376068787294809,-0.6802148242862451,1.4506911664341349,-0.8243760995313707,1.6057089985594117,1.1137632433749542,0.02659186805048482,1.6754512225788867,1.0838396497280807
SIDM00520,0.5703294584398381,1.2720284870530054,1.0541176070200182,1.4223603473230964,0.49662953180179203,-0.08653010802709095,-0.8429684185709918,0.5148333125490362,0.8212004683860216,2.599000722184548,1.3874675553434603,-0.8842372065848552,-0.872726014227195,1.4962915609548268,-0.8046182143519882,1.466405627295969,1.0119678509262828,-0.48114996080911093,0.284869898097988,0.5987399787931313
SIDM00003,0.6322001970805986,1.7563501404572368,1.1307287379345314,1.7879760233261053,0.7972255838864459,0.02526259485455058,-0.7859064273346142,0.80127762773282,1.512103401042402,-0.6479765322357183,1.59666450203659,-0.5202400986467949,-0.9323752174839106,1.4393759795031908,-0.7842850866927853,1.457404560430156,0.20458386005715898,0.029679416528316648,0.7623525031205501,0.7682026134537063
