,CASP10,CASP9,CASP8,CASP7,CHUK,PRKAR2B,TNF,TNFSF10,BIRC3,XIAP,PPP3CC,PPP3R1,MYD88,FADD,CFLAR,RIPK1,BAD,IRAK4,BID,BAX,IKBKB,CASP6,IL1A,AKT1,CASP3,AKT2,TNFRSF1A,AKT3,CHP2,ATM,ENDOG,NFKB1,NFKBIA,CAPN2,PIK3R5,IKBKG,CAPN1,IL3RA,IL3,RELA,ENDOD1,APAF1,PRKX,CSF2RB,TNFRSF10A,TRAF2,TNFRSF10D,NGF,TNFRSF10B,TNFRSF10C,MAP3K14,IL1RAP,IL1B,IRAK2,IL1R1,IRAK1,TRADD,PIK3R3,BCL2,BCL2L1,BIRC2,IRAK3,PRKACA,PRKACB,PRKACG,PPP3CB,TP53,PPP3CA,PIK3CA,PIK3CB,FAS,DFFA,DFFB,PIK3CD,PRKAR1A,FASLG,PRKAR2A,PRKAR1B,EXOG,PIK3CG,AIFM1,NTRK1,PIK3R1,PIK3R2,CHP1
SIDM00519,-0.7919340215007928,-0.16304697270656243,0.0006099864991469575,0.012109947287288376,0.8161035609072119,-0.932070590575671,-0.5600337566519754,0.9114184476804612,0.4920017838701124,1.095252420943605,0.11411858638168945,0.6006131335263584,-0.47178469893652214,1.6568903330029767,0.7028237591086112,0.3009024851672452,1.3580295249854797,0.06066420763083665,1.6347017488187623,1.1283881213024127,-0.13511638424224445,0.90526735559375,-0.0696201721501669,-0.3955558339139622,0.7134332037451958,-0.7032513775795374,0.27503096597781734,-0.29600760340522414,-0.8245934981203595,0.2605761097875027,0.8312653988984343,1.6810797093900343,1.5124775933865677,2.5971805931683156,-0.8367236396892249,-0.46833018718845176,0.6901030622921553,-0.7947884371277854,-0.8465210496793664,-0.04413591818367234,1.14239431663689,-0.46457905330289656,0.009070405730790947,-0.8437049678932516,0.525366924179487,-0.1720685776410113,-0.5861692329820474,-0.5540602214446141,0.26304636035698237,-0.7981405871605236,-0.46043308971780417,-0.538308029700544,-0.2167654205277526,-0.5702546604675038,0.34187408794749286,2.234641151153429,-0.03454109159564684,-0.7187735136670106,-0.8524925481584129,0.24007478526559883,1.5184460439148586,-0.7741271635724525,-0.6642417916566798,-0.19396801661267524,-0.7547095192082567,1.0595067925802728,-0.5490992699972357,0.4624333910765997,0.31954704636902964,-0.18112189125699452,1.426481890672693,0.8269510971226254,-0.6566072137957879,-0.5861729564811344,1.5772043104334057,-0.7823200060139647,0.3764675691190771,-0.25307061525106433,-0.7511447594931687,-0.8386561761109992,1.5345422011284817,-0.989107384644747,-0.22309303738012728,-0.07939079386696714,1.6441251892035962
SIDM00917,-0.6631918189477863,0.2536338368942526,0.17923875659352212,0.7038291147025327,0.9771338680956163,-0.6296395983913573,1.830999589279416,1.0212982595724691,2.1100408153841252,1.2790557943706569,1.4073343429485472,0.5031292249178309,-0.2731567214626661,0.9217449476682111,1.4432758503160452,-0.36849187467602207,0.7032882367405254,0.432561677880402,2.2920786722805264,2.0651725725111083,0.36611728776337293,0.8832975217962966,1.5940211196923955,-0.44961501627394507,0.9001218501554026,-0.43991493639764384,-0.5761448395166946,-0.53140709085529,-0.8433782154006646,0.6780457199016027,0.5890389856390441,2.706514981805068,2.926357499895323,0.6677956444432289,0.4079912195723818,-0.4990074757813973,0.23773988540436128,0.37875679015295616,-0.782377959904495,-0.01219307294287043,0.8303117108089967,-0.4817598551934792,-0.0030871924810914725,1.4753528292315536,0.8321076369396055,-0.08635682900541788,1.3839252943737481,-0.7798392524187695,1.046561421972907,-0.1738364308004682,-0.2897616012455139,-0.7146147067056327,-0.7157615594981127,0.017659231833247968,0.18152028573455978,1.9082271304078615,0.798646239107273,-0.33826179106292537,0.9638713702942754,0.30905402251947384,2.029623623545773,0.06136221460296473,-0.6980003707464469,-0.7685558875984023,-0.7451376266929471,1.421329490820309,-0.5377656233603392,-0.9550305402844965,1.6959402178273975,0.29428175640692444,2.5215052797383217,0.7244966066040863,-0.5711314317755418,0.6552993831852555,1.7752226218233738,-0.8068097076991405,0.2274820384430899,-0.14963987300827594,-0.06333524624289588,-0.7207299110933022,1.3890997336926794,-0.9843538536901542,0.09639864077465503,-0.45814276637380663,1.0619232141102706
SIDM00309,-0.7137222216710134,0.3099802629052463,0.04318044773879801,0.021264340589176003,1.0570803897792147,-0.8134474561356495,-0.8252947442022723,-0.9222606078419883,0.4845657233790566,1.1671980601305776,0.239530686891279,0.4586945316334438,-0.4487262270553846,1.4713581531465492,0.5978588390642625,0.1294836694756633,1.4346878852123166,0.31789256164362995,1.0694911735687007,1.2889181462810615,-0.03539533274547862,0.993198757218145,1.0024350050423831,-0.2912125403265399,1.5199915871511618,-0.5673413731578653,0.5661578017054454,-0.323607853268389,-0.840162665915936,0.443438091394539,0.7177090276046998,1.4951173730900065,2.224831625741866,2.521596084131797,-0.8541154838838494,-0.35404607635741997,0.5347864876783083,-0.9227643276405761,-0.8700228737315242,-0.07075364474348073,0.30343942604002305,-0.6448947396276308,-0.3506946920234881,-0.8012877367879345,0.3764969771794158,-0.47485761876996296,-0.43176796220837854,-0.6617236048914068,0.0031096075899001464,-0.7893990949382443,-0.29934054273754584,-0.4262726117488759,-0.2638700280432006,-0.8629981217150191,-0.30387230492467016,2.184304477231024,0.45717370260585904,-0.5719067588538529,-0.80283909773139,0.1544148113693867,1.6273325093403612,-0.29800823630621137,-0.6548918264125425,-0.32250331188668446,-0.796842937710926,1.1348244033746662,-0.4883528195407754,0.7846956195278735,0.9023372519923574,0.4332412209128918,0.9070731447325172,0.6683203037418731,-0.6248275242989489,-0.5018997117469767,1.4818912789581264,-0.8104885493395886,0.6652907274412537,-0.3531819204779445,-0.2701943327858411,-0.7952065883643438,1.4731077484125017,-1.0326645235989056,-0.33145082133245723,-0.1603682274832688,1.7579141813487515
SIDM00099,-0.8998452323413563,-0.16120780182301667,-0.2420353614863415,-0.5748128307607661,0.9480620406235725,-0.8650549037079919,-0.8381578425807334,-0.9253458958443304,-0.7887799422749717,1.4660423850012616,1.139087154857637,0.9383392124847367,-0.8365649008926325,1.2681470254519487,0.8144965342698974,0.10632656163102545,1.2518102860044347,-0.5604937108484815,0.9620921739373606,1.778221651865239,-0.178519674526836,0.1668939896355067,-0.7335617544899039,-0.2291313922542609,0.7852054929480522,-0.5616008280392394,0.4728733010382715,0.4590628778438762,-0.8432639551399868,0.665753285677309,0.6019888115285646,1.4286800173594663,1.3423688261952067,2.3401598495756306,-0.8097681129008282,-0.48127298654902717,0.2146087759034992,-0.6451229983340401,-0.9155384639091868,0.13366079755805624,-0.17950480806004757,-0.5123098983380346,0.24545625125314027,-0.8037030551603198,-0.11858073138383249,-0.34164731641932033,0.07005267911751269,1.4088019172502688,0.7254551217537843,-0.82313722489288,-0.3193356044533718,-0.5416946049984963,-0.6613169484086525,-0.9037198005655289,-0.6310498950959704,2.0635899199885017,-0.1473769498770833,-0.745840851085465,-0.60294501058701,0.7042714198127649,1.6662354613692425,-0.8576524409855092,-0.5869944303847916,0.12689241603057716,-0.7381890646027427,1.3225179014283042,-0.4606656978346491,1.0484953055855488,0.9772417205774084,0.2470462313405816,0.930903134078281,0.7276717311716137,-0.6771444026173866,-0.60403659056009,1.2825762679522656,-0.9146445239494626,0.10481971784230956,-0.24734670382096113,-0.6936279369016749,-0.7412131459935081,1.2351904335631032,-0.8785748059294002,-0.30151261608262947,-0.29295489699624994,1.5173131678875098
SIDM00276,-0.6912479668789454,0.5405277638057181,-0.15621800348254145,0.06978050557378461,0.5164845613433473,-0.8176220831759441,-0.7093612735075637,-0.20197796427272977,0.13138022546050546,1.1095054751269255,0.14944474233641536,0.7380633156463018,-0.4726614705041721,1.6145808363374572,0.12282248469025396,-0.10074130873011701,1.2834932020677752,-0.3448226092226276,1.643760180244903,1.1320674877821444,-0.22945576373960963,1.1400610023750857,-0.15156083468049708,0.11933883765264834,1.1949182686427657,-0.5956790432627415,0.46421297842908815,-0.5519477570600904,-0.8075367709930855,-0.3218394692650466,0.7521926042734914,1.5166522702960785,1.8837504521796675,2.3920913839938116,-0.8267639290855728,-0.576300583743626,1.4869215452231723,-0.7106664919238236,-0.934533323069126,0.2185667859797125,1.0793659552607355,-0.5289073356854165,-0.13406283809776876,-0.8426511004451787,0.051877953290484585,-0.08663290330210438,-0.38085031239346917,-0.4939236967399598,-0.0743418056538392,-0.8160347752591707,-0.2838531134299047,-0.648730055580827,-0.45111261766847927,-0.6314205479081683,-0.17714103474543064,2.424268466971343,0.5296424373586712,-0.6488194164256283,-0.8295392935450043,0.3722016247702064,1.4566407872846105,-0.8447235847729029,-0.726402678006925,-0.18959251099276647,-0.7414626369710949,0.9749929377434926,-0.3152874840479835,1.1017332648282585,0.4020237646019066,0.030209795559018312,-0.04318668410329701,1.2985680673879827,-0.6651499767226001,-0.5315367247175582,1.7494304791286652,-0.8148084170734019,0.16184240206834913,-0.18895622235633963,-0.5112952678079454,-0.8724342233570149,1.430961490375798,-1.0051333665100775,-0.49045962005312094,-0.4121884693058777,1.8004960987401966
SIDM00311,-0.876745807362576,0.016676397282197126,-0.1161798164687677,0.06182970356602907,0.8036714917234041,-0.4983878905012882,-0.7630319113703132,1.9572299695824802,1.1460956319343494,1.0730943447246037,0.5372556161210008,0.33983197724746034,-0.4634178679714476,1.5216817724486587,0.36885619511674894,0.3701881271425634,1.179641852767542,-0.2536524861597572,1.1387286654756323,1.007198245658985,-0.1436366764423288,1.1286286312508909,-0.7357228783096136,-0.04068572253821361,1.292328226521967,-0.6105409974472994,0.3283000067723606,-0.27243689547260147,-0.8158154101321047,0.3118529762897333,1.0189182419412284,1.7807493777478833,1.7433000336297542,1.767664894545885,-0.751888574666709,-0.41368099135544933,0.22171297135312035,-0.8070968131253414,-0.8901203558210279,0.15884163586295352,0.009586299227692004,-0.5693115362619589,-0.43949852066979184,-0.8301150144172178,-0.05753276689666803,-0.08121727947938405,-0.17108348576286905,-0.06119072508652881,0.07095209729842313,-0.7607824634714052,0.16136630476819105,0.16326965433984245,-0.6986167104004898,-0.7523696596299975,-0.06285607858486672,2.173158288568141,0.14274477308652525,-0.677359328236902,-0.829927386537892,-0.12702848759436397,2.1134181565379686,-0.5435489761520801,-0.5088950164142347,-0.11699589132220085,-0.7612137915489496,1.2093930196224365,-0.4660973343828472,0.947465542602499,1.2324268605147033,-0.16744840637044256,0.36575852301577094,1.2923536878711275,-0.5858955504867646,-0.5452007531527697,1.558610405792864,-0.7443431153920639,0.8069921114210246,-0.6194771184829285,-0.05244995933666934,-0.7787929081177212,1.45764448772318,-0.8390763323326269,-0.1528127154303174,-0.2815786822959473,0.7540254640885538
SIDM00970,-0.7665951541860776,0.47699840145989814,-0.08559988515420308,0.38998291630897264,0.3015782067203512,-0.9396893402348988,-0.9528144348089674,0.12551401137047685,-0.6740581882016845,1.562391828236381,0.030852483894811232,0.5069331571714352,0.14596493996541038,1.2980681109729102,0.04191014498321779,0.08114046094978117,0.926248724312014,0.1256303338019862,2.2181068288096415,1.341199287042788,-0.0316694772888078,1.399314249880572,1.8911977479499542,-0.10547988580351268,1.2696085940084265,-0.32945864135872244,0.6945822203691181,-0.8508602838977936,-0.7022949505622341,-0.0024862786926691245,0.6952738105474244,2.047102764470724,2.2527880968170315,1.2061954242823831,-0.8149726060877294,-0.6183407853938081,1.3826344795042071,-0.8963662639275266,-0.9173445051188092,0.02339370108682473,0.5618468904495135,-0.5592354542280012,-0.0036272333850462333,-0.8576907429950684,0.6897737130516614,-0.3033534916504489,-0.3081962013630748,-0.6885467361830837,0.38789629293810324,-0.9265480399860141,-0.4917263410151084,-0.6323173821833241,0.8619130503356253,-0.21500213438195726,-0.058330918916109295,1.7065777733523066,0.27869684029625535,-0.4642723288066422,-0.7892635762616721,0.0380372055909362,1.4237146526074613,-0.879695423642155,-0.6435096983966702,-0.02148999828132397,-0.8275878392458749,1.3200824079518878,-0.6567645675008575,1.1064490655090542,0.6516507787099076,0.07842511824996666,-0.3874832023965425,1.206058464850553,-0.5329844087270386,-0.7197542934563707,1.432408216080772,-0.8365462245567281,0.5156243698820986,-0.4162729141409641,0.0008313407672732255,-0.8051315465966639,1.382806948423457,-0.9264545306949441,0.024174200640533106,-0.3230373291454919,1.7144994215516516
SIDM00103,-0.8445312320257397,-0.21195830567363155,0.05666128670094899,-0.3608553094268397,0.8192588864072707,-0.7494667841443986,-0.7985828210686804,-0.8272942215463327,-0.7311873954206425,1.1495947329515637,1.39866427863796,0.5453880413287697,-0.6476567496938768,1.3533582671720505,0.49459347058289144,0.007930971797363677,1.506035085821319,-0.3198347996556772,0.6592252551179641,1.3909918724212125,0.1526785008488658,0.3524282761023795,-0.3558077082252422,-0.06847722136698463,1.4164805506199207,-0.5499446939252121,-0.010341617274465718,-0.24893693507670495,-0.7919491553438586,-0.08442998500068213,0.9679347318094386,1.2461389920078365,1.3316515770819293,2.535028839468676,-0.8467818040121766,-0.4292891057591731,0.7734630935699363,-0.8996796041201641,-0.7187742464688747,0.05682964877522256,0.42484590117070864,-0.6801308861233766,-0.141904177810424,-0.8356306930072096,-0.08802901696582212,-0.42407888709718866,-0.034017931189432825,1.3682835558024968,0.350112261852002,-0.6890881713383435,-0.43983027683691234,-0.5584342140029442,-0.5290849951425801,-0.6500204085229657,-0.2816614583636094,2.523919148698665,0.529661798737361,-0.8018036490477344,-0.7675654380186656,0.5011303763626825,1.4290819425410115,-0.7448204029964156,-0.5592154262132353,0.319056458936254,-0.7280524335108798,1.1609808763492704,-0.5608796842096238,0.931967646087815,0.8649885642906499,-0.012228360223561519,0.8964305047705046,0.7273256425564407,-0.6968428913775109,-0.5742533021236681,1.3229219249300348,-0.7783009211564911,0.5719550334103591,-0.43194793893723904,-0.7124077606431507,-0.8415395909860525,1.3628991686960195,-0.932528980487198,-0.19631857119045654,-0.10318863179885122,1.7219521346837794
SIDM00266,-0.8799115516157131,0.1439342599588066,-0.1300122715286382,-0.03183265028114689,0.73891556292186,0.04388691159249138,-0.6886728367980001,-0.88113607020092,-0.9454487631875603,1.3876467531196501,0.059452434153442264,0.7518863505157191,-0.684711836463478,1.0402083790739116,0.12239282569254674,-0.34861612748532833,0.8550364573565588,-0.2474678986957821,1.4105277299308452,0.7778950231981702,-0.2454207720614906,1.1592877270946553,0.6958285692628143,-0.3555052293772311,0.6822150047002127,-0.5117967119573102,-0.0781745509287426,-0.8347357449295455,-0.8471823115370111,0.25006395633609974,0.3236787067760902,1.2716264406624573,1.5394493332535957,1.4384353049027412,-0.8496389728152324,-0.5568467555927609,-0.016077429204716057,-0.6287142732626939,-0.866738647902201,-0.248028129252309,-0.6236063443317836,-0.5488311224049399,0.33201053192936386,-0.8995589537765721,-0.4702108990391638,-0.47848187584721463,0.09757906404494797,-0.7463520965616763,0.3173696546824707,-0.6857549634958147,-0.7036240165569714,0.6685326134859868,-0.21590178351473444,-0.9399332446189104,-0.7054070253040112,1.8160217957287108,-0.2812672797328062,-0.5568906287862644,-0.5357728627624754,-0.43181650829586077,1.390024021067948,-0.8735504733842123,-0.7803909825069223,0.36874910338888944,-0.8099666108176443,1.6327421418768657,-0.6844618064062402,1.6648138934646912,0.975240071825603,-0.33462897669646635,0.3025587382148227,1.127233661197363,-0.6395585804321139,-0.6595534890448225,1.3020015423065567,-0.7825221958441149,0.5523580764102789,-0.4700658965810989,-0.627183577292435,-0.6325575608303017,1.5316706561219946,1.0449184106929315,-0.043248545248515055,-0.44868059800330085,1.301229601043689
SIDM01064,-0.8680774479121969,-0.1351704207431215,-0.4158480958375661,0.3961134673355207,1.136571207278792,-0.3715969217036038,1.2615577021538715,0.6306667087010968,1.683314654023084,1.116203909090365,1.2825025270747707,0.7706577661199161,-0.33346317898574845,1.349767548081793,1.406188891543355,0.502725520383832,1.1711456279706722,0.5788892972784462,0.9815586639530066,1.0152931764565603,-0.051216720492121844,1.561751536197267,-0.5716978788573104,0.12561007301362406,1.5209681332346896,-0.5099221426094163,-0.7137271373219817,-0.4457132286410602,-0.8555506126949551,0.22781396180679223,0.6167870514097861,2.224705986401305,2.441087912138068,1.3173494663383287,0.00999373611543667,-0.2614683980259644,0.17722277032429878,2.2261180567606416,-0.8818443452759771,0.054157544537158105,0.9456285125307589,-0.5468074502680605,0.1056745475013724,0.4534447313392237,0.3148755917608118,0.12872733010654114,-0.5794471209457588,-0.7583987785700937,-0.2298468300792522,-0.5719766019273969,-0.06396921498978138,-0.7183694846812221,-0.9442081731163728,-0.913534940697209,0.18891728236456753,2.110421671200975,0.4931029347496464,-0.5222596854068073,0.02402569224610241,-0.1324727414864441,1.8010711837053133,-0.8575727261575008,-0.5473229927479505,0.07765749165441556,-0.6808190530892965,1.4965333639248315,-0.5881384431654524,1.2064258194788318,1.6317312906782862,0.201441486318639,2.2598797043841197,1.1065833514702061,-0.49252944584019875,0.5128280268281551,1.0227485862903376,-0.8084632995821914,0.21465778970448443,-0.507264139173932,0.27082819805784286,-0.7788569289509498,1.5069734752137534,0.9670589696921357,0.8846240816513324,-0.3221179351293593,1.1989393237284054
